_step,_runtime,global_step,_timestamp,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss,charts/episodic_length,charts/episodic_return
0,1.932626724243164,0,1763260028.8506868,,,,,,,,,,,
7,3.1248559951782227,128,1763260030.042916,0.000365380197763443,0.3416649103164673,-0.00035801157355308533,0.0,-0.004409104585647583,0.6928277611732483,0.0003000000142492354,965.0,3.9097166061401367,,
33,3.5843677520751953,605,1763260030.5024278,,,,,,,,,,20.0,20.0
41,3.80234956741333,768,1763260030.7204096,8.181482553482056e-05,0.12772494554519653,-1.852959394454956e-05,0.0,-0.00215085968375206,0.6904809474945068,0.0002996159892063588,947.0,3.801006317138672,,
47,3.9340333938598633,902,1763260030.8520935,,,,,,,,,,9.0,9.0
64,4.234154462814331,1235,1763260031.1522145,,,,,,,,,,18.0,18.0
74,4.5154969692230225,1479,1763260031.433557,,,,,,,,,,17.0,17.0
77,4.612576246261597,1536,1763260031.5306363,0.001230590045452118,-0.2265160083770752,0.005070243030786514,0.0,-0.00509992241859436,0.6758629083633423,0.00029915515915490687,947.0,3.888864517211914,,
88,4.78568172454834,1769,1763260031.7037418,,,,,,,,,,13.0,13.0
102,5.052518606185913,2039,1763260031.9705787,,,,,,,,,,13.0,13.0
104,5.132659912109375,2057,1763260032.05072,,,,,,,,,,18.0,18.0
133,5.700891971588135,2632,1763260032.618952,,,,,,,,,,17.0,17.0
147,6.046460390090942,2944,1763260032.9645205,0.001194234937429428,0.1414947509765625,0.0028721000999212265,0.0,0.004985997453331947,0.5882686972618103,0.00029831030406057835,963.0,3.243079423904419,,
149,6.06524133682251,2986,1763260032.9833014,,,,,,,,,,22.0,22.0
150,6.073474884033203,3006,1763260032.991535,,,,,,,,,,20.0,20.0
155,6.199044466018677,3141,1763260033.1171045,,,,,,,,,,60.0,60.0
157,6.307966232299805,3245,1763260033.2260263,,,,,,,,,,104.0,104.0
172,6.6238768100738525,3583,1763260033.5419369,,,,,,,,,,17.0,17.0
195,7.4215757846832275,4352,1763260034.3396358,0.0006438503041863441,0.3633798360824585,0.011684027500450611,0.0,-0.004301402717828751,0.5507656335830688,0.0002974654489662498,982.0,3.6633729934692383,,
203,7.803321361541748,4736,1763260034.7213814,0.0036316029727458954,0.27875375747680664,-0.006136791780591011,0.001953125,-0.010308071970939636,0.5910198092460632,0.00029723503394052386,984.0,5.68556547164917,,
213,8.279719114303589,5277,1763260035.1977792,,,,,,,,,,66.0,66.0
