_step,_runtime,global_step,_timestamp,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss,charts/episodic_length,charts/episodic_return
0,4.881348371505737,0,1763260016.5218053,,,,,,,,,,,
7,5.778116703033447,128,1763260017.4185736,6.935372948646545e-05,0.2003568410873413,0.002330359071493149,0.0,-0.0035562515258789062,0.6930608749389648,0.0003000000142492354,993.0,1.6627994775772095,,
33,6.291786193847656,640,1763260017.932243,0.001264035701751709,0.12007582187652588,-0.012436700984835625,0.0,-0.0031974539160728455,0.6884769201278687,0.0002996927942149341,996.0,1.473502278327942,,
41,6.347940444946289,760,1763260017.9883974,,,,,,,,,,17.0,17.0
47,6.473949432373047,893,1763260018.1144063,,,,,,,,,,24.0,24.0
64,6.907850027084351,1280,1763260018.548307,0.000860951840877533,0.21903228759765625,0.003453092649579048,0.0,-0.003018587827682495,0.641177773475647,0.0002993087691720575,1017.0,1.3138651847839355,,
74,7.156155347824097,1536,1763260018.7966123,0.000835479237139225,0.18011021614074707,-0.010633637197315693,0.0,0.0003470107913017273,0.6617435216903687,0.00029915515915490687,1019.0,1.299260139465332,,
77,7.300454139709473,1664,1763260018.940911,0.0019490821287035942,0.5162546634674072,0.006689473055303097,0.0,-0.029995741322636604,0.6455946564674377,0.00029907835414633155,1007.0,1.4390534162521362,,
133,8.331273555755615,2696,1763260019.9717305,,,,,,,,,,21.0,21.0
147,8.579031705856323,2948,1763260020.2194886,,,,,,,,,,20.0,20.0
149,8.598489761352539,2991,1763260020.2389467,,,,,,,,,,31.0,31.0
150,8.60743522644043,3012,1763260020.2478921,,,,,,,,,,21.0,21.0
155,8.704187393188477,3075,1763260020.3446443,,,,,,,,,,13.0,13.0
157,8.71846055984497,3105,1763260020.3589175,,,,,,,,,,14.0,14.0
195,9.256279230117798,3679,1763260020.8967361,,,,,,,,,,30.0,30.0
203,9.415318012237549,3796,1763260021.055775,,,,,,,,,,19.0,19.0
213,9.55331039428711,3955,1763260021.1937673,,,,,,,,,,24.0,24.0
228,9.885030269622803,4246,1763260021.5254872,,,,,,,,,,32.0,32.0
233,10.002095699310303,4369,1763260021.6425526,,,,,,,,,,33.0,33.0
251,10.442775964736938,4841,1763260022.0832329,,,,,,,,,,22.0,22.0
259,10.677198648452759,5098,1763260022.3176556,,,,,,,,,,34.0,34.0
273,11.217985153198242,5632,1763260022.858442,0.011498695239424706,0.9940950274467468,0.042636334896087646,0.044921875,-0.04304913431406021,0.5527461767196655,0.0002966973988804966,1011.0,0.6981529593467712,,
274,11.328698635101318,5760,1763260022.9691556,0.015977129340171814,0.8105984330177307,0.007139292545616627,0.060546875,-0.1047394722700119,0.5555888414382935,0.0002966205938719213,1014.0,1.1086044311523438,,
292,12.208603620529175,6657,1763260023.8490605,,,,,,,,,,44.0,44.0
327,13.787026405334473,8423,1763260025.4274833,,,,,,,,,,102.0,102.0
330,13.893540859222412,8524,1763260025.5339978,,,,,,,,,,37.0,37.0
340,14.323380470275879,8963,1763260025.9638374,,,,,,,,,,53.0,53.0
