losses/value_loss,_runtime,losses/explained_variance,_step,losses/entropy,_timestamp,losses/approx_kl,charts/learning_rate,charts/SPS,charts/episodic_length,charts/episodic_return,losses/policy_loss,global_step,losses/old_approx_kl,losses/clipfrac
,6.067888021469116,,0,,1763260017.912481,,,,,,,0,,
,7.049265623092651,,7,,1763260018.8938587,,,,17.0,17.0,,148,,
,7.610872507095337,,33,,1763260019.4554656,,,,45.0,45.0,,707,,
,7.7633280754089355,,41,,1763260019.6079211,,,,21.0,21.0,,885,,
,7.883674144744873,,47,,1763260019.7282672,,,,16.0,16.0,,984,,
1.5731849670410156,8.242473125457764,-0.06707847118377686,64,0.6730744242668152,1763260020.0870662,0.005133823491632938,0.0002993087691720575,959.0,,,-0.01452597975730896,1280,-0.015134315937757492,0.0
,8.434926271438599,,74,,1763260020.2795193,,,,23.0,23.0,,1458,,
,8.455510139465332,,77,,1763260020.3001032,,,,12.0,12.0,,1497,,
,9.289759874343872,,133,,1763260021.134353,,,,20.0,20.0,,2293,,
,9.57541298866272,,147,,1763260021.420006,,,,19.0,19.0,,2480,,
,9.59089708328247,,149,,1763260021.4354901,,,,13.0,13.0,,2512,,
,9.599497556686401,,150,,1763260021.4440906,,,,20.0,20.0,,2532,,
,9.70434308052063,,155,,1763260021.5489361,,,,21.0,21.0,,2592,,
,9.71919298171997,,157,,1763260021.563786,,,,12.0,12.0,,2620,,
,10.24916934967041,,195,,1763260022.0937624,,,,13.0,13.0,,3093,,
,10.376006841659546,,203,,1763260022.2206,,,,22.0,22.0,,3208,,
,10.524142265319824,,213,,1763260022.3687353,,,,16.0,16.0,,3357,,
1.717604637145996,10.819846153259277,0.33908092975616455,228,0.5659887194633484,1763260022.6644392,0.0011398149654269218,0.00029792627901770175,916.0,,,0.004897128790616989,3584,0.0109300771728158,0.0
,10.86158299446106,,233,,1763260022.706176,,,,13.0,13.0,,3669,,
,11.140005826950073,,251,,1763260022.9845989,,,,20.0,20.0,,3943,,
,11.279178142547607,,259,,1763260023.1237712,,,,22.0,22.0,,4091,,
,11.615382432937622,,273,,1763260023.4599755,,,,22.0,22.0,,4358,,
,11.62563967704773,,274,,1763260023.4702327,,,,21.0,21.0,,4379,,
1.3678019046783447,12.039191722869873,0.5780161619186401,292,0.5782890915870667,1763260023.8837848,0.008652377873659134,0.00029723503394052386,923.0,,,-0.042369745671749115,4736,0.04511232674121857,0.021484375
0.8950949311256409,13.23194670677185,0.7159030437469482,327,0.5041128396987915,1763260025.0765398,0.002510610967874527,0.000296543788863346,931.0,,,-0.018655072897672653,5888,0.01723644696176052,0.0
0.9411666989326477,13.352997779846191,0.7949596643447876,330,0.5402733087539673,1763260025.1975908,0.001610172912478447,0.00029646698385477066,933.0,,,0.004655096679925919,6016,-0.00015616603195667267,0.0
,13.764894723892212,,340,,1763260025.6094878,,,,84.0,84.0,,6527,,
,15.130375385284424,,370,,1763260026.9749684,,,,40.0,40.0,,7887,,
7.449735164642334,16.699442863464355,-0.04596662521362305,396,0.4998939633369446,1763260028.544036,3.34298238158226e-05,0.0002947004686575383,915.0,,,-0.0002765841782093048,8960,0.0015159929171204567,0.0
4.355406284332275,18.27432346343994,-0.011150836944580078,425,0.4794405400753021,1763260030.1189165,0.0010077236220240593,0.0002940092235803604,889.0,,,-0.019604314118623734,10112,0.01185304019600153,0.0
,18.947590589523315,,441,,1763260030.7921836,,,,75.0,75.0,,10871,,
,19.468034982681274,,450,,1763260031.312628,,,,117.0,117.0,,11328,,
,20.503620147705078,,471,,1763260032.3482132,,,,71.0,71.0,,12398,,
,21.393978357315063,,490,,1763260033.2385714,,,,55.0,55.0,,13259,,
,22.00775408744812,,504,,1763260033.8523471,,,,59.0,59.0,,13875,,
,22.54889225959778,,515,,1763260034.3934853,,,,39.0,39.0,,14395,,
0.5308262705802917,23.14505958557129,0.9000697135925293,530,0.5088456273078918,1763260034.9896526,0.0006800219416618347,0.00029109063325449824,922.0,,,0.009193383157253265,14976,-0.01033209078013897,0.0
1.2973058223724365,24.299472332000732,0.9753425717353821,555,0.45174700021743774,1763260036.1440654,0.001479349099099636,0.00029039938817732036,927.0,,,-0.008568480610847473,16128,-0.0038357721641659737,0.0
15.186975479125977,24.423536777496338,0.7960732579231262,559,0.5400429964065552,1763260036.2681298,0.007020813412964344,0.00029032258316874504,928.0,,,-0.0034123770892620087,16256,0.009199774824082851,0.017578125
,24.757323265075684,,568,,1763260036.6019163,,,,65.0,65.0,,16584,,
,25.89823341369629,,595,,1763260037.7428265,,,,67.0,67.0,,17687,,
,26.55680274963379,,614,,1763260038.4013958,,,,51.0,51.0,,18425,,
,27.214740991592407,,630,,1763260039.059334,,,,78.0,78.0,,18980,,
,27.610077619552612,,640,,1763260039.4546707,,,,93.0,93.0,,19443,,
,29.328022480010986,,684,,1763260041.1726155,,,,67.0,67.0,,21081,,
1.4778759479522705,29.537325382232666,0.9668582081794739,689,0.44738709926605225,1763260041.3819184,0.0008599739521741867,0.00028732718783430755,938.0,,,0.0025939829647541046,21248,0.006505075842142105,0.0
,30.118032932281494,,707,,1763260041.962626,,,,35.0,35.0,,21794,,
,30.877431631088257,,729,,1763260042.7220247,,,,57.0,57.0,,22615,,
,32.32472491264343,,767,,1763260044.169318,,,,99.0,99.0,,23997,,
,32.6675341129303,,775,,1763260044.5121272,,,,73.0,73.0,,24336,,
0.6298282146453857,33.35345005989075,0.994982898235321,788,0.4785650372505188,1763260045.198043,0.00020398199558258057,0.00028509984258562326,943.0,,,0.004546847194433212,24960,-0.0017812736332416534,0.0
,34.117302894592285,,806,,1763260045.961896,,,,100.0,100.0,,25829,,
0.2691514790058136,37.432159185409546,0.9950645565986633,863,0.4346979260444641,1763260049.2767522,0.00029438454657793045,0.0002825652773026377,956.0,,,-0.0032254718244075775,29184,0.006364923901855946,0.0
,37.95429444313049,,872,,1763260049.7988875,,,,88.0,88.0,,29820,,
3.68550443649292,41.32805871963501,-0.00804436206817627,922,0.5127412676811218,1763260053.1726518,0.0008315527811646461,0.00028010751702822745,966.0,,,-0.008693810552358627,33280,0.0017749769613146782,0.0
0.8416014909744263,41.99217987060547,-0.005067229270935059,930,0.5367313027381897,1763260053.836773,0.0034398511052131653,0.00027972349198535085,966.0,,,0.011092793196439743,33920,-0.013837810605764389,0.017578125
0.26674601435661316,42.76606488227844,-0.00202023983001709,941,0.5143809914588928,1763260054.610658,0.0013329880312085152,0.0002792626619338989,967.0,,,-0.01227763295173645,34688,-0.011010133661329746,0.001953125
,42.78349685668945,,942,,1763260054.62809,,,,143.0,143.0,,34727,,
0.20394396781921387,43.264978647232056,0.004181087017059326,948,0.5538948178291321,1763260055.1095717,0.00020945444703102112,0.00027895544189959764,968.0,,,-0.001886637881398201,35200,0.0002087187021970749,0.0
,45.21443271636963,,974,,1763260057.0590258,,,,170.0,170.0,,37002,,
,45.63488698005676,,980,,1763260057.47948,,,,187.0,187.0,,37429,,
0.2920568585395813,46.03317975997925,-0.0008584260940551758,985,0.5838449597358704,1763260057.8777728,9.407289326190948e-05,0.00027741934172809124,965.0,,,-0.0020071081817150116,37760,0.0008449871093034744,0.0
,47.930726766586304,,1015,,1763260059.7753198,,,,179.0,179.0,,39660,,
0.1953333467245102,49.0184109210968,0.1905573606491089,1031,0.6060982942581177,1763260060.863004,0.0005358131602406502,0.00027565285563468933,966.0,,,0.009187092073261738,40704,0.0014919331297278404,0.0
,50.220531702041626,,1050,,1763260062.0651248,,,,161.0,161.0,,41909,,
0.21483880281448364,50.43422222137451,-0.00018203258514404297,1053,0.6173149943351746,1763260062.2788153,0.0015624305233359337,0.0002748080005403608,967.0,,,0.005313658621162176,42112,0.002714728005230427,0.0
,50.68643665313721,,1058,,1763260062.5310297,,,,96.0,96.0,,42394,,
,52.468064069747925,,1083,,1763260064.312657,,,,264.0,264.0,,44258,,
0.1384068876504898,53.14609146118164,-0.002757549285888672,1091,0.6119523048400879,1763260064.9906845,0.0018559442833065987,0.00027311829035170376,971.0,,,0.008899714797735214,44928,-0.015432680957019329,0.0
65.1051025390625,54.14518404006958,-0.0004699230194091797,1106,0.5178301334381104,1763260065.989777,0.005507353693246841,0.0002725038502831012,972.0,,,-0.00010747462511062622,45952,0.008909927681088448,0.021484375
4.709773063659668,55.023727893829346,-0.0002903938293457031,1118,0.5718737840652466,1763260066.868321,0.01322249136865139,0.00027196621522307396,973.0,,,-0.0474264919757843,46848,0.030933137983083725,0.03515625
0.16714106500148773,56.01263189315796,-0.0014739036560058594,1133,0.5329095125198364,1763260067.857225,0.00019817892462015152,0.0002713517751544714,974.0,,,-0.0019106902182102203,47872,-0.0001238277181982994,0.0
20.21027946472168,56.658270597457886,-0.0009701251983642578,1145,0.544074296951294,1763260068.5028636,0.007807421498000622,0.0002709677501115948,975.0,,,-0.0350562147796154,48512,0.04274579882621765,0.03515625
0.34603366255760193,57.89272356033325,-0.00019752979278564453,1164,0.5391329526901245,1763260069.7373166,0.005198515951633453,0.0002701997000258416,976.0,,,-0.029889415949583054,49792,0.0033959103748202324,0.00390625
81.61678314208984,58.37059020996094,-0.0002764463424682617,1172,0.561922013759613,1763260070.2151833,0.005968412384390831,0.0002698924799915403,977.0,,,0.014707991853356361,50304,0.009046871215105057,0.021484375
,58.91643238067627,,1181,,1763260070.7610254,,,,24.0,24.0,,50889,,
,59.1618754863739,,1186,,1763260071.0064685,,,,114.0,114.0,,51163,,
82.03462219238281,60.785520792007446,-0.00028777122497558594,1213,0.4705173969268799,1763260072.6301138,0.0009330157190561295,0.00026843318482860923,978.0,,,0.0012822244316339493,52736,0.003599276766180992,0.0
,60.906493186950684,,1215,,1763260072.7510862,,,,161.0,161.0,,52872,,
0.39340418577194214,61.8936927318573,-0.00019669532775878906,1230,0.5744766592979431,1763260073.7382858,0.005790010094642639,0.00026774193975143135,980.0,,,-0.03537778556346893,53888,0.02769327536225319,0.01171875
69.64893341064453,62.13532042503357,-0.00012612342834472656,1234,0.5239043235778809,1763260073.9799135,0.00012733135372400284,0.0002675883297342807,980.0,,,-0.0016670748591423035,54144,0.0012167943641543388,0.0
,62.81960678100586,,1245,,1763260074.6641998,,,,27.0,27.0,,54865,,
,64.39715075492859,,1271,,1763260076.2417438,,,,22.0,22.0,,56498,,
1.0668903589248657,66.25253391265869,-0.0001016855239868164,1299,0.502643346786499,1763260078.097127,0.0026309899985790253,0.00026505376445129514,983.0,,,0.003591887652873993,58368,-0.0017024409025907516,0.0
