losses/old_approx_kl,global_step,losses/approx_kl,charts/episodic_length,losses/value_loss,_step,losses/policy_loss,losses/clipfrac,losses/explained_variance,_runtime,charts/learning_rate,charts/SPS,losses/entropy,_timestamp,charts/episodic_return
,0,,,,0,,,,5.334233045578003,,,,1763260017.051953,
0.0014228001236915588,128,0.0008702371269464493,29.0,1.603121280670166,7,-0.010509965941309929,0.0,0.16076773405075073,6.242051362991333,0.0003000000142492354,993.0,0.6923734545707703,1763260017.9597714,29.0
,642,,49.0,,33,,,,6.7507524490356445,,,,1763260018.4684725,49.0
,835,,21.0,,41,,,,6.898137092590332,,,,1763260018.6158571,21.0
,947,,11.0,,47,,,,7.018293619155884,,,,1763260018.7360137,11.0
,1305,,25.0,,64,,,,7.377165079116821,,,,1763260019.094885,25.0
,1516,,20.0,,74,,,,7.533510446548462,,,,1763260019.2512305,20.0
,1554,,19.0,,77,,,,7.639033794403076,,,,1763260019.3567538,19.0
0.010488685220479965,1792,0.0019039809703826904,,1.3287378549575806,88,-0.03382706642150879,0.0,0.11195659637451172,7.889207363128662,0.00029900154913775623,1008.0,0.6409474015235901,1763260019.6069274,
,2138,,60.0,,102,,,,8.166482925415039,,,,1763260019.884203,60.0
,2174,,19.0,,104,,,,8.181979894638062,,,,1763260019.8997,19.0
,3003,,60.0,,133,,,,9.018697738647461,,,,1763260020.7364178,60.0
,3332,,40.0,,147,,,,9.357778310775757,,,,1763260021.0754983,40.0
,3410,,37.0,,149,,,,9.389450788497925,,,,1763260021.1071708,37.0
,3452,,42.0,,150,,,,9.404282569885254,,,,1763260021.1220026,42.0
,3627,,69.0,,155,,,,9.60577130317688,,,,1763260021.3234913,69.0
0.006768469698727131,3712,0.0031265346333384514,,1.0790503025054932,157,-0.004848856013268232,0.0,0.7903642654418945,9.702974319458008,0.0002978494740091264,1034.0,0.5611673593521118,1763260021.4206944,
0.007512562908232212,4352,0.00030275527387857437,,1.0941240787506104,172,-0.0029018837958574295,0.0,0.6141650676727295,10.309850692749023,0.0002974654489662498,1037.0,0.6194413900375366,1763260022.0275707,
-0.0061780307441949844,5504,0.00039803609251976013,,0.8842512369155884,195,0.002068454399704933,0.0,0.9689368605613708,11.363484382629395,0.00029677420388907194,1048.0,0.5383949279785156,1763260023.0812044,
,5860,,52.0,,203,,,,11.639062404632568,,,,1763260023.3567824,52.0
-0.0018940549343824387,6272,0.00029709935188293457,,3.638550281524658,213,-0.00041942298412323,0.0,0.8923319578170776,12.084628582000732,0.00029631337383762,1050.0,0.4879668354988098,1763260023.8023486,
,6482,,65.0,,217,,,,12.22892951965332,,,,1763260023.9466496,65.0
,6973,,93.0,,228,,,,12.681785106658936,,,,1763260024.3995051,93.0
,7238,,80.0,,233,,,,12.931991577148438,,,,1763260024.6497116,80.0
,8026,,62.0,,251,,,,13.630696773529053,,,,1763260025.3484168,62.0
,8344,,49.0,,259,,,,14.029072999954224,,,,1763260025.746793,49.0
,8619,,62.0,,265,,,,14.265456914901733,,,,1763260025.983177,62.0
,8891,,43.0,,273,,,,14.506640911102295,,,,1763260026.224361,43.0
,8937,,46.0,,274,,,,14.523714780807495,,,,1763260026.2414348,46.0
,9527,,52.0,,292,,,,15.119438648223877,,,,1763260026.8371587,52.0
,10859,,62.0,,327,,,,16.90381622314453,,,,1763260028.6215363,62.0
,10968,,61.0,,330,,,,17.029732942581177,,,,1763260028.747453,61.0
,11019,,51.0,,332,,,,17.153823614120483,,,,1763260028.8715436,51.0
0.00017879623919725418,11264,9.550061076879501e-05,,0.7371902465820312,337,0.0020630639046430588,0.0,0.9750441312789917,17.385472774505615,0.00029331797850318253,999.0,0.4052995443344116,1763260029.1031928,
0.0024038050323724747,11392,0.00016541965305805206,,2.5845491886138916,340,-0.00022962037473917007,0.0,0.9688931107521057,17.499533653259277,0.0002932411734946072,1000.0,0.44504067301750183,1763260029.2172537,
0.0012644557282328606,12544,0.00018715579062700272,,0.6703888773918152,370,-0.0023392625153064728,0.0,0.9520387649536133,18.616768836975098,0.00029254992841742933,1003.0,0.431125670671463,1763260030.3344889,
,13455,,59.0,,396,,,,19.512017726898193,,,,1763260031.2297378,59.0
-0.0002478715032339096,14464,0.0005917008966207504,,1.1492701768875122,425,-0.0012789145112037659,0.0,0.9773099422454834,20.554290771484375,0.0002913978532887995,1001.0,0.4571382999420166,1763260032.2720108,
,15056,,58.0,,441,,,,21.051783561706543,,,,1763260032.7695036,58.0
,15377,,53.0,,450,,,,21.424426555633545,,,,1763260033.1421466,53.0
0.00807040836662054,16128,0.0010033836588263512,,0.5937409400939941,471,-0.0002857036888599396,0.0,0.9883566498756409,22.13292956352234,0.00029039938817732036,1006.0,0.3998545706272125,1763260033.8506496,
-0.003691107966005802,16512,0.00027712713927030563,,0.47277066111564636,481,0.0056642889976501465,0.0,0.993281364440918,22.54262900352478,0.0002901689731515944,1005.0,0.44381844997406006,1763260034.260349,
,16785,,56.0,,490,,,,22.790221691131592,,,,1763260034.5079417,56.0
,17389,,59.0,,504,,,,23.28550100326538,,,,1763260035.003221,59.0
,17889,,85.0,,515,,,,23.80494475364685,,,,1763260035.5226648,85.0
0.004701754078269005,18688,0.00015777908265590668,,0.4204583764076233,530,0.0015198015607893467,0.0,0.9943208694458008,24.568137645721436,0.00028886328800581396,1012.0,0.416540265083313,1763260036.2858577,
,19128,,66.0,,539,,,,24.981969833374023,,,,1763260036.6996899,66.0
,19544,,138.0,,547,,,,25.337960720062256,,,,1763260037.0556808,138.0
,19913,,113.0,,555,,,,25.7233304977417,,,,1763260037.4410505,113.0
