_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,4.919949293136597,0,1763260016.6055143,,,,,,,,,,,
7,5.752169609069824,108,1763260017.4377346,13.0,13.0,,,,,,,,,
33,6.367718696594238,716,1763260018.0532837,30.0,30.0,,,,,,,,,
41,6.580495119094849,896,1763260018.26606,,,0.0003915540874004364,0.1656196117401123,-0.0038635842502117157,0.0,0.0028788335621356964,0.6911513805389404,0.00029953918419778347,1020.0,1.4159079790115356
47,6.63214898109436,1011,1763260018.317714,18.0,18.0,,,,,,,,,
64,7.005522727966309,1405,1763260018.6910877,15.0,15.0,,,,,,,,,
74,7.223632335662842,1543,1763260018.9091973,19.0,19.0,,,,,,,,,
77,7.2837371826171875,1644,1763260018.9693022,14.0,14.0,,,,,,,,,
88,7.491672515869141,1797,1763260019.1772375,32.0,32.0,,,,,,,,,
102,7.657456636428833,2009,1763260019.3430216,15.0,15.0,,,,,,,,,
104,7.671423435211182,2039,1763260019.3569884,12.0,12.0,,,,,,,,,
133,8.132500171661377,2432,1763260019.8180652,,,0.0006014406681060791,0.16960161924362183,-0.0038233771920204163,0.0,-0.0049756839871406555,0.627731204032898,0.00029861752409487963,1000.0,1.0088235139846802
147,8.3443763256073,2660,1763260020.0299413,16.0,16.0,,,,,,,,,
149,8.423675298690796,2688,1763260020.1092403,,,0.003585013560950756,0.2297026515007019,0.0033726533874869347,0.0,-0.020207293331623077,0.6368273496627808,0.000298463914077729,987.0,1.312662959098816
150,8.432126998901367,2705,1763260020.117692,32.0,32.0,,,,,,,,,
155,8.547008752822876,2816,1763260020.2325737,35.0,35.0,0.005197230726480484,0.2212347388267517,0.01794920675456524,0.001953125,-0.016137562692165375,0.6361227631568909,0.00029838710906915367,990.0,1.4830832481384277
157,8.561365842819214,2847,1763260020.2469308,15.0,15.0,,,,,,,,,
195,9.210462093353271,3546,1763260020.896027,32.0,32.0,,,,,,,,,
203,9.34081482887268,3680,1763260021.0263798,22.0,22.0,,,,,,,,,
213,9.68795132637024,3968,1763260021.3735163,,,0.0008161561563611031,0.3804272413253784,-0.004780757240951061,0.0,0.00418323278427124,0.5596643090248108,0.0002976958639919758,995.0,2.844326972961426
217,9.807106971740723,4096,1763260021.492672,,,0.0005826018750667572,0.5167229175567627,-0.0070668235421180725,0.0,-0.007019408047199249,0.5791624188423157,0.00029761905898340046,998.0,1.611229658126831
228,10.157993078231812,4480,1763260021.843558,,,0.003640325739979744,0.5996619462966919,-0.015085889026522636,0.015625,-0.03079584240913391,0.6109182834625244,0.0002973886439576745,1005.0,1.076418399810791
233,10.29443645477295,4662,1763260021.9800014,53.0,53.0,,,,,,,,,
251,11.111430644989014,5525,1763260022.7969956,121.0,121.0,,,,,,,,,
259,11.46880316734314,5922,1763260023.1543682,48.0,48.0,,,,,,,,,
265,11.710565328598022,6185,1763260023.3961303,59.0,59.0,,,,,,,,,
273,12.049113273620605,6549,1763260023.7346783,66.0,66.0,,,,,,,,,
274,12.091858625411987,6598,1763260023.7774236,49.0,49.0,,,,,,,,,
292,12.717227220535278,7219,1763260024.4027922,32.0,32.0,,,,,,,,,
327,13.9917893409729,8576,1763260025.6773543,,,1.5640631318092346e-05,-0.00963890552520752,0.000789271667599678,0.0,0.0014690794050693512,0.519119143486023,0.00029493088368326426,1034.0,2.0300991535186768
330,14.030909061431885,8675,1763260025.716474,32.0,32.0,,,,,,,,,
332,14.110440015792847,8704,1763260025.796005,,,0.0002811858430504799,-0.020231008529663086,0.0037543298676609993,0.0,-0.013178886845707893,0.4295230209827423,0.00029485407867468894,1035.0,2.4490890502929688
337,14.256970167160034,8903,1763260025.9425352,41.0,41.0,,,,,,,,,
340,14.364292860031128,9006,1763260026.0498579,59.0,59.0,,,,,,,,,
370,16.095127820968628,10257,1763260027.7806928,50.0,50.0,,,,,,,,,
396,17.188370943069458,11264,1763260028.873936,,,0.0002996418625116348,0.801781177520752,0.0007488168776035309,0.0,0.0070082321763038635,0.5134249925613403,0.00029331797850318253,980.0,1.4846765995025635
425,18.468306064605713,12544,1763260030.153871,,,0.0001896452158689499,0.8976461887359619,-0.0001525580883026123,0.0,-0.0001184660941362381,0.43202564120292664,0.00029254992841742933,982.0,2.577772617340088
441,19.250029802322388,13416,1763260030.9355948,109.0,109.0,,,,,,,,,
450,19.672394514083862,13824,1763260031.3579595,,,1.2294389307498932e-05,0.7297297120094299,0.00043356698006391525,0.0,0.00024250522255897522,0.522224485874176,0.0002917818783316761,989.0,1.0817415714263916
471,20.534063577651978,14720,1763260032.2196286,,,0.003189471550285816,0.9671247005462646,0.014768808148801327,0.013671875,-0.015286467969417572,0.4405509829521179,0.0002912442432716489,992.0,0.4447731375694275
481,20.909289121627808,15173,1763260032.594854,53.0,53.0,,,,,,,,,
490,21.306065559387207,15520,1763260032.9916306,57.0,57.0,,,,,,,,,
504,21.78589177131653,16077,1763260033.4714568,64.0,64.0,,,,,,,,,
515,22.279128313064575,16512,1763260033.9646933,,,7.111486047506332e-05,0.8961893916130066,-8.392427116632462e-05,0.0,-0.0017272308468818665,0.35323238372802734,0.0002901689731515944,996.0,0.7809797525405884
530,22.775920391082764,17099,1763260034.4614854,55.0,55.0,,,,,,,,,
539,23.128325939178467,17501,1763260034.813891,51.0,51.0,,,,,,,,,
547,23.49925923347473,17795,1763260035.1848242,53.0,53.0,,,,,,,,,
555,23.73358130455017,18053,1763260035.4191463,37.0,37.0,,,,,,,,,
559,23.855966567993164,18194,1763260035.5415316,46.0,46.0,,,,,,,,,
568,24.133161544799805,18558,1763260035.8187265,48.0,48.0,,,,,,,,,
595,25.023743152618408,19442,1763260036.7093081,59.0,59.0,,,,,,,,,
614,25.660367488861084,20022,1763260037.3459325,42.0,42.0,,,,,,,,,
630,26.124057054519653,20523,1763260037.809622,42.0,42.0,,,,,,,,,
636,26.265624523162842,20716,1763260037.9511895,41.0,41.0,,,,,,,,,
640,26.38191246986389,20841,1763260038.0674775,55.0,55.0,,,,,,,,,
664,27.125945568084717,21504,1763260038.8115106,,,0.0006627319380640984,0.9860237240791321,-0.004135702736675739,0.0,-0.005427513271570206,0.42822855710983276,0.0002871735778171569,1003.0,1.0659632682800293
684,27.695957899093628,22068,1763260039.381523,31.0,31.0,,,,,,,,,
689,27.821216106414795,22217,1763260039.506781,45.0,45.0,,,,,,,,,
698,28.04966711997986,22441,1763260039.735232,44.0,44.0,,,,,,,,,
707,28.284519910812378,22676,1763260039.970085,39.0,39.0,,,,,,,,,
729,28.971253395080566,23353,1763260040.6568184,34.0,34.0,,,,,,,,,
767,30.342742443084717,24806,1763260042.0283074,65.0,65.0,,,,,,,,,
775,30.594501972198486,25081,1763260042.280067,47.0,47.0,,,,,,,,,
788,31.19517183303833,25647,1763260042.8807368,67.0,67.0,,,,,,,,,
797,31.62898063659668,26112,1763260043.3145456,,,0.0016676224768161774,0.9946596622467041,0.013311116024851799,0.0,-0.01227489486336708,0.4054383635520935,0.0002844085975084454,1007.0,0.6569480299949646
806,32.1176073551178,26624,1763260043.8031723,,,0.0023433249443769455,0.9965031743049622,0.019335763528943062,0.0,-0.00314544141292572,0.3602299690246582,0.0002841013774741441,1007.0,0.3416929841041565
863,35.40990948677063,30208,1763260047.0954745,,,0.008622112683951855,-0.007858872413635254,0.01299052219837904,0.052734375,-0.016868293285369873,0.49433398246765137,0.00028195083723403513,1016.0,0.33774465322494507
872,35.89077854156494,30817,1763260047.5763435,128.0,128.0,,,,,,,,,
876,36.142465353012085,31038,1763260047.8280303,113.0,113.0,,,,,,,,,
922,38.89915442466736,34128,1763260050.5847194,157.0,157.0,,,,,,,,,
930,39.38396215438843,34637,1763260051.0695271,15.0,15.0,,,,,,,,,
938,39.84378361701965,35189,1763260051.5293486,137.0,137.0,,,,,,,,,
941,40.02817630767822,35328,1763260051.7137413,,,0.0004975926131010056,0.5043256282806396,-0.0042460765689611435,0.0,-0.0014031380414962769,0.5859348177909851,0.0002788786368910223,1029.0,0.11069750785827637
942,40.05951189994812,35416,1763260051.745077,103.0,103.0,,,,,,,,,
948,40.39969301223755,35712,1763260052.085258,,,0.003354467451572418,0.15425264835357666,-0.013441517017781734,0.0,-0.001759026199579239,0.5681175589561462,0.00027864822186529636,1029.0,0.34438303112983704
974,42.20599889755249,37671,1763260053.891564,284.0,284.0,,,,,,,,,
980,42.67765498161316,38144,1763260054.36322,,,0.05064058303833008,0.7210234999656677,-0.03374290093779564,0.201171875,-0.09115252643823624,0.5482898950576782,0.0002771889267023653,1031.0,0.12246465682983398
985,43.00838041305542,38528,1763260054.6939454,,,0.0073653655126690865,0.7981876134872437,0.0022317562252283096,0.017578125,-0.06076953560113907,0.5439363121986389,0.0002769585116766393,1032.0,0.16285723447799683
995,43.631898403167725,39168,1763260055.3174634,,,0.0016316985711455345,0.1127861738204956,-0.010640003718435764,0.0,-0.002147778868675232,0.5779029726982117,0.0002765744866337627,1032.0,0.17103862762451172
1015,45.03263020515442,40678,1763260056.7181952,21.0,21.0,,,,,,,,,
1031,46.55680823326111,42240,1763260058.2423732,,,0.0050780288875103,0.31081700325012207,0.010074188932776451,0.03125,0.01378745585680008,0.4937906861305237,0.0002747311955317855,1033.0,0.08114293217658997
1050,48.22267723083496,44032,1763260059.9082422,,,0.00440420676022768,0.004204392433166504,0.008588466793298721,0.01171875,-0.04323861747980118,0.49585461616516113,0.000273655925411731,1035.0,0.06678235530853271
