_step,_runtime,global_step,_timestamp,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss,charts/episodic_length,charts/episodic_return
0,5.33883810043335,0,1763260017.106379,,,,,,,,,,,
7,6.261672019958496,128,1763260018.029213,3.100000321865082e-05,0.30342358350753784,0.00026115402579307556,0.0,-0.001988779753446579,0.6931212544441223,0.0003000000142492354,990.0,1.5596650838851929,,
33,6.7077131271362305,635,1763260018.475254,,,,,,,,,,8.0,8.0
41,6.915495157241821,788,1763260018.683036,,,,,,,,,,28.0,28.0
47,7.048208236694336,937,1763260018.8157492,,,,,,,,,,12.0,12.0
64,7.335460186004639,1266,1763260019.103001,,,,,,,,,,21.0,21.0
74,7.565936326980591,1481,1763260019.3334773,,,,,,,,,,32.0,32.0
77,7.589627981185913,1524,1763260019.357169,,,,,,,,,,17.0,17.0
88,7.854646921157837,1730,1763260019.6221879,,,,,,,,,,38.0,38.0
102,8.124438047409058,2047,1763260019.891979,,,,,,,,,,29.0,29.0
104,8.204680442810059,2066,1763260019.9722214,,,,,,,,,,19.0,19.0
133,8.627763986587524,2544,1763260020.395305,,,,,,,,,,19.0,19.0
147,8.901432752609253,2767,1763260020.6689737,,,,,,,,,,18.0,18.0
149,8.914594888687134,2794,1763260020.6821358,,,,,,,,,,13.0,13.0
150,8.992075681686401,2816,1763260020.7596166,0.0010630013421177864,0.013542234897613525,-0.007506602443754673,0.0,0.0008788332343101501,0.634261965751648,0.00029838710906915367,984.0,1.631595492362976,,
155,9.033640146255493,2908,1763260020.801181,,,,,,,,,,25.0,25.0
157,9.116446733474731,2944,1763260020.8839877,0.0009249076247215271,0.03382652997970581,0.005897577852010727,0.0,-0.020171239972114563,0.6187735795974731,0.00029831030406057835,986.0,1.4788426160812378,,
172,9.385862827301025,3235,1763260021.1534038,,,,,,,,,,16.0,16.0
195,9.842875719070435,3662,1763260021.6104167,,,,,,,,,,20.0,20.0
203,9.99432897567749,3823,1763260021.76187,,,,,,,,,,16.0,16.0
213,10.224275827407837,4003,1763260021.9918168,,,,,,,,,,17.0,17.0
217,10.330363988876343,4096,1763260022.097905,0.0033532576635479927,0.2213296890258789,0.013427921570837498,0.001953125,0.001089019700884819,0.5495350956916809,0.00029761905898340046,975.0,1.6011388301849365,,
228,10.586330652236938,4363,1763260022.3538716,,,,,,,,,,33.0,33.0
233,10.725199460983276,4535,1763260022.4927404,,,,,,,,,,52.0,52.0
