global_step,losses/approx_kl,losses/value_loss,charts/SPS,charts/episodic_length,charts/episodic_return,losses/explained_variance,_step,losses/policy_loss,_timestamp,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,_runtime,losses/entropy
7936,3.892742097377777e-05,0.7854148745536804,1067.0,,,0.8175994157791138,203,0.00010313838720321655,1763260024.7510376,0.0,0.00029531490872614086,0.0011530648916959763,13.036466598510742,0.39178428053855896
8712,,,,246.0,246.0,,213,,1763260025.4466643,,,,13.732093334197998,
9065,,,,173.0,173.0,,217,,1763260025.7064173,,,,13.991846323013306,
9855,,,,144.0,144.0,,228,,1763260026.4744768,,,,14.759905815124512,
10112,4.898756742477417e-05,1.1335397958755493,1039.0,,,-0.0020639896392822266,233,0.00403972901403904,1763260027.0464807,0.0,0.0002940092235803604,-0.0005005355924367905,15.331909656524658,0.3665815591812134
11166,,,,56.0,56.0,,251,,1763260028.1948202,,,,16.480249166488647,
11648,0.0011630887165665627,0.7489796876907349,1024.0,,,0.01567208766937256,259,0.024666517972946167,1763260028.6877625,0.0,0.00029308756347745657,0.009023216553032398,16.973191499710083,0.4107854962348938
12010,,,,99.0,99.0,,265,,1763260028.9555948,,,,17.241023778915405,
12355,,,,79.0,79.0,,273,,1763260029.2983866,,,,17.583815574645996,
12416,0.0007760236039757729,0.756406307220459,1024.0,,,0.08260393142700195,274,0.014205804094672203,1763260029.4363165,0.0,0.00029262673342600465,-0.006340234540402889,17.721745491027832,0.35396483540534973
13312,0.00016429834067821503,0.941170334815979,1029.0,,,0.6014988422393799,292,0.00012908689677715302,1763260030.2460673,0.0,0.0002920890983659774,0.003335796296596527,18.531496286392212,0.36218929290771484
15064,,,,82.0,82.0,,327,,1763260031.875201,,,,20.160629987716675,
15232,6.167776882648468e-05,0.5733464956283569,1032.0,,,0.5715582370758057,330,0.0040138959884643555,1763260032.0709505,0.0,0.0002909370232373476,0.0011113062500953674,20.356379508972168,0.4575158953666687
15288,,,,54.0,54.0,,332,,1763260032.0955832,,,,20.381012201309204,
15533,,,,73.0,73.0,,337,,1763260032.3209007,,,,20.606329679489136,
15639,,,,42.0,42.0,,340,,1763260032.428635,,,,20.71406388282776,
17408,0.0020215287804603577,0.552563488483429,1036.0,,,0.9517583847045898,370,0.0037810318171977997,1763260034.122198,0.001953125,0.00028963133809156716,0.023999769240617752,22.40762710571289,0.37520700693130493
19041,,,,89.0,89.0,,396,,1763260035.5646663,,,,23.85009527206421,
20907,,,,133.0,133.0,,425,,1763260037.3841739,,,,25.669602870941162,
21994,,,,124.0,124.0,,441,,1763260038.3589878,,,,26.64441680908203,
22528,0.0005118204280734062,0.19585493206977844,1042.0,,,0.998774528503418,450,-0.0078805610537529,1763260038.921654,0.0,0.00028655913774855435,0.005050634033977985,27.207082986831665,0.4537237286567688
23808,0.005412548780441284,0.15315291285514832,1043.0,,,0.9988947510719299,471,-0.02255326882004738,1763260040.1263866,0.03125,0.00028579108766280115,0.0001965165138244629,28.411815643310547,0.4781036376953125
24320,0.0025924602523446083,1.5469999313354492,1045.0,,,0.8605209589004517,481,-0.03321599215269089,1763260040.5897543,0.001953125,0.00028548386762849987,0.01863482967019081,28.87518334388733,0.41390731930732727
24808,,,,122.0,122.0,,490,,1763260040.9684596,,,,29.253888607025146,
25589,,,,108.0,108.0,,504,,1763260041.707139,,,,29.992568016052246,
26232,,,,51.0,51.0,,515,,1763260042.3152783,,,,30.600707292556763,
27136,0.005782683379948139,0.21394769847393036,1047.0,,,0.9985922574996948,530,-0.023544467985630035,1763260043.2179646,0.005859375,0.0002837941574398428,-0.0034257490187883377,31.50339365005493,0.45583388209342957
27731,,,,118.0,118.0,,539,,1763260043.699146,,,,31.984575033187866,
28150,,,,57.0,57.0,,547,,1763260044.0532198,,,,32.33864879608154,
28544,0.001825014129281044,0.16744640469551086,1050.0,,,0.9979736804962158,555,0.011627867817878723,1763260044.503651,0.0,0.0002829493023455143,-0.006819939240813255,32.789079904556274,0.4595668911933899
28800,9.085051715373993e-06,0.13379904627799988,1050.0,,,0.9990387558937073,559,-0.0002035200595855713,1763260044.7318413,0.0,0.00028279569232836366,0.0003266790881752968,33.01727032661438,0.4547766447067261
29334,,,,142.0,142.0,,568,,1763260045.193083,,,,33.47851204872131,
30928,,,,119.0,119.0,,595,,1763260046.6478515,,,,34.93328046798706,
32000,0.017752159386873245,0.0976455882191658,1054.0,,,0.9989773631095886,612,-0.02166314795613289,1763260047.671683,0.068359375,0.00028087556711398065,0.037934042513370514,35.957112073898315,0.47123730182647705
32128,0.0011016139760613441,0.12530919909477234,1054.0,,,0.9890401363372803,614,0.005409561097621918,1763260047.7844489,0.0,0.00028079876210540533,0.0034173643216490746,36.0698778629303,0.3879702091217041
33152,0.00014505535364151,0.31684646010398865,1055.0,,,0.9846686720848083,630,0.004903801716864109,1763260048.7276616,0.0,0.00028018432203680277,0.006425546482205391,37.01309061050415,0.38420477509498596
33536,0.001139097847044468,0.045086391270160675,1056.0,,,0.9994137287139893,636,0.006893731653690338,1763260049.0698757,0.0,0.0002799539070110768,0.011142806150019169,37.35530471801758,0.5002120137214661
33792,0.0139478063210845,0.06157386675477028,1056.0,,,0.9993869662284851,640,-0.01188979297876358,1763260049.2973099,0.0703125,0.00027980029699392617,0.063155397772789,37.58273887634277,0.4801206886768341
34432,0.008762110956013203,0.4922223389148712,1057.0,,,0.9657776355743408,650,-0.03016718477010727,1763260049.8915544,0.029296875,0.00027941627195104957,0.004234096966683865,38.17698335647583,0.44769367575645447
35584,0.009709099307656288,16.917970657348633,1058.0,,,-0.0014581680297851562,664,-0.030660927295684814,1763260050.9302552,0.029296875,0.0002787250268738717,0.005686357617378235,39.21568417549133,0.5020066499710083
36992,0.0003487067297101021,60.41075897216797,1057.0,,,0.22622811794281006,684,0.009701907634735107,1763260052.2935,0.0,0.00027788017177954316,-0.0032981978729367256,40.57892894744873,0.530234694480896
37333,,,,145.0,145.0,,689,,1763260052.5776074,,,,40.86303639411926,
38016,0.0005195913836359978,0.06818000227212906,1056.0,,,0.9038971066474915,698,-0.014561714604496956,1763260053.3051279,0.0,0.0002772657317109406,-0.002650878392159939,41.59055685997009,0.5369293689727783
38272,0.0020099924877285957,50.52739715576172,1056.0,,,0.49162912368774414,702,0.005758263170719147,1763260053.5374732,0.0,0.00027711212169378996,-0.0165715329349041,41.8229022026062,0.4970349967479706
38615,,,,135.0,135.0,,707,,1763260053.8312073,,,,42.11663627624512,
40006,,,,128.0,128.0,,729,,1763260055.1556003,,,,43.44102931022644,
42372,,,,178.0,178.0,,757,,1763260057.5155084,,,,45.80093741416931,
42752,0.002862827852368355,81.7398681640625,1053.0,,,0.15691542625427246,762,-0.014715569093823433,1763260057.8854377,0.0,0.0002744239754974842,0.029531333595514297,46.17086672782898,0.5524038076400757
43136,0.009327718056738377,0.15884658694267273,1053.0,,,0.2809942960739136,767,-0.019019681960344315,1763260058.2624493,0.017578125,0.00027419356047175825,-0.0005163475871086121,46.54787826538086,0.5440596342086792
43776,0.006736623123288155,5.285961151123047,1054.0,,,0.05759304761886597,775,0.022342652082443237,1763260058.8304021,0.0390625,0.00027380953542888165,0.005969026125967503,47.11583113670349,0.4861856997013092
44800,0.0018000472337007523,25.766254425048828,1055.0,,,-0.0030001401901245117,788,-0.0029021650552749634,1763260059.7799132,0.0,0.0002731950953602791,-0.01232852227985859,48.06534218788147,0.5028347969055176
45696,0.00033553503453731537,0.01399102434515953,1055.0,,,0.3715594410896301,797,0.0034956559538841248,1763260060.6022077,0.0,0.00027265746030025184,-0.0019030794501304626,48.88763666152954,0.5543361902236938
46592,0.006632301956415176,0.010351341217756271,1056.0,,,0.3559949994087219,806,-0.014978531748056412,1763260061.4181418,0.0078125,0.0002721198252402246,0.005119273439049721,49.70357084274292,0.5569945573806763
47488,0.024867981672286987,0.007220660336315632,1057.0,,,0.5500329732894897,815,-0.030170992016792297,1763260062.2376168,0.107421875,0.00027158219018019736,0.09196028858423233,50.523045778274536,0.47593754529953003
51939,,,,500.0,500.0,,863,,1763260066.2493658,,,,54.53479480743408,
52864,0.009202473796904087,0.0014671201352030039,1061.0,,,0.0007520914077758789,872,-0.02877860888838768,1763260067.1175957,0.021484375,0.0002683563798200339,-0.030017336830496788,55.403024673461914,0.5349668264389038
53120,0.0007330775260925293,28.979516983032227,1061.0,,,-0.0006697177886962891,876,-0.012908434495329857,1763260067.3829587,0.0,0.00026820276980288327,0.014647044241428375,55.66838765144348,0.4698984920978546
57227,,,,500.0,500.0,,922,,1763260071.1085408,,,,59.393969774246216,
57984,0.0057775722816586494,0.005376874003559351,1064.0,,,0.0312688946723938,930,-0.0028881896287202835,1763260071.8069315,0.046875,0.0002652841794770211,0.039233699440956116,60.092360496520996,0.4583006501197815
58652,,,,140.0,140.0,,938,,1763260072.3784282,,,,60.663857221603394,
58945,,,,293.0,293.0,,941,,1763260072.6532767,,,,60.93870568275452,
59008,0.011713895946741104,38.331485748291016,1064.0,,,-0.00012433528900146484,942,-0.020783141255378723,1763260072.7406769,0.0625,0.00026466973940841854,0.017618844285607338,61.026105880737305,0.5083221197128296
59520,0.002036270685493946,157.1560821533203,1065.0,,,-0.0003838539123535156,948,0.0038090553134679794,1763260073.189103,0.0,0.00026436251937411726,0.016079220920801163,61.47453188896179,0.4246569275856018
61824,0.0032413899898529053,7.6398468017578125,1066.0,,,0.00016248226165771484,974,-0.03704255074262619,1763260075.293039,0.009765625,0.0002629800292197615,-0.009443650022149086,63.57846808433533,0.3684444725513458
62464,0.001006612554192543,0.005554184317588806,1066.0,,,-0.024736762046813965,980,0.007622797042131424,1763260075.8821685,0.0,0.0002625960041768849,-0.00637701153755188,64.16759753227234,0.3286173641681671
62976,0.010581867769360542,0.007256774697452784,1067.0,,,0.21276450157165527,985,0.001134674996137619,1763260076.3279233,0.0625,0.0002622887841425836,0.01742933876812458,64.61335229873657,0.3959825038909912
63776,,,,334.0,334.0,,995,,1763260077.0722408,,,,65.35766983032227,
64000,0.005121138878166676,0.004269122611731291,1067.0,,,0.055178821086883545,997,-0.006122170016169548,1763260077.2818844,0.017578125,0.00026167434407398105,-0.008118798024952412,65.56731343269348,0.43985193967819214
65664,0.001957392320036888,0.006342134904116392,1067.0,,,0.49104660749435425,1015,-0.002740338444709778,1763260078.8112504,0.00390625,0.0002606758789625019,0.009120931848883629,67.09667944908142,0.4412213861942291
67328,0.003549497574567795,0.020798776298761368,1069.0,,,-3.5881996154785156e-05,1031,-0.0026089437305927277,1763260080.298184,0.02734375,0.0002596774138510227,-0.023401090875267982,68.58361291885376,0.34506723284721375
68956,,,,500.0,500.0,,1050,,1763260081.7209663,,,,70.00639533996582,
69248,0.0116201713681221,6.108398338255938e-06,1068.0,,,0.6627297401428223,1053,0.027578458189964294,1763260082.1163695,0.099609375,0.0002585253387223929,0.010337796062231064,70.4017984867096,0.43402183055877686
69632,0.009965214878320694,0.0059969243593513966,1069.0,,,0.7047470808029175,1058,0.00014319270849227905,1763260082.454685,0.033203125,0.00025829492369666696,0.06778334826231003,70.74011397361755,0.4095538854598999
72064,0.0017347699031233788,8.495109558105469,1070.0,,,-0.00010943412780761719,1083,0.0044789742678403854,1763260084.656689,0.0,0.00025683562853373587,0.013372533954679966,72.94211792945862,0.3532562851905823
72960,0.0020624306052923203,1.549141961731948e-05,1070.0,,,0.5249747633934021,1091,-0.011540146544575691,1763260085.4736507,0.0,0.00025629799347370863,-0.0018061697483062744,73.75907969474792,0.3675575852394104
74496,0.010569936595857143,6.989429493842181e-06,1071.0,,,0.41031771898269653,1106,-0.024144135415554047,1763260086.8547494,0.048828125,0.0002553763333708048,0.016227807849645615,75.14017844200134,0.3783041536808014
75648,0.01637720875442028,0.0002734347654040903,1071.0,,,0.20391136407852173,1118,-0.010357961058616638,1763260087.9074514,0.052734375,0.0002546850882936269,0.025577623397111893,76.19288039207458,0.37276893854141235
76288,0.003204439766705036,10.174177169799805,1071.0,,,-0.00020647048950195312,1125,-0.009464651346206665,1763260088.5045273,0.0078125,0.0002543010632507503,-0.010408169589936733,76.78995633125305,0.41899436712265015
77133,,,,444.0,444.0,,1133,,1763260089.2044332,,,,77.48986220359802,
78208,0.019180873408913612,0.003850761568173766,1072.0,,,0.16151785850524902,1145,-0.06660649180412292,1763260090.22582,0.072265625,0.0002531489881221205,0.06515450775623322,78.51124906539917,0.3281823396682739
80090,,,,500.0,500.0,,1164,,1763260091.8986247,,,,80.18405365943909,
80128,0.0008141808211803436,2.0008511543273926,1073.0,,,-0.00011432170867919922,1165,0.005100607872009277,1763260091.980126,0.0,0.00025199694209732115,0.003161519765853882,80.26555490493774,0.3749161660671234
80768,0.0336783304810524,0.01031070202589035,1073.0,,,0.40153127908706665,1172,-0.03824734315276146,1763260092.5850735,0.07421875,0.00025161291705444455,0.10584753006696701,80.87050247192383,0.3500005304813385
81664,0.0003278004005551338,0.147959366440773,1073.0,,,-0.00011098384857177734,1181,0.004308614879846573,1763260093.3698528,0.0,0.0002510752819944173,0.0038880323991179466,81.65528178215027,0.30642765760421753
82176,0.023288782685995102,140.181396484375,1073.0,,,-5.519390106201172e-05,1186,0.003594556823372841,1763260093.8553278,0.099609375,0.00025076806196011603,0.0038714753463864326,82.14075684547424,0.32238659262657166
83328,0.00379874836653471,0.0024598378222435713,1074.0,,,0.5688616037368774,1197,0.004071829840540886,1763260094.9018195,0.009765625,0.00025007681688293815,0.0050752488896250725,83.18724846839905,0.28924646973609924
85108,,,,500.0,500.0,,1213,,1763260096.43341,,,,84.71883893013,
85248,0.002484598197042942,0.0013376292772591114,1074.0,,,0.5295290946960449,1215,-0.0068281590938568115,1763260096.6582808,0.005859375,0.00024892474175430834,0.01239551417529583,84.94370985031128,0.2705914080142975
86400,0.008086426183581352,3.914910485036671e-05,1074.0,,,0.2669633626937866,1226,-0.007233291864395142,1763260097.7010875,0.013671875,0.00024823349667713046,0.037230487912893295,85.98651647567749,0.3304675817489624
86784,0.0008995365351438522,0.0011242976179346442,1075.0,,,0.10700970888137817,1230,-0.0036380067467689514,1763260098.038574,0.0,0.0002480030816514045,-0.015568699687719345,86.32400298118591,0.33720284700393677
87168,0.009114672429859638,176.44769287109375,1075.0,,,-2.968311309814453e-05,1234,-0.0173170268535614,1763260098.3750901,0.044921875,0.00024777266662567854,-0.004664460197091103,86.66051912307739,0.2970069348812103
88320,9.099673479795456e-05,0.002458534436300397,1075.0,,,0.6606807112693787,1245,-0.003365360200405121,1763260099.4208448,0.0,0.00024708142154850066,0.000508318655192852,87.7062737941742,0.339154452085495
89216,0.0002748211845755577,0.03915784880518913,1075.0,,,5.1975250244140625e-05,1254,0.00508321076631546,1763260100.2440836,0.0,0.0002465437864884734,0.001528020016849041,88.52951264381409,0.3785095810890198
91008,0.005843589082360268,6.909518560860306e-05,1076.0,,,0.3783997893333435,1271,-0.030890606343746185,1763260101.8855345,0.025390625,0.00024546851636841893,0.016079815104603767,90.1709635257721,0.2872394919395447
93824,0.001705915667116642,0.0011672035325318575,1077.0,,,0.47146183252334595,1299,0.018635865300893784,1763260104.4256434,0.001953125,0.0002437788061797619,-0.002063796855509281,92.71107244491577,0.31590282917022705
97920,0.0018839221447706223,2.722934732446447e-05,1078.0,,,0.27431803941726685,1339,0.0007917415350675583,1763260108.1519651,0.001953125,0.00024132104590535164,-0.0040362924337387085,96.43739414215088,0.26947399973869324
98048,0.024725500494241714,5.051560037827585e-06,1078.0,,,0.1265363097190857,1340,-0.016638092696666718,1763260108.2635298,0.109375,0.00024124424089677632,0.04654698818922043,96.54895877838135,0.24562117457389832
98944,0.003470621071755886,0.000597391976043582,1078.0,,,-0.034801602363586426,1349,0.006998628377914429,1763260109.048595,0.001953125,0.00024070660583674908,-0.011953218840062618,97.33402395248413,0.2517290711402893
100352,0.009489706717431545,0.004777578637003899,1078.0,,,0.5375186204910278,1363,-0.0051151663064956665,1763260110.3495069,0.052734375,0.00023986175074242055,-0.000413394533097744,98.63493585586548,0.19224993884563446
100608,0.0006247498095035553,150.9417724609375,1078.0,500.0,500.0,0.00018155574798583984,1365,-9.708106517791748e-05,1763260110.5775783,0.056640625,0.00023970814072526991,-0.0020779836922883987,98.86300730705261,0.2014184594154358
101120,0.0158959049731493,34.73257827758789,1079.0,,,-0.00019872188568115234,1370,0.002223595976829529,1763260111.026374,0.0546875,0.00023940092069096863,-0.030572064220905304,99.31180310249329,0.2901369631290436
102144,8.171051740646362e-05,0.5042330622673035,1079.0,,,-0.00010311603546142578,1380,-0.004652008414268494,1763260111.9538255,0.0,0.00023878648062236607,0.0035250000655651093,100.23925447463989,0.22368215024471283
102272,0.0015343353152275085,0.0007449747645296156,1079.0,,,0.5677985548973083,1381,-0.004170317202806473,1763260112.0659354,0.033203125,0.00023870967561379075,-0.0001913178712129593,100.35136437416077,0.22947899997234344
102979,,,,500.0,500.0,,1388,,1763260112.6904147,,,,100.97584366798401,
103680,0.003270152024924755,0.0003883145982399583,1079.0,,,0.9472818374633789,1395,-0.016604773700237274,1763260113.3576808,0.052734375,0.00023786482051946223,-0.004168651066720486,101.6431097984314,0.24778395891189575
104064,0.00390064250677824,8.500720977783203,1079.0,,,-0.0005723237991333008,1399,0.0017307884991168976,1763260113.6981661,0.05078125,0.00023763440549373627,0.013297514989972115,101.98359513282776,0.23489254713058472
104704,0.004204641096293926,0.005200798157602549,1080.0,,,0.912864625453949,1405,-0.01758069172501564,1763260114.25945,0.03125,0.00023725038045085967,-0.01786862686276436,102.54487895965576,0.3282114267349243
107479,,,,500.0,500.0,,1432,,1763260116.7576349,,,,105.04306387901306,
107520,0.002341947518289089,34.70895004272461,1080.0,,,-5.984306335449219e-05,1433,0.0016368962824344635,1763260116.8393116,0.001953125,0.00023556067026220262,0.011591616086661816,105.12474060058594,0.28673306107521057
109824,0.0007268507033586502,1.783903280738741e-05,1080.0,,,0.7734843492507935,1455,-0.0004441589117050171,1763260118.928825,0.0,0.00023417819465976208,0.0012076497077941895,107.2142539024353,0.1620400995016098
