losses/explained_variance,losses/value_loss,charts/learning_rate,charts/episodic_return,_runtime,_timestamp,global_step,charts/episodic_length,losses/clipfrac,charts/SPS,losses/approx_kl,_step,losses/entropy,losses/policy_loss,losses/old_approx_kl
0.34125596284866333,0.0038968368899077177,0.00024362519616261125,,94.4718005657196,1763260106.1569495,94080,,0.0390625,1065.0,0.00654471293091774,1563,0.3362776041030884,-0.03161843493580818,0.026086531579494476
,,,500.0,94.72162652015686,1763260106.4067755,94407,500.0,,,,1566,,,
0.3021116852760315,0.00021192352869547904,0.00024201229098252952,,96.89318418502808,1763260108.5783331,96768,,0.0,1066.0,0.0006423918530344963,1589,0.2802202105522156,-0.005001982674002647,0.004695388488471508
0.7683725357055664,0.0047920094802975655,0.0002415514609310776,,97.60038328170776,1763260109.2855322,97536,,0.041015625,1066.0,0.007871017791330814,1597,0.2792257070541382,0.007097620517015457,-0.01383333932608366
0.6039031744003296,0.003406834788620472,0.00024093702086247504,,98.52805066108704,1763260110.2131996,98560,,0.07421875,1066.0,0.009748915210366249,1607,0.27427688241004944,-0.04648340493440628,0.05023185908794403
-0.08850407600402832,0.00013314578973222524,0.0002407834108453244,,98.75048875808716,1763260110.4356377,98816,,0.015625,1067.0,0.0013928655534982681,1609,0.28862348198890686,-0.025157630443572998,0.004641052335500717
,,,500.0,98.78169131278992,1763260110.4668403,98907,500.0,,,,1610,,,
0.00025451183319091797,0.14639601111412048,0.00023978494573384523,,100.24916577339172,1763260111.9343147,100480,,0.0,1067.0,0.0002714628353714943,1626,0.2896748483181,-0.0023762118071317673,0.006535089574754238
0.40965086221694946,1.5601181075908244e-05,0.00023901689564809203,,101.39913845062256,1763260113.0842874,101760,,0.017578125,1068.0,0.010035660117864609,1638,0.29824310541152954,-0.0023702681064605713,0.01698353886604309
-0.7618950605392456,5.435126877273433e-05,0.00023602150031365454,,105.9521803855896,1763260117.6373293,106752,,0.0703125,1069.0,0.019587133079767227,1687,0.2774391174316406,0.017399221658706665,-0.01413827482610941
-0.7323601245880127,1.2403953405737411e-05,0.00023325653455685824,,110.12844014167786,1763260121.813589,111360,,0.001953125,1071.0,0.0018926635384559631,1732,0.2638978660106659,0.0056621357798576355,0.0008010435849428177
0.6612012386322021,0.0058946856297552586,0.00023248848447110504,,111.29306221008301,1763260122.9782112,112640,,0.0,1071.0,2.5548040866851807e-05,1745,0.34767454862594604,-0.001155991107225418,0.0005400963127613068
-8.738040924072266e-05,34.726470947265625,0.00023202765441965312,,112.00459718704224,1763260123.6897461,113408,,0.0,1071.0,6.739795207977295e-05,1753,0.2189352810382843,2.0699575543403625e-05,-0.0030356161296367645
0.47717493772506714,0.007705097086727619,0.0002319508494110778,,112.11646914482117,1763260123.801618,113536,,0.109375,1071.0,0.010144220665097237,1754,0.17026717960834503,-0.012035056948661804,-0.0039174677804112434
