_timestamp,charts/learning_rate,charts/episodic_return,losses/clipfrac,losses/approx_kl,_runtime,losses/entropy,charts/episodic_length,global_step,losses/value_loss,charts/SPS,_step,losses/explained_variance,losses/policy_loss,losses/old_approx_kl
1763260066.6464841,,,,,6.416021108627319,,,0,,,0,,,
1763260067.668224,,32.0,,,7.437761068344116,,32.0,142,,,7,,,
1763260068.1734354,0.0002996927942149341,,0.0,0.00016145966947078705,7.942972421646118,0.6920450329780579,,640,1.5052061080932617,957.0,33,0.17930012941360474,-0.00436033308506012,0.001479925587773323
1763260068.297318,0.0002996159892063588,,0.0,0.0002820175141096115,8.06685495376587,0.6907597184181213,,768,1.3650283813476562,969.0,41,0.3462347388267517,0.00042323023080825806,0.00804421678185463
1763260068.3471353,,15.0,,,8.116672277450562,,15.0,881,,,47,,,
1763260068.6776783,0.00029938557418063283,,0.0,0.0011851750314235687,8.44721531867981,0.672834575176239,,1152,1.225914716720581,982.0,64,0.1515699028968811,-0.010345127433538437,-0.0001404639333486557
1763260068.8207428,,19.0,,,8.590279817581177,,19.0,1310,,,74,,,
1763260068.8470392,,34.0,,,8.616576194763184,,34.0,1374,,,77,,,
1763260069.1005313,,35.0,,,8.870068311691284,,35.0,1549,,,88,,,
1763260069.2750883,,23.0,,,9.044625282287598,,23.0,1779,,,102,,,
1763260069.3531775,,16.0,,,9.122714519500732,,16.0,1795,,,104,,,
1763260069.7511528,,8.0,,,9.520689725875854,,8.0,2206,,,133,,,
1763260069.9083614,,11.0,,,9.677898406982422,,11.0,2394,,,147,,,
1763260069.9945016,0.00029861752409487963,25.0,0.0,8.663255721330643e-05,9.764038562774658,0.575747013092041,25.0,2432,1.1427861452102661,976.0,149,0.03915143013000488,-0.000788956880569458,0.003778965212404728
1763260070.0005867,,13.0,,,9.770123720169067,,13.0,2445,,,150,,,
1763260070.0665026,,13.0,,,9.836039543151855,,13.0,2532,,,155,,,
1763260070.1606238,0.0002985407190863043,,0.0,0.0004203328862786293,9.930160760879517,0.5937572717666626,,2560,1.3020005226135254,964.0,157,0.16937625408172607,-0.011680997908115387,0.00973248016089201
1763260070.3207803,,16.0,,,10.090317249298096,,16.0,2755,,,172,,,
1763260070.7104495,,26.0,,,10.479986429214478,,26.0,3172,,,195,,,
1763260070.837044,,17.0,,,10.606580972671509,,17.0,3306,,,203,,,
1763260071.039577,0.00029800308402627707,,0.0,0.0017593838274478912,10.8091139793396,0.6646558046340942,,3456,1.657801628112793,977.0,213,0.33337491750717163,-0.018147049471735954,9.530223906040192e-05
1763260071.196061,0.00029792627901770175,,0.0,0.0013519208878278732,10.965597867965698,0.6490590572357178,,3584,1.6179386377334595,971.0,217,0.4483886957168579,-0.007692582905292511,-0.0010360945016145706
1763260071.4638736,,44.0,,,11.233410596847534,,44.0,3906,,,228,,,
1763260071.5965765,,32.0,,,11.366113424301147,,32.0,4070,,,233,,,
1763260072.2846985,0.00029723503394052386,,0.0,0.000363202765583992,12.054235458374023,0.6205768585205078,,4736,1.4991627931594849,990.0,251,0.052388668060302734,-0.021210426464676857,-0.006138443946838379
1763260072.5424163,,52.0,,,12.31195330619812,,52.0,5054,,,259,,,
1763260072.7592452,,81.0,,,12.52878212928772,,81.0,5269,,,265,,,
1763260073.0096326,,64.0,,,12.77916955947876,,64.0,5571,,,273,,,
1763260073.0284133,,53.0,,,12.797950267791748,,53.0,5624,,,274,,,
1763260073.673721,,35.0,,,13.443258047103882,,35.0,6201,,,292,,,
1763260075.1702325,0.0002953917137347162,,0.0,0.00020357873290777206,14.939769506454468,0.5265368223190308,,7808,1.8157297372817993,1018.0,327,0.9361591339111328,-0.0008930116891860962,-0.0008568791672587395
1763260075.212886,,59.0,,,14.982423067092896,,59.0,7921,,,330,,,
1763260075.3032537,,56.0,,,15.072790622711182,,56.0,7977,,,332,,,
1763260075.5398388,0.0002951612987089902,,0.0,0.0014969231560826302,15.309375762939453,0.49545371532440186,,8192,1.6306267976760864,1019.0,337,0.6820608377456665,0.005323179066181183,-0.0008441051468253136
1763260075.6607835,,101.0,,,15.430320501327515,,101.0,8338,,,340,,,
1763260077.7694871,0.0002940092235803604,,0.0,4.060659557580948e-05,17.539024114608765,0.4565030336380005,,10112,0.7048484683036804,985.0,370,0.8942158222198486,-0.002458922564983368,-0.0010280003771185875
1763260079.2541363,0.0002931643684860319,,0.005859375,0.0030159326270222664,19.02367329597473,0.440278023481369,,11520,0.730339765548706,980.0,396,0.4601346254348755,2.8185546398162842e-05,0.0058504873886704445
1763260080.8952365,0.0002921659033745527,,0.013671875,0.005624311976134777,20.66477346420288,0.4417170286178589,,13184,8.8941068649292,984.0,425,0.979577898979187,-0.002979125827550888,0.012983900494873524
1763260081.5929587,0.0002917050733231008,,0.0,0.0007254835218191147,21.36249566078186,0.4966505765914917,,13952,0.4351499378681183,990.0,441,0.977457582950592,-0.0066721029579639435,0.005542505532503128
1763260081.9957242,0.00029147465829737484,,0.001953125,0.003983946517109871,21.76526117324829,0.4503808915615082,,14336,1.010901689529419,989.0,450,0.9865989685058594,-0.0023328252136707306,0.005697829648852348
1763260082.705083,,49.0,,,22.47461986541748,,49.0,15127,,,471,,,
1763260083.0350027,,45.0,,,22.804539680480957,,45.0,15461,,,481,,,
1763260083.357507,0.0002906298032030463,,0.0,3.551505506038666e-05,23.127043962478638,0.430075466632843,,15744,7.419878005981445,993.0,490,0.811773419380188,0.0008651204407215118,0.0004472937434911728
1763260083.8251579,0.00029032258316874504,,0.0,5.4280273616313934e-05,23.59469485282898,0.41059204936027527,,16256,0.671186625957489,996.0,504,0.9832038283348083,-0.00160159170627594,0.0022270670160651207
1763260084.2596393,,37.0,,,24.029176235198975,,37.0,16677,,,515,,,
1763260084.8460596,,46.0,,,24.615596532821655,,46.0,17326,,,530,,,
1763260085.256394,,41.0,,,25.025930881500244,,41.0,17714,,,539,,,
1763260085.5938985,,40.0,,,25.36343550682068,,40.0,18068,,,547,,,
1763260085.842605,,42.0,,,25.612142086029053,,42.0,18359,,,555,,,
1763260085.9749498,,68.0,,,25.744486808776855,,68.0,18529,,,559,,,
1763260086.36426,,63.0,,,26.13379693031311,,63.0,18847,,,568,,,
1763260087.3557258,,67.0,,,27.12526273727417,,67.0,19843,,,595,,,
1763260088.0543752,,50.0,,,27.823912143707275,,50.0,20623,,,614,,,
1763260088.8324957,,91.0,,,28.60203266143799,,91.0,21486,,,630,,,
1763260089.1637719,,138.0,,,28.933308839797974,,138.0,21851,,,636,,,
1763260089.4112728,,49.0,,,29.18080973625183,,49.0,22019,,,640,,,
1763260089.9992092,,91.0,,,29.76874613761902,,91.0,22723,,,650,,,
1763260090.8240578,,260.0,,,30.593594789505005,,260.0,23585,,,664,,,
1763260092.0900414,0.00028509984258562326,,0.07421875,0.00749016460031271,31.859578371047974,0.3936825692653656,,24960,0.568497896194458,1015.0,684,0.9865027666091919,-0.0059834811836481094,0.02163994312286377
1763260092.4306836,0.0002848694275598973,,0.02734375,0.0023251380771398544,32.200220584869385,0.4433111846446991,,25344,9.402714729309082,1016.0,689,-0.005888104438781738,0.0016987603157758713,0.0005021542310714722
1763260093.025557,0.0002844854025170207,,0.001953125,0.0015402976423501968,32.79509401321411,0.5048065781593323,,25984,0.3534499704837799,1018.0,698,-0.00420832633972168,-0.00015220791101455688,0.003557896241545677
1763260093.6180916,0.0002841013774741441,,0.033203125,0.014970563352108002,33.38762855529785,0.48399627208709717,,26624,0.2500952482223511,1019.0,707,0.9756830930709839,0.010836918838322163,0.02153300680220127
1763260094.9426413,0.0002832565223798156,,0.0,0.001387953758239746,34.712178230285645,0.5301951169967651,,28032,0.2466660737991333,1021.0,729,0.20045346021652222,0.0003269314765930176,0.0037557221949100494
1763260096.551587,0.0002821812522597611,,0.013671875,0.008076929487287998,36.32112407684326,0.45489829778671265,,29824,0.20984800159931183,1026.0,757,0.5192915797233582,0.013763315975666046,0.019614530727267265
1763260096.8376446,,112.0,,,36.607181549072266,,112.0,30150,,,762,,,
1763260097.149134,0.0002817972272168845,,0.0,0.0018057040870189667,36.918670892715454,0.49884849786758423,,30464,0.1365807205438614,1027.0,767,0.6647303104400635,0.01141996681690216,-0.015756310895085335
1763260097.5997872,0.0002814900071825832,,0.0234375,0.009789125993847847,37.36932420730591,0.5271236300468445,,30976,0.4726451337337494,1029.0,775,0.7176823616027832,-0.0003619566559791565,0.04338999092578888
1763260098.3126643,0.0002810291771311313,,0.0,0.00017732474952936172,38.0822012424469,0.49232912063598633,,31744,25.200204849243164,1030.0,788,0.7859020829200745,-0.0006494335830211639,-0.003570239059627056
1763260098.7700005,,113.0,,,38.53953742980957,,113.0,32270,,,797,,,
1763260099.3596814,0.0002803379320539534,,0.00390625,0.002859928645193577,39.129218339920044,0.5168524980545044,,32896,20.894670486450195,1032.0,806,0.8650924563407898,-0.007337620481848717,0.024768443778157234
1763260102.7049031,,127.0,,,42.47444009780884,,127.0,36581,,,863,,,
1763260103.2259283,,119.0,,,42.99546527862549,,119.0,37084,,,872,,,
1763260103.4858015,,127.0,,,43.25533843040466,,127.0,37351,,,876,,,
1763260106.005904,,105.0,,,45.77544093132019,,105.0,39912,,,922,,,
1763260106.488788,0.0002758832706604153,,0.0,0.0018090596422553062,46.25832486152649,0.5559647679328918,,40320,1.6533998250961304,1034.0,930,0.9871789216995239,-0.015035472810268402,0.0066169993951916695
1763260106.9707258,0.000275576050626114,,0.0,0.0003174683079123497,46.74026274681091,0.5593078136444092,,40832,6.214893817901611,1034.0,938,0.9884310960769653,-0.006886214017868042,-0.003243585117161274
1763260107.1178787,,120.0,,,46.887415647506714,,120.0,41036,,,941,,,
1763260107.2038357,0.00027542244060896337,,0.017578125,0.006791531108319759,46.9733726978302,0.5933758020401001,,41088,7.219907283782959,1034.0,942,0.985977053642273,-0.0374864786863327,-0.011215252801775932
1763260107.5187802,,117.0,,,47.28831720352173,,117.0,41446,,,948,,,
1763260109.1158159,0.00027419356047175825,,0.056640625,0.01079233642667532,48.88535284996033,0.5531668663024902,,43136,0.18695512413978577,1036.0,974,0.9022145867347717,-0.06762249767780304,0.02693755552172661
