losses/entropy,losses/policy_loss,losses/approx_kl,charts/learning_rate,losses/value_loss,_step,global_step,charts/episodic_length,_timestamp,charts/SPS,losses/clipfrac,charts/episodic_return,losses/old_approx_kl,losses/explained_variance,_runtime
,,,,,1050,44075,74.0,1763260061.8028884,,,74.0,,,50.088231325149536
0.5651135444641113,-0.07641725242137909,0.028175586834549904,0.00027342551038600504,0.056704081594944,1053,44416,,1763260062.126367,1015.0,0.1484375,,0.046248506754636765,0.0771283507347107,50.411710023880005
0.4784785509109497,-0.015130594372749329,0.012150349095463753,0.00027311829035170376,0.05022895336151123,1058,44928,,1763260062.6039274,1015.0,0.126953125,,0.009767557494342327,0.12346631288528442,50.889270305633545
0.5185839533805847,-0.03251130133867264,0.01416029967367649,0.0002716589951887727,0.032789986580610275,1083,47360,,1763260064.8208969,1019.0,0.08203125,,0.027554400265216827,0.05186587572097778,53.106239795684814
0.5245563387870789,-0.026828859001398087,0.007513025775551796,0.00027119816513732076,0.036578960716724396,1091,48128,,1763260065.4909267,1021.0,0.021484375,,0.02686137519776821,0.039723873138427734,53.77626967430115
0.5126552581787109,-0.04452531039714813,0.04477447271347046,0.0002701997000258416,0.017836919054389,1106,49792,,1763260067.0354788,1023.0,0.201171875,,0.10765582323074341,-0.05415523052215576,55.32082176208496
0.47572293877601624,0.016562845557928085,0.0010666381567716599,0.0002695084549486637,25.280431747436523,1118,50944,,1763260068.0890698,1024.0,0.001953125,,-0.0017944294959306717,-0.002184629440307617,56.37441277503967
0.46056586503982544,-0.038169652223587036,0.030499029904603958,0.0002690476248972118,0.00976309459656477,1125,51712,,1763260068.8232446,1025.0,0.12890625,,0.012435131706297398,-0.09474146366119385,57.10858750343323
0.46848586201667786,0.012478925287723541,0.006646951660513878,0.00026858679484575987,113.88550567626953,1133,52480,,1763260069.5005276,1026.0,0.01171875,,0.024131547659635544,-0.0015300512313842773,57.78587055206299
0.46435925364494324,-0.0011930093169212341,0.005246879532933235,0.00026781874476000667,0.004401879385113716,1145,53760,,1763260070.6629686,1028.0,0.005859375,,0.01639844849705696,-0.03862321376800537,58.94831156730652
0.37911325693130493,0.0047673434019088745,0.007647345773875713,0.00026666666963137686,0.0017577254911884665,1164,55680,,1763260072.416181,1030.0,0.05078125,,0.027788806706666946,-0.00023472309112548828,60.70152401924133
0.3859070837497711,0.007234344258904457,0.0007301252335309982,0.00026620583957992494,7.000354290008545,1172,56448,,1763260073.1539924,1030.0,0.0,,0.0039214156568050385,-0.0005519390106201172,61.439335346221924
,,,,,1181,57384,500.0,1763260074.0055645,,,500.0,,,62.29090738296509
,,,,,1186,57884,500.0,1763260074.4485762,,,500.0,,,62.73391914367676
0.4166448712348938,-0.03560981526970863,0.008832885883748531,0.00026466973940841854,39.272708892822266,1197,59008,,1763260075.5252447,1032.0,0.03125,,-0.00020862463861703873,-0.0012731552124023438,63.810587644577026
0.3588523268699646,-0.0022013429552316666,0.002310812473297119,0.0002636712742969394,0.00014719399041496217,1213,60672,,1763260077.074629,1033.0,0.0234375,,-0.013916859403252602,0.06096082925796509,65.35997200012207
,,,,,1215,60884,500.0,1763260077.21731,,,500.0,,,65.50265288352966
0.39419054985046387,-0.001311860978603363,0.0001966310665011406,0.00026290322421118617,0.01768503710627556,1226,61952,,1763260078.268805,1034.0,0.0,,-0.003921045921742916,-0.0007203817367553711,66.5541479587555
,,,,,1230,62384,500.0,1763260078.624481,,,500.0,,,66.90982389450073
0.435088574886322,-0.029978949576616287,0.02409229427576065,0.00026236558915115893,0.00011439323134254664,1234,62848,,1763260079.0779748,1035.0,0.115234375,,0.036138858646154404,-0.04247164726257324,67.3633177280426
,,,,,1245,63884,500.0,1763260080.013809,,,500.0,,,68.29915189743042
0.37816357612609863,-0.0003761798143386841,0.00038705021142959595,0.0002611367090139538,0.024807514622807503,1254,64896,,1763260080.9417129,1037.0,0.0,,-0.012193426489830017,-0.00018465518951416016,69.22705578804016
0.39627933502197266,-0.004202783107757568,0.01132273580878973,0.0002600614388938993,2.6649895517039113e-06,1271,66688,,1763260082.5727534,1038.0,0.021484375,,0.028124183416366577,-0.019841670989990234,70.85809636116028
0.33679309487342834,0.015602320432662964,0.011623880825936794,0.0002583717287052423,8.287359237670898,1299,69504,,1763260085.1338062,1041.0,0.04296875,,0.048844918608665466,-0.0007724761962890625,73.41914916038513
0.3607422113418579,-0.06931085884571075,0.0411376878619194,0.00025591396843083203,0.0018451187061145902,1339,73600,,1763260088.9002228,1043.0,0.138671875,,0.1917213350534439,0.07416731119155884,77.18556571006775
0.3654230237007141,-0.000998169183731079,0.00023110955953598022,0.0002558371634222567,0.00042918158578686416,1340,73728,,1763260089.0112026,1043.0,0.0,,0.004512062296271324,0.010143280029296875,77.29654550552368
0.30390453338623047,0.000891219824552536,0.0037780003622174263,0.00025445467326790094,0.003598890732973814,1363,76032,,1763260091.1414552,1044.0,0.02734375,,-0.003230285830795765,0.8319151401519775,79.42679810523987
