_step,losses/approx_kl,_runtime,charts/SPS,charts/learning_rate,global_step,losses/explained_variance,losses/clipfrac,_timestamp,losses/policy_loss,charts/episodic_length,losses/old_approx_kl,charts/episodic_return,losses/entropy,losses/value_loss
471,0.00037047453224658966,20.56298804283142,969.0,0.0002928571484517306,12032,0.9831828474998474,0.0,1763260080.821232,-0.005591552704572678,,0.0012614764273166656,,0.3725200593471527,0.17180927097797394
481,0.00028387177735567093,20.95782732963562,969.0,0.00029262673342600465,12416,0.8763376474380493,0.0,1763260081.2160714,-0.002548523247241974,,-0.005462463013827801,,0.4031825065612793,5.035468578338623
490,,21.25728178024292,,,12766,,,1763260081.5155258,,43.0,,43.0,,
504,,21.81706714630127,,,13229,,,1763260082.0753112,,59.0,,59.0,,
515,,22.225768089294434,,,13636,,,1763260082.4840121,,44.0,,44.0,,
530,0.00306915957480669,22.853573083877563,966.0,0.00029155146330595016,14208,0.9638664126396179,0.00390625,1763260083.1118171,-0.028425831347703934,,0.015487316995859146,,0.39994287490844727,2.274163246154785
539,,23.129067182540894,,,14569,,,1763260083.3873112,,64.0,,64.0,,
547,,23.44125270843506,,,14857,,,1763260083.6994967,,59.0,,59.0,,
555,,23.71436381340027,,,15231,,,1763260083.9726079,,89.0,,89.0,,
559,,23.96867799758911,,,15382,,,1763260084.226922,,102.0,,102.0,,
568,,24.31994318962097,,,15769,,,1763260084.5781872,,76.0,,76.0,,
595,,25.307276010513306,,,16781,,,1763260085.56552,,62.0,,62.0,,
614,0.001842760480940342,25.893978357315063,981.0,0.00028963133809156716,17408,0.9647188186645508,0.0,1763260086.1522224,0.013690575025975704,,0.005749651230871677,,0.2582765817642212,0.588178813457489
630,0.00010502897202968597,26.43459701538086,980.0,0.0002893241180572659,17920,0.9925646781921387,0.0,1763260086.692841,-0.00047710537910461426,,0.0020105112344026566,,0.3482177257537842,0.3416811227798462
636,,26.596416234970093,,,18170,,,1763260086.8546603,,40.0,,40.0,,
640,,26.71529459953308,,,18302,,,1763260086.9735386,,44.0,,44.0,,
664,,27.587891578674316,,,19166,,,1763260087.8461356,,42.0,,42.0,,
684,,28.28010368347168,,,19820,,,1763260088.5383477,,34.0,,34.0,,
689,0.006041955202817917,28.474823713302612,982.0,0.00028809523792006075,19968,0.9957916140556335,0.017578125,1763260088.7330678,-0.03446733206510544,,0.00021462514996528625,,0.3227190375328064,0.3919014036655426
698,,28.72301483154297,,,20255,,,1763260088.9812589,,37.0,,37.0,,
707,0.0011034896597266197,29.058176279067993,985.0,0.00028771121287718415,20608,0.997434139251709,0.0,1763260089.3164203,-0.005358278751373291,,-0.0033428864553570747,,0.34956011176109314,0.23737087845802307
729,,29.943600177764893,,,21537,,,1763260090.2018442,,124.0,,124.0,,
767,,31.83394980430603,,,23526,,,1763260092.0921938,,145.0,,145.0,,
775,0.0013617891818284988,32.252779722213745,993.0,0.0002857142826542258,23936,0.0355607271194458,0.0078125,1763260092.5110238,-0.0006473436951637268,,-0.004792205989360809,,0.312292218208313,3.3935844898223877
788,,32.80020236968994,,,24538,,,1763260093.0584464,,40.0,,40.0,,
797,,33.128023624420166,,,24856,,,1763260093.3862677,,64.0,,64.0,,
806,0.0005580540746450424,33.61003541946411,995.0,0.0002848694275598973,25344,0.09253203868865967,0.0,1763260093.8682795,-0.012524858117103577,,-0.005059238523244858,,0.296207457780838,0.3310513496398926
863,,35.688977003097534,,,27579,,,1763260095.947221,,86.0,,86.0,,
872,0.014543304219841957,36.11950182914734,1002.0,0.0002832565223798156,28032,0.0017825961112976074,0.02734375,1763260096.3777459,0.08055121451616287,,-0.015702415257692337,,0.408197820186615,0.2650439143180847
876,0.004404063336551189,36.34327220916748,1003.0,0.00028310291236266494,28288,0.024326980113983154,0.00390625,1763260096.6015162,0.013749191537499428,,0.01279613096266985,,0.41678547859191895,0.33742231130599976
922,,38.48775863647461,,,30688,,,1763260098.7460027,,98.0,,98.0,,
930,0.00015626754611730576,38.945943117141724,1010.0,0.0002814132021740079,31104,0.023784756660461426,0.0,1763260099.2041872,-0.00044946372509002686,,0.0005772197619080544,,0.4025801420211792,0.16155342757701874
938,,39.3113739490509,,,31536,,,1763260099.569618,,112.0,,112.0,,
941,0.001850103959441185,39.516681432724,1012.0,0.0002810291771311313,31744,0.5412747263908386,0.001953125,1763260099.7749255,-0.007644148543477058,,0.0167351383715868,,0.38376641273498535,0.08276602625846863
942,,39.52448630332947,,,31762,,,1763260099.7827303,,124.0,,124.0,,
948,0.0008755484595894814,39.858680725097656,1013.0,0.00028079876210540533,32128,0.5706136226654053,0.0,1763260100.1169248,0.0006757825613021851,,0.003973674960434437,,0.3658418655395508,0.12059422582387924
974,0.016812041401863098,41.27944302558899,1016.0,0.0002798771020025015,33664,0.7235544323921204,0.03125,1763260101.537687,-0.034411244094371796,,0.07438471913337708,,0.4193130433559418,23.80889320373535
980,0.007322907447814941,41.61654281616211,1017.0,0.0002796466869767755,34048,0.7072651386260986,0.052734375,1763260101.8747869,-0.040027208626270294,,-0.021692320704460144,,0.43346020579338074,23.081832885742188
985,,41.85896968841553,,,34347,,,1763260102.1172137,,130.0,,130.0,,
995,0.02082107402384281,42.44223093986511,1019.0,0.0002791090519167483,34944,0.7390987873077393,0.10546875,1763260102.700475,-0.02557353675365448,,0.06972208619117737,,0.4473400115966797,26.65250587463379
1015,0.04049506038427353,43.99377107620239,1021.0,0.0002781105868052691,36608,0.8229032754898071,0.1328125,1763260104.252015,-0.059038445353507996,,0.0653979554772377,,0.4893704652786255,0.09011895954608917
1031,,45.1999409198761,,,37893,,,1763260105.458185,,316.0,,316.0,,
1050,0.012891924008727074,46.77428960800171,1024.0,0.00027634407160803676,39552,0.41662508249282837,0.037109375,1763260107.0325336,-0.06620773673057556,,0.04660423845052719,,0.4897536039352417,0.07430615276098251
1053,,46.98304772377014,,,39840,,,1763260107.2412918,,500.0,,500.0,,
1058,0.004309976473450661,47.34631419181824,1025.0,0.0002759600756689906,40192,0.0020476579666137695,0.013671875,1763260107.6045582,0.0022286176681518555,,0.01630798727273941,,0.42596372961997986,0.5054625272750854
1083,0.00028437748551368713,49.440266370773315,1029.0,0.00027457758551463485,42496,-0.0004831552505493164,0.0,1763260109.6985104,3.5317614674568176e-05,,-0.0002625882625579834,,0.3847905993461609,5.799593925476074
1091,0.025302927941083908,50.14179182052612,1030.0,0.0002741167554631829,43264,0.0031194090843200684,0.076171875,1763260110.4000359,-0.034113600850105286,,0.000988619402050972,,0.4153345227241516,5.976205348968506
1106,0.008378086611628532,51.29150605201721,1032.0,0.0002733487053774297,44544,0.008265674114227295,0.037109375,1763260111.54975,0.014745203778147697,,0.025641044601798058,,0.3319823741912842,0.5501441955566406
1118,0.024873651564121246,51.96560883522034,1034.0,0.0002728878753259778,45312,0.266904354095459,0.076171875,1763260112.2238529,0.015165910124778748,,0.08327183127403259,,0.312542587518692,61.27333450317383
1133,,52.58070993423462,,,46069,,,1763260112.838954,,38.0,,38.0,,
1145,0.00012561306357383728,53.27617001533508,1035.0,0.0002720430202316493,46720,0.2392522096633911,0.0,1763260113.534414,0.0005300622433423996,,0.0030976366251707077,,0.31635934114456177,76.25209045410156
1164,,54.16581630706787,,,47735,,,1763260114.4240603,,108.0,,108.0,,
1172,,54.580432176589966,,,48136,,,1763260114.8386762,,98.0,,98.0,,
1181,,54.91272163391113,,,48509,,,1763260115.1709657,,103.0,,103.0,,
1186,0.0031023379415273666,55.20954751968384,1036.0,0.00027081414009444416,48768,0.8287140130996704,0.005859375,1763260115.4677916,-0.01764613762497902,,0.0037014298141002655,,0.3814390003681183,0.05454905331134796
1197,0.010518282651901245,55.77278542518616,1037.0,0.00027043011505156755,49408,0.8408128023147583,0.052734375,1763260116.0310295,-0.025947440415620804,,0.010013791732490063,,0.3966892957687378,0.04445129260420799
1213,,56.54317021369934,,,50281,,,1763260116.8014143,,99.0,,99.0,,
1215,0.011543536558747292,56.62156867980957,1037.0,0.0002698924799915403,50304,0.6704082489013672,0.025390625,1763260116.8798127,0.08909526467323303,,-0.022726427763700485,,0.3914436101913452,0.20734751224517822
1226,,57.166154861450195,,,50918,,,1763260117.424399,,86.0,,86.0,,
1230,,57.2824227809906,,,51039,,,1763260117.5406668,,63.0,,63.0,,
1234,0.005927843041718006,57.477097272872925,1038.0,0.00026935484493151307,51200,0.604435920715332,0.0390625,1763260117.7353413,0.019260693341493607,,-0.01099421363323927,,0.4740094840526581,36.338218688964844
1245,,58.01960754394531,,,51826,,,1763260118.2778516,,97.0,,97.0,,
1254,0.01140990573912859,58.44904088973999,1038.0,0.0002687404048629105,52224,0.6809940338134766,0.04296875,1763260118.707285,0.018226437270641327,,-0.04258890822529793,,0.49547937512397766,0.21856124699115753
1271,0.013762339949607849,59.308876752853394,1038.0,0.00026820276980288327,53120,0.8308681845664978,0.037109375,1763260119.5671208,-0.018927857279777527,,-0.0017806123942136765,,0.5168535709381104,0.2603253126144409
1299,,60.75058078765869,,,54743,,,1763260121.0088248,,119.0,,119.0,,
1339,0.01131632924079895,62.96547842025757,1041.0,0.00026582181453704834,57088,0.9687073230743408,0.0234375,1763260123.2237225,-0.03557592257857323,,0.011671893298625946,,0.5164511799812317,14.745338439941406
1340,,62.99253058433533,,,57159,,,1763260123.2507746,,116.0,,116.0,,
1363,,64.07426643371582,,,58311,,,1763260124.3325105,,48.0,,48.0,,
1365,,64.1680817604065,,,58379,,,1763260124.4263258,,68.0,,68.0,,
1370,0.01857645809650421,64.44198703765869,1041.0,0.0002649001544341445,58624,0.9112284183502197,0.08203125,1763260124.700231,-0.034731775522232056,,0.02465233951807022,,0.49610626697540283,2.8470652103424072
1380,,64.72010612487793,,,58995,,,1763260124.9783502,,65.0,,65.0,,
1381,0.0011460119858384132,64.79421806335449,1041.0,0.00026466973940841854,59008,0.7094675302505493,0.0,1763260125.052462,-0.011823393404483795,,-0.006655034609138966,,0.441402792930603,4.926210880279541
1388,,65.10460710525513,,,59314,,,1763260125.3628511,,50.0,,50.0,,
1395,0.011211571283638477,65.48633742332458,1040.0,0.00026428571436554193,59648,0.8694443702697754,0.05859375,1763260125.7445815,0.0038651488721370697,61.0,0.0348765105009079,61.0,0.4562298655509949,2.672579288482666
1399,0.007115415297448635,65.7142481803894,1040.0,0.0002641321043483913,59904,0.9528872966766357,0.0078125,1763260125.9724922,0.003098808228969574,,0.028739379718899727,,0.5233434438705444,19.459396362304688
1405,,65.97135949134827,,,60242,,,1763260126.2296035,,107.0,,107.0,,
1432,,67.39180207252502,,,61803,,,1763260127.650046,,101.0,,101.0,,
1433,0.0008912021294236183,67.51400327682495,1041.0,0.0002629800292197615,61824,0.9984301328659058,0.0,1763260127.7722473,-0.0022591538727283478,,0.019020207226276398,,0.507888674736023,0.18538305163383484
1455,0.017138365656137466,68.91013383865356,1042.0,0.00026205836911685765,63360,0.9978616833686829,0.123046875,1763260129.1683779,0.011936966329813004,,-0.023593761026859283,,0.5742630958557129,0.1316809058189392
1456,0.008167942054569721,69.02036881446838,1043.0,0.00026198156410828233,63488,0.9984010457992554,0.041015625,1763260129.2786129,-0.005075931549072266,,0.0035773199051618576,,0.5064123868942261,0.06621412932872772
1457,,69.05193495750427,,,63575,,,1763260129.310179,,242.0,,242.0,,
1514,,74.26304984092712,,,69227,,,1763260134.5212939,,500.0,,500.0,,
1521,0.012692561373114586,75.44770550727844,1038.0,0.0002581413136795163,69888,0.8044494390487671,0.078125,1763260135.7059495,-0.07341477274894714,,0.01116878166794777,,0.4615340232849121,0.0022574015893042088
1527,0.00834883563220501,76.47164011001587,1032.0,0.0002577572886366397,70528,0.2831716537475586,0.033203125,1763260136.7298841,-0.028112873435020447,,0.0017952285706996918,,0.4013705253601074,9.347226296085864e-05
1529,,76.71406984329224,,,70727,,,1763260136.972314,,500.0,,500.0,,
1534,,77.55960297584534,,,71227,,,1763260137.817847,,500.0,,500.0,,
1536,0.04163067787885666,77.9679925441742,1023.0,0.00025721965357661247,71424,0.7793696522712708,0.15625,1763260138.2262366,-0.0929466038942337,,0.06910018622875214,,0.44908425211906433,0.008235516026616096
1543,0.005849733017385006,79.2701849937439,1015.0,0.00025675882352516055,72192,0.3641921281814575,0.013671875,1763260139.528429,-0.028511671349406242,,0.007840256206691265,,0.39897578954696655,5.419480658019893e-05
1545,0.0001655900850892067,79.52996182441711,1013.0,0.00025668201851658523,72320,-0.0008347034454345703,0.0,1763260139.7882059,-0.001532839611172676,,0.00335626769810915,,0.39514774084091187,0.00795185100287199
1546,0.0008671078830957413,79.74308109283447,1011.0,0.0002566052135080099,72448,0.7894525527954102,0.0,1763260140.0013251,6.0576945543289185e-05,,0.01092093251645565,,0.46342235803604126,0.000694209651555866
1558,,82.0762870311737,,,73727,,,1763260142.334531,,500.0,,500.0,,
1559,0.00046199746429920197,82.31748175621033,994.0,0.0002558371634222567,73728,2.276897430419922e-05,0.0,1763260142.5757258,0.009929314255714417,,-0.004627758637070656,,0.4243244230747223,0.9374395608901978
1563,,83.13402962684631,,,74227,,,1763260143.3922737,,500.0,,500.0,,
1566,0.011252868920564651,83.93728518486023,982.0,0.0002553763333708048,74496,0.5424144864082336,0.041015625,1763260144.1955292,-0.00504002720117569,,0.028839653357863426,,0.3680657744407654,0.00018644516239874065
1589,0.0014328258112072945,88.45179653167725,956.0,0.000253993843216449,76800,-0.0007928609848022461,0.0,1763260148.7100406,-0.016868695616722107,,0.0038749249652028084,,0.3467055857181549,0.015016482211649418
1597,0.003647387959063053,89.92017531394958,950.0,0.0002534562081564218,77696,0.40964043140411377,0.068359375,1763260150.1784194,-0.012733951210975647,,0.012409467250108719,,0.35377752780914307,0.00023496859648730606
1607,0.021130554378032684,91.6243646144867,943.0,0.0002528417680878192,78720,0.49339473247528076,0.1328125,1763260151.8826087,-0.06570015847682953,,0.07590062916278839,,0.33498191833496094,9.013412636704743e-06
1609,0.0028388220816850662,91.8805148601532,941.0,0.0002527649630792439,78848,-0.0009113550186157227,0.005859375,1763260152.138759,0.021046694368124008,,-0.019523225724697113,,0.2922506630420685,131.38548278808594
1610,0.004600285552442074,92.07608795166016,941.0,0.0002526881580706686,78976,0.4315263628959656,0.013671875,1763260152.334332,-0.029512662440538406,,0.0244038887321949,,0.3627066910266876,0.0017724131466820836
1638,0.010720954276621342,96.77403235435486,922.0,0.000250998476985842,81792,-0.0010983943939208984,0.044921875,1763260157.0322764,0.0010209009051322937,,-0.0024911481887102127,,0.32992249727249146,134.34324645996094
1687,0.005212161689996719,105.20075535774231,894.0,0.0002480030816514045,86784,-0.0010286569595336914,0.029296875,1763260165.4589994,-0.01950220949947834,,-0.004892237484455109,,0.3179613947868347,0.015260446816682816
1732,0.04570212960243225,112.67588520050049,874.0,0.00024523810134269297,91392,0.7359827160835266,0.09375,1763260172.9341292,-0.01086512953042984,,0.07634396851062775,,0.38807690143585205,0.003933504223823547
1745,,114.62477231025696,,,92727,,,1763260174.8830163,,500.0,,500.0,,
1753,0.003970494493842125,116.06742191314697,867.0,0.00024393241619691253,93568,-0.7852245569229126,0.037109375,1763260176.325666,-0.028605464845895767,,0.013895949348807335,,0.28603339195251465,2.5633233235566877e-05
1754,0.014008390717208385,116.2655737400055,866.0,0.0002438556111883372,93696,-0.45861828327178955,0.16015625,1763260176.5238178,-0.010405026376247406,,0.03584844619035721,,0.33780765533447266,0.00019117226474918425
1765,,118.07675170898438,,,94727,,,1763260178.3349957,,500.0,,500.0,,
1768,0.0001561921089887619,118.7361330986023,860.0,0.00024301075609400868,95104,-0.5050104856491089,0.0,1763260178.9943771,-0.004092409275472164,,0.002963954582810402,,0.277614563703537,2.097256583510898e-05
1777,1.0925345122814178e-05,120.39647388458252,855.0,0.00024247312103398144,96000,-0.011910200119018555,0.0,1763260180.654718,-0.0005120187997817993,,-0.00043580029159784317,,0.23515115678310394,1.970199264178518e-06
1818,0.002658810466527939,128.37410926818848,833.0,0.00023993855575099587,100224,-0.47054362297058105,0.0,1763260188.6323533,-0.02824236825108528,,0.02809654176235199,,0.24698962271213531,0.0002557113766670227
1823,,129.06046843528748,,,100727,,,1763260189.3187125,,500.0,,500.0,,
1851,0.014723315834999084,133.8426480293274,823.0,0.00023794162552803755,103552,-0.43728065490722656,0.111328125,1763260194.100892,-0.01862272620201111,,0.010863132774829865,,0.21922564506530762,3.140351691399701e-05
1856,0.00129645224660635,134.69342398643494,822.0,0.00023763440549373627,104064,-0.7622939348220825,0.0,1763260194.951668,-0.015951082110404968,,0.01637708768248558,,0.26870718598365784,2.3122509446693584e-05
1868,,136.6109402179718,,,105227,,,1763260196.8691843,,500.0,,500.0,,
1873,0.0044553810730576515,137.4515769481659,817.0,0.0002366359403822571,105728,-9.059906005859375e-06,0.021484375,1763260197.709821,0.0034395158290863037,,0.024209585040807724,,0.31458431482315063,139.0889129638672
1877,,138.11687898635864,,,106227,,,1763260198.375123,,500.0,,500.0,,
1886,0.030440768226981163,139.76057600975037,814.0,0.00023579108528792858,107136,-0.03242170810699463,0.14453125,1763260200.01882,-0.05833917856216431,,0.12055684626102448,,0.3271898925304413,3.745080903172493e-05
1903,0.003291405737400055,142.5680239200592,809.0,0.00023479262017644942,108800,-0.00010883808135986328,0.01171875,1763260202.826268,0.0011729821562767029,,0.006634745746850967,,0.16204513609409332,139.07614135742188
1906,2.955552190542221e-05,143.191547870636,808.0,0.00023456220515072346,109184,0.05480659008026123,0.0,1763260203.449792,-0.003480464220046997,,0.0011919373646378517,,0.20427213609218597,0.0001638122630538419
1918,0.0008852481842041016,145.13961935043335,805.0,0.0002338709746254608,110336,9.59634780883789e-06,0.0,1763260205.3978634,-0.0037068240344524384,,0.007991217076778412,,0.20258121192455292,1.1406221389770508
1920,0.00028678402304649353,145.55324268341064,804.0,0.00023371736460831016,110592,-0.6255377531051636,0.0,1763260205.8114867,0.0029994696378707886,,0.0001422334462404251,,0.2775309085845947,4.863969479629304e-06
1945,0.004083774983882904,149.75519347190857,799.0,0.00023218126443680376,113152,0.22473835945129395,0.025390625,1763260210.0134375,0.0031443536281585693,,-0.0031925123184919357,,0.18539920449256897,0.0001438261242583394
1959,0.0012568635866045952,152.10475635528564,795.0,0.00023133640934247524,114560,0.2871161103248596,0.0,1763260212.3630004,-0.0032636895775794983,,0.008077607490122318,,0.2239154875278473,8.589159551775083e-05
1973,0.003398282453417778,154.45554208755493,792.0,0.0002304915542481467,115968,-0.5743042230606079,0.005859375,1763260214.7137861,0.003138311207294464,,0.007166020572185516,,0.2436503767967224,0.005586192477494478
1985,,156.46383428573608,,,117227,,,1763260216.7220783,,500.0,,500.0,,
1991,0.0013020820915699005,157.5588939189911,788.0,0.00022941628412809223,117760,-3.540515899658203e-05,0.046875,1763260217.817138,-0.0008634906262159348,,-0.004581928253173828,,0.12649953365325928,139.2161865234375
2002,0.001390622928738594,159.51747751235962,785.0,0.00022872503905091435,118912,0.7347872257232666,0.021484375,1763260219.7757215,-0.009772781282663345,,0.0021452922374010086,,0.1569814532995224,0.001076176529750228
2007,0.0010549556463956833,160.3939549922943,784.0,0.00022841781901661307,119424,0.19921404123306274,0.0,1763260220.652199,-0.01145422738045454,,0.0077276043593883514,,0.18428818881511688,0.002182908821851015
2016,6.852112710475922e-05,161.88312482833862,782.0,0.00022788018395658582,120320,-0.00010609626770019531,0.0,1763260222.1413689,9.893067181110382e-05,,0.0016735084354877472,,0.1645851582288742,0.0062629226595163345
2024,0.007900217548012733,163.34481287002563,781.0,0.00022734254889655858,121216,-0.17866301536560059,0.05078125,1763260223.603057,0.002990264445543289,,0.007176708430051804,,0.142114520072937,3.4564534871606156e-05
2027,0.0020914236083626747,163.78740429878235,780.0,0.00022718893887940794,121472,-0.5001369714736938,0.001953125,1763260224.0456483,0.008358674123883247,,-0.007779278792440891,,0.22960424423217773,0.0035287775099277496
2034,,164.92515778541565,,,122227,,,1763260225.1834018,,500.0,,500.0,,
2045,0.0031529348343610764,166.83644700050354,776.0,0.00022611366875935346,123264,-0.00011646747589111328,0.009765625,1763260227.094691,0.001957286149263382,,0.0007223095744848251,,0.2261054515838623,0.09740366786718369
2051,0.0007320838049054146,167.86991953849792,775.0,0.00022572964371647686,123904,0.5833179950714111,0.001953125,1763260228.1281636,-0.0029786918312311172,,0.0061010317876935005,,0.18937595188617706,0.004108281806111336
2052,0.005681520327925682,168.0649311542511,775.0,0.00022565283870790154,124032,-0.9988988637924194,0.037109375,1763260228.3231752,-0.004600744694471359,,0.005983663722872734,,0.2700313329696655,0.00010933890007436275
2070,0.0021198000758886337,171.0476598739624,772.0,0.00022457756858784705,125824,-6.0558319091796875e-05,0.03125,1763260231.305904,0.0008038301020860672,,0.004457389935851097,,0.16677270829677582,138.67776489257812
2076,0.003912114538252354,172.05478143692017,771.0,0.00022419354354497045,126464,-0.5698708295822144,0.009765625,1763260232.3130255,-0.029338903725147247,,0.010309348814189434,,0.14612449705600739,0.0015939136501401663
2093,,174.80981945991516,,,128227,,,1763260235.0680635,,500.0,,500.0,,
2094,0.005715367384254932,174.97614812850952,768.0,0.00022311827342491597,128256,-2.8252601623535156e-05,0.056640625,1763260235.2343922,0.0002705249935388565,,-0.0007408065721392632,,0.18159934878349304,138.44659423828125
2117,0.02493838220834732,178.90442967414856,765.0,0.0002216589928139001,130688,-0.16246819496154785,0.130859375,1763260239.1626737,-0.010664809495210648,,0.038265105336904526,,0.22357897460460663,7.343185279751197e-05
2146,7.952284067869186e-05,183.47748637199402,762.0,0.00021989247761666775,133632,-1.2612323760986328,0.013671875,1763260243.7357304,0.00021898001432418823,,-0.00048598553985357285,,0.06247313320636749,2.3382348445011303e-05
2148,0.0005334168672561646,183.72096872329712,761.0,0.00021981567260809243,133760,6.73532485961914e-05,0.0,1763260243.9792128,0.00044148601591587067,,0.002871241420507431,,0.1194486916065216,12.150484085083008
2155,0.005780454725027084,184.9077684879303,761.0,0.0002193548425566405,134528,-2.244701862335205,0.109375,1763260245.1660125,-0.023207083344459534,,0.03102850168943405,,0.23356302082538605,0.00026552248164080083
2172,,187.55560183525085,,,136227,,,1763260247.8138459,,500.0,,500.0,,
2185,0.002666323445737362,189.7178647518158,757.0,0.00021751152235083282,137600,-0.48977577686309814,0.00390625,1763260249.9761088,-0.002226300537586212,,-0.002435159869492054,,0.11717046797275543,3.756093792617321e-05
2192,0.0030410904437303543,190.73564314842224,757.0,0.00021712749730795622,138240,1.5497207641601562e-05,0.01171875,1763260250.9938872,0.0107033159583807,,0.00026216544210910797,,0.11992106586694717,0.009404885582625866
2199,0.0035339538007974625,191.8807191848755,756.0,0.0002166666672565043,139008,-0.1469104290008545,0.033203125,1763260252.1389632,-0.0026221349835395813,,-0.00559590570628643,,0.0764988362789154,6.387571920640767e-05
2211,,193.66664505004883,,,140227,,,1763260253.924889,,500.0,,500.0,,
2214,0.02339717000722885,194.21608138084412,755.0,0.00021574500715360045,140544,-2.8224573135375977,0.1484375,1763260254.4743254,-0.030081026256084442,,0.04674985632300377,,0.20451095700263977,8.002104732440785e-05
2220,0.005430699326097965,195.17304372787476,754.0,0.00021536098211072385,141184,-0.9530215263366699,0.068359375,1763260255.4312878,-0.023111630231142044,,0.020265791565179825,,0.18348880112171173,8.742709906073287e-05
2223,0.003188810311257839,195.59022521972656,754.0,0.0002152073720935732,141440,-0.5866259336471558,0.005859375,1763260255.8484693,-0.012229569256305695,,0.00851182360202074,,0.2574295103549957,0.003288429928943515
2225,0.005378291010856628,195.96062421798706,754.0,0.00021505376207642257,141696,-0.506803035736084,0.03515625,1763260256.2188683,-0.01499023288488388,,0.02429863251745701,,0.1469258815050125,9.850911737885326e-05
2226,,196.00308775901794,,,141727,,,1763260256.2613318,,500.0,,500.0,,
2227,0.0036132903769612312,196.19901180267334,754.0,0.00021497695706784725,141824,0.00017249584197998047,0.03515625,1763260256.4572558,-0.006815645843744278,,0.023473497480154037,,0.18928293883800507,150.58123779296875
