_step,losses/approx_kl,_runtime,charts/SPS,charts/learning_rate,global_step,losses/explained_variance,losses/clipfrac,_timestamp,losses/policy_loss,charts/episodic_length,losses/old_approx_kl,charts/episodic_return,losses/entropy,losses/value_loss
0,,7.369920015335083,,,0,,,1763260067.628164,,,,,,
7,,8.19918417930603,,,102,,,1763260068.4574282,,21.0,,21.0,,
33,,8.68811321258545,,,526,,,1763260068.9463573,,12.0,,12.0,,
41,,8.829723119735718,,,688,,,1763260069.0879672,,11.0,,11.0,,
47,,8.941901445388794,,,789,,,1763260069.2001455,,45.0,,45.0,,
64,,9.20555067062378,,,1069,,,1763260069.4637947,,15.0,,15.0,,
74,,9.344751358032227,,,1227,,,1763260069.6029954,,9.0,,9.0,,
77,,9.362098693847656,,,1264,,,1763260069.6203427,,11.0,,11.0,,
88,,9.570490598678589,,,1417,,,1763260069.8287346,,14.0,,14.0,,
102,,9.768135786056519,,,1602,,,1763260070.0263798,,11.0,,11.0,,
104,,9.778536796569824,,,1623,,,1763260070.0367808,,9.0,,9.0,,
133,,10.149388074874878,,,1943,,,1763260070.407632,,10.0,,10.0,,
147,,10.28905963897705,,,2079,,,1763260070.5473037,,12.0,,12.0,,
149,,10.300148963928223,,,2101,,,1763260070.558393,,9.0,,9.0,,
150,,10.30446743965149,,,2109,,,1763260070.5627115,,8.0,,8.0,,
155,,10.33434271812439,,,2168,,,1763260070.5925868,,13.0,,13.0,,
157,,10.411407947540283,,,2185,,,1763260070.669652,,17.0,,17.0,,
195,,10.854127645492554,,,2574,,,1763260071.1123717,,15.0,,15.0,,
203,,10.925138235092163,,,2671,,,1763260071.1833823,,9.0,,9.0,,
213,,11.04866337776184,,,2780,,,1763260071.3069074,,13.0,,13.0,,
217,0.007570861838757992,11.136146068572998,943.0,0.00029838710906915367,2816,0.3795601725578308,0.046875,1763260071.39439,-0.03819727152585983,,0.04035857692360878,,0.6030372977256775,0.8639883995056152
228,,11.282715797424316,,,2991,,,1763260071.5409598,,14.0,,14.0,,
233,,11.319062232971191,,,3071,,,1763260071.5773063,,17.0,,17.0,,
251,,11.66552472114563,,,3385,,,1763260071.9237688,,32.0,,32.0,,
259,,11.798498153686523,,,3535,,,1763260072.0567422,,34.0,,34.0,,
265,,11.931354761123657,,,3648,,,1763260072.1895988,,28.0,,28.0,,
273,,12.190442085266113,,,3889,,,1763260072.4486861,,29.0,,29.0,,
274,,12.202893733978271,,,3923,,,1763260072.4611378,,34.0,,34.0,,
292,,12.884955406188965,,,4652,,,1763260073.1431994,,49.0,,49.0,,
327,,14.040218114852905,,,5883,,,1763260074.2984622,,43.0,,43.0,,
330,,14.140153169631958,,,5962,,,1763260074.3983972,,39.0,,39.0,,
332,,14.283217191696167,,,6108,,,1763260074.5414612,,146.0,,146.0,,
337,0.006382858380675316,14.58687424659729,994.0,0.0002962365688290447,6400,-0.04104030132293701,0.02734375,1763260074.8451183,-0.03187179937958717,,0.01368667185306549,,0.42408230900764465,3.9217469692230225
340,0.0016411170363426208,14.702414512634277,996.0,0.0002961597638204694,6528,0.05711275339126587,0.0,1763260074.9606586,-0.0032849162817001343,,0.011581037193536758,,0.3888190686702728,0.659772515296936
370,,15.881344318389893,,,7819,,,1763260076.1395884,,118.0,,118.0,,
396,,16.86390972137451,,,8945,,,1763260077.1221538,,65.0,,65.0,,
425,0.0004985202103853226,18.43953514099121,983.0,0.0002940092235803604,10112,0.38529062271118164,0.0,1763260078.6977792,-0.0029195845127105713,,0.002118311822414398,,0.3628544509410858,10.6745023727417
441,0.0017199097201228142,19.20421028137207,972.0,0.0002936251985374838,10752,0.5444995760917664,0.0,1763260079.4624543,-0.01290055736899376,,0.009775432758033276,,0.45880237221717834,6.927562713623047
450,,19.632404088974,,,11153,,,1763260079.8906481,,72.0,,72.0,,
