losses/approx_kl,_step,_runtime,losses/old_approx_kl,losses/explained_variance,charts/learning_rate,global_step,losses/clipfrac,losses/value_loss,losses/policy_loss,charts/SPS,_timestamp,losses/entropy,charts/episodic_length,charts/episodic_return
,0,2.1539390087127686,,,,0,,,,,1763260044.316686,,,
4.862062633037567e-05,7,3.2819879055023193,0.0018422994762659073,0.319077730178833,0.0003000000142492354,128,0.0,0.8251068592071533,-0.0048062484711408615,1007.0,1763260045.4447348,0.6930855512619019,,
0.0001592729240655899,33,3.785007953643799,0.0022644158452749252,0.2870761752128601,0.0002996927942149341,640,0.0,0.7650211453437805,-0.008333459496498108,1015.0,1763260045.9477549,0.6919338703155518,,
,41,3.9123997688293457,,,,771,,,,,1763260046.0751467,,16.0,16.0
,47,3.957345962524414,,,,871,,,,,1763260046.1200929,,16.0,16.0
,64,4.4224629402160645,,,,1344,,,,,1763260046.5852098,,18.0,18.0
,74,4.601912975311279,,,,1522,,,,,1763260046.76466,,17.0,17.0
,77,4.688964128494263,,,,1559,,,,,1763260046.851711,,20.0,20.0
,88,4.842329978942871,,,,1752,,,,,1763260047.005077,,22.0,22.0
,102,5.065581560134888,,,,1939,,,,,1763260047.2283285,,15.0,15.0
,104,5.0849831104278564,,,,1984,,,,,1763260047.24773,,14.0,14.0
,133,5.461274147033691,,,,2322,,,,,1763260047.624021,,13.0,13.0
,147,5.626286029815674,,,,2481,,,,,1763260047.789033,,12.0,12.0
,149,5.653075695037842,,,,2510,,,,,1763260047.8158226,,18.0,18.0
,150,5.684723377227783,,,,2523,,,,,1763260047.8474703,,13.0,13.0
,155,5.800863742828369,,,,2569,,,,,1763260047.9636106,,10.0,10.0
,157,5.810895919799805,,,,2588,,,,,1763260047.9736428,,8.0,8.0
,195,6.22322154045105,,,,2985,,,,,1763260048.3859684,,11.0,11.0
0.001239430159330368,203,6.333174467086792,-0.006387343630194664,0.47844988107681274,0.000298233499052003,3072,0.0,1.0191230773925781,0.0027921870350837708,966.0,1763260048.4959214,0.5677406787872314,,
,213,6.389432668685913,,,,3179,,,,,1763260048.5521796,,10.0,10.0
,217,6.476186990737915,,,,3216,,,,,1763260048.638934,,13.0,13.0
,228,6.607701063156128,,,,3336,,,,,1763260048.770448,,14.0,14.0
,233,6.638951539993286,,,,3400,,,,,1763260048.8016984,,13.0,13.0
,251,6.954490423202515,,,,3679,,,,,1763260049.1172373,,19.0,19.0
,259,7.0830278396606445,,,,3816,,,,,1763260049.2457747,,16.0,16.0
,265,7.2017436027526855,,,,3911,,,,,1763260049.3644905,,21.0,21.0
,273,7.3379151821136475,,,,4077,,,,,1763260049.500662,,29.0,29.0
0.003731951117515564,274,7.4140801429748535,0.01322045549750328,0.4608761668205261,0.00029761905898340046,4096,0.0,1.6883537769317627,-0.011906698346138,961.0,1763260049.576827,0.6313313841819763,,
,292,7.8695502281188965,,,,4571,,,,,1763260050.0322971,,40.0,40.0
,327,9.056497812271118,,,,5852,,,,,1763260051.2192447,,45.0,45.0
,330,9.160759687423706,,,,5947,,,,,1763260051.3235066,,66.0,66.0
,332,9.25957727432251,,,,6023,,,,,1763260051.4223242,,76.0,76.0
,337,9.401805639266968,,,,6222,,,,,1763260051.5645525,,45.0,45.0
,340,9.504920482635498,,,,6313,,,,,1763260051.6676674,,58.0,58.0
0.0021323375403881073,370,10.725656986236572,0.017485983669757843,0.023314356803894043,0.0002955453237518668,7552,0.001953125,4.973305702209473,0.006041586399078369,997.0,1763260052.888404,0.44245073199272156,,
