_runtime,losses/approx_kl,charts/episodic_return,charts/SPS,_step,losses/entropy,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,_timestamp,losses/clipfrac,charts/episodic_length,losses/value_loss,charts/learning_rate,global_step
8.717753171920776,,,,0,,,,,1763260069.000745,,,,,0
9.633648872375488,,13.0,,7,,,,,1763260069.9166408,,13.0,,,108
10.183758974075317,,20.0,,33,,,,,1763260070.4667509,,20.0,,,634
10.391815662384033,,16.0,,41,,,,,1763260070.6748075,,16.0,,,777
10.515294790267944,0.0001716427505016327,,958.0,47,0.6914230585098267,-0.009092818945646286,0.0003448314964771271,0.4815131425857544,1763260070.7982867,0.0,,0.7147530913352966,0.00029953918419778347,896
10.80352258682251,,19.0,,64,,,,,1763260071.0865145,,19.0,,,1193
11.08359169960022,,33.0,,74,,,,,1763260071.3665836,,33.0,,,1432
11.112212657928467,,19.0,,77,,,,,1763260071.3952045,,19.0,,,1497
11.349584817886353,,17.0,,88,,,,,1763260071.6325767,,17.0,,,1670
11.523609638214111,,13.0,,102,,,,,1763260071.8066015,,13.0,,,1852
11.53576397895813,,11.0,,104,,,,,1763260071.8187559,,11.0,,,1875
11.952353715896606,,8.0,,133,,,,,1763260072.2353456,,8.0,,,2284
12.226964712142944,,23.0,,147,,,,,1763260072.5099566,,23.0,,,2470
12.242180109024048,,20.0,,149,,,,,1763260072.525172,,20.0,,,2502
12.25177264213562,,20.0,,150,,,,,1763260072.5347645,,20.0,,,2522
12.350144386291504,,14.0,,155,,,,,1763260072.6331363,,14.0,,,2578
12.369139909744263,,21.0,,157,,,,,1763260072.6521318,,21.0,,,2620
13.007818937301636,0.007134000770747662,,933.0,195,0.5847804546356201,-0.015694785863161087,0.015087917447090149,0.2362734079360962,1763260073.2908108,0.0078125,,0.8275176286697388,0.0002981566940434277,3200
13.138489723205566,0.002488192170858383,,935.0,203,0.5832996368408203,0.0225056242197752,-0.010330049321055412,0.2745060324668884,1763260073.4214816,0.0,,1.4456888437271118,0.0002980798890348524,3328
13.325307607650757,,23.0,,213,,,,,1763260073.6082995,,23.0,,,3496
13.431435823440552,0.0005414895713329315,,930.0,217,0.5827339291572571,-0.004234418272972107,-0.0055542513728141785,0.34421980381011963,1763260073.7144277,0.0,,1.2914457321166992,0.00029792627901770175,3584
13.599047660827637,,23.0,,228,,,,,1763260073.8820395,,23.0,,,3774
13.711013555526733,,21.0,,233,,,,,1763260073.9940054,,21.0,,,3856
14.010301113128662,,18.0,,251,,,,,1763260074.293293,,18.0,,,4210
14.21551251411438,0.009744533337652683,,938.0,259,0.48782581090927124,-0.026371153071522713,0.021245986223220825,0.4368399977684021,1763260074.4985044,0.029296875,,1.4907245635986328,0.0002974654489662498,4352
14.374775886535645,0.006131370551884174,,934.0,265,0.5584995150566101,-0.023855768144130707,-0.03354286402463913,0.48353493213653564,1763260074.6577678,0.0078125,,1.646775484085083,0.0002973886439576745,4480
14.529072523117065,,27.0,,273,,,,,1763260074.8120644,,27.0,,,4680
14.542143821716309,,31.0,,274,,,,,1763260074.8251357,,31.0,,,4711
15.036646366119385,,50.0,,292,,,,,1763260075.3196383,,50.0,,,5190
16.457007884979248,,59.0,,327,,,,,1763260076.7399998,,59.0,,,6613
16.60727047920227,,90.0,,330,,,,,1763260076.8902624,,90.0,,,6769
16.703954458236694,,65.0,,332,,,,,1763260076.9869463,,65.0,,,6834
16.939581394195557,,91.0,,337,,,,,1763260077.2225733,,91.0,,,7084
17.073553323745728,,52.0,,340,,,,,1763260077.3565452,,52.0,,,7235
18.41631007194519,0.0002180458977818489,,970.0,370,0.4656867980957031,-0.0006490945816040039,0.0018633613362908363,-0.04372990131378174,1763260078.699302,0.0,,6.539621353149414,0.00029493088368326426,8576
19.890058279037476,0.004664829932153225,,931.0,396,0.4558708071708679,-0.024754598736763,-0.015870627015829086,-0.023851871490478516,1763260080.1730502,0.03125,,1.4390344619750977,0.0002943164436146617,9600
21.322347164154053,,47.0,,425,,,,,1763260081.605339,,47.0,,,10875
22.2009756565094,,51.0,,441,,,,,1763260082.4839675,,51.0,,,11539
22.511234760284424,,45.0,,450,,,,,1763260082.7942266,,45.0,,,11842
23.44828152656555,,54.0,,471,,,,,1763260083.7312734,,54.0,,,12725
23.810516357421875,,73.0,,481,,,,,1763260084.0935082,,73.0,,,13107
24.246712923049927,,52.0,,490,,,,,1763260084.5297048,,52.0,,,13518
24.738773822784424,,51.0,,504,,,,,1763260085.0217657,,51.0,,,14047
25.250061750411987,2.424139529466629e-05,,923.0,515,0.4385214149951935,-0.000484321266412735,-0.0020673396065831184,0.09729009866714478,1763260085.5330536,0.0,,1.2955318689346313,0.0002913978532887995,14464
25.758426189422607,,39.0,,530,,,,,1763260086.041418,,39.0,,,15014
26.123104095458984,,60.0,,539,,,,,1763260086.406096,,60.0,,,15384
26.53814148902893,0.0003020837903022766,,928.0,547,0.4422818124294281,-0.0007305480539798737,-0.007712163031101227,0.8822689652442932,1763260086.8211334,0.0,,0.19893112778663635,0.0002906298032030463,15744
26.800589561462402,,57.0,,555,,,,,1763260087.0835814,,57.0,,,16045
27.018247365951538,0.0004625050351023674,,932.0,559,0.41955509781837463,-0.005956949666142464,0.012279107235372066,0.9028480648994446,1763260087.3012393,0.02734375,,4.434978008270264,0.00029032258316874504,16256
27.347219944000244,,63.0,,568,,,,,1763260087.6302118,,63.0,,,16596
