_step,_runtime,global_step,_timestamp,charts/episodic_length,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,7.518075704574585,0,1763260067.7777367,,,,,,,,,,,
7,8.425816059112549,128,1763260068.685477,29.0,0.000965755432844162,0.5088294148445129,0.0015924107283353806,29.0,0.0,-0.014838330447673798,0.6922841668128967,0.0003000000142492354,988.0,0.8309730887413025
33,8.943378686904907,644,1763260069.2030396,11.0,,,,11.0,,,,,,
41,9.087831497192383,823,1763260069.3474925,32.0,,,,32.0,,,,,,
47,9.2127206325531,954,1763260069.4723816,13.0,,,,13.0,,,,,,
64,9.478311777114868,1244,1763260069.7379727,13.0,,,,13.0,,,,,,
74,9.690649271011353,1423,1763260069.9503102,14.0,,,,14.0,,,,,,
77,9.723711013793945,1502,1763260069.983372,30.0,,,,30.0,,,,,,
88,9.976527452468872,1664,1763260070.2361884,,0.005749663338065147,-0.08918881416320801,0.00039151497185230255,,0.00390625,0.005170095711946487,0.6549683809280396,0.00029907835414633155,990.0,0.7956613302230835
133,10.54664134979248,2298,1763260070.8063023,18.0,,,,18.0,,,,,,
147,10.761232852935791,2458,1763260071.0208938,15.0,,,,15.0,,,,,,
149,10.772144794464111,2481,1763260071.0318058,10.0,,,,10.0,,,,,,
150,10.781563758850098,2504,1763260071.0412247,23.0,,,,23.0,,,,,,
155,10.88253664970398,2568,1763260071.1421976,13.0,,,,13.0,,,,,,
157,10.895195245742798,2595,1763260071.1548562,16.0,,,,16.0,,,,,,
195,11.46352481842041,3152,1763260071.7231858,13.0,,,,13.0,,,,,,
203,11.593292474746704,3291,1763260071.8529534,18.0,,,,18.0,,,,,,
213,11.812328577041626,3483,1763260072.0719895,27.0,,,,27.0,,,,,,
217,11.852152109146118,3579,1763260072.111813,21.0,,,,21.0,,,,,,
228,12.208473920822144,3840,1763260072.4681349,,0.002615945413708687,0.2890934348106384,-0.0070439353585243225,,0.0,-0.014217544347047806,0.5977956652641296,0.0002977726690005511,981.0,0.5751745700836182
233,12.328712224960327,3968,1763260072.5883732,,0.004270665347576141,0.287101149559021,0.00502265989780426,,0.0078125,-0.008985858410596848,0.5692887902259827,0.0002976958639919758,984.0,1.1314566135406494
251,12.915946006774902,4608,1763260073.175607,,0.005011199973523617,0.6174871921539307,0.014436678029596806,,0.005859375,-0.016707133501768112,0.5559590458869934,0.0002973118389490992,997.0,0.568636417388916
259,13.293753147125244,5014,1763260073.553414,94.0,,,,94.0,,,,,,
273,13.875442028045654,5660,1763260074.135103,129.0,,,,129.0,,,,,,
274,13.894323110580444,5712,1763260074.153984,52.0,,,,52.0,,,,,,
292,14.748224258422852,6538,1763260075.0078852,73.0,,,,73.0,,,,,,
327,16.261512756347656,8219,1763260076.5211737,77.0,,,,77.0,,,,,,
330,16.406235933303833,8372,1763260076.665897,98.0,,,,98.0,,,,,,
332,16.501896619796753,8448,1763260076.7615576,,0.000749870203435421,0.9692953824996948,0.00018851552158594131,,0.0,-0.01089661568403244,0.3598996102809906,0.0002950076886918396,1029.0,0.28980836272239685
