losses/approx_kl,charts/learning_rate,_runtime,losses/clipfrac,losses/explained_variance,losses/value_loss,charts/episodic_length,charts/SPS,_step,_timestamp,losses/entropy,charts/episodic_return,global_step,losses/policy_loss,losses/old_approx_kl
,,8.738414764404297,,,,,,0,1763260068.9693608,,,0,,
,,9.698843002319336,,,,17.0,,7,1763260069.929789,,17.0,148,,
,,10.227745056152344,,,,56.0,,33,1763260070.4586911,,56.0,705,,
,,10.354034185409546,,,,9.0,,41,1763260070.5849802,,9.0,830,,
,,10.464370727539062,,,,9.0,,47,1763260070.6953168,,9.0,924,,
,,10.736136674880981,,,,23.0,,64,1763260070.9670827,,23.0,1215,,
,,10.873296737670898,,,,17.0,,74,1763260071.1042428,,17.0,1369,,
0.01527968980371952,0.0002992319641634822,10.965689897537231,0.060546875,-0.37514233589172363,1.0237666368484497,16.0,1006.0,77,1763260071.196636,0.5466585755348206,16.0,1408,-0.01696505956351757,0.03477953374385834
0.007572678849101067,0.00029915515915490687,11.138888835906982,0.025390625,-0.37132394313812256,1.4601513147354126,,976.0,88,1763260071.369835,0.4430329501628876,,1536,-0.0318276546895504,0.015929728746414185
,,11.684900760650635,,,,10.0,,133,1763260071.9158468,,10.0,2052,,
,,11.839557647705078,,,,12.0,,147,1763260072.0705037,,12.0,2211,,
,,11.849214792251587,,,,9.0,,149,1763260072.0801609,,9.0,2229,,
,,11.854082345962524,,,,10.0,,150,1763260072.0850284,,10.0,2239,,
,,11.883340835571289,,,,11.0,,155,1763260072.114287,,11.0,2296,,
,,11.959106683731079,,,,12.0,,157,1763260072.1900527,,12.0,2308,,
,,12.338829517364502,,,,11.0,,195,1763260072.5697756,,11.0,2680,,
,,12.444112777709961,,,,8.0,,203,1763260072.6750588,,8.0,2747,,
,,12.5610032081604,,,,11.0,,213,1763260072.7919493,,11.0,2837,,
,,12.709065198898315,,,,10.0,,228,1763260072.9400113,,10.0,2977,,
,,12.734246730804443,,,,10.0,,233,1763260072.9651928,,10.0,3024,,
,,12.97227144241333,,,,9.0,,251,1763260073.2032175,,9.0,3209,,
,,13.015820741653442,,,,12.0,,259,1763260073.2467668,,12.0,3295,,
0.009247630834579468,0.00029800308402627707,13.272679805755615,0.03125,0.6640684604644775,0.6987888813018799,,932.0,273,1763260073.5036259,0.5732442736625671,,3456,-0.02122599259018898,-0.031034905463457108
,,13.277073621749878,,,,11.0,,274,1763260073.5080197,,11.0,3459,,
,,13.499366044998169,,,,14.0,,292,1763260073.730312,,14.0,3711,,
0.004510011523962021,0.0002973886439576745,14.320422410964966,0.00390625,0.4501890540122986,1.944692850112915,,942.0,327,1763260074.5513685,0.5524206757545471,,4480,0.0011520134285092354,-0.002565257251262665
,,14.38198471069336,,,,26.0,,330,1763260074.6129308,,26.0,4572,,
0.0007539847865700722,0.0002970814239233732,14.876944303512573,0.0,-0.0796651840209961,0.8415637016296387,,940.0,340,1763260075.1078904,0.5045326948165894,,4992,0.008571786805987358,-0.0072334324941039085
,,16.0682315826416,,,,67.0,,370,1763260076.2991776,,67.0,6282,,
,,16.846344232559204,,,,59.0,,396,1763260077.0772903,,59.0,7130,,
,,17.827333211898804,,,,48.0,,425,1763260078.0582793,,48.0,8136,,
0.00020297430455684662,0.00029485407867468894,18.411854028701782,0.0,0.20835143327713013,0.37736302614212036,,984.0,441,1763260078.6428,0.412371963262558,,8704,-0.0001641456037759781,0.0006087999790906906
,,18.659077167510986,,,,42.0,,450,1763260078.8900232,,42.0,8972,,
9.610597044229507e-05,0.0002942396386060864,19.92961621284485,0.0,0.46614259481430054,6.4419779777526855,,938.0,471,1763260080.1605623,0.4681432843208313,,9728,-0.001127690076828003,0.0020794151350855827
,,20.709807872772217,,,,45.0,,490,1763260080.940754,,45.0,10395,,
,,21.322152853012085,,,,43.0,,504,1763260081.553099,,43.0,10984,,
,,21.85705256462097,,,,40.0,,515,1763260082.0879986,,40.0,11418,,
,,22.496291637420654,,,,57.0,,530,1763260082.7272377,,57.0,11981,,
,,23.49651074409485,,,,50.0,,555,1763260083.7274568,,50.0,12843,,
,,23.620100498199463,,,,45.0,,559,1763260083.8510466,,45.0,12972,,
,,23.868674755096436,,,,32.0,,568,1763260084.0996208,,32.0,13260,,
,,24.799628973007202,,,,53.0,,595,1763260085.030575,,53.0,14173,,
,,25.435269355773926,,,,29.0,,614,1763260085.6662154,,29.0,14737,,
,,25.936631202697754,,,,41.0,,630,1763260086.1675773,,41.0,15305,,
2.282671630382538e-06,0.00029070660821162164,26.28577947616577,0.0,0.8182171583175659,6.263974666595459,,934.0,640,1763260086.5167255,0.44360190629959106,,15616,0.0002712234854698181,-0.0006108107045292854
,,27.642406463623047,,,,40.0,,684,1763260087.8733525,,40.0,16946,,
,,27.770583629608154,,,,33.0,,689,1763260088.0015297,,33.0,17097,,
0.0001476667821407318,0.0002894777280744165,28.360377550125122,0.0,0.9843252897262573,0.5510681867599487,,939.0,707,1763260088.5913236,0.3798024654388428,,17664,0.0013635605573654175,-0.004133313894271851
,,29.054712057113647,,,,51.0,,729,1763260089.2856581,,51.0,18359,,
,,30.394205570220947,,,,39.0,,767,1763260090.6251516,,39.0,19646,,
,,30.64237880706787,,,,65.0,,775,1763260090.8733249,,65.0,19893,,
,,31.171987533569336,,,,39.0,,788,1763260091.4029336,,39.0,20403,,
,,31.96997904777527,,,,73.0,,806,1763260092.200925,,73.0,21241,,
,,34.30285954475403,,,,72.0,,863,1763260094.5338056,,72.0,23627,,
0.0030560623854398727,0.0002856374776456505,34.734047651290894,0.00390625,0.9360886812210083,0.22598187625408173,,956.0,872,1763260094.9649937,0.35691380500793457,,24064,-0.018415506929159164,-0.013116654008626938
,,34.87843060493469,,,,85.0,,876,1763260095.1093767,,85.0,24272,,
0.002204827032983303,0.0002841013774741441,37.15312671661377,0.00390625,-0.00843513011932373,3.1098382472991943,,965.0,922,1763260097.3840728,0.4051038920879364,,26624,0.004010617733001709,-0.014514296315610409
,,37.40987515449524,,,,41.0,,930,1763260097.6408212,,41.0,26923,,
,,37.788543701171875,,,,72.0,,941,1763260098.0194898,,72.0,27389,,
0.0019702427089214325,0.0002836405474226922,37.86302828788757,0.03125,-0.004856109619140625,35.15131759643555,,968.0,942,1763260098.0939744,0.38217076659202576,,27392,0.001854483038187027,0.006266403943300247
0.006010579876601696,0.0002834101323969662,38.275147438049316,0.01953125,-0.0020405054092407227,35.65843200683594,,967.0,948,1763260098.5060935,0.47494056820869446,,27776,0.010132912546396255,0.022780878469347954
,,39.578482151031494,,,,108.0,,974,1763260099.8094282,,108.0,29197,,
0.0018097767606377602,0.00028233486227691174,39.91373610496521,0.0,-0.0009672641754150391,0.22195497155189514,,974.0,980,1763260100.1446822,0.5062971115112305,,29568,0.01005949079990387,-0.008028236217796803
,,40.14625692367554,,,,101.0,,985,1763260100.377203,,101.0,29825,,
,,41.70863699913025,,,,146.0,,1015,1763260101.939583,,146.0,31507,,
0.0010058879852294922,0.00028056834707967937,42.70657420158386,0.0,-0.00041663646697998047,0.4006520211696625,,981.0,1031,1763260102.9375203,0.5854573845863342,,32512,-0.0006771739572286606,0.001071212813258171
0.0026339441537857056,0.00027972349198535085,43.991504430770874,0.00390625,-0.0006192922592163086,0.12060285359621048,,985.0,1050,1763260104.2224505,0.5812140703201294,,33920,0.01142660528421402,-0.013936538249254227
0.002999759279191494,0.0002795698819682002,44.220261335372925,0.0,-0.02558767795562744,0.10057613998651505,,986.0,1053,1763260104.4512074,0.5944064855575562,,34176,0.005398932844400406,-0.007147862575948238
0.003047242760658264,0.00027933946694247425,44.590827226638794,0.005859375,-0.0008718967437744141,0.4023790657520294,,986.0,1058,1763260104.8217733,0.5028834939002991,,34560,0.018524888902902603,0.0034751687198877335
0.0009181341156363487,0.00027826419682241976,46.34090042114258,0.0,-0.0052269697189331055,0.09301071614027023,,988.0,1083,1763260106.5718465,0.5593037605285645,,36352,0.0061943139880895615,-0.008267424069344997
