charts/episodic_length,losses/entropy,charts/episodic_return,_step,_timestamp,charts/SPS,losses/old_approx_kl,losses/policy_loss,_runtime,global_step,losses/explained_variance,losses/approx_kl,losses/value_loss,losses/clipfrac,charts/learning_rate
,,,0,1763260066.205726,,,,6.246269941329956,0,,,,,
16.0,,16.0,7,1763260067.5769234,,,,7.617467403411865,119,,,,,
15.0,,15.0,33,1763260068.0576918,,,,8.098235845565796,532,,,,,
12.0,,12.0,41,1763260068.1841393,,,,8.224683284759521,649,,,,,
9.0,,9.0,47,1763260068.231932,,,,8.272475957870483,756,,,,,
41.0,,41.0,64,1763260068.598826,,,,8.63936996459961,1026,,,,,
20.0,,20.0,74,1763260068.7470412,,,,8.787585258483887,1198,,,,,
20.0,,20.0,77,1763260068.7735848,,,,8.814128875732422,1259,,,,,
17.0,,17.0,88,1763260069.0012183,,,,9.041762351989746,1458,,,,,
15.0,,15.0,102,1763260069.2432344,,,,9.283778429031372,1686,,,,,
14.0,,14.0,104,1763260069.2566533,,,,9.297197341918945,1715,,,,,
19.0,,19.0,133,1763260069.8893209,,,,9.929864883422852,2313,,,,,
,0.6241000890731812,,147,1763260070.2464888,980.0,-0.0070799654349684715,-0.031269222497940063,10.287032842636108,2688,0.09004741907119751,0.001759958453476429,1.4253112077713013,0.0,0.000298463914077729
51.0,,51.0,149,1763260070.2860847,,,,10.326628684997559,2794,,,,,
,0.5937119126319885,,150,1763260070.3613114,985.0,0.022652074694633484,-0.025967635214328766,10.40185546875,2816,0.06537604331970215,0.005315172486007214,0.6369770169258118,0.005859375,0.00029838710906915367
22.0,,22.0,155,1763260070.4929662,,,,10.533510208129883,2980,,,,,
,0.5520252585411072,,157,1763260070.6162295,987.0,0.024962447583675385,-0.023285679519176483,10.656773567199707,3072,0.08178967237472534,0.004446722567081451,0.6064121127128601,0.0078125,0.000298233499052003
,0.5588794946670532,,172,1763260071.0856686,1000.0,-0.0027631865814328194,0.005125150084495544,11.12621259689331,3584,-0.006777286529541016,0.00108270812779665,1.275416374206543,0.0,0.00029792627901770175
51.0,,51.0,195,1763260071.9578784,,,,11.998422384262085,4570,,,,,
45.0,,45.0,203,1763260072.2081323,,,,12.248676300048828,4852,,,,,
65.0,,65.0,213,1763260072.549962,,,,12.590506076812744,5225,,,,,
,0.5087437629699707,,217,1763260072.7651982,1022.0,0.0009446078911423683,0.011985456570982933,12.805742263793945,5376,0.3435685634613037,0.0007429579272866249,2.0743250846862793,0.001953125,0.00029685100889764726
100.0,,100.0,228,1763260073.2249348,,,,13.26547884941101,5897,,,,,
109.0,,109.0,233,1763260073.4807084,,,,13.521252393722534,6241,,,,,
,0.43101999163627625,,251,1763260074.5910764,1047.0,0.005091891624033451,-0.07669685035943985,14.631620407104492,7424,0.00667881965637207,0.018379222601652145,0.465518593788147,0.103515625,0.00029562212876044214
,0.39144766330718994,,259,1763260075.0125558,1040.0,-0.005216582678258419,-0.002144990488886833,15.053099870681763,7808,-0.06057631969451904,0.00019675027579069138,0.7957346439361572,0.0,0.0002953917137347162
115.0,,115.0,265,1763260075.2634435,,,,15.303987503051758,8128,,,,,
61.0,,61.0,273,1763260075.6011117,,,,15.641655683517456,8499,,,,,
61.0,,61.0,274,1763260075.6215584,,,,15.662102460861206,8560,,,,,
56.0,,56.0,292,1763260076.7015948,,,,16.742138862609863,9356,,,,,
,0.37650254368782043,,327,1763260078.6642218,997.0,8.660368621349335e-05,0.00032857805490493774,18.704765796661377,11136,0.6473428606987,0.0002906452864408493,9.072214126586914,0.0,0.00029339478351175785
,0.3739612102508545,,330,1763260078.792692,997.0,-0.00022739171981811523,-0.01662234403192997,18.8332359790802,11264,0.8746814727783203,0.002462802454829216,5.749300956726074,0.00390625,0.00029331797850318253
,0.45859473943710327,,332,1763260078.903915,999.0,0.0027388883754611015,0.0017026867717504501,18.944458961486816,11392,0.8935725688934326,6.409455090761185e-05,3.101813554763794,0.0,0.0002932411734946072
143.0,,143.0,337,1763260079.2152784,,,,19.25582242012024,11765,,,,,
148.0,,148.0,340,1763260079.4111972,,,,19.451741218566895,11913,,,,,
,0.35077595710754395,,370,1763260081.5198393,1013.0,0.006388155743479729,-0.008635571226477623,21.560383319854736,14208,0.5465959906578064,0.00028874538838863373,0.29583847522735596,0.0,0.00029155146330595016
