_timestamp,charts/episodic_return,losses/clipfrac,charts/episodic_length,_step,charts/learning_rate,_runtime,global_step,charts/SPS,losses/value_loss,losses/policy_loss,losses/entropy,losses/old_approx_kl,losses/approx_kl,losses/explained_variance
1763260128.4510348,,0.02734375,,767,0.00026543778949417174,107.3929967880249,57728,706.0,303.89459228515625,0.015636764466762543,0.4424290359020233,-0.0032991115003824234,0.009874081239104271,0.02077043056488037
1763260129.4771836,,0.0625,,775,0.00026513056945987046,108.41914558410645,58240,703.0,65.65927124023438,0.005111878737807274,0.41936805844306946,-0.004728677682578564,0.007132678292691708,0.7276759147644043
1763260130.9263475,134.0,,134.0,788,,109.86830949783325,58971,,,,,,,
1763260132.2335727,140.0,,140.0,797,,111.17553472518921,59541,,,,,,,
1763260133.441086,,0.046875,,806,0.000264055299339816,112.38304805755615,60032,692.0,89.37910461425781,0.00012967735528945923,0.5083462595939636,0.03239821270108223,0.008284098468720913,0.8622948527336121
1763260134.5801299,146.0,,146.0,815,,113.52209186553955,60595,,,,,,,
1763260141.0939915,167.0,,167.0,863,,120.03595352172852,63772,,,,,,,
1763260142.480333,,0.03125,,872,0.00026136712403967977,121.42229509353638,64512,673.0,4.768214225769043,-0.014576125890016556,0.5173705220222473,-0.012026706710457802,0.010518187656998634,0.5925610065460205
1763260143.1612866,,0.037109375,,876,0.0002611367090139538,122.1032485961914,64896,672.0,4.893650054931641,-0.03217458724975586,0.5696907639503479,0.03389952331781387,0.012078909203410149,0.8588510751724243
1763260150.9742112,,0.001953125,,922,0.0002584485337138176,129.9161732196808,69376,665.0,0.46071428060531616,-0.018968962132930756,0.5451571941375732,-0.006639555096626282,0.0011487919837236404,0.34507787227630615
1763260152.3064659,500.0,,500.0,930,,131.2484278678894,70149,,,,,,,
1763260153.8283553,,0.19921875,,938,0.00025745006860233843,132.7703173160553,71040,663.0,0.11448761075735092,-0.03355811908841133,0.5312379598617554,-0.0011740848422050476,0.01597050577402115,-0.4825242757797241
1763260154.3196921,,0.0,,941,0.0002572964585851878,133.26165413856506,71296,662.0,0.16341395676136017,-0.01647680439054966,0.5449876189231873,0.008152661845088005,0.0006228741258382797,-0.14170753955841064
1763260154.5443497,,0.01953125,,942,0.00025721965357661247,133.48631167411804,71424,662.0,0.23438221216201782,-0.015475936233997345,0.47346895933151245,0.0050539784133434296,0.006252961233258247,0.36525779962539673
1763260155.6564856,,0.087890625,,948,0.00025683562853373587,134.59844756126404,72064,661.0,0.07891438901424408,-0.011249467730522156,0.5562334060668945,0.02363024652004242,0.009257948957383633,-1.7673394680023193
1763260160.2559621,500.0,,500.0,974,,139.19792413711548,74649,,,,,,,
1763260161.3897026,,0.009765625,,980,0.00025491550331935287,140.33166456222534,75264,656.0,191.10018920898438,0.0021136030554771423,0.4664924740791321,-0.011062824167311192,0.0034552114084362984,-0.0020455121994018555
1763260162.333642,,0.0,,985,0.0002546082832850516,141.2756040096283,75776,655.0,0.004850194789469242,-0.005682751536369324,0.541111171245575,0.010047231800854206,0.0020735496655106544,-0.0005075931549072266
1763260164.16895,,0.005859375,,995,0.000253993843216449,143.11091208457947,76800,653.0,0.011631881818175316,-0.012903540395200253,0.5137893557548523,0.017447123304009438,0.00744333490729332,0.15048927068710327
1763260164.572847,,0.00390625,,997,0.0002538402331992984,143.51480889320374,77056,653.0,0.0004964463878422976,-0.00016608648002147675,0.47086524963378906,-0.0005227010697126389,0.00027194246649742126,0.20648056268692017
1763260167.9144669,,0.037109375,,1015,0.0002527649630792439,146.85642886161804,78848,650.0,0.010310078971087933,-0.04435598850250244,0.4414469003677368,0.03261909261345863,0.011551757343113422,-0.10951006412506104
1763260168.8510947,,0.068359375,,1020,0.0002524577430449426,147.7930567264557,79360,649.0,0.007401449605822563,-0.006005272269248962,0.47288671135902405,0.04887950047850609,0.008176283910870552,0.2243361473083496
1763260171.0148034,,0.107421875,,1031,0.0002517665270715952,149.9567654132843,80512,647.0,0.00038195360684767365,-0.03455139696598053,0.4424588084220886,0.026296090334653854,0.020404398441314697,-0.1812288761138916
1763260174.4222023,,0.013671875,,1050,0.0002506144519429654,153.364164352417,82432,645.0,0.000654763774946332,-0.004141021519899368,0.47267720103263855,0.01955113559961319,0.005145142786204815,0.09079903364181519
1763260174.886253,,0.0,,1053,0.00025046084192581475,153.8282151222229,82688,645.0,211.13821411132812,0.0016058534383773804,0.471973717212677,0.0007341001182794571,0.0002927146852016449,-0.00037086009979248047
1763260175.8051906,,0.0,,1058,0.00025015362189151347,154.7471525669098,83200,644.0,240.0497589111328,0.0006425958126783371,0.4870278537273407,-0.0015963278710842133,0.0009017065167427063,-0.0008469820022583008
