charts/SPS,_runtime,charts/episodic_return,_timestamp,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,losses/approx_kl,losses/entropy,charts/learning_rate,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac
,24.67536425590515,,1763260045.8515422,,,,,,,,0,0,,
,25.702216863632202,32.0,1763260046.8783948,,32.0,,,,,,142,7,,
,26.242053270339966,16.0,1763260047.4182312,,16.0,,,,,,742,33,,
,26.45221209526062,28.0,1763260047.62839,,28.0,,,,,,912,41,,
,26.581228256225586,21.0,1763260047.7574062,,21.0,,,,,,1053,47,,
,27.106426000595093,30.0,1763260048.282604,,30.0,,,,,,1630,64,,
,27.341400623321533,21.0,1763260048.5175786,,21.0,,,,,,1862,74,,
,27.438571453094482,46.0,1763260048.6147494,,46.0,,,,,,1936,77,,
,27.849563121795654,12.0,1763260049.025741,,12.0,,,,,,2418,88,,
998.0,28.35592555999756,,1763260049.5321035,0.004144556820392609,,0.05968064069747925,0.000761101022362709,0.5840737223625183,0.00029838710906915367,-0.008549004793167114,2816,102,21.529869079589844,0.0
,28.38791823387146,44.0,1763260049.5640962,,44.0,,,,,,2878,104,,
,29.91859793663025,100.0,1763260051.094776,,100.0,,,,,,4578,133,,
1039.0,30.707936763763428,,1763260051.8841147,-0.0009083496406674385,,0.31956493854522705,0.0008077668026089668,0.6279116868972778,0.00029685100889764726,-0.008550282567739487,5376,147,20.995994567871094,0.0
1041.0,30.819395303726196,,1763260051.9955733,0.0014440016821026802,,0.0058023929595947266,5.3503550589084625e-05,0.6163983345031738,0.00029677420388907194,-0.007028445601463318,5504,149,25.92291259765625,0.0
1043.0,30.931133031845093,,1763260052.107311,0.0022309618070721626,,0.4148368239402771,9.356532245874405e-05,0.5867384672164917,0.0002966973988804966,-0.0019432567059993744,5632,150,31.12282943725586,0.0
1045.0,31.169994592666626,,1763260052.3461726,0.0025127120316028595,,0.3897380828857422,0.00013188272714614868,0.6041571497917175,0.000296543788863346,-0.006878107786178589,5888,155,22.377227783203125,0.0
1044.0,31.294849157333374,,1763260052.4710271,-0.0034886933863162994,,0.19079363346099854,0.0009996388107538223,0.5842374563217163,0.00029646698385477066,-0.004500668495893478,6016,157,23.303401947021484,0.0
,32.244470834732056,154.0,1763260053.4206488,,154.0,,,,,,7112,172,,
1063.0,33.59725332260132,,1763260054.7734313,0.006341049447655678,,0.201257586479187,0.0012675654143095016,0.619705319404602,0.00029493088368326426,0.00761336088180542,8576,195,21.75118637084961,0.0
1067.0,34.05217623710632,,1763260055.2283542,0.007798024453222752,,0.01578998565673828,0.0009498270228505135,0.5671020746231079,0.000294623663648963,-0.01717185415327549,9088,203,25.75039291381836,0.0
1033.0,35.200292348861694,,1763260056.3764703,-0.005820447579026222,,0.04857337474822998,0.0005934573709964752,0.5765142440795898,0.00029408602858893573,-0.0012033767998218536,9984,213,21.2519474029541,0.0
,35.575016021728516,184.0,1763260056.751194,,184.0,,,,,,10313,217,,
,37.06341505050659,254.0,1763260058.239593,,254.0,,,,,,11155,228,,
939.0,37.79806637763977,,1763260058.9742444,0.006639759987592697,,0.004316866397857666,0.001618068665266037,0.5623972415924072,0.0002931643684860319,-0.003403239883482456,11520,233,17.252370834350586,0.0
,40.488290309906006,379.0,1763260061.6644683,,379.0,,,,,,12985,251,,
,41.51804995536804,260.0,1763260062.694228,,260.0,,,,,,13645,259,,
,42.232667446136475,189.0,1763260063.4088454,,189.0,,,,,,14125,265,,
846.0,42.769888401031494,,1763260063.9460664,0.006626535207033157,,0.4514009356498718,0.0003566127270460129,0.6065964698791504,0.0002913210482802242,-0.0027141859754920006,14592,273,16.587322235107422,0.0
,42.808042764663696,162.0,1763260063.9842207,,162.0,,,,,,14710,274,,
864.0,44.19989800453186,,1763260065.376076,-0.0061922697350382805,,0.029444873332977295,0.0001680748537182808,0.5771805644035339,0.00029039938817732036,-0.0025781579315662384,16128,292,15.201963424682617,0.0
882.0,46.41052031517029,,1763260067.5866983,0.0006322767585515976,,0.6570630073547363,3.4829601645469666e-05,0.5550280809402466,0.0002890168980229646,-0.0031125694513320923,18432,321,23.81890106201172,0.0
,46.779162883758545,160.0,1763260067.9553409,,160.0,,,,,,18896,327,,
,46.90080976486206,47.0,1763260068.0769877,,47.0,,,,,,19040,330,,
,47.013662338256836,126.0,1763260068.1898403,,126.0,,,,,,19166,332,,
,47.3729829788208,157.0,1763260068.549161,,157.0,,,,,,19457,337,,
893.0,47.59835505485535,,1763260068.774533,-0.0007909238338470459,,0.7521975040435791,0.00042815692722797394,0.5736852884292603,0.0002882488479372114,0.0002048388123512268,19712,340,15.573053359985352,0.0
903.0,49.77088761329651,,1763260070.9470656,0.005802898667752743,,0.14239048957824707,0.00011046137660741806,0.5552777051925659,0.00028694316279143095,-0.006062671542167664,21888,370,53.763328552246094,0.0
,50.08860230445862,138.0,1763260071.2647803,,138.0,,,,,,22235,375,,
