losses/old_approx_kl,global_step,charts/learning_rate,losses/clipfrac,_timestamp,losses/policy_loss,_step,charts/SPS,charts/episodic_return,_runtime,losses/value_loss,charts/episodic_length,losses/explained_variance,losses/entropy,losses/approx_kl
,11903,,,1763260060.5502584,,259,,288.0,39.41033339500427,,288.0,,,
-0.0054752519354224205,12288,0.00029270353843457997,0.001953125,1763260061.4390626,0.015892688184976578,265,862.0,,40.299137592315674,34.16770553588867,,0.04171818494796753,0.5473764538764954,0.0011214474216103554
,12873,,,1763260062.416851,,273,,194.0,41.276926040649414,,194.0,,,
-0.001232018694281578,12928,0.00029231951339170337,0.0,1763260062.5884662,-0.0012546591460704803,274,839.0,,41.44854116439819,12.48952865600586,,0.9526126980781555,0.5155103206634521,4.7227367758750916e-05
0.026446610689163208,14208,0.00029155146330595016,0.1484375,1763260064.1060371,-0.015068236738443375,292,839.0,,42.96611213684082,32.28077697753906,,0.13381612300872803,0.4825524687767029,0.009527682326734066
,16790,,,1763260066.5626764,,327,,391.0,45.42275142669678,,391.0,,,
,17088,,,1763260066.8341947,,330,,298.0,45.69426965713501,,298.0,,,
,17268,,,1763260066.976816,,332,,180.0,45.83689093589783,,180.0,,,
,17562,,,1763260067.2852552,,337,,151.0,46.14533019065857,,151.0,,,
-0.0042426688596606255,17792,0.0002894009230658412,0.0,1763260067.5023756,-9.643286466598511e-05,340,875.0,,46.36245059967041,16.71336555480957,,0.5989710092544556,0.5712329745292664,0.00013107899576425552
,20351,,,1763260069.7555227,,370,,125.0,48.61559772491455,,125.0,,,
,22719,,,1763260071.9955857,,396,,350.0,50.85566067695618,,350.0,,,
0.022211674600839615,25088,0.00028502303757704794,0.0,1763260074.4662352,-0.042278505861759186,425,919.0,,53.32631015777588,72.79843139648438,,0.39261913299560547,0.46473026275634766,0.0024758782237768173
-0.0017385594546794891,26368,0.00028425498749129474,0.0,1763260075.6991653,0.0039330050349235535,441,924.0,,54.55924034118652,7.855186462402344,,0.06501257419586182,0.5475888848304749,0.0001377984881401062
0.0019037742167711258,27008,0.00028387096244841814,0.0,1763260076.281703,-0.0004207529127597809,450,928.0,,55.141777992248535,14.074502944946289,,0.8766987323760986,0.5137751698493958,1.944601535797119e-05
0.0001765955239534378,28800,0.00028279569232836366,0.0,1763260078.1726825,-0.0004329867660999298,471,929.0,,57.03275752067566,5.861689567565918,,0.05682343244552612,0.5200759768486023,4.5357272028923035e-05
,29666,,,1763260079.1081245,,481,,162.0,57.968199491500854,,162.0,,,
-0.007837723009288311,30464,0.0002817972272168845,0.0,1763260079.9375787,-0.0036335736513137817,490,930.0,,58.797653675079346,113.46903991699219,,-0.04667544364929199,0.5107225179672241,0.0008343206718564034
0.023399624973535538,31872,0.00028095237212255597,0.0,1763260081.4697871,0.003775186836719513,504,929.0,,60.329862117767334,4.3180317878723145,,-0.08026838302612305,0.5594391822814941,0.001903904601931572
,32801,,,1763260082.5517478,,515,,158.0,61.41182279586792,,158.0,,,
-0.0006264923140406609,33920,0.00027972349198535085,0.0,1763260084.081701,0.0037653911858797073,530,919.0,,62.94177603721619,62.19411087036133,,0.41601645946502686,0.6147193908691406,0.00017582904547452927
0.001949559897184372,34560,0.00027933946694247425,0.0,1763260084.830913,-0.0038821399211883545,539,918.0,,63.690988063812256,5.639442443847656,,0.9759261012077332,0.6053085923194885,6.291642785072327e-05
3.8906000554561615e-05,35072,0.00027903224690817297,0.0,1763260085.503771,-0.0004889070987701416,547,915.0,,64.36384606361389,11.077199935913086,,0.9714158177375793,0.6008888483047485,2.625398337841034e-06
0.00829990766942501,35584,0.0002787250268738717,0.0,1763260086.2106524,0.0003464501351118088,555,911.0,,65.07072734832764,4.005149841308594,,0.9860274791717529,0.6015488505363464,0.000836789608001709
,35904,,,1763260086.7500901,,559,,171.0,65.61016511917114,,171.0,,,
0.00040658842772245407,36480,0.00027818739181384444,0.0,1763260087.9810038,-0.0005973763763904572,568,894.0,,66.84107875823975,15.373529434204102,,0.9039980173110962,0.5726718306541443,0.00013132672756910324
,38708,,,1763260092.0612252,,595,,227.0,70.92130017280579,,227.0,,,
,39985,,,1763260094.7298195,,612,,384.0,73.58989453315735,,384.0,,,
0.009006781503558159,40192,0.0002759600756689906,0.02734375,1763260095.1648586,-0.010250696912407875,614,837.0,,74.02493357658386,11.541658401489258,,0.8970207571983337,0.6175537705421448,0.009952581487596035
0.0042305001989007,41344,0.00027526883059181273,0.0,1763260097.8996682,-0.017444171011447906,630,815.0,,76.75974321365356,144.76705932617188,,0.29039329290390015,0.5676478147506714,0.0004974836483597755
-0.001498715952038765,41856,0.00027496161055751145,0.0,1763260099.2819164,0.0038094446063041687,636,803.0,,78.14199137687683,12.568673133850098,,0.7239303588867188,0.6196039915084839,6.598606705665588e-05
