charts/learning_rate,charts/episodic_return,_timestamp,losses/policy_loss,losses/old_approx_kl,_runtime,charts/SPS,losses/explained_variance,losses/approx_kl,losses/value_loss,global_step,losses/entropy,losses/clipfrac,charts/episodic_length,_step
,,1763260046.2327285,,,25.064277410507202,,,,,0,,,,0
,13.0,1763260047.1055694,,,25.93711829185486,,,,,124,,,13.0,7
0.0002996927942149341,,1763260047.689102,-0.04116418585181236,0.011182297952473164,26.52065086364746,998.0,-0.10798060894012451,0.004383220337331295,19.123985290527344,640,0.6603992581367493,0.0,,33
,59.0,1763260047.85307,,,26.684618949890137,,,,,880,,,59.0,41
,28.0,1763260048.0808349,,,26.912383794784546,,,,,1112,,,28.0,47
,112.0,1763260048.7857347,,,27.617283582687378,,,,,1846,,,112.0,64
,52.0,1763260049.146875,,,27.978423833847046,,,,,2265,,,52.0,74
,39.0,1763260049.261652,,,28.09320092201233,,,,,2345,,,39.0,77
0.000298233499052003,,1763260049.9586246,-0.011393900960683823,-0.01007073000073433,28.790173530578613,1055.0,0.0496709942817688,0.002940133213996887,35.71853256225586,3072,0.6089765429496765,0.0,,88
0.0002976958639919758,,1763260050.7752957,0.008480831980705261,-0.002168489620089531,29.606844663619995,1064.0,0.08475399017333984,0.0001437496393918991,26.973644256591797,3968,0.5876668095588684,0.0,,102
,193.0,1763260050.8917427,,,29.723291635513306,,,,,4109,,,193.0,104
0.00029631337383762,,1763260052.8353796,0.004908159375190735,9.596161544322968e-05,31.66692852973938,1083.0,0.47841429710388184,0.0006497930735349655,21.73188018798828,6272,0.555115282535553,0.0,,133
0.0002955453237518668,,1763260053.9684954,-0.012564977630972862,-0.0009139161556959152,32.800044298172,1091.0,0.04900205135345459,0.0003294888883829117,26.143600463867188,7552,0.5652444362640381,0.0,,147
0.0002953917137347162,,1763260054.1922765,-0.023543918505311012,0.011326750740408897,33.0238254070282,1092.0,-0.0027352571487426758,0.009909172542393208,26.69985008239746,7808,0.5651658177375793,0.0234375,,149
,500.0,1763260054.2254632,,,33.05701208114624,,,,,7901,,,500.0,150
0.0002950844937004149,,1763260054.642293,-0.0009950175881385803,-0.0016783671453595161,33.47384190559387,1095.0,0.05931490659713745,5.158316344022751e-05,25.96717071533203,8320,0.5360047817230225,0.0,,155
0.00029493088368326426,,1763260054.8801959,-0.005314502865076065,-0.01134541630744934,33.71174478530884,1094.0,0.046272993087768555,0.0004671737551689148,24.896156311035156,8576,0.5327490568161011,0.0,,157
0.00029408602858893573,,1763260056.3037407,-0.008335120975971222,-0.0006068060174584389,35.135289669036865,1078.0,-0.38591039180755615,0.0002575526013970375,22.41626739501953,9984,0.5276012420654297,0.0,,172
0.0002927803434431553,,1763260060.055269,0.0026873908936977386,-0.010462633334100246,38.886817932128906,934.0,0.17863976955413818,0.0010022474452853203,15.867133140563965,12160,0.5414041876792908,0.001953125,,195
0.00029231951339170337,,1763260061.3794932,-0.000336475670337677,0.0003308914601802826,40.211042165756226,902.0,0.5230298042297363,1.5676021575927734e-05,16.50583267211914,12928,0.5491865277290344,0.0,,203
0.0002917050733231008,,1763260062.9096968,-0.0002467520534992218,-0.000277593731880188,41.74124574661255,879.0,0.08513671159744263,2.304092049598694e-06,17.73723602294922,13952,0.5055698752403259,0.0,,213
,193.0,1763260063.3047068,,,42.136255741119385,,,,,14308,,,193.0,217
,297.0,1763260064.198674,,,43.03022289276123,,,,,15227,,,297.0,228
0.00029070660821162164,,1763260064.6419199,-0.0025837086141109467,-0.00322695542126894,43.47346878051758,887.0,0.1033022403717041,0.0001286054030060768,15.127775192260742,15616,0.5390737652778625,0.0,,233
,206.0,1763260065.9074981,,,44.739047050476074,,,,,17022,,,206.0,251
,212.0,1763260066.4559455,,,45.28749442100525,,,,,17617,,,212.0,259
0.00028924731304869056,,1763260066.9468615,-0.004894006997346878,0.0034624356776475906,45.7784104347229,906.0,0.5775255560874939,0.0017244145274162292,31.30189323425293,18048,0.45871323347091675,0.0,,265
0.00028878648299723864,,1763260067.6171417,-0.0014724694192409515,-0.0018860846757888794,46.44869065284729,914.0,0.8060987591743469,8.863769471645355e-05,9.829358100891113,18816,0.5342279076576233,0.0,,273
,193.0,1763260067.6253963,,,46.456945180892944,,,,,18834,,,193.0,274
,224.0,1763260068.9752681,,,47.806817054748535,,,,,20239,,,224.0,292
0.00028648233273997903,,1763260071.310624,-0.019139718264341354,0.019275950267910957,50.14217281341553,933.0,0.8002267479896545,0.003354213200509548,19.72880744934082,22656,0.5498296618461609,0.00390625,,321
0.00028609830769710243,,1763260071.8998888,-0.0011759400367736816,0.0012664124369621277,50.73143768310547,937.0,-0.01217508316040039,2.7876347303390503e-05,9.35296630859375,23296,0.5530339479446411,0.0,,327
,500.0,1763260072.180889,,,51.01243782043457,,,,,23563,,,500.0,330
0.00028579108766280115,,1763260072.4144146,0.00047741178423166275,-0.0016728844493627548,51.24596357345581,938.0,-0.050614356994628906,8.767470717430115e-06,8.535914421081543,23808,0.49787086248397827,0.0,,332
,161.0,1763260072.8040237,,,51.63557267189026,,,,,24224,,,161.0,337
0.0002853302576113492,,1763260073.2137744,-0.02120353654026985,0.0027130628004670143,52.04532337188721,939.0,0.5664136409759521,0.0035419082269072533,9.39129638671875,24576,0.5622196197509766,0.00390625,,340
0.0002837941574398428,,1763260075.7540674,-0.0076249949634075165,0.0016559148207306862,54.58561635017395,945.0,0.8145999312400818,0.0017330097034573555,5.291644096374512,27136,0.5633870959281921,0.0,,370
,209.0,1763260076.0273683,,,54.858917236328125,,,,,27507,,,209.0,375
