charts/episodic_return,charts/episodic_length,_step,losses/explained_variance,charts/SPS,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,losses/policy_loss,losses/value_loss,_runtime,global_step,losses/entropy,losses/approx_kl,_timestamp
,,337,0.9496493935585022,898.0,0.0,0.0002871735778171569,-0.010758472606539726,0.0026965253055095673,4.886665344238281,49.6056272983551,21504,0.5642344951629639,0.0016898810863494873,1763260070.6492822
,,340,0.6891113519668579,897.0,0.0,0.0002870967728085816,-0.00481405109167099,0.012597573921084404,20.403837203979492,49.7809624671936,21632,0.5516247153282166,0.00046970881521701813,1763260070.8246174
188.0,188.0,370,,,,,,,,52.33515000343323,24022,,,1763260073.378805
197.0,197.0,375,,,,,,,,52.74871301651001,24327,,,1763260073.792368
,,396,0.9807571768760681,897.0,0.0,0.000284562207525596,-0.01582430675625801,0.009154338389635086,3.049983263015747,54.47072505950928,25856,0.5219525694847107,0.0011767428368330002,1763260075.51438
270.0,270.0,425,,,,,,,,57.06288766860962,28375,,,1763260078.1065426
,,441,0.9902459979057312,903.0,0.0,0.0002821812522597611,-0.001815078780055046,-0.0012942999601364136,3.8962974548339844,58.67082595825195,29824,0.5749636292457581,0.00022641196846961975,1763260079.7144809
,,450,0.9872972369194031,903.0,0.005859375,0.00028164361719973385,-0.010517320595681667,0.005581453442573547,2.584012269973755,59.652493715286255,30720,0.5192017555236816,0.0031969277188181877,1763260080.6961486
,,471,0.9887868165969849,891.0,0.0,0.0002806451520882547,0.008073464967310429,-0.004554668441414833,6.807314872741699,61.988213300704956,32384,0.5301874279975891,0.0003341836854815483,1763260083.0318682
,,481,0.900127649307251,887.0,0.0,0.00028010751702822745,-0.0070000626146793365,-5.984306335449219e-05,6.5650482177734375,63.15555143356323,33280,0.5636744499206543,0.001444060355424881,1763260084.1992064
,,490,0.6144425868988037,887.0,0.0,0.0002795698819682002,0.011358960531651974,-0.0018870159983634949,6.691409587860107,64.19653415679932,34176,0.550927996635437,0.001252329908311367,1763260085.240189
,,504,0.0946090817451477,874.0,0.0,0.000278801831882447,-0.0014225691556930542,0.001092463731765747,2.6942591667175293,66.19073033332825,35456,0.5414193868637085,0.00012982822954654694,1763260087.2343853
412.0,412.0,515,,,,,,,,67.81655502319336,36474,,,1763260088.86021
,,530,-0.0017951726913452148,846.0,0.001953125,0.0002773425367195159,-0.011977724730968475,-0.005505040287971497,77.33434295654297,70.41662669181824,37888,0.47984910011291504,0.0009666737169027328,1763260091.4602816
,,539,-0.01758444309234619,837.0,0.0,0.0002768049016594887,-0.00038333889096975327,-0.0008872039616107941,2.033928394317627,71.98906588554382,38784,0.5223541259765625,4.67030331492424e-05,1763260093.0327208
,,547,0.13584214448928833,828.0,0.0,0.00027634407160803676,0.0043948059901595116,-0.0003781169652938843,1.8534234762191772,73.42648220062256,39552,0.5207499861717224,9.000767022371292e-05,1763260094.4701371
,,555,0.0913589596748352,820.0,0.0,0.0002758832706604153,-0.003605552949011326,0.0021549519151449203,1.4508001804351807,74.81683444976807,40320,0.5618219971656799,0.00045670103281736374,1763260095.8604894
,,559,0.7236648797988892,815.0,0.0,0.00027565285563468933,0.00664041843265295,-0.006034843623638153,1.3233860731124878,75.59256649017334,40704,0.5187779664993286,0.0005823755636811256,1763260096.6362214
226.0,226.0,568,,,,,,,,77.28279113769531,41446,,,1763260098.326446
143.0,143.0,595,,,,,,,,82.14131736755371,43600,,,1763260103.1849723
107.0,107.0,612,,,,,,,,84.38072299957275,44636,,,1763260105.424378
144.0,144.0,614,,,,,,,,84.65376043319702,44780,,,1763260105.6974154
,,630,0.954092264175415,747.0,0.0,0.0002725038502831012,0.004705746658146381,0.0017203912138938904,20.20929527282715,87.15678811073303,45952,0.5959388613700867,0.0004765177145600319,1763260108.200443
160.0,160.0,636,,,,,,,,87.95322036743164,46377,,,1763260108.9968753
,,640,-0.24288272857666016,741.0,0.001953125,0.0002720430202316493,-0.0007338188588619232,-0.005789399147033691,0.41858717799186707,88.65618515014648,46720,0.5310008525848389,0.0010154098272323608,1763260109.69984
98.0,98.0,650,,,,,,,,90.1794548034668,47610,,,1763260111.2231097
,,664,0.914598822593689,729.0,0.0,0.0002708909451030195,0.004154017195105553,0.0025355368852615356,1.4711896181106567,92.38947224617004,48640,0.5175846815109253,0.00019873864948749542,1763260113.4331272
,,684,0.8441789746284485,720.0,0.0,0.00026973886997438967,0.002433357760310173,-0.00036566704511642456,2.354053020477295,95.88437700271606,50560,0.5643860101699829,4.9365684390068054e-05,1763260116.928032
,,689,0.573932409286499,718.0,0.001953125,0.0002694316499400884,0.005445732735097408,-0.013780087232589722,0.18124264478683472,96.75700163841248,51072,0.5607537031173706,0.002836993895471096,1763260117.8006566
285.0,285.0,698,,,,,,,,98.17527961730957,51884,,,1763260119.2189345
47.0,47.0,702,,,,,,,,98.51646542549133,52057,,,1763260119.5601203
,,707,-0.03912365436553955,711.0,0.0,0.0002686635998543352,-0.0035583488643169403,0.0003110356628894806,0.28692537546157837,99.21903681755066,52352,0.5835720896720886,0.00014031864702701569,1763260120.2626917
,,729,0.041352927684783936,704.0,0.0,0.000267665134742856,-0.003157307393848896,-0.004381260834634304,134.88836669921875,102.34619426727295,54016,0.5011980533599854,0.00026096124202013016,1763260123.3898492
,,757,0.6088891625404358,699.0,0.025390625,0.00026620583957992494,0.011749038472771645,-0.010923784226179123,0.4740329086780548,106.42159056663513,56448,0.5506444573402405,0.011348694562911987,1763260127.4652455
,,762,0.7083531618118286,698.0,0.001953125,0.00026589861954562366,-0.010912470519542694,-0.017189348116517067,0.09022313356399536,107.23036932945251,56960,0.535427451133728,0.003092436119914055,1763260128.2740242
,,767,-0.25720643997192383,696.0,0.0,0.0002655913995113224,7.868092507123947e-05,0.0012677144259214401,0.12508471310138702,108.13441038131714,57472,0.5647830367088318,5.174335092306137e-05,1763260129.1780653
