charts/SPS,charts/episodic_length,losses/clipfrac,charts/learning_rate,losses/policy_loss,_runtime,losses/value_loss,_timestamp,losses/entropy,losses/approx_kl,losses/old_approx_kl,losses/explained_variance,charts/episodic_return,_step,global_step
,,,,,24.685935497283936,,1763260045.8550174,,,,,,0,0
811.0,,0.0,0.0003000000142492354,-0.0038839802145957947,25.700724124908447,26.134750366210938,1763260046.869806,0.6929861903190613,0.00018474645912647247,-0.004006348550319672,-0.00261533260345459,,7,128
,31.0,,,,26.242475509643555,,1763260047.4115574,,,,,31.0,33,715
,26.0,,,,26.382267951965332,,1763260047.5513499,,,,,26.0,41,879
980.0,,0.00390625,0.00029946237918920815,-0.015448279678821564,26.587432146072388,26.032363891601562,1763260047.756514,0.6707404851913452,0.0024120062589645386,0.007137283682823181,0.06189262866973877,,47,1024
,30.0,,,,27.10368776321411,,1763260048.2727697,,,,,30.0,64,1549
,56.0,,,,27.489048719406128,,1763260048.6581306,,,,,56.0,74,1952
,29.0,,,,27.59718370437622,,1763260048.7662656,,,,,29.0,77,2053
,40.0,,,,27.962230682373047,,1763260049.1313126,,,,,40.0,88,2462
,41.0,,,,28.468575954437256,,1763260049.6376579,,,,,41.0,102,2988
,27.0,,,,28.505969762802124,,1763260049.6750517,,,,,27.0,104,3044
1038.0,,0.0,0.0002970814239233732,0.013958074152469635,30.348687171936035,31.017393112182617,1763260051.517769,0.6154462099075317,0.0005587385967373848,-0.0010354528203606606,-0.14516019821166992,,133,4992
,497.0,,,,31.39744806289673,,1763260052.56653,,,,,497.0,147,6195
,113.0,,,,31.50554370880127,,1763260052.6746256,,,,,113.0,149,6308
1055.0,,0.0,0.0002962365688290447,-0.0003317296504974365,31.603585958480835,25.84390640258789,1763260052.772668,0.5612415075302124,0.00013159308582544327,-0.0001372145488858223,-0.009874343872070312,,150,6400
1060.0,,0.0,0.00029600615380331874,-8.492171764373779e-05,31.94189953804016,22.745468139648438,1763260053.1109815,0.5839670300483704,3.919098526239395e-05,-0.0011038975790143013,-0.044869303703308105,,155,6784
1061.0,,0.0,0.0002959293487947434,-0.005685199052095413,32.05513143539429,22.419546127319336,1763260053.2242134,0.5524486303329468,0.00011607911437749863,-0.0030630333349108696,0.04079395532608032,,157,6912
1068.0,,0.0,0.00029523810371756554,0.007941987365484238,33.09276795387268,25.58400535583496,1763260054.2618499,0.5826259851455688,0.0007372116670012474,-0.007238413207232952,0.05118316411972046,,172,8064
1034.0,,0.0,0.0002939324185717851,-0.0019770264625549316,35.442744731903076,21.25332260131836,1763260056.6118267,0.5878803730010986,8.596107363700867e-05,-0.003949461504817009,0.011182963848114014,,195,10240
,135.0,,,,36.29211068153381,,1763260057.4611926,,,,,135.0,203,10858
952.0,,0.0,0.00029301075846888125,0.0011651217937469482,37.90674161911011,20.40328025817871,1763260059.0758235,0.6147326827049255,0.004030379466712475,0.011925864033401012,0.24454331398010254,,213,11776
929.0,,0.0,0.0002927803434431553,-0.006930172443389893,38.62442684173584,19.985897064208984,1763260059.7935088,0.6280024647712708,0.0002723848447203636,-0.010242081247270107,0.11325246095657349,,217,12160
,289.0,,,,40.24698781967163,,1763260061.4160697,,,,,289.0,228,13114
874.0,,0.005859375,0.00029193548834882677,0.009838879108428955,41.066001892089844,26.271190643310547,1763260062.2350838,0.6012703776359558,0.0036860723048448563,0.03674805536866188,0.14718014001846313,,233,13568
869.0,,0.0,0.0002910138282459229,-0.0023400653153657913,42.91797137260437,15.938091278076172,1763260064.0870533,0.6326957941055298,2.9585324227809906e-05,0.0017620483413338661,0.08462905883789062,,251,15104
875.0,,0.0,0.0002906298032030463,0.0003539770841598511,43.52630257606506,13.926894187927246,1763260064.6953845,0.5980162620544434,4.229508340358734e-05,-0.0011210348457098007,0.037867963314056396,,259,15744
880.0,,0.0,0.00029039938817732036,0.018943622708320618,43.8678297996521,70.87641906738281,1763260065.0369117,0.5692625641822815,0.0010154107585549355,-0.00994472298771143,0.12265992164611816,,265,16128
,150.0,,,,44.56451463699341,,1763260065.7335966,,,,,150.0,273,16846
883.0,,0.0,0.00028993855812586844,-0.005228064954280853,44.66370606422424,48.18876647949219,1763260065.832788,0.6263169050216675,0.00038465578109025955,0.0019222674891352654,0.2577502727508545,,274,16896
,242.0,,,,45.975539445877075,,1763260067.1446214,,,,,242.0,292,18308
912.0,,0.0,0.00028771121287718415,-0.0002926923334598541,48.116963624954224,46.5933723449707,1763260069.2860456,0.549373209476471,5.184672772884369e-06,0.00017459597438573837,0.10452395677566528,,321,20608
,149.0,,,,48.544214725494385,,1763260069.7132967,,,,,149.0,327,21072
915.0,,0.0,0.00028732718783430755,-0.0055243149399757385,48.750072717666626,11.099832534790039,1763260069.9191546,0.5878161191940308,5.655363202095032e-05,0.0014966297894716263,0.8207201957702637,,330,21248
916.0,,0.0,0.00028725038282573223,0.00243367999792099,48.86355233192444,21.23648452758789,1763260070.0326343,0.48992013931274414,0.001831144094467163,-0.010848667472600937,0.09886234998703003,,332,21376
918.0,,0.0,0.00028701996780000627,0.001589350402355194,49.24043250083923,46.558990478515625,1763260070.4095144,0.5689899325370789,0.00015124864876270294,0.0006793905049562454,0.013990819454193115,,337,21760
,166.0,,,,49.40836763381958,,1763260070.5774496,,,,,166.0,340,22003
,164.0,,,,51.47101306915283,,1763260072.640095,,,,,164.0,370,23904
917.0,,0.0,0.0002855606726370752,-0.009259656071662903,51.89634418487549,7.878641128540039,1763260073.065426,0.5628889203071594,0.00014707539230585098,0.004859465174376965,0.23702210187911987,,375,24192
