_runtime,global_step,charts/episodic_return,charts/SPS,losses/policy_loss,charts/episodic_length,losses/clipfrac,_timestamp,losses/old_approx_kl,losses/value_loss,charts/learning_rate,_step,losses/approx_kl,losses/explained_variance,losses/entropy
25.916868209838867,0,,,,,,1763260082.0939753,,,,0,,,
27.554097652435303,107,10.0,,,10.0,,1763260083.7312047,,,,7,,,
28.227869987487793,766,21.0,,,21.0,,1763260084.404977,,,,33,,,
28.45718240737915,990,32.0,,,32.0,,1763260084.6342895,,,,41,,,
28.68728518486023,1159,88.0,,,88.0,,1763260084.8643923,,,,47,,,
29.44418501853943,1792,,910.0,-0.01545765995979309,,0.0,1763260085.621292,-0.0033455491065979004,280.79486083984375,0.00029900154913775623,64,0.001048758625984192,0.005790591239929199,0.5985230803489685
29.92393970489502,2196,34.0,,,34.0,,1763260086.1010468,,,,74,,,
30.178799867630005,2304,,852.0,-0.005211055278778076,,0.0,1763260086.355907,0.004466211423277855,141.01556396484375,0.00029869432910345495,77,0.0006633102893829346,-0.01032555103302002,0.5845388770103455
31.191829681396484,2882,59.0,,,59.0,,1763260087.3689368,,,,88,,,
32.50185513496399,3557,35.0,,,35.0,,1763260088.6789622,,,,102,,,
32.72970008850098,3596,39.0,,,39.0,,1763260088.9068072,,,,104,,,
35.119945764541626,4658,43.0,,,43.0,,1763260091.2970529,,,,133,,,
36.57632327079773,5318,90.0,,,90.0,,1763260092.7534304,,,,147,,,
36.83303737640381,5422,104.0,,,104.0,,1763260093.0101445,,,,149,,,
37.07979130744934,5504,,573.0,-0.002855733036994934,,0.0,1763260093.2568984,-0.0013021426275372505,231.3751220703125,0.00029677420388907194,150,4.757288843393326e-05,0.15188777446746826,0.5779679417610168
37.73415541648865,5820,118.0,,,118.0,,1763260093.9112625,,,,155,,,
38.049339056015015,5888,,556.0,0.003719191998243332,,0.0,1763260094.2264462,0.000688234344124794,119.33441925048828,0.000296543788863346,157,0.00020513683557510376,0.24041783809661865,0.5664129853248596
39.795068979263306,6648,41.0,,,41.0,,1763260095.972176,,,,172,,,
42.72830581665039,7791,55.0,,,55.0,,1763260098.905413,,,,195,,,
43.868321895599365,8320,,507.0,-0.001598592847585678,,0.0,1763260100.045429,0.00036028213798999786,320.17279052734375,0.0002950844937004149,203,0.00014853663742542267,0.37192028760910034,0.6068803071975708
44.75943350791931,8736,80.0,,,80.0,,1763260100.9365406,,,,213,,,
45.22580146789551,8960,,504.0,-3.854930400848389e-05,,0.0,1763260101.4029086,2.9706396162509918e-05,119.39360809326172,0.0002947004686575383,217,1.73887237906456e-05,0.14244604110717773,0.565182626247406
46.23508596420288,9472,,504.0,-0.0018111467361450195,,0.0,1763260102.412193,0.0010986756533384323,69.4386215209961,0.000294393248623237,228,7.223151624202728e-05,0.04171568155288696,0.5539877414703369
46.7231764793396,9776,93.0,,,93.0,,1763260102.9002836,,,,233,,,
48.64418888092041,10847,66.0,,,66.0,,1763260104.821296,,,,251,,,
49.375529766082764,11178,85.0,,,85.0,,1763260105.5526369,,,,259,,,
50.014819383621216,11549,217.0,,,217.0,,1763260106.1919265,,,,265,,,
50.778889417648315,11922,84.0,,,84.0,,1763260106.9559965,,,,273,,,
50.97160601615906,12032,,512.0,0.0011128038167953491,,0.0,1763260107.148713,-0.0005694897845387459,250.23663330078125,0.0002928571484517306,274,1.1795200407505035e-05,0.5927047729492188,0.5960593819618225
52.86824345588684,13056,,514.0,-0.001478828489780426,,0.0,1763260109.0453506,-0.0004273317754268646,82.74059295654297,0.00029224270838312805,292,1.5482306480407715e-05,0.7727469801902771,0.5586930513381958
56.05990552902222,14751,107.0,,,107.0,,1763260112.2370126,,,,321,,,
56.56788206100464,15056,64.0,,,64.0,,1763260112.7449892,,,,327,,,
56.841796875,15145,57.0,,,57.0,,1763260113.018904,,,,330,,,
57.06712293624878,15239,94.0,,,94.0,,1763260113.24423,,,,332,,,
57.56979775428772,15536,152.0,,,152.0,,1763260113.7469049,,,,337,,,
57.83423638343811,15619,55.0,,,55.0,,1763260114.0113435,,,,340,,,
61.08584761619568,17280,,514.0,-0.00026523321866989136,,0.0,1763260117.2629547,0.00038420967757701874,94.23111724853516,0.0002897081431001425,370,5.045346915721893e-05,0.21600854396820068,0.546090304851532
63.96575713157654,18816,,515.0,-0.0032894015312194824,,0.0,1763260120.1428642,0.001891513355076313,77.56764221191406,0.00028878648299723864,396,6.919819861650467e-05,0.3596351742744446,0.49808070063591003
66.94068050384521,20477,111.0,,,111.0,,1763260123.1177876,,,,425,,,
68.65429592132568,21485,167.0,,,167.0,,1763260124.831403,,,,441,,,
69.62830471992493,22016,,522.0,-0.004636537283658981,,0.00390625,1763260125.8054118,0.009621379896998405,114.04828643798828,0.00028686635778285563,450,0.002258138731122017,-0.0014810562133789062,0.5399702191352844
72.32800722122192,23680,167.0,527.0,-0.005226559937000275,167.0,0.0,1763260128.5051143,0.0035333195701241493,148.60623168945312,0.00028586789267137647,471,0.0009985966607928276,0.11425185203552246,0.5615732073783875
73.65136742591858,24481,124.0,,,124.0,,1763260129.8284745,,,,481,,,
74.78491616249084,25205,117.0,,,117.0,,1763260130.9620233,,,,490,,,
77.0048279762268,26368,,532.0,-0.0005320757627487183,,0.0,1763260133.181935,0.0016345223411917686,165.39443969726562,0.00028425498749129474,504,9.13785770535469e-05,0.010279297828674316,0.519315779209137
78.86680865287781,27264,,530.0,-0.0010911822319030762,,0.0,1763260135.0439157,-0.005911792628467083,111.38859558105469,0.0002837173524312675,515,0.00016826484352350235,0.5349793434143066,0.5593238472938538
