_timestamp,losses/value_loss,losses/old_approx_kl,_step,losses/approx_kl,charts/learning_rate,charts/episodic_length,_runtime,losses/entropy,charts/episodic_return,global_step,losses/explained_variance,losses/clipfrac,losses/policy_loss,charts/SPS
1763260173.618074,0.006541389971971512,-0.0036908909678459167,1234,0.0003696698695421219,0.00023993855575099587,,118.45211291313171,0.5418065786361694,,100224,-0.07613015174865723,0.0,4.636496305465698e-05,1078.0
1763260174.6575773,0.0012060855515301228,-0.0019010305404663086,1245,0.0014074742794036865,0.000239247310673818,,119.49161624908447,0.5300388932228088,,101376,-1.4680118560791016,0.0,-0.017906293272972107,1078.0
1763260175.577698,0.0002437976945657283,-0.010652648285031319,1254,0.0006982292979955673,0.00023863287060521543,,120.41173696517944,0.49802303314208984,,102400,0.22121745347976685,0.0,-0.0027371011674404144,1078.0
1763260177.0675752,846.0771484375,-0.0030825408175587654,1271,8.32071527838707e-05,0.00023763440549373627,,121.90161418914795,0.4591507017612457,,104064,0.005048096179962158,0.0,0.0010100603103637695,1079.0
1763260179.6334229,,,1299,,,500.0,124.46746182441711,,500.0,107004,,,,
1763260183.3042355,,,1339,,,500.0,128.13827443122864,,500.0,111004,,,,
1763260183.4063892,690.1197509765625,0.0009935330599546432,1340,0.00011336617171764374,0.00023341014457400888,,128.2404282093048,0.46328306198120117,,111104,7.468461990356445e-05,0.0,0.001191355288028717,1081.0
1763260184.2257607,,,1349,,,500.0,129.0597996711731,,500.0,112004,,,,
1763260185.5133023,,,1363,,,500.0,130.347341299057,,500.0,113504,,,,
1763260185.7037287,0.005283453036099672,0.004993005655705929,1365,0.00012561213225126266,0.00023187404440250248,,130.5377676486969,0.5380392074584961,,113664,0.01968204975128174,0.0,-0.0014645680785179138,1081.0
1763260186.185142,0.004858025815337896,0.004489228129386902,1370,0.00025704875588417053,0.0002315668243682012,,131.0191810131073,0.5321271419525146,,114176,0.1617041826248169,0.0,0.0043262094259262085,1081.0
1763260187.1105475,0.006522627547383308,0.00857581291347742,1380,0.001484493725001812,0.00023095238429959863,,131.94458651542664,0.5885612964630127,,115200,-0.03209495544433594,0.001953125,-0.007882364094257355,1082.0
1763260187.221015,0.0011591006768867373,-0.0010303165763616562,1381,0.0063300970941782,0.00023087557929102331,,132.05505394935608,0.5326108932495117,,115328,-0.14703738689422607,0.03125,-0.0313626267015934,1082.0
1763260187.7917194,,,1388,,,500.0,132.62575840950012,,500.0,116004,,,,
1763260188.4790344,0.005642829928547144,0.0005026543512940407,1395,0.00033216457813978195,0.0002300307241966948,,133.31307339668274,0.584143877029419,,116736,-0.0002682209014892578,0.0,-0.007390625774860382,1082.0
1763260188.8140485,275.891845703125,0.0026670293882489204,1399,0.0008693123236298561,0.00022980030917096883,,133.64808750152588,0.5524232983589172,,117120,2.5272369384765625e-05,0.0,0.0041420962661504745,1082.0
1763260189.5143867,0.0003826565807685256,0.0008038775995373726,1405,0.0064783887937664986,0.0002293394791195169,,134.34842562675476,0.4772372245788574,,117888,0.19301503896713257,0.02734375,-0.04215634986758232,1082.0
1763260191.8420012,,,1432,,,284.0,136.6760401725769,,284.0,120517,,,,
1763260191.932042,1061.1663818359375,-0.0021694349125027657,1433,0.0011156583204865456,0.00022772657393943518,,136.76608085632324,0.491058349609375,,120576,0.0009205341339111328,0.001953125,-0.0047027915716171265,1083.0
1763260193.9952428,0.0011334919836372137,-0.0035027042031288147,1455,0.005996348336338997,0.00022634408378507942,,138.8292818069458,0.5474317669868469,,122880,-0.07048439979553223,0.00390625,-0.029062725603580475,1084.0
1763260194.1062398,0.0002813001337926835,0.00869548600167036,1456,0.0014950288459658623,0.0002262672787765041,,138.94027876853943,0.5109003186225891,,123008,-0.08188211917877197,0.001953125,-0.010758815333247185,1084.0
1763260194.1103952,,,1457,,,500.0,138.9444341659546,,500.0,123017,,,,
1763260199.4252834,0.000299960607662797,-0.018772102892398834,1514,0.004174167290329933,0.00022273424838203937,,144.25932240486145,0.5085795521736145,,128896,-0.3331582546234131,0.01171875,-0.010396420955657959,1085.0
1763260199.9947464,1043.7239990234375,-0.0021134885028004646,1521,0.0009272480383515358,0.00022235022333916277,,144.8287854194641,0.5336737632751465,,129536,0.0001895427703857422,0.0,-0.0052848681807518005,1085.0
1763260200.3582747,,,1525,,,500.0,145.19231367111206,,500.0,130017,,,,
1763260200.5888784,0.006246345583349466,0.004673783667385578,1527,0.0001880628988146782,0.0002219662128482014,,145.42291736602783,0.49922317266464233,,130176,-0.15233325958251953,0.0,-0.0020058639347553253,1085.0
1763260200.8100872,0.00024745805421844125,-0.003898153081536293,1529,0.0015275049954652786,0.00022181260283105075,,145.6441261768341,0.49133533239364624,,130432,-0.1552213430404663,0.0,0.008945124223828316,1085.0
1763260201.2553236,0.00038740417221561074,0.009411703795194626,1534,0.002353210002183914,0.00022150538279674947,,146.08936262130737,0.563368558883667,,130944,0.3360055685043335,0.0,-0.009888596832752228,1085.0
1763260201.3678038,904.9278564453125,0.0028355950489640236,1536,0.001141163520514965,0.00022142857778817415,,146.2018427848816,0.5305560827255249,,131072,0.0006094574928283691,0.0,0.0003404468297958374,1085.0
1763260202.0695183,0.0008703139610588551,0.0019102450460195541,1543,0.001046847552061081,0.00022096774773672223,,146.90355730056763,0.5400611758232117,,131840,-0.21361875534057617,0.0,-0.0037288982421159744,1085.0
1763260202.1982489,,,1545,,,500.0,147.03228783607483,,500.0,132017,,,,
1763260202.2925854,966.2881469726562,-0.0008866479620337486,1546,8.037779480218887e-05,0.0002208141377195716,,147.12662434577942,0.5371105670928955,,132096,0.0003820657730102539,0.0,9.553506970405579e-05,1085.0
1763260203.350437,0.005896571557968855,0.001708383671939373,1558,0.001432846300303936,0.0002201228926423937,,148.18447589874268,0.6160539984703064,,133248,-0.02935934066772461,0.0,-0.009897284209728241,1085.0
1763260203.3688169,,,1559,,,220.0,148.2028558254242,,220.0,133298,,,,
1763260203.4818354,,,1563,,,27.0,148.31587433815002,,27.0,133413,,,,
1763260203.6361008,,,1566,,,71.0,148.47013974189758,,71.0,133536,,,,
1763260205.458295,0.0022281643468886614,0.006239176727831364,1588,0.0005880175158381462,0.00021874040248803794,,150.29233407974243,0.5448696613311768,,135552,-0.3101022243499756,0.0,-0.004545323550701141,1086.0
1763260205.5685298,0.0005967356846667826,0.01906462199985981,1589,0.0020950576290488243,0.00021866359747946262,,150.40256881713867,0.5653300881385803,,135680,-2.0013716220855713,0.001953125,-0.013234153389930725,1086.0
1763260206.2753673,0.006525599397718906,0.004726536571979523,1597,0.0013380832970142365,0.0002182027674280107,,151.10940623283386,0.49871140718460083,,136448,-0.9540743827819824,0.0,-0.005185805261135101,1086.0
1763260207.203861,0.006100846454501152,0.002533598802983761,1607,0.0002923524007201195,0.00021758832735940814,,152.0378999710083,0.5470854043960571,,137472,-0.1488271951675415,0.0,-0.0024941202718764544,1086.0
1763260207.4246242,0.00024194351863116026,0.009820458479225636,1609,0.00144095066934824,0.0002174347173422575,,152.25866317749023,0.4399776756763458,,137728,0.07548820972442627,0.0,0.0023045614361763,1086.0
1763260207.4459474,,,1610,,,500.0,152.27998638153076,,500.0,137789,,,,
1763260207.6477594,0.0055588590912520885,0.0026546651497483253,1612,0.0009131981059908867,0.00021728110732510686,,152.48179841041565,0.500946044921875,,137984,-0.051953792572021484,0.0,-0.010065462440252304,1086.0
1763260208.9967535,538.7337646484375,-0.005965856835246086,1626,0.0003139600157737732,0.00021643625223077834,,153.830792427063,0.4405452013015747,,139392,-3.123283386230469e-05,0.0,-0.006135348230600357,1086.0
1763260210.141647,0.00010093734454130754,0.02168285846710205,1638,0.0014158766716718674,0.00021566820214502513,,154.97568607330322,0.48704245686531067,,140672,0.36133408546447754,0.0,-0.019568396732211113,1086.0
1763260214.6279216,0.00030732867890037596,0.001182536594569683,1687,0.0003844788298010826,0.00021267280681058764,,159.46196055412292,0.4540194272994995,,145664,0.1735297441482544,0.0,-0.001355241984128952,1087.0
