charts/episodic_length,losses/entropy,charts/episodic_return,_runtime,global_step,charts/learning_rate,losses/clipfrac,losses/explained_variance,_timestamp,losses/old_approx_kl,_step,losses/value_loss,losses/policy_loss,losses/approx_kl,charts/SPS
41.0,,41.0,23.479538202285767,19974,,,,1763260065.6190522,,767,,,,
64.0,,64.0,23.794118404388428,20239,,,,1763260065.9336324,,775,,,,
41.0,,41.0,24.192248106002808,20730,,,,1763260066.331762,,788,,,,
,0.2538205087184906,,24.505837440490723,20992,0.0002874807978514582,0.0,0.9858701229095459,1763260066.6453514,-0.0005285684019327164,797,0.8005049824714661,-0.0019696801900863647,2.370588481426239e-05,960.0
29.0,,29.0,24.85216975212097,21357,,,,1763260066.9916837,,806,,,,
58.0,,58.0,26.989768743515015,23489,,,,1763260069.1292827,,863,,,,
40.0,,40.0,27.326504945755005,23815,,,,1763260069.466019,,872,,,,
36.0,,36.0,27.450907945632935,23953,,,,1763260069.590422,,876,,,,
,0.19942647218704224,,29.335717916488647,25856,0.000284562207525596,0.0,0.9359076619148254,1763260071.475232,-0.0005536675453186035,922,0.2756417393684387,-0.00028880126774311066,8.063390851020813e-05,969.0
74.0,,74.0,29.61256241798401,26204,,,,1763260071.7520764,,930,,,,
79.0,,79.0,30.008141040802002,26531,,,,1763260072.147655,,938,,,,
66.0,,66.0,30.118465662002563,26629,,,,1763260072.2579796,,941,,,,
32.0,,32.0,30.132180213928223,26661,,,,1763260072.2716942,,942,,,,
,0.22576242685317993,,30.355467081069946,26880,0.00028394776745699346,0.0,0.8831120133399963,1763260072.494981,-1.6741454601287842e-05,948,32.926605224609375,-0.0236158836632967,0.0004187971353530884,970.0
29.0,,29.0,31.220069885253906,27762,,,,1763260073.3595839,,974,,,,
57.0,,57.0,31.42959213256836,27934,,,,1763260073.569106,,980,,,,
30.0,,30.0,31.577955722808838,28132,,,,1763260073.7174697,,985,,,,
35.0,,35.0,31.912734508514404,28452,,,,1763260074.0522485,,995,,,,
,0.2567358911037445,,32.015700817108154,28544,0.0002829493023455143,0.0,-0.019610047340393066,1763260074.1552148,0.0017122719436883926,997,1.3419805765151978,-0.00209103524684906,1.4893710613250732e-05,972.0
68.0,,68.0,32.67642068862915,29241,,,,1763260074.8159347,,1015,,,,
24.0,,24.0,33.057658433914185,29666,,,,1763260075.1971724,,1031,,,,
28.0,,28.0,33.678226470947266,30220,,,,1763260075.8177404,,1050,,,,
27.0,,27.0,33.71746516227722,30317,,,,1763260075.8569791,,1053,,,,
62.0,,62.0,33.917078256607056,30470,,,,1763260076.0565922,,1058,,,,
,0.2394872009754181,,34.794392824172974,31360,0.00028125959215685725,0.0,-0.005569338798522949,1763260076.9339068,-0.012727361172437668,1083,2.2539703845977783,-0.0057978443801403046,0.000951908528804779,975.0
92.0,,92.0,35.0446662902832,31643,,,,1763260077.1841803,,1091,,,,
,0.23967033624649048,,35.56747007369995,32128,0.00028079876210540533,0.005859375,-0.00411379337310791,1763260077.706984,-0.0015825051814317703,1106,58.348724365234375,0.0075492896139621735,0.0012815147638320923,976.0
44.0,,44.0,35.9284770488739,32517,,,,1763260078.067991,,1118,,,,
64.0,,64.0,36.46660089492798,33084,,,,1763260078.6061149,,1133,,,,
47.0,,47.0,36.95025014877319,33633,,,,1763260079.089764,,1145,,,,
111.0,,111.0,37.79820513725281,34479,,,,1763260079.937719,,1164,,,,
81.0,,81.0,38.16704988479614,34925,,,,1763260080.3065639,,1172,,,,
,0.3174290657043457,,38.743980169296265,35456,0.000278801831882447,0.0,0.2795438766479492,1763260080.8834941,-0.0092298099771142,1181,24.817121505737305,0.019763052463531494,0.002124524675309658,982.0
113.0,,113.0,38.98314619064331,35730,,,,1763260081.1226602,,1186,,,,
,0.2710520327091217,,39.699199199676514,36480,0.00027818739181384444,0.021484375,0.9974455833435059,1763260081.8387132,-0.021330691874027252,1197,0.47736307978630066,-0.044756267219781876,0.008458607830107212,984.0
152.0,,152.0,40.715506076812744,37609,,,,1763260082.85502,,1213,,,,
104.0,,104.0,40.82834076881409,37713,,,,1763260082.9678547,,1215,,,,
295.0,,295.0,41.86571025848389,38745,,,,1763260084.0052242,,1226,,,,
,0.3495005965232849,,42.18142890930176,39040,0.00027665129164233804,0.03125,0.015181124210357666,1763260084.3209429,-0.002890508621931076,1230,39.63894271850586,0.0015356875956058502,0.002641182392835617,987.0
,0.3959588408470154,,42.506848096847534,39424,0.0002764208766166121,0.0390625,0.4161466360092163,1763260084.646362,-0.00224094744771719,1234,0.9161376357078552,0.02669239416718483,0.005618039518594742,989.0
,0.5276899933815002,,43.33409547805786,40320,0.0002758832706604153,0.1822916716337204,0.9271082878112793,1763260085.4736094,0.1044807881116867,1245,0.08552983403205872,-0.03711685538291931,0.04118611663579941,991.0
147.0,,147.0,43.747013330459595,40808,,,,1763260085.8865273,,1254,,,,
,0.5594067573547363,,44.54390096664429,41600,0.0002751152205746621,0.041015625,0.0035957694053649902,1763260086.683415,-0.006778699345886707,1271,0.12145832180976868,0.008120179176330566,0.004383171908557415,993.0
,0.3629152774810791,,47.166996717453,44416,0.00027342551038600504,0.04296875,0.0006892085075378418,1763260089.3065107,-0.024624403566122055,1299,51.094093322753906,-0.003309682011604309,0.006365647539496422,997.0
,0.3745408058166504,,51.35248899459839,48640,0.0002708909451030195,0.1067708358168602,0.6814150810241699,1763260093.492003,-0.006161554716527462,1339,0.041193846613168716,0.0023495517671108246,0.0306389182806015,998.0
,0.25289544463157654,,51.46727752685547,48768,0.00027081414009444416,0.015625,0.3992922902107239,1763260093.6067915,0.017784465104341507,1340,0.02861754223704338,-0.012966513633728027,0.0035684648901224136,999.0
,0.33714449405670166,,53.57950758934021,51072,0.0002694316499400884,0.00390625,0.21286463737487793,1763260095.7190216,0.0017451215535402298,1363,0.029148362576961517,-0.00182424858212471,0.0027262289077043533,1002.0
,0.1789131909608841,,53.80515122413635,51328,0.00026927803992293775,0.04296875,-0.2185051441192627,1763260095.9446652,0.038225818425416946,1365,0.01844530552625656,-0.012640208005905151,0.009108874946832657,1003.0
,0.27035513520240784,,54.28469443321228,51840,0.00026897081988863647,0.017578125,0.6463658809661865,1763260096.4242084,0.017498400062322617,1370,0.016946939751505852,-0.007368691265583038,0.014405793510377407,1004.0
,0.21543782949447632,,55.19487547874451,52864,0.0002683563798200339,0.05859375,0.569251537322998,1763260097.3343894,-0.012387418188154697,1380,0.014171235263347626,0.04625598341226578,0.014402692206203938,1006.0
500.0,,500.0,55.20446705818176,52884,,,,1763260097.343981,,1381,,,,
,0.2301529347896576,,55.91859579086304,53632,0.000267895549768582,0.0390625,0.08422726392745972,1763260098.0581098,-0.00882454589009285,1388,0.032954491674900055,-0.031817324459552765,0.0020048553124070168,1006.0
500.0,,500.0,56.559138774871826,54384,,,,1763260098.6986527,,1395,,,,
,0.21241462230682373,,56.97541260719299,54784,0.0002672043046914041,0.052734375,0.16567909717559814,1763260099.1149266,0.0026732338592410088,1399,0.010586151853203773,-0.009148180484771729,0.004595649428665638,1008.0
500.0,,500.0,57.49619746208191,55384,,,,1763260099.6357114,,1405,,,,
,0.2414766252040863,,60.04215931892395,58112,0.0002652073744684458,0.001953125,-0.28638696670532227,1763260102.1816733,0.027178645133972168,1432,0.013680458068847656,-0.022137802094221115,0.0022430894896388054,1012.0
,0.2112622857093811,,60.153728723526,58240,0.00026513056945987046,0.095703125,-0.16377520561218262,1763260102.2932427,0.012049428187310696,1433,0.00450148805975914,-0.0010759085416793823,0.014080733060836792,1012.0
,0.20225203037261963,,62.16103959083557,60416,0.00026382488431409,0.005859375,-9.572505950927734e-05,1763260104.3005536,-0.00433832872658968,1455,0.01823532022535801,0.0014282166957855225,9.22931358218193e-05,1015.0
,0.23206040263175964,,62.27390265464783,60544,0.0002637480793055147,0.013671875,0.08270293474197388,1763260104.4134166,-0.02474587969481945,1456,0.0043639675714075565,0.03128446638584137,0.004416017793118954,1015.0
,0.1092243418097496,,62.3850212097168,60672,0.0002636712742969394,0.05859375,-0.03645908832550049,1763260104.5245352,-0.008817274123430252,1457,0.0012909959768876433,0.0020779483020305634,0.007234899327158928,1015.0
,0.19755057990550995,,67.87351036071777,66560,0.00026013824390247464,0.064453125,-0.006570100784301758,1763260110.0130243,-0.020017577335238457,1514,0.002531134057790041,0.04670596122741699,0.007750805467367172,1020.0
,0.2498445361852646,,68.59588980674744,67328,0.0002596774138510227,0.06640625,-0.009848237037658691,1763260110.7354038,0.04642130061984062,1521,0.0010518230265006423,-0.01501389592885971,0.01600710302591324,1021.0
500.0,,500.0,69.09725713729858,67884,,,,1763260111.236771,,1527,,,,
,0.26173150539398193,,69.30539917945862,68096,0.0002592165837995708,0.0,-0.09307074546813965,1763260111.4449131,0.0046294499188661575,1529,0.002350960858166218,-0.0035326294600963593,0.0006370246410369873,1021.0
,0.2860792875289917,,69.76160669326782,68608,0.0002589093637652695,0.01953125,-0.33196067810058594,1763260111.9011207,0.008884822018444538,1534,0.0019487182144075632,-0.00113021582365036,0.005382806994020939,1022.0
,0.3374956250190735,,70.01588344573975,68864,0.0002587557537481189,0.1171875,-0.38025355339050293,1763260112.1553974,0.023383021354675293,1536,0.00032331369584426284,-0.025239352136850357,0.009475012309849262,1022.0
,0.20904050767421722,,70.58822536468506,69504,0.0002583717287052423,0.0,-3.0279159545898438e-05,1763260112.7277393,0.008253644220530987,1543,119.26033782958984,0.0007096715271472931,0.0005919979885220528,1023.0
,0.25413066148757935,,70.79948258399963,69760,0.00025821811868809164,0.052734375,0.03159528970718384,1763260112.9389966,0.009905483573675156,1545,4.362832987681031e-05,-0.014521703124046326,0.0013120993971824646,1023.0
500.0,,500.0,70.84255313873291,69884,,,,1763260112.982067,,1546,,,,
,0.1682407259941101,,71.96884441375732,71040,0.00025745006860233843,0.001953125,0.32107001543045044,1763260114.1083584,0.006294176913797855,1558,0.0030208940152078867,-0.0024573206901550293,0.000617428682744503,1024.0
,0.16304177045822144,,72.1168098449707,71168,0.0002573732635937631,0.001953125,0.22402065992355347,1763260114.2563238,0.001143396832048893,1559,0.00020630235667340457,-0.0008848123252391815,4.4372864067554474e-05,1024.0
,0.2291846126317978,,72.45644092559814,71552,0.00025714284856803715,0.015625,-0.14676785469055176,1763260114.595955,-0.020843468606472015,1563,0.0018892084481194615,0.015677273273468018,0.0027367230504751205,1025.0
500.0,,500.0,72.74038553237915,71884,,,,1763260114.8798995,,1566,,,,
,0.25152385234832764,,74.95913219451904,74240,0.00025552994338795543,0.00390625,-0.013931870460510254,1763260117.0986462,0.02962648682296276,1589,1.2068335308867972e-05,-0.023702140897512436,0.0036849956959486008,1026.0
,0.21161967515945435,,75.67984938621521,75008,0.0002550691133365035,0.013671875,4.410743713378906e-05,1763260117.8193634,0.007299679331481457,1597,0.01406356506049633,-0.01943904533982277,0.002756665460765362,1027.0
,0.23140771687030792,,76.62181663513184,76032,0.00025445467326790094,0.03125,0.04989027976989746,1763260118.7613306,0.0029146475717425346,1607,0.0011790262069553137,0.007576409727334976,0.0029513025656342506,1027.0
,0.21413254737854004,,76.85000872612,76288,0.0002543010632507503,0.064453125,-0.10134923458099365,1763260118.9895227,0.0025117257609963417,1609,0.00010292549995938316,-0.001164548099040985,0.007076398469507694,1028.0
500.0,,500.0,76.88473582267761,76384,,,,1763260119.0242498,,1610,,,,
,0.24446050822734833,,79.88266611099243,79232,0.00025253454805351794,0.015625,0.06625616550445557,1763260122.02218,-0.003821995109319687,1638,3.0418910682783462e-05,0.0072874873876571655,0.0033960100263357162,1025.0
,0.24564754962921143,,88.16427755355835,84352,0.0002494623768143356,0.09375,-0.18423664569854736,1763260130.3037915,0.05124897509813309,1687,1.8015944078797475e-06,-0.04192693531513214,0.008072290569543839,986.0
500.0,,500.0,98.29683208465576,88884,,,,1763260140.436346,,1732,,,,
,0.2862806022167206,,101.05538296699524,90240,0.00024592934641987085,0.0390625,-0.6939680576324463,1763260143.194897,-0.025420567020773888,1745,0.0003548243548721075,0.041605379432439804,0.012618769891560078,917.0
,0.12889721989631653,,102.6848132610321,91008,0.00024546851636841893,0.009765625,1.049041748046875e-05,1763260144.8243272,0.0013502305373549461,1753,139.20233154296875,0.00021566636860370636,2.5843270123004913e-05,909.0
,0.1721874326467514,,102.93754601478577,91136,0.0002453917113598436,0.015625,0.2150183916091919,1763260145.07706,0.019834833219647408,1754,0.002244694158434868,-0.021856926381587982,0.003686649724841118,908.0
,0.2054213583469391,,105.1435239315033,92288,0.00024470046628266573,0.021484375,-0.8433139324188232,1763260147.283038,-0.006867470219731331,1765,2.8500671760411933e-06,0.017494134604930878,0.002570267766714096,900.0
,0.22276344895362854,,105.74031734466553,92544,0.0002445468562655151,0.0390625,-0.33476853370666504,1763260147.8798313,0.020500920712947845,1768,0.0016067132819443941,-0.023173190653324127,0.008494644425809383,897.0
,0.31946393847465515,,107.57180118560791,93440,0.00024400922120548785,0.091796875,6.532669067382812e-05,1763260149.7113152,0.005520828068256378,1777,140.02247619628906,0.0017916485667228699,0.011521179229021072,890.0
,0.14552080631256104,,115.69270968437195,97792,0.00024139785091392696,0.06640625,-0.06975853443145752,1763260157.8322237,0.06856216490268707,1818,2.184977347496897e-05,-0.02127411961555481,0.02899336628615856,865.0
,0.2414143830537796,,116.57716178894043,98304,0.00024109063087962568,0.0,-0.5920851230621338,1763260158.7166758,-0.0017906585708260536,1823,2.078002580674365e-06,0.0033144578337669373,0.00021087657660245895,862.0
,0.24053941667079926,,121.14842963218689,101120,0.00023940092069096863,0.0078125,-0.06792867183685303,1763260163.2879436,0.007376500405371189,1851,0.0015322336694225669,-0.01142515242099762,0.0026144450530409813,853.0
,0.28160884976387024,,122.66716742515564,101632,0.00023909370065666735,0.0625,-0.03203880786895752,1763260164.8066814,0.06572579592466354,1856,0.0013381472090259194,-0.029192402958869934,0.02889828570187092,846.0
500.0,,500.0,124.84603929519653,102884,,,,1763260166.9855533,,1868,,,,
500.0,,500.0,125.84601163864136,103384,,,,1763260167.9855256,,1873,,,,
,0.2075405865907669,,126.75474214553833,103808,0.0002377880155108869,0.0234375,-0.37635862827301025,1763260168.894256,0.013810497708618641,1877,1.2507416613516398e-06,-0.013912718743085861,0.004068242385983467,836.0
,0.1447230726480484,,128.65433526039124,104704,0.00023725038045085967,0.060546875,-0.340795636177063,1763260170.7938492,0.013223841786384583,1886,4.539764267974533e-05,-0.006155230104923248,0.003809859976172447,830.0
500.0,,500.0,132.3120937347412,106384,,,,1763260174.4516077,,1903,,,,
,0.07594422250986099,,132.98029971122742,106752,0.00023602150031365454,0.0390625,-0.28632164001464844,1763260175.1198137,0.011286230757832527,1906,1.7829099306254648e-05,-0.007283268962055445,0.002566460520029068,819.0
,0.1603034883737564,,135.0443720817566,107904,0.00023533025523647666,0.017578125,6.556510925292969e-07,1763260177.183886,0.009463928639888763,1918,5.67789888381958,0.0020836740732192993,0.004258774220943451,815.0
,0.18267148733139038,,135.47838687896729,108160,0.00023517664521932602,0.083984375,-0.8987795114517212,1763260177.6179008,0.037939559668302536,1920,0.00015625127707608044,-0.029340192675590515,0.010131881572306156,814.0
,0.11439111828804016,,140.161954164505,110720,0.00023364055959973484,0.009765625,-0.183174729347229,1763260182.3014681,0.01636669412255287,1945,3.284772174083628e-05,-0.014917731285095215,0.0013774065300822258,805.0
,0.21618500351905823,,142.7742998600006,112128,0.00023279570450540632,0.0703125,-0.9588536024093628,1763260184.9138138,-0.00916431937366724,1959,0.0010639788815751672,0.010963834822177887,0.007293502800166607,800.0
,0.179085835814476,,145.557612657547,113664,0.00023187404440250248,0.025390625,-0.8398125171661377,1763260187.6971266,0.012570029124617577,1973,2.291158125444781e-06,-0.01033514179289341,0.003359328955411911,795.0
500.0,,500.0,147.74612665176392,114884,,,,1763260189.8856406,,1985,,,,
,0.1546233594417572,,148.87907314300537,115456,0.000230798774282448,0.0078125,7.838010787963867e-05,1763260191.018587,0.0073476992547512054,1991,141.52919006347656,0.001188524067401886,0.00062531977891922,789.0
,0.29062318801879883,,150.90590620040894,116608,0.0002301075292052701,0.0911458358168602,-0.9648746252059937,1763260193.0454202,0.13979195058345795,2002,0.0018304337281733751,-0.05636587738990784,0.03024258092045784,786.0
,0.11775985360145569,,151.80235838890076,117120,0.00022980030917096883,0.001953125,-0.1959676742553711,1763260193.9418724,0.01071331650018692,2007,0.002255093539133668,-0.01850188709795475,0.0012829061597585678,785.0
,0.11901341378688812,,153.46420073509216,118016,0.0002292626741109416,0.05078125,-0.08262383937835693,1763260195.6037147,-0.01611662469804287,2016,0.003389198100194335,0.011168710887432098,0.0008709803223609924,782.0
500.0,,500.0,154.89783787727356,118884,,,,1763260197.0373518,,2024,,,,
,0.20984436571598053,,155.50757241249084,119168,0.0002285714290337637,0.072265625,-1.4352068901062012,1763260197.6470864,0.01659373752772808,2027,8.282111230073497e-05,-0.019433125853538513,0.006201840937137604,779.0
500.0,,500.0,156.77221584320068,119884,,,,1763260198.9117298,,2034,,,,
,0.18533849716186523,,158.90942001342773,120960,0.00022749615891370922,0.001953125,0.00012826919555664062,1763260201.048934,0.004070958122611046,2045,5.692155361175537,-0.010118937119841576,0.0009612869471311569,774.0
,0.06271052360534668,,160.15013599395752,121600,0.00022711213387083262,0.0234375,-0.5072904825210571,1763260202.28965,0.002147647552192211,2051,0.000624686130322516,-0.011827673763036728,0.0011386675760149956,772.0
,0.15118709206581116,,160.36194968223572,121728,0.0002270353288622573,0.048828125,-0.6189111471176147,1763260202.5014637,0.011792104691267014,2052,0.00013670086627826095,-0.019053976982831955,0.007050164043903351,771.0
,0.16769705712795258,,163.81047797203064,123520,0.00022596005874220282,0.0546875,-1.6674542427062988,1763260205.949992,0.00760592520236969,2070,0.0016300799325108528,-0.0015242546796798706,0.010647538118064404,766.0
,0.15382012724876404,,165.01109290122986,124160,0.00022557603369932622,0.0625,-1.9846057891845703,1763260207.1506069,0.011731411330401897,2076,3.96273608203046e-05,-0.014965280890464783,0.0013439087197184563,764.0
500.0,,500.0,168.1490466594696,125884,,,,1763260210.2885606,,2093,,,,
,0.1395125389099121,,168.35691094398499,125952,0.00022450076357927173,0.025390625,0.00013315677642822266,1763260210.496425,-0.007558973506093025,2094,0.011604316532611847,0.022348614409565926,0.004224509000778198,760.0
500.0,0.15271754562854767,500.0,173.00615644454956,128384,0.00022304146841634065,0.005859375,0.0004852414131164551,1763260215.1456704,-0.022422445937991142,2117,5.436919689178467,-0.0025679711252450943,0.0022970763966441154,753.0
500.0,,500.0,178.44473505020142,131384,,,,1763260220.584249,,2146,,,,
,0.21179865300655365,,178.9226565361023,131584,0.00022112135775387287,0.123046875,0.781119704246521,1763260221.0621705,0.06695646792650223,2148,9.490328375250101e-05,-0.02725398726761341,0.03366663679480553,746.0
,0.279877632856369,,180.31294322013855,132352,0.00022066052770242095,0.052734375,0.9475026726722717,1763260222.4524572,0.0004324698820710182,2155,0.007828076370060444,-0.008258342742919922,0.0014197556301951408,744.0
,0.13622885942459106,,183.49950075149536,134016,0.0002196620625909418,0.068359375,0.9315125942230225,1763260225.6390147,0.005364757962524891,2172,1.942948074429296e-05,0.007028970867395401,0.0025851400569081306,741.0
500.0,,500.0,185.91412162780762,135384,,,,1763260228.0536356,,2185,,,,
,0.10356362164020538,,187.3194797039032,136064,0.00021843318245373666,0.03125,0.9795221090316772,1763260229.4589937,0.0012591145932674408,2192,1.5097361938387621e-05,-0.008169107139110565,0.0009344723075628281,736.0
,0.19989711046218872,,188.7259442806244,136832,0.00021797235240228474,0.0,0.9953354597091675,1763260230.8654583,0.00043488759547472,2199,0.0011361876968294382,-3.878958523273468e-05,4.885997623205185e-05,735.0
,0.17077381908893585,,190.97764801979065,137984,0.00021728110732510686,0.0703125,0.40147966146469116,1763260233.117162,0.0679158940911293,2211,4.132618427276611,0.004883503541350365,0.017419202253222466,732.0
,0.1953904777765274,,191.6692237854004,138368,0.0002170506922993809,0.1640625,0.996163547039032,1763260233.8087378,0.1489727795124054,2214,0.0033111777156591415,-0.06684181094169617,0.04828852042555809,732.0
500.0,,500.0,192.67742586135864,138884,,,,1763260234.8169398,,2220,,,,
,0.24480953812599182,,193.3725597858429,139264,0.00021651305723935366,0.0911458358168602,0.9972427487373352,1763260235.5120738,0.03405407443642616,2223,0.0006843235460110009,-0.013134144246578217,0.037533313035964966,730.0
,0.21248944103717804,,193.67077445983887,139392,0.00021643625223077834,0.0234375,0.5252730250358582,1763260235.8102884,0.02954569272696972,2225,3.2706427574157715,0.03752364218235016,0.008022172376513481,729.0
,0.23495621979236603,,193.89426565170288,139520,0.00021635944722220302,0.041015625,0.9864212870597839,1763260236.0337796,0.013563387095928192,2226,6.428175765904598e-06,-0.03216736763715744,0.012237897142767906,729.0
,0.24051250517368317,,194.13146901130676,139648,0.0002162826422136277,0.013671875,0.9923531413078308,1763260236.270983,0.023152094334363937,2227,1.568086736369878e-05,-0.024674147367477417,0.004771288484334946,729.0
,0.25781309604644775,,195.5980579853058,140416,0.00021582181216217577,0.046875,0.26739972829818726,1763260237.737572,0.01916041038930416,2235,0.0142129547894001,-0.0463050901889801,0.002797291614115238,727.0
,0.18484240770339966,,196.7940797805786,141056,0.00021543778711929917,0.080078125,0.9930720329284668,1763260238.9335938,-0.02774702198803425,2241,3.846448635158595e-06,0.026244278997182846,0.00951467826962471,726.0
