losses/explained_variance,charts/episodic_return,global_step,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/entropy,losses/old_approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_length,charts/SPS,_timestamp,losses/approx_kl
-0.01608407497406006,,18048,0.00028924731304869056,539,-0.027313493192195892,20.36987853050232,0.31147968769073486,-0.001610971987247467,0.01171875,41.559200286865234,,1005.0,1763260062.5379546,0.0037642214447259903
-0.009127616882324219,,18944,0.0002887096779886633,555,-0.003511246293783188,21.222087860107422,0.26002055406570435,0.018858497962355614,0.0390625,0.9522026777267456,,1007.0,1763260063.390164,0.0013276077806949615
-0.013280868530273438,,19200,0.0002885560679715127,559,-0.015877367928624153,21.450634241104126,0.2928866744041443,0.005437358282506466,0.0,22.247325897216797,,1009.0,1763260063.6187103,0.00046345312148332596
,93.0,19702,,568,,21.832690477371216,,,,,93.0,,1763260064.0007665,
-0.0018957853317260742,,20992,0.0002874807978514582,595,-0.031275730580091476,23.150829792022705,0.39015069603919983,0.023803800344467163,0.013671875,0.993068277835846,,1012.0,1763260065.3189058,0.0036443835124373436
0.015378355979919434,,22144,0.0002867895527742803,614,-0.0340750552713871,24.219523668289185,0.38568609952926636,0.0064775459468364716,0.00390625,26.299333572387695,,1015.0,1763260066.3875997,0.004318952560424805
,73.0,23065,,630,,25.02052879333496,,,,,73.0,,1763260067.1886048,
,93.0,23385,,636,,25.314762830734253,,,,,93.0,,1763260067.4828389,
-0.0031353235244750977,,23552,0.0002859446976799518,640,0.0019401684403419495,25.513107299804688,0.3823211193084717,0.003308079205453396,0.00390625,28.273624420166016,,1019.0,1763260067.6811833,0.0017701191827654839
,85.0,24707,,664,,26.598275423049927,,,,,85.0,,1763260068.7663515,
0.022275030612945557,,25728,0.00028463901253417134,684,0.0006853006780147552,27.562063694000244,0.3891538679599762,-0.000987752340734005,0.0,0.1791515350341797,,1023.0,1763260069.7301397,7.923971861600876e-05
,97.0,25981,,689,,27.722329139709473,,,,,97.0,,1763260069.8904052,
-0.0006759166717529297,,26368,0.00028425498749129474,698,-3.559887409210205e-05,28.13632607460022,0.4087737202644348,-0.0011230092495679855,0.0,32.95102310180664,,1025.0,1763260070.304402,3.223493695259094e-05
0.04448115825653076,,26752,0.0002840245724655688,707,-0.0003124549984931946,28.53885817527771,0.3772640526294708,-0.0032444503158330917,0.0,32.88481903076172,,1024.0,1763260070.7069342,0.00029315054416656494
0.0053615570068359375,,27776,0.0002834101323969662,729,-0.012014539912343025,29.50694966316223,0.3405301570892334,0.008616181090474129,0.0,1.3176988363265991,,1025.0,1763260071.6750257,0.0004515126347541809
0.8581060171127319,,29568,0.00028233486227691174,767,0.00411483459174633,31.153249740600586,0.4651145935058594,-0.0013802889734506607,0.0,0.47916972637176514,,1029.0,1763260073.3213258,0.0008651595562696457
,116.0,30055,,775,,31.572877168655396,,,,,116.0,,1763260073.7409532,
,119.0,30758,,788,,32.233851194381714,,,,,119.0,,1763260074.4019272,
0.9242304563522339,,31232,0.00028133639716543257,797,-0.009394176304340363,32.71049737930298,0.414053738117218,0.001543126069009304,0.0,0.07066565752029419,,1031.0,1763260074.8785734,0.00030907709151506424
,91.0,31722,,806,,33.09602427482605,,,,,91.0,,1763260075.2641003,
,102.0,34572,,863,,35.83153700828552,,,,,102.0,,1763260077.999613,
