losses/clipfrac,losses/old_approx_kl,charts/SPS,losses/approx_kl,losses/value_loss,losses/policy_loss,charts/learning_rate,global_step,losses/entropy,charts/episodic_length,_runtime,_timestamp,_step,losses/explained_variance,charts/episodic_return
,,,,,,,0,,,2.4981472492218018,1763260044.6795263,0,,
,,,,,,,216,,19.0,3.6208152770996094,1763260045.8021944,7,,19.0
0.0,0.026291729882359505,1019.0,0.004005571827292442,0.5798087120056152,-0.019210223108530045,0.0002996159892063588,768,0.6768277883529663,,4.214116334915161,1763260046.3954954,33,0.6331645846366882,
,,,,,,,984,,16.0,4.370703935623169,1763260046.552083,41,,16.0
,,,,,,,1169,,56.0,4.580075025558472,1763260046.761454,47,,56.0
,,,,,,,1706,,56.0,5.099446535110474,1763260047.2808256,64,,56.0
,,,,,,,1999,,40.0,5.352679014205933,1763260047.534058,74,,40.0
0.0,-0.029793472960591316,1033.0,0.0038918349891901016,0.5192632675170898,-0.0030559301376342773,0.0002988479391206056,2048,0.5841996669769287,15.0,5.44236946105957,1763260047.6237485,77,0.00430905818939209,15.0
,,,,,,,2241,,22.0,5.603908061981201,1763260047.7852871,88,,22.0
,,,,,,,2868,,12.0,6.284766912460327,1763260048.466146,133,,12.0
,,,,,,,3051,,10.0,6.442358732223511,1763260048.6237378,147,,10.0
0.0,0.0013229278847575188,1003.0,0.0009599728509783745,0.4754294753074646,0.008057467639446259,0.000298233499052003,3072,0.5577363967895508,,6.52263879776001,1763260048.7040179,149,-0.035404205322265625,
,,,,,,,3075,,13.0,6.526192903518677,1763260048.707572,150,,13.0
,,,,,,,3143,,14.0,6.560328960418701,1763260048.741708,155,,14.0
,,,,,,,3169,,10.0,6.572427749633789,1763260048.7538068,157,,10.0
,,,,,,,3582,,16.0,6.99111533164978,1763260049.1724944,195,,16.0
,,,,,,,3672,,14.0,7.154798746109009,1763260049.3361778,203,,14.0
,,,,,,,3782,,13.0,7.293513059616089,1763260049.4748921,213,,13.0
,,,,,,,3832,,13.0,7.317137002944946,1763260049.498516,217,,13.0
,,,,,,,3952,,10.0,7.445553541183472,1763260049.6269326,228,,10.0
,,,,,,,4007,,13.0,7.548375606536865,1763260049.7297547,233,,13.0
,,,,,,,4261,,18.0,7.803986310958862,1763260049.9853654,251,,18.0
,,,,,,,4395,,20.0,7.930525064468384,1763260050.1119041,259,,20.0
,,,,,,,4595,,11.0,8.09397006034851,1763260050.2753491,273,,11.0
0.01953125,0.027440069243311882,972.0,0.010399230755865574,2.1526541709899902,-0.006353124976158142,0.0002973118389490992,4608,0.5928400754928589,,8.19904899597168,1763260050.380428,274,0.3628658652305603,
,,,,,,,4929,,17.0,8.481369495391846,1763260050.6627486,292,,17.0
,,,,,,,5904,,35.0,9.467873811721802,1763260051.649253,327,,35.0
,,,,,,,6049,,41.0,9.595896244049072,1763260051.7772753,330,,41.0
0.015625,-0.007300303317606449,985.0,0.003997069783508778,0.3782064616680145,-0.012208610773086548,0.00029639017884619534,6144,0.4613185524940491,,9.695957899093628,1763260051.877337,332,0.811921238899231,
,,,,,,,6620,,136.0,10.068917989730835,1763260052.250297,340,,136.0
,,,,,,,7637,,32.0,11.08755350112915,1763260053.2689326,370,,32.0
0.0,0.00447731651365757,997.0,0.0003597307950258255,5.737186908721924,-0.002186344936490059,0.0002950844937004149,8320,0.5318713188171387,,11.800841569900513,1763260053.9822206,396,-0.033025503158569336,
,,,,,,,9040,,28.0,12.438121557235718,1763260054.6195006,425,,28.0
,,,,,,,9462,,30.0,13.12132477760315,1763260055.3027039,441,,30.0
,,,,,,,9687,,33.0,13.405413150787354,1763260055.5867922,450,,33.0
,,,,,,,10225,,38.0,14.046692371368408,1763260056.2280715,471,,38.0
,,,,,,,10493,,44.0,14.317957639694214,1763260056.4993367,481,,44.0
,,,,,,,10756,,52.0,14.663886547088623,1763260056.8452656,490,,52.0
,,,,,,,11315,,31.0,15.275254487991333,1763260057.4566336,504,,31.0
0.0,0.001022237353026867,955.0,0.00015866290777921677,8.227250099182129,-0.0009691920131444931,0.00029308756347745657,11648,0.511938750743866,,15.65427565574646,1763260057.8356547,515,-0.007084965705871582,
,,,,,,,12159,,52.0,16.23659920692444,1763260058.4179783,530,,52.0
0.0,0.006032723002135754,945.0,0.0003923652693629265,8.431253433227539,-0.0019204635173082352,0.00029262673342600465,12416,0.5483725070953369,,16.592439651489258,1763260058.7738187,539,0.010898232460021973,
,,,,,,,12842,,28.0,16.967936277389526,1763260059.1493154,555,,28.0
,,,,,,,12947,,13.0,17.077251434326172,1763260059.2586305,559,,13.0
0.056640625,0.09965872019529343,948.0,0.014487535692751408,0.214823916554451,-0.07296426594257355,0.0002920890983659774,13312,0.5468665361404419,,17.500101566314697,1763260059.6814806,568,0.6690415143966675,
,,,,,,,14099,,49.0,18.27661371231079,1763260060.4579928,595,,49.0
,,,,,,,14802,,33.0,18.902788400650024,1763260061.0841675,614,,33.0
0.052734375,0.030983753502368927,959.0,0.006733139045536518,0.15657548606395721,-0.03181460499763489,0.00029070660821162164,15616,0.518038272857666,,19.737518787384033,1763260061.9188979,630,0.9827947020530701,
,,,,,,,15961,,108.0,19.99833083152771,1763260062.17971,636,,108.0
0.0,-0.0036437688395380974,965.0,0.0014680316671729088,0.2366412878036499,-0.011678101494908333,0.00029032258316874504,16256,0.5095494985580444,,20.30273413658142,1763260062.4841132,640,0.7917558550834656,
0.015625,0.03418657183647156,981.0,0.005565274506807327,0.2220906764268875,-0.06204238161444664,0.0002885560679715127,19200,0.43252861499786377,,23.02490544319153,1763260065.2062845,684,-0.002138972282409668,
0.0859375,-0.02436746656894684,984.0,0.02528148889541626,0.19948408007621765,-0.05124596878886223,0.0002883256529457867,19584,0.4316491484642029,,23.35997700691223,1763260065.541356,689,0.7647011876106262,
0.103515625,0.04658875986933708,992.0,0.010241867043077946,0.17311091721057892,0.0063617900013923645,0.00028732718783430755,21248,0.3563102185726166,,24.866609573364258,1763260067.0479887,707,0.7124720215797424,
0.03515625,0.048618197441101074,1003.0,0.010111182928085327,0.16505707800388336,-0.0004453510046005249,0.0002860215026885271,23424,0.29460087418556213,,26.812373638153076,1763260068.9937527,729,-0.0018371343612670898,
0.0,-0.0034278500825166702,1019.0,0.00028683245182037354,0.1035907119512558,0.0006998945027589798,0.0002837173524312675,27264,0.274899959564209,,30.206870555877686,1763260072.3882496,767,0.07763165235519409,
0.03515625,0.003303730860352516,1021.0,0.0024625640362501144,1.4135130643844604,0.006658272817730904,0.0002832565223798156,28032,0.20880810916423798,,30.896743059158325,1763260073.0781221,775,-0.0026106834411621094,
,,,,,,,29363,,468.0,32.04937219619751,1763260074.2307513,788,,468.0
,,,,,,,30983,,293.0,33.51017498970032,1763260075.691554,806,,293.0
0.09375,0.02391001582145691,1042.0,0.0034481287002563477,0.03452906012535095,-0.032830506563186646,0.00027818739181384444,36480,0.2777012288570404,,38.44107627868652,1763260080.6224554,863,-0.019439697265625,
,,,,,,,37269,,373.0,39.11187267303467,1763260081.2932518,872,,373.0
,,,,,,,37638,,369.0,39.46376037597656,1763260081.6451395,876,,369.0
0.013671875,-0.013996569439768791,1053.0,0.00493735633790493,75.79391479492188,-0.011993801221251488,0.00027488480554893613,41984,0.23050278425216675,,43.330522298812866,1763260085.5119014,922,-0.0005742311477661133,
0.0078125,-0.014281954616308212,1054.0,0.0014084912836551666,0.012084560468792915,0.006745125167071819,0.0002744239754974842,42752,0.2209746241569519,,44.019206047058105,1763260086.2005851,930,-0.0069561004638671875,
,,,,,,,43478,,296.0,44.61913442611694,1763260086.8005135,938,,296.0
0.01171875,-0.003123743459582329,1055.0,0.0005308259278535843,0.00965367816388607,-0.0008477605879306793,0.00027380953542888165,43776,0.20258791744709015,,44.92033576965332,1763260087.1017148,941,-0.01824963092803955,
,,,,,,,43809,,331.0,44.934717893600464,1763260087.116097,942,,331.0
,,,,,,,44381,,265.0,45.39880967140198,1763260087.5801888,948,,265.0
0.083984375,0.012473862618207932,1059.0,0.0019023660570383072,0.004139196593314409,0.0018830075860023499,0.0002720430202316493,46720,0.11536635458469391,,47.55992388725281,1763260089.741303,974,0.008855640888214111,
0.001953125,-0.008461390621960163,1060.0,0.0005296217277646065,0.008886630646884441,0.007104434072971344,0.000271735800197348,47232,0.13884533941745758,,48.004159688949585,1763260090.1855388,980,0.41408419609069824,
,,,,,,,47743,,345.0,48.37858772277832,1763260090.5599668,985,,345.0
,,,,,,,50389,,263.0,50.776673555374146,1763260092.9580526,1015,,263.0
0.0,-0.008942848071455956,1065.0,0.001143820583820343,102.50032043457031,0.012830555438995361,0.0002690476248972118,51712,0.21898511052131653,,52.00163388252258,1763260094.183013,1031,-0.000274658203125,
,,,,,,,53468,,296.0,53.534003496170044,1763260095.7153826,1050,,296.0
,,,,,,,53758,,290.0,53.84807300567627,1763260096.029452,1053,,290.0
0.0,-0.0005931686609983444,1062.0,7.810071110725403e-06,4.226926803588867,0.0018292907625436783,0.0002675883297342807,54144,0.16023185849189758,,54.40739679336548,1763260096.5887759,1058,-0.00023663043975830078,
,,,,,,,56417,,258.0,56.48424768447876,1763260098.6656268,1083,,258.0
0.0,0.004177773371338844,1063.0,0.001209961250424385,115.07625579833984,0.000947883352637291,0.00026582181453704834,57088,0.2692285478115082,,57.15359330177307,1763260099.3349724,1091,-0.00016295909881591797,
0.04296875,-0.016861438751220703,1064.0,0.019466789439320564,0.0014758985489606857,0.002850096672773361,0.00026505376445129514,58368,0.2261170893907547,,58.30919289588928,1763260100.490572,1106,0.1337522268295288,
0.08203125,0.010778792202472687,1064.0,0.004607860930263996,0.0006247371784411371,-0.009270978160202503,0.0002644393243826926,59392,0.2521238625049591,,59.239476442337036,1763260101.4208555,1118,0.05257517099380493,
,,,,,,,60696,,310.0,60.40123105049133,1763260102.5826101,1133,,310.0
0.05078125,-0.033146005123853683,1066.0,0.011998944915831089,0.0005103157018311322,0.03014027699828148,0.0002629800292197615,61824,0.2719113528728485,,61.44081234931946,1763260103.6221914,1145,0.6560027599334717,
0.1015625,0.020279083400964737,1067.0,0.029995091259479523,0.0013379435986280441,0.06355705857276917,0.000261904759099707,63616,0.26619595289230347,,63.036028146743774,1763260105.2174072,1164,-0.024294137954711914,
,,,,,,,64257,,308.0,63.63391709327698,1763260105.8152962,1172,,308.0
,,,,,,,65085,,307.0,64.36178851127625,1763260106.5431676,1181,,307.0
0.0,-0.00035946816205978394,1068.0,9.192340075969696e-05,4.976197242736816,0.00657680444419384,0.0002607526839710772,65536,0.1732219159603119,,64.78608059883118,1763260106.9674597,1186,-0.00016629695892333984,
0.001953125,-0.0006129872053861618,1069.0,0.0005695261061191559,0.010134898126125336,0.002560121938586235,0.00026013824390247464,66560,0.22866855561733246,,65.70501184463501,1763260107.886391,1197,-0.00010859966278076172,
0.05859375,0.029647503048181534,1070.0,0.00521575752645731,0.0008324080263264477,-0.03268098831176758,0.0002592165837995708,68096,0.14565293490886688,,67.08691596984863,1763260109.268295,1213,0.009298324584960938,
,,,,,,,68265,,372.0,67.21225166320801,1763260109.3936307,1215,,372.0
0.0,-0.012835554778575897,1070.0,0.0005010906606912613,0.011176930740475655,0.0015054007526487112,0.0002585253387223929,69248,0.15797610580921173,,68.12261581420898,1763260110.303995,1226,-0.0001842975616455078,
0.0,-0.0040892548859119415,1070.0,0.0008300021290779114,0.00018060943693853915,0.004733361303806305,0.00025829492369666696,69632,0.18216665089130402,,68.49219965934753,1763260110.6735787,1230,0.36658400297164917,
0.015625,0.010874525643885136,1071.0,0.0038944100961089134,0.0010051678400486708,-0.012740742415189743,0.000258064508670941,70016,0.2087498903274536,,68.82123160362244,1763260111.0026107,1234,-0.02506732940673828,
0.03125,0.009350137785077095,1071.0,0.008423903957009315,0.0005715709994547069,-0.019222794100642204,0.00025745006860233843,71040,0.2216757982969284,,69.74371862411499,1763260111.9250977,1245,0.009180784225463867,
