_timestamp,_runtime,charts/SPS,losses/clipfrac,_step,losses/explained_variance,losses/value_loss,losses/policy_loss,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/old_approx_kl,global_step,losses/entropy,charts/learning_rate
1763260043.9542391,1.7979340553283691,,,0,,,,,,,,0,,
1763260044.9489553,2.7926502227783203,,,7,,,,21.0,21.0,,,102,,
1763260045.432665,3.276360034942627,,,33,,,,12.0,12.0,,,526,,
1763260045.5720458,3.415740728378296,,,41,,,,11.0,11.0,,,688,,
1763260045.6785905,3.5222854614257812,985.0,0.0,47,0.4511808156967163,0.528711199760437,-0.0007138848304748535,,,0.0007472159340977669,-0.002537488006055355,768,0.6870541572570801,0.0002996159892063588
1763260045.9515467,3.795241594314575,,,64,,,,11.0,11.0,,,1064,,
1763260046.0946271,3.938322067260742,,,74,,,,23.0,23.0,,,1225,,
1763260046.1850789,4.028773784637451,995.0,0.0,77,-0.1430048942565918,0.578623354434967,-0.015887772664427757,,,0.0004250872880220413,-0.005319857969880104,1280,0.588181734085083,0.0002993087691720575
1763260046.358525,4.2022199630737305,,,88,,,,11.0,11.0,,,1426,,
1763260046.5249221,4.368617057800293,,,102,,,,12.0,12.0,,,1616,,
1763260046.5384731,4.3821680545806885,,,104,,,,19.0,19.0,,,1645,,
1763260046.9150887,4.758783578872681,,,133,,,,13.0,13.0,,,1985,,
1763260047.061371,4.905066013336182,,,147,,,,9.0,9.0,,,2116,,
1763260047.0711257,4.914820671081543,,,149,,,,11.0,11.0,,,2135,,
1763260047.0763326,4.920027494430542,,,150,,,,9.0,9.0,,,2144,,
1763260047.174234,5.017928838729858,,,155,,,,10.0,10.0,,,2197,,
1763260047.1857276,5.0294225215911865,,,157,,,,10.0,10.0,,,2218,,
1763260047.6684217,5.5121166706085205,,,195,,,,14.0,14.0,,,2611,,
1763260047.8114574,5.655152320861816,,,203,,,,12.0,12.0,,,2713,,
1763260047.9370024,5.780697345733643,,,213,,,,11.0,11.0,,,2823,,
1763260047.9741192,5.817814111709595,,,217,,,,19.0,19.0,,,2892,,
1763260048.1143188,5.9580137729644775,,,228,,,,16.0,16.0,,,3046,,
1763260048.2088087,6.05250358581543,,,233,,,,13.0,13.0,,,3098,,
1763260048.482326,6.326020956039429,,,251,,,,13.0,13.0,,,3357,,
1763260048.6440964,6.487791299819946,,,259,,,,19.0,19.0,,,3490,,
1763260048.7562892,6.599984169006348,,,265,,,,21.0,21.0,,,3595,,
1763260048.8945186,6.738213539123535,,,273,,,,34.0,34.0,,,3758,,
1763260048.909806,6.753500938415527,,,274,,,,41.0,41.0,,,3799,,
1763260049.4029198,7.246614694595337,,,292,,,,42.0,42.0,,,4343,,
1763260050.797096,8.640790939331055,976.0,0.0,327,0.4215918183326721,1.5325230360031128,0.01081852987408638,,,0.0006866510957479477,-0.015328731387853622,5760,0.39598026871681213,0.0002966205938719213
1763260050.8359096,8.679604530334473,,,330,,,,36.0,36.0,,,5856,,
1763260050.9372318,8.780926704406738,,,332,,,,82.0,82.0,,,5938,,
1763260051.0625684,8.90626335144043,,,337,,,,39.0,39.0,,,6083,,
1763260051.1741009,9.01779580116272,,,340,,,,53.0,53.0,,,6200,,
1763260052.3999708,10.24366569519043,,,370,,,,52.0,52.0,,,7449,,
1763260053.5626001,11.40629506111145,,,396,,,,80.0,80.0,,,8713,,
1763260055.2072222,13.050917148590088,,,425,,,,64.0,64.0,,,10177,,
1763260055.9710763,13.814771175384521,,,441,,,,64.0,64.0,,,10935,,
1763260056.5061576,14.349852561950684,,,450,,,,101.0,101.0,,,11417,,
1763260058.053202,15.896896839141846,982.0,0.0390625,471,0.294638454914093,9.021151542663574,0.006308119744062424,,,0.003657842054963112,0.006729898974299431,12928,0.38454127311706543,0.00029231951339170337
1763260058.5852625,16.42895746231079,,,481,,,,124.0,124.0,,,13533,,
1763260059.0546138,16.898308753967285,,,490,,,,74.0,74.0,,,14077,,
1763260059.7469816,17.5906765460968,991.0,0.021484375,504,0.1430930495262146,0.21756047010421753,-0.00851518101990223,,,0.004035144113004208,0.005642755888402462,14720,0.3602479100227356,0.0002912442432716489
1763260060.2107675,18.054462432861328,,,515,,,,107.0,107.0,,,15240,,
1763260061.0362961,18.879991054534912,,,530,,,,86.0,86.0,,,16110,,
1763260061.5346887,19.37838363647461,,,539,,,,93.0,93.0,,,16628,,
1763260061.984827,19.828521966934204,,,547,,,,135.0,135.0,,,17108,,
1763260062.4101415,20.253836393356323,,,555,,,,90.0,90.0,,,17545,,
1763260062.6815307,20.52522563934326,1000.0,0.029296875,559,0.9670267105102539,0.24881310760974884,-0.04467272013425827,,,0.005288858897984028,0.03221942484378815,17792,0.38049376010894775,0.0002894009230658412
