_step,losses/entropy,_timestamp,losses/value_loss,global_step,charts/learning_rate,charts/episodic_length,losses/policy_loss,losses/explained_variance,losses/clipfrac,losses/old_approx_kl,_runtime,charts/SPS,losses/approx_kl,charts/episodic_return
775,0.5182017087936401,1763260077.0587068,0.1281244456768036,33536,0.0002799539070110768,,-0.0337354950606823,-0.0001341104507446289,0.025390625,0.018910426646471024,34.88403367996216,1039.0,0.008037576451897621,
788,,1763260077.6570454,,34254,,36.0,,,,,35.48237228393555,,,36.0
797,,1763260078.0275571,,34624,,31.0,,,,,35.85288405418396,,,31.0
806,0.5192523002624512,1763260078.519464,0.12349434196949005,35072,0.00027903224690817297,,-0.0030001774430274963,-0.0009208917617797852,0.00390625,0.02678791806101799,36.34479093551636,1040.0,0.0012700697407126427,
863,,1763260081.0062304,,37783,,138.0,,,,,38.831557273864746,,,138.0
872,0.477761447429657,1763260081.3803544,2.054332971572876,38144,0.0002771889267023653,,-0.011814286932349205,-0.0011029243469238281,0.0078125,-0.016667205840349197,39.20568132400513,1042.0,0.003713480196893215,
876,0.5623409748077393,1763260081.6051188,0.09487588703632355,38400,0.00027703531668521464,,0.002310335636138916,-0.0002759695053100586,0.04296875,-0.03374902158975601,39.43044567108154,1043.0,0.014213857240974903,
922,0.4443522095680237,1763260083.4707756,0.1921490579843521,40320,0.0002758832706604153,,-0.0007539186626672745,-0.0004379749298095703,0.0,-0.0050398316234350204,41.29610252380371,1042.0,0.0005185641348361969,
930,0.46040159463882446,1763260083.8288133,53.152687072753906,40704,0.00027565285563468933,,-0.003839505836367607,-0.00027239322662353516,0.0,0.008488508872687817,41.65414023399353,1043.0,0.0019102944061160088,
938,0.46924227476119995,1763260084.178773,0.16960680484771729,41088,0.00027542244060896337,,-0.00017180666327476501,-0.0001856088638305664,0.001953125,-0.00017927959561347961,42.00409984588623,1043.0,0.0005423910915851593,
941,,1763260084.3081276,,41249,,125.0,,,,,42.13345456123352,,,125.0
942,,1763260084.3175309,,41271,,22.0,,,,,42.142857789993286,,,22.0
948,0.4749307930469513,1763260084.674461,0.14644908905029297,41600,0.0002751152205746621,,0.018346332013607025,-0.00024628639221191406,0.041015625,0.007021324709057808,42.4997878074646,1043.0,0.00450114905834198,
974,0.4935825765132904,1763260085.77547,0.11266178637742996,42752,0.0002744239754974842,,0.004185466095805168,-0.0002747774124145508,0.0,0.010731653310358524,43.600796937942505,1043.0,0.00167064368724823,
980,,1763260086.012441,,43020,,114.0,,,,,43.83776783943176,,,114.0
985,,1763260086.2380548,,43266,,104.0,,,,,44.06338167190552,,,104.0
1015,,1763260087.5774388,,44699,,14.0,,,,,45.40276575088501,,,14.0
1031,,1763260088.2030444,,45329,,128.0,,,,,46.02837133407593,,,128.0
1050,,1763260088.954339,,46088,,112.0,,,,,46.77966594696045,,,112.0
1053,,1763260089.1006548,,46300,,115.0,,,,,46.925981760025024,,,115.0
1058,,1763260089.3208249,,46509,,97.0,,,,,47.14615178108215,,,97.0
