losses/old_approx_kl,global_step,charts/SPS,charts/episodic_return,charts/learning_rate,losses/approx_kl,_step,_timestamp,losses/explained_variance,losses/entropy,losses/clipfrac,losses/policy_loss,_runtime,losses/value_loss,charts/episodic_length
0.028099259361624718,99712,638.0,,0.00024024577578529716,0.002234530635178089,1164,1763260217.0386267,-0.2757551670074463,0.5108518004417419,0.0,-0.021515384316444397,183.51564168930054,0.006864508613944054,
-0.0036361850798130035,99840,638.0,,0.00024016897077672184,0.0028092730790376663,1165,1763260217.2591758,-0.3415029048919678,0.4419797360897064,0.0,-0.02753528580069542,183.73619079589844,0.0004721243167296052,
,100542,,500.0,,,1172,1763260218.3956268,,,,,184.8726418018341,,500.0
0.001906747929751873,101504,637.0,,0.00023917050566524267,0.0018838560208678246,1181,1763260220.1060798,0.11057227849960327,0.45500612258911133,0.0,-0.006078779697418213,186.58309483528137,3.649728751042858e-05,
0.011632397770881653,102016,636.0,,0.0002388632856309414,0.006065615452826023,1186,1763260220.984337,-0.02100694179534912,0.39482495188713074,0.01171875,-0.024740029126405716,187.46135210990906,0.00019238585082348436,
,103042,,500.0,,,1197,1763260222.8282363,,,,,189.30525135993958,,500.0
0.0009770216420292854,104704,634.0,,0.00023725038045085967,0.00019645411521196365,1213,1763260225.8073194,-0.18207693099975586,0.4850388169288635,0.0,0.0017576739192008972,192.28433442115784,0.0068076299503445625,
-0.0028684111312031746,104960,634.0,,0.00023709677043370903,0.0012542465701699257,1215,1763260226.2443495,-0.027514219284057617,0.5476301908493042,0.0,-0.02071080356836319,192.72136449813843,0.0001503205712651834,
,106042,,500.0,,,1226,1763260228.0861795,,,,,194.56319451332092,,500.0
-0.0037514986470341682,106496,633.0,,0.00023617511033080518,0.0013358695432543755,1230,1763260228.9807816,-0.13520503044128418,0.5280362963676453,0.0,-0.004969066008925438,195.45779657363892,0.00017452184692956507,
-0.027713436633348465,106880,632.0,,0.00023594469530507922,0.01627192273736,1234,1763260229.6824408,0.0803866982460022,0.47725290060043335,0.078125,-0.05043669044971466,196.1594557762146,0.00028954976005479693,
