global_step,losses/value_loss,losses/policy_loss,_step,losses/approx_kl,losses/entropy,losses/clipfrac,charts/episodic_length,_runtime,charts/episodic_return,_timestamp,charts/learning_rate,charts/SPS,losses/old_approx_kl,losses/explained_variance
34560,3.628664016723633,-0.016977470368146896,504,0.0019437512382864952,0.5148568153381348,0.005859375,,68.05177426338196,,1763260101.7034063,0.00027933946694247425,850.0,-0.00613617617636919,0.18765777349472046
35456,46.87968063354492,-0.0009280964732170105,515,0.00019798614084720612,0.5546239018440247,0.0,,69.71061658859253,,1763260103.3622487,0.000278801831882447,838.0,0.0018104314804077148,0.3550722002983093
36864,18.088647842407227,0.008154936134815216,530,0.0008014962077140808,0.5849979519844055,0.0,305.0,72.33660507202148,305.0,1763260105.9882371,0.0002779569767881185,820.0,-3.003329038619995e-05,0.04319208860397339
37525,,,539,,,,101.0,73.66825199127197,101.0,1763260107.319884,,,,
38242,,,547,,,,152.0,75.00981950759888,152.0,1763260108.6614516,,,,
38830,,,555,,,,142.0,76.60452508926392,142.0,1763260110.2561572,,,,
39143,,,559,,,,132.0,77.40211391448975,132.0,1763260111.053746,,,,
39681,,,568,,,,113.0,79.12977933883667,113.0,1763260112.7814114,,,,
41472,55.91803741455078,-0.014014284126460552,595,0.0006347112357616425,0.565664529800415,0.0,,83.04213762283325,,1763260116.6937697,0.0002751920255832374,745.0,0.009101798757910728,0.5777729749679565
42624,6.247611045837402,0.0021431781351566315,612,6.223935633897781e-05,0.5617437958717346,0.0,,85.49633359909058,,1763260119.1479657,0.00027450078050605953,733.0,-0.0009801676496863365,0.7118484377861023
42752,52.875038146972656,-0.015270218253135681,614,0.0005451198667287827,0.5973414778709412,0.0,,85.78041124343872,,1763260119.4320433,0.0002744239754974842,732.0,0.005435483530163765,0.7412554025650024
43564,,,630,,,,127.0,87.68828201293945,127.0,1763260121.339914,,,,
43904,92.07617950439453,0.0065034180879592896,636,0.0013605821877717972,0.5041764378547668,0.0,,88.53562068939209,,1763260122.1872528,0.0002737327304203063,718.0,0.0011420845985412598,0.5265871286392212
44160,4.213780403137207,0.04516318812966347,640,0.0035246405750513077,0.5832043886184692,0.009765625,,89.11390161514282,,1763260122.7655337,0.0002735791204031557,715.0,-0.020774787291884422,0.8987990021705627
44800,34.29167556762695,-0.0004588235169649124,650,0.00012718606740236282,0.5522527098655701,0.0,,90.47305035591125,,1763260124.1246824,0.0002731950953602791,710.0,-0.0032354844734072685,0.6988480091094971
45952,0.3390348553657532,-0.007513590157032013,664,0.0028910646215081215,0.6103292107582092,0.0,,92.72692918777466,,1763260126.3785613,0.0002725038502831012,703.0,0.015104264952242374,0.993212878704071
47872,0.789908766746521,0.0018241647630929947,684,0.0002113720402121544,0.5426353812217712,0.0,,96.24640989303589,,1763260129.898042,0.0002713517751544714,695.0,-0.0008772490546107292,0.6362144947052002
48384,6.441992282867432,-0.012571223080158234,689,0.001256805844604969,0.5305169820785522,0.0,,97.17219948768616,,1763260130.8238316,0.0002710445551201701,693.0,0.004416716285049915,0.8468407392501831
49280,0.5728610754013062,0.004117745906114578,698,0.0035187778994441032,0.587729275226593,0.015625,,98.71661043167114,,1763260132.3682425,0.0002705069200601429,691.0,-0.010578317567706108,0.019717156887054443
49664,0.6038097739219666,-0.0026102177798748016,702,0.000533093698322773,0.5835591554641724,0.0,,99.38135504722595,,1763260133.032987,0.0002702765050344169,690.0,-0.003702963702380657,-0.573503851890564
50048,171.45855712890625,-0.0009808838367462158,707,0.00010462850332260132,0.5227471590042114,0.0,,100.10521984100342,,1763260133.756852,0.00027004609000869095,688.0,-0.0017873886972665787,0.1354026198387146
52196,,,729,,,,390.0,103.72798705101013,390.0,1763260137.3796191,,,,
54656,0.28657302260398865,-0.0021505802869796753,757,5.211494863033295e-05,0.5573784112930298,0.0,,108.20439505577087,,1763260141.8560271,0.0002672811096999794,676.0,0.00015333667397499084,-0.10119235515594482
55168,0.16087162494659424,0.0014512427151203156,762,9.187497198581696e-06,0.5696419477462769,0.0,,109.1444959640503,,1763260142.796128,0.00026697388966567814,675.0,-0.0005818484351038933,0.0023389458656311035
55680,0.09054610133171082,-0.0044525861740112305,767,0.0003016497939825058,0.5405241847038269,0.0,,110.13381457328796,,1763260143.7854466,0.00026666666963137686,673.0,-0.002228410914540291,-0.05246782302856445
56448,123.49252319335938,-0.0034514889121055603,775,0.00019457843154668808,0.488216757774353,0.0,,111.67407894134521,,1763260145.325711,0.00026620583957992494,669.0,-0.005511312745511532,-0.001347661018371582
57856,0.028333835303783417,0.0055710747838020325,788,0.004727421328425407,0.5631986260414124,0.015625,,114.26942372322083,,1763260147.9210558,0.0002653609844855964,666.0,-0.01321280375123024,-0.25288963317871094
58752,0.013737793080508709,-0.001749914139509201,797,0.0005711838603019714,0.5424652695655823,0.0,,115.8824405670166,,1763260149.5340726,0.0002648233494255692,664.0,-0.0062459055334329605,-0.1165006160736084
59648,0.03042684495449066,-0.002259783446788788,806,0.0054989950731396675,0.4884546399116516,0.005859375,,117.53602933883667,,1763260151.1876614,0.00026428571436554193,661.0,0.020356126129627228,0.10418814420700073
60544,41.80906677246094,-0.000954868271946907,815,0.00023008137941360474,0.5755653381347656,0.0,,119.17081999778748,,1763260152.822452,0.0002637480793055147,659.0,0.004537118598818779,-0.0012928247451782227
65425,,,863,,,,500.0,127.8014988899231,500.0,1763260161.453131,,,,
66425,,,872,,,,500.0,129.46111130714417,500.0,1763260163.1127434,,,,
66816,0.000243818576564081,-0.014144182205200195,876,0.0013156160712242126,0.5449567437171936,0.0,,130.30330610275269,,1763260163.9549382,0.000259984633885324,649.0,-0.003197602927684784,-0.26204586029052734
71425,,,922,,,,500.0,138.6355652809143,500.0,1763260172.2871974,,,,
72320,0.00013313537056092173,-0.00417724996805191,930,0.006187587045133114,0.470197468996048,0.029296875,,140.25476050376892,,1763260173.9063926,0.00025668201851658523,640.0,0.03315584361553192,-0.33510828018188477
73088,0.007442309055477381,0.012489233165979385,938,0.0038903579115867615,0.5677893161773682,0.001953125,,141.64965105056763,,1763260175.3012831,0.0002562211884651333,639.0,-0.012533677741885185,0.1706935167312622
73425,,,941,,,,500.0,142.1602246761322,500.0,1763260175.8118567,,,,
73472,361.0977783203125,0.006494481116533279,942,0.0010266825556755066,0.5462923049926758,0.005859375,,142.38718509674072,,1763260176.0388172,0.00025599077343940735,639.0,0.00517706573009491,-2.562999725341797e-05
74112,0.006636996287852526,-0.00655185803771019,948,0.000643312931060791,0.5334219336509705,0.0,,143.5231864452362,,1763260177.1748185,0.00025560674839653075,638.0,0.012061307206749916,0.17017221450805664
76800,0.0004750891821458936,0.0022821426391601562,974,0.0009182216599583626,0.43822258710861206,0.0,,148.55585384368896,,1763260182.207486,0.000253993843216449,633.0,-0.004050941206514835,-0.04891788959503174
77425,,,980,,,,500.0,149.54466438293457,500.0,1763260183.1962965,,,,
77925,,,985,,,,500.0,150.52054738998413,500.0,1763260184.1721795,,,,
78925,,,995,,,,500.0,152.39573860168457,500.0,1763260186.0473707,,,,
79104,0.00838745478540659,7.096119225025177e-05,997,6.322097033262253e-05,0.4965910315513611,0.0,,152.8568413257599,,1763260186.5084734,0.00025261135306209326,630.0,-0.0014139534905552864,-0.14960932731628418
80925,,,1015,,,,500.0,156.15608859062195,500.0,1763260189.8077207,,,,
81425,,,1020,,,,500.0,157.10114240646362,500.0,1763260190.7527745,,,,
82560,0.0086479801684618,-0.019640721380710602,1031,0.0012628501281142235,0.465035617351532,0.001953125,,159.17388367652893,,1763260192.8255157,0.00025053764693439007,626.0,0.000299905426800251,-0.29254305362701416
84480,117.22614288330078,0.0035265982151031494,1050,0.003066999837756157,0.4992845058441162,0.001953125,,162.67532324790955,,1763260196.3269553,0.00024938557180576026,624.0,-0.0005831792950630188,-0.0005548000335693359
84864,0.00025011179968714714,-0.020012758672237396,1053,0.007991744205355644,0.5743796825408936,0.013671875,,163.32624650001526,,1763260196.9778786,0.0002491551567800343,624.0,0.021386416628956795,-0.03351175785064697
85376,9.007428161567077e-05,-0.0043835146352648735,1058,0.0001481957733631134,0.5500564575195312,0.0,,164.19494533538818,,1763260197.8465774,0.000248847936745733,624.0,-0.002838579937815666,0.08198833465576172
87925,,,1083,,,,500.0,168.56150078773499,500.0,1763260202.2131329,,,,
88704,0.0002206320350524038,-0.00842701643705368,1091,0.0011125626042485237,0.47036492824554443,0.0,,170.0340132713318,,1763260203.6856453,0.0002468510065227747,621.0,0.003919483162462711,-0.17985224723815918
90240,0.00038786110235378146,0.014977708458900452,1106,0.0044728731736540794,0.47714561223983765,0.005859375,,172.76952409744263,,1763260206.4211562,0.00024592934641987085,620.0,0.022530874237418175,-0.057459115982055664
91425,,,1118,,,,500.0,174.8449375629425,500.0,1763260208.4965696,,,,
92160,0.00564916804432869,0.0016329623758792877,1125,0.0013716239482164383,0.5242229104042053,0.0,,176.1995108127594,,1763260209.851143,0.00024477727129124105,619.0,-0.00539807416498661,-0.05145859718322754
92928,208.83729553222656,0.0038590729236602783,1133,0.0002924259752035141,0.5199635028839111,0.0,,177.59257698059082,,1763260211.244209,0.00024431644123978913,618.0,-0.0019616857171058655,-7.069110870361328e-05
94208,0.0002497185778338462,-0.03024105355143547,1145,0.007260976359248161,0.49961984157562256,0.01953125,,179.81846070289612,,1763260213.4700928,0.00024354839115403593,618.0,0.012101827189326286,-0.06661450862884521
96128,0.006677799392491579,-0.0022190865129232407,1164,8.475780487060547e-05,0.5104027390480042,0.0,,183.2841293811798,,1763260216.9357615,0.00024239631602540612,616.0,0.00012946128845214844,0.14648467302322388
96256,0.0006302570691332221,0.0007512159645557404,1165,0.0001490144059062004,0.5582244992256165,0.0,,183.50435328483582,,1763260217.1559854,0.0002423195110168308,616.0,0.0035943416878581047,-0.05631232261657715
96925,,,1172,,,,500.0,184.689866065979,500.0,1763260218.3414981,,,,
97920,0.00020000591757707298,-0.06537032872438431,1181,0.0196850448846817,0.4959265887737274,0.072265625,,186.48656225204468,,1763260220.1381943,0.00024132104590535164,615.0,0.06066867336630821,-0.08927226066589355
98425,,,1186,,,,500.0,187.2687065601349,500.0,1763260220.9203386,,,,
99456,63.39426803588867,0.014209222048521042,1197,0.0037792380899190903,0.47977250814437866,0.001953125,,189.32911252975464,,1763260222.9807446,0.0002403993858024478,614.0,-0.016096442937850952,-0.0001690387725830078
101120,0.0049824160523712635,-0.006003588438034058,1213,0.0004519158974289894,0.4847675859928131,0.0,,192.35982847213745,,1763260226.0114605,0.00023940092069096863,613.0,-0.011774425394833088,-0.10454678535461426
101376,0.00016403220070060343,-0.012237520888447762,1215,0.007506776601076126,0.5413438081741333,0.01953125,,192.79078650474548,,1763260226.4424186,0.000239247310673818,613.0,0.011241213418543339,-0.04204070568084717
102425,,,1226,,,,500.0,194.68356847763062,500.0,1763260228.3352005,,,,
102912,0.0002177269198000431,-0.01492946594953537,1230,0.0005914252251386642,0.47207358479499817,0.0,,195.60240602493286,,1763260229.254038,0.00023832565057091415,611.0,0.011878592893481255,0.18099528551101685
103296,0.0007433399441652,-0.0005964487791061401,1234,0.00017269421368837357,0.5334754586219788,0.0,,196.3435070514679,,1763260229.9951391,0.0002380952355451882,611.0,-0.005846689455211163,-0.05359089374542236
104425,,,1245,,,,500.0,198.28430008888245,500.0,1763260231.9359322,,,,
105344,0.00019931253336835653,0.013448607176542282,1254,0.0032020537182688713,0.5046364068984985,0.001953125,,200.12613606452942,,1763260233.7777681,0.00023686635540798306,609.0,0.013602614402770996,-0.2566499710083008
107008,203.51611328125,-0.00036686286330223083,1271,0.0004261825233697891,0.5981707572937012,0.0,,203.27516412734985,,1763260236.9267962,0.0002358678902965039,608.0,0.00831548497080803,-0.00013053417205810547
109925,,,1299,,,,500.0,208.56793761253357,500.0,1763260242.2195697,,,,
113925,,,1339,,,,500.0,215.67771434783936,500.0,1763260249.3293464,,,,
114048,150.3165283203125,0.018695347011089325,1340,0.0010121138766407967,0.5811551809310913,0.0,,215.8993058204651,,1763260249.550938,0.00023164362937677652,605.0,-0.001828606240451336,9.298324584960938e-06
114944,171.97813415527344,0.00867270678281784,1349,0.000691855326294899,0.5921425223350525,0.0,,217.52583837509155,,1763260251.1774704,0.00023110599431674927,604.0,0.005940306931734085,4.762411117553711e-05
116425,,,1363,,,,500.0,220.82744336128235,500.0,1763260254.4790754,,,,
116608,0.007318283896893263,-0.0001503974199295044,1365,0.001168821007013321,0.5075950026512146,0.0,,221.26070713996887,,1763260254.9123392,0.0002301075292052701,601.0,-0.00725681334733963,-0.26746702194213867
117120,0.006899633910506964,0.010399386286735535,1370,0.0022736312821507454,0.541951596736908,0.0,,222.12441730499268,,1763260255.7760494,0.00022980030917096883,601.0,-0.0037196381017565727,-0.32298505306243896
118144,0.004264360293745995,-0.0051916856318712234,1380,0.00048679672181606293,0.5157707929611206,0.0,,223.9072699546814,,1763260257.558902,0.00022918586910236627,601.0,-0.0006659142673015594,-0.018939495086669922
118272,0.0005445798742584884,0.0012827366590499878,1381,0.00018103141337633133,0.5507677793502808,0.0,,224.1209020614624,,1763260257.7725341,0.00022910906409379095,601.0,0.003975105471909046,0.011054635047912598
118925,,,1388,,,,500.0,225.23251605033875,500.0,1763260258.8841481,,,,
119680,0.0001280519354622811,-0.003072120249271393,1395,0.000517536886036396,0.47640520334243774,0.0,,226.55323123931885,,1763260260.2048633,0.00022826420899946243,600.0,-0.0024253809824585915,-0.26400697231292725
120064,0.00711312610656023,0.004280569031834602,1399,0.0023194635286927223,0.47313737869262695,0.0,,227.23257040977478,,1763260260.8842025,0.00022803379397373646,600.0,-0.00902728270739317,-0.174341082572937
120704,0.0003301842953078449,-0.003667309880256653,1405,0.0006231442093849182,0.5375534296035767,0.0,,228.31523036956787,,1763260261.9668624,0.00022764976893085986,600.0,-0.004270616918802261,-0.14711511135101318
123425,,,1432,,,,500.0,233.00485920906067,500.0,1763260266.6564913,,,,
123520,230.7686767578125,-0.0006020888686180115,1433,3.935582935810089e-05,0.4433806836605072,0.0,,233.2106397151947,,1763260266.8622718,0.00022596005874220282,600.0,0.0030928868800401688,-3.337860107421875e-06
125824,0.0008066724985837936,-0.006485875695943832,1455,0.003142275847494602,0.4334864020347595,0.025390625,,237.16726660728455,,1763260270.8188987,0.00022457756858784705,599.0,-0.013617794960737228,-0.18652641773223877
125898,,,1456,,,,473.0,237.22010612487793,473.0,1763260270.8717382,,,,
125952,55.20646286010742,-0.0093449167907238,1457,0.0005292594432830811,0.5401312708854675,0.0,,237.41024088859558,,1763260271.061873,0.00022450076357927173,599.0,-0.0006361100822687149,0.0004903674125671387
131840,0.00018815259682014585,0.016615964472293854,1514,0.002234525978565216,0.43418601155281067,0.029296875,,245.61274409294128,,1763260279.2643762,0.00022096774773672223,604.0,0.0023037251085042953,0.30866414308547974
132480,143.40769958496094,0.00018786638975143433,1521,4.9617141485214233e-05,0.5054503083229065,0.0,,246.70178318023682,,1763260280.3534153,0.00022058372269384563,604.0,-0.0006582904607057571,0.00014221668243408203
132898,,,1525,,,,500.0,247.34272265434265,500.0,1763260280.9943547,,,,
133120,0.004923318978399038,-0.013410966843366623,1527,0.0014246581122279167,0.5221844911575317,0.001953125,,247.73900723457336,,1763260281.3906393,0.00022019969765096903,604.0,-0.010949653573334217,-0.13726699352264404
133376,3.343388016219251e-05,0.014394909143447876,1529,0.0010279212146997452,0.553504467010498,0.0,,248.136465549469,,1763260281.7880976,0.0002200460876338184,604.0,0.006368651986122131,0.10988390445709229
133888,4.3561354686971754e-05,-0.008477043360471725,1534,0.0011670226231217384,0.5441620349884033,0.0,,248.99318933486938,,1763260282.6448214,0.0002197388675995171,604.0,-0.003911121748387814,-0.03742063045501709
134016,230.55267333984375,0.0020077601075172424,1536,0.00012063980102539062,0.5374826788902283,0.0,,249.21554803848267,,1763260282.86718,0.0002196620625909418,604.0,0.0016409140080213547,-2.5272369384765625e-05
134784,0.00010299024870619178,-0.007860887795686722,1543,0.0005962969735264778,0.49228015542030334,0.0,,250.2004132270813,,1763260283.8520453,0.00021920123253948987,604.0,0.01512387115508318,-0.21761202812194824
134912,224.6984100341797,0.0065971314907073975,1545,0.0005104746669530869,0.5431575775146484,0.0,,250.32911610603333,,1763260283.9807482,0.00021912442753091455,605.0,0.004547310993075371,-4.9233436584472656e-05
135040,0.007454837206751108,-0.03496941924095154,1546,0.0018387781456112862,0.5543525815010071,0.0,,250.47070860862732,,1763260284.1223407,0.00021904762252233922,605.0,0.0028031570836901665,-0.021908998489379883
136320,8.423451072303578e-05,0.008868353441357613,1558,0.009401229210197926,0.518934428691864,0.033203125,,251.88016438484192,,1763260285.5317965,0.00021827957243658602,607.0,-0.011026148684322834,-0.17678368091583252
136398,,,1559,,,,500.0,251.92287945747375,500.0,1763260285.5745115,,,,
136832,0.0001357729488518089,0.009574098512530327,1563,0.0016333917155861855,0.6211963891983032,0.001953125,,252.46313166618347,,1763260286.1147637,0.00021797235240228474,608.0,-0.007635702379047871,-0.06070971488952637
137088,0.0037443272303789854,-0.007118940353393555,1566,0.0005695577710866928,0.519555389881134,0.0,,252.7344753742218,,1763260286.3861074,0.0002178187423851341,608.0,-0.003287406638264656,-0.04660952091217041
139136,0.0004587455478031188,0.021952517330646515,1588,0.017555348575115204,0.5125720500946045,0.080078125,,256.34591579437256,,1763260289.9975479,0.00021658986224792898,607.0,0.06995829939842224,-0.14136934280395508
139264,0.0003820755227934569,-0.00015202537178993225,1589,0.0025664009153842926,0.5524377822875977,0.0,,256.554753780365,,1763260290.2063859,0.00021651305723935366,607.0,-0.00416899286210537,-0.8349037170410156
140032,0.006452213507145643,-0.00030117109417915344,1597,2.7987174689769745e-05,0.5505803823471069,0.0,,257.7946650981903,,1763260291.4462972,0.00021605222718790174,607.0,-0.002075877971947193,-0.1883753538131714
141056,0.00601239874958992,-0.010076850652694702,1607,0.0034847063943743706,0.5333757996559143,0.0,,259.4527819156647,,1763260293.104414,0.00021543778711929917,607.0,-0.01954887993633747,-0.2017688751220703
141312,0.0002524880110286176,-0.0034557217732071877,1609,0.00030814576894044876,0.5182640552520752,0.0,,259.8195149898529,,1763260293.471147,0.00021528417710214853,608.0,-0.004462680779397488,0.09681069850921631
141315,,,1610,,,,500.0,259.8650827407837,500.0,1763260293.5167148,,,,
141568,0.0010742832673713565,-0.004640065133571625,1612,0.0013790270313620567,0.5016343593597412,0.0,,260.2646918296814,,1763260293.916324,0.0002151305670849979,607.0,-0.014246069826185703,0.14537131786346436
142976,0.004480179864913225,-0.004433467984199524,1626,0.0005321810021996498,0.433352530002594,0.0,,262.3896222114563,,1763260296.0412543,0.00021428571199066937,608.0,0.00994380097836256,-0.4813990592956543
144256,8.204945334000513e-05,0.000486103817820549,1638,0.002460263669490814,0.574537992477417,0.00390625,,263.76924681663513,,1763260297.420879,0.00021351766190491617,610.0,0.009010450914502144,0.021861374378204346
149248,6.782393029425293e-05,-0.005666870623826981,1687,0.0006796494126319885,0.5311431884765625,0.0,,269.6425747871399,,1763260303.2942069,0.00021052226657047868,616.0,-0.0017186608165502548,0.2560296654701233
153815,,,1732,,,,500.0,276.7140531539917,500.0,1763260310.3656852,,,,
155136,0.00020627812773454934,0.0022432878613471985,1745,0.0017950423061847687,0.58075350522995,0.0,,278.916629076004,,1763260312.5682611,0.00020698925072792917,616.0,-0.01637745089828968,-0.17133593559265137
155904,218.3631591796875,-0.0025153234601020813,1753,0.0009853178635239601,0.5618767142295837,0.0,,280.11536622047424,,1763260313.7669983,0.00020652842067647725,616.0,0.013469508849084377,-0.00032150745391845703
156032,0.003963387571275234,0.002506413497030735,1754,0.0015109777450561523,0.5829929709434509,0.00390625,,280.288592338562,,1763260313.9402244,0.00020645161566790193,617.0,0.01047481782734394,-0.25954651832580566
157184,0.00040726090082898736,-0.008140789344906807,1765,0.0032607465982437134,0.5393290519714355,0.017578125,,281.7626802921295,,1763260315.4143124,0.00020576037059072405,617.0,0.015898143872618675,0.000986337661743164
157440,151.015869140625,0.004066780209541321,1768,0.0003054812550544739,0.6018292903900146,0.0,,282.0449216365814,,1763260315.6965537,0.0002056067605735734,618.0,-0.006735105067491531,-0.0001251697540283203
158336,395.6413269042969,-0.007336676120758057,1777,0.000551760196685791,0.5336513519287109,0.0,,283.06588554382324,,1763260316.7175176,0.00020506912551354617,619.0,0.00010829046368598938,0.00013238191604614258
162560,0.004254292696714401,-0.00216083787381649,1818,0.00026585161685943604,0.571220874786377,0.0,,287.81888723373413,,1763260321.4705193,0.0002025345602305606,624.0,-0.004121921956539154,-0.17338573932647705
163072,0.00035234031383879483,0.0033575110137462616,1823,0.0010695019736886024,0.5228729844093323,0.0,,288.39498496055603,,1763260322.046617,0.00020222734019625932,624.0,0.00250451173633337,-0.03101480007171631
165850,,,1851,,,,500.0,291.5352475643158,500.0,1763260325.1868796,,,,
166350,,,1856,,,,500.0,292.0830912590027,500.0,1763260325.7347233,,,,
167424,0.0008351121796295047,0.007020637392997742,1868,0.0024308841675519943,0.6190875172615051,0.0,,293.36875104904175,,1763260327.0203831,0.00019961596990469843,629.0,-0.00607474148273468,9.447336196899414e-05
167936,0.00396354217082262,-0.009835418313741684,1873,0.0010681087151169777,0.5586311221122742,0.0,,293.93352818489075,,1763260327.5851603,0.00019930874987039715,630.0,-0.006185500882565975,-1.0846259593963623
168320,64.1036148071289,0.0029418189078569412,1877,0.0016783485189080238,0.590859591960907,0.0,,294.33363819122314,,1763260327.9852703,0.0001990783348446712,630.0,0.010259515605866909,-0.0004411935806274414
169297,,,1886,,,,500.0,295.4510521888733,500.0,1763260329.1026843,,,,
170240,0.00012690667062997818,0.0037918053567409515,1895,0.0006385901942849159,0.5147373676300049,0.0,,297.0538351535797,,1763260330.7054672,0.00019792627426795661,631.0,0.00017165299504995346,-0.8110383749008179
