losses/explained_variance,charts/episodic_length,losses/entropy,losses/approx_kl,charts/SPS,losses/policy_loss,losses/old_approx_kl,losses/value_loss,charts/learning_rate,charts/episodic_return,_runtime,_timestamp,_step,losses/clipfrac,global_step
,,,,,,,,,,25.919053077697754,1763260059.5007122,0,,0
0.018660783767700195,,0.6927757263183594,0.0003595985472202301,743.0,-0.002856179140508175,-0.005083747208118439,21.06380271911621,0.0003000000142492354,,27.366405963897705,1763260060.948065,7,0.0,128
,20.0,,,,,,,,20.0,27.857329607009888,1763260061.4389887,33,,612
,57.0,,,,,,,,57.0,28.117332696914673,1763260061.6989918,41,,890
,19.0,,,,,,,,19.0,28.2804536819458,1763260061.8621128,47,,976
,68.0,,,,,,,,68.0,28.86555814743042,1763260062.4472172,64,,1554
-0.03455483913421631,,0.6490457057952881,0.0005816388875246048,965.0,-0.01856272853910923,0.009991774335503578,41.90168762207031,0.00029877113411203027,,29.448051929473877,1763260063.029711,74,0.0,2176
0.1189994215965271,,0.6330335736274719,0.00016149692237377167,972.0,-0.001311345025897026,0.0016013272106647491,28.744468688964844,0.00029869432910345495,,29.562633514404297,1763260063.1442926,77,0.0,2304
,91.0,,,,,,,,91.0,30.042346239089966,1763260063.6240053,88,,2878
,61.0,,,,,,,,61.0,30.957448482513428,1763260064.5391076,102,,3878
0.03534823656082153,,0.5637620091438293,7.325690239667892e-05,1027.0,-3.4227967262268066e-05,0.0018533868715167046,24.49879264831543,0.0002976958639919758,,31.05567955970764,1763260064.6373386,104,0.0,3968
,47.0,,,,,,,,47.0,32.70486545562744,1763260066.2865245,133,,5846
,239.0,,,,,,,,239.0,33.59869623184204,1763260067.1803553,147,,6797
0.13735640048980713,,0.6160855293273926,5.5448152124881744e-05,1062.0,0.003174182027578354,0.0006802184507250786,29.63612174987793,0.0002958525437861681,,33.81698489189148,1763260067.398644,149,0.0,7040
,336.0,,,,,,,,336.0,33.84760046005249,1763260067.4292595,150,,7133
0.2024495005607605,,0.6046448349952698,0.00044279079884290695,1063.0,-0.009000435471534729,-0.001654517836868763,23.10682487487793,0.00029562212876044214,,34.171902894973755,1763260067.753562,155,0.0,7424
-0.023506760597229004,,0.576172947883606,0.0001754993572831154,1064.0,-0.0027388781309127808,0.005992778576910496,30.203506469726562,0.0002955453237518668,,34.28851938247681,1763260067.8701785,157,0.0,7552
,240.0,,,,,,,,240.0,35.797576904296875,1763260069.379236,172,,8719
