charts/episodic_length,charts/episodic_return,losses/policy_loss,charts/SPS,_timestamp,losses/explained_variance,_step,charts/learning_rate,losses/entropy,losses/old_approx_kl,losses/clipfrac,_runtime,losses/approx_kl,global_step,losses/value_loss
152.0,152.0,,,1763260078.4326906,,292,,,,,44.909637689590454,,14677,
229.0,229.0,,,1763260080.5493426,,321,,,,,47.02628970146179,,16972,
,,-0.013927243649959564,861.0,1763260080.9788551,0.7319514751434326,327,0.00028963133809156716,0.4847908020019531,-0.003656648099422455,0.015625,47.45580220222473,0.004065645858645439,17408,24.97148895263672
,,-0.022428078576922417,864.0,1763260081.2011683,0.17086225748062134,330,0.0002894777280744165,0.5636146068572998,0.05308493226766586,0.017578125,47.678115367889404,0.009517248719930649,17664,16.99457359313965
,,0.02532711625099182,865.0,1763260081.3303115,0.5804775953292847,332,0.0002894009230658412,0.5675647854804993,-0.011836160905659199,0.01953125,47.80725860595703,0.00402130838483572,17792,26.90121841430664
,,-0.03085578791797161,868.0,1763260081.6947644,0.04001206159591675,337,0.00028917050804011524,0.5610458254814148,0.009785212576389313,0.0,48.171711444854736,0.0009404383599758148,18176,25.738128662109375
149.0,149.0,,,1763260081.8408363,,340,,,,,48.31778335571289,,18383,
67.0,67.0,,,1763260083.9896128,,370,,,,,50.46655988693237,,20483,
,,-0.00016734004020690918,882.0,1763260084.4111755,0.4256977438926697,375,0.0002875576028600335,0.5944109559059143,-0.0018939310684800148,0.0,50.88812255859375,5.2801333367824554e-05,20864,11.108174324035645
,,-0.001636158674955368,887.0,1763260086.0104535,-0.01319432258605957,396,0.00028663594275712967,0.5811213254928589,8.141621947288513e-05,0.0,52.4874005317688,5.031004548072815e-06,22400,67.30815887451172
254.0,254.0,,,1763260088.3212762,,425,,,,,54.79822325706482,,24678,
298.0,298.0,,,1763260089.8444724,,441,,,,,56.32141947746277,,26098,
,,0.0011929050087928772,896.0,1763260090.6210864,0.8289639353752136,450,0.0002840245724655688,0.555038332939148,0.006714001297950745,0.0,57.09803342819214,0.0006912481039762497,26752,18.448244094848633
,,0.010061373934149742,898.0,1763260092.3914974,0.0855414867401123,471,0.0002830261073540896,0.468383252620697,-0.00946060847491026,0.0,58.86844444274902,0.00036815088242292404,28416,65.7590103149414
145.0,145.0,,,1763260093.1618295,,481,,,,,59.638776540756226,,29123,
