losses/value_loss,charts/learning_rate,losses/explained_variance,losses/clipfrac,losses/old_approx_kl,losses/entropy,losses/policy_loss,losses/approx_kl,global_step,charts/episodic_length,_step,_runtime,_timestamp,charts/episodic_return,charts/SPS
31.77685546875,0.0002928571484517306,0.867708683013916,0.001953125,0.013220841996371746,0.568204402923584,-0.015732068568468094,0.0035492954775691032,12032,,228,40.48907971382141,1763260125.4318957,,952.0
57.52452850341797,0.00029270353843457997,0.1534442901611328,0.0,-0.0017440803349018097,0.5374100804328918,0.0008680857717990875,5.725771188735962e-05,12288,,233,40.820223331451416,1763260125.7630394,,948.0
47.8254508972168,0.0002921659033745527,0.31289273500442505,0.0,0.001385464332997799,0.5694716572761536,0.00045433826744556427,4.716496914625168e-05,13184,,251,41.87155342102051,1763260126.8143694,,941.0
,,,,,,,,13639,68.0,259,42.30180072784424,1763260127.2446167,68.0,
72.71044921875,0.0002916282683145255,-0.04149425029754639,0.0,-0.0001897057518362999,0.5711047649383545,-0.0009689927101135254,2.564210444688797e-05,14080,,265,42.74779438972473,1763260127.6906104,,945.0
21.2849178314209,0.0002913210482802242,0.9310493469238281,0.0,-0.0002523893490433693,0.5366734266281128,0.0005179233849048615,5.1157549023628235e-06,14592,,273,43.20175051689148,1763260128.1445665,,951.0
,,,,,,,,14646,74.0,274,43.222219467163086,1763260128.1650355,74.0,
,,,,,,,,15777,184.0,292,44.29199004173279,1763260129.234806,184.0,
,,,,,,,,17830,199.0,321,46.2819561958313,1763260131.2247722,199.0,
,,,,,,,,18273,150.0,327,46.681100606918335,1763260131.6239166,150.0,
29.437091827392578,0.0002890168980229646,0.6699488162994385,0.0,0.004127831198275089,0.6077094674110413,-0.009823158383369446,0.00028072576969861984,18432,,330,46.88113331794739,1763260131.8239493,,969.0
,,,,,,,,18632,257.0,332,47.01753258705139,1763260131.9603486,257.0,
42.679325103759766,0.000288632872980088,0.06455552577972412,0.0,0.0005860161036252975,0.5341165661811829,0.00035006552934646606,4.095025360584259e-05,19072,,337,47.44297814369202,1763260132.3857942,,974.0
42.386558532714844,0.00028847926296293736,-0.0077849626541137695,0.0,-0.00039306655526161194,0.5572773218154907,0.001962229609489441,3.148801624774933e-05,19328,,340,47.69929647445679,1763260132.6421125,,974.0
97.97058868408203,0.00028686635778285563,0.026938974857330322,0.0,-0.0002247598022222519,0.5656335353851318,0.00019051134586334229,9.648501873016357e-07,22016,,370,50.13730239868164,1763260135.0801184,,988.0
86.3965835571289,0.00028663594275712967,0.010427892208099365,0.0,0.002396775409579277,0.5401663184165955,-0.0023518912494182587,5.587562918663025e-05,22400,,375,50.474029302597046,1763260135.4168453,,990.0
36.33271408081055,0.00028548386762849987,0.46791017055511475,0.0,-0.0012936713173985481,0.5514984130859375,-6.740540266036987e-05,6.965361535549164e-06,24320,,396,52.237770318984985,1763260137.1805863,,997.0
61.587562561035156,0.00028387096244841814,0.0007722377777099609,0.0,0.0050008296966552734,0.5004147291183472,0.0016559530049562454,0.0004339013248682022,27008,,425,54.67819619178772,1763260139.6210122,,1007.0
21.923681259155273,0.0002829493023455143,-0.02276313304901123,0.0,-0.0027047451585531235,0.5588933229446411,0.003298591822385788,0.00015741772949695587,28544,,441,56.146140336990356,1763260141.0889564,,1009.0
91.61980438232422,0.0002825652773026377,0.0046305060386657715,0.0,-0.000490901991724968,0.5220094323158264,-0.004640072584152222,6.074458360671997e-05,29184,,450,56.7284095287323,1763260141.6712255,,1011.0
177.42774963378906,0.00028133639716543257,-0.0014275312423706055,0.0,-0.001619371585547924,0.5661375522613525,-0.01963704079389572,0.0011403625831007957,31232,,471,58.648757219314575,1763260143.5915732,,1014.0
18.844982147216797,0.00028072195709683,0.6513512134552002,0.0,0.0006325533613562584,0.6018098592758179,-0.009433876723051071,0.0019354065880179405,32256,,481,59.58577036857605,1763260144.5285864,,1016.0
99.41178894042969,0.0002802611270453781,0.2524591088294983,0.04296875,0.0246938094496727,0.5653709173202515,0.029341310262680054,0.007924191653728485,33024,,490,60.26258659362793,1763260145.2054026,,1019.0
88.23307037353516,0.00027941627195104957,0.025466203689575195,0.0,-0.006966316141188145,0.5962598323822021,-0.00644155777990818,0.0006573377177119255,34432,,504,61.57305550575256,1763260146.5158715,,1021.0
,,,,,,,,35541,500.0,515,62.535826206207275,1763260147.4786422,500.0,
12.542773246765137,0.00027788017177954316,0.13838189840316772,0.0,-0.0030028289183974266,0.590244710445404,-0.0011522658169269562,8.902419358491898e-05,36992,,530,63.92271852493286,1763260148.8655345,,1025.0
13.140434265136719,0.0002773425367195159,-0.01038980484008789,0.00390625,-0.0013329042121767998,0.608959436416626,0.0008720234036445618,0.0023504802957177162,37888,,539,64.75114607810974,1763260149.693962,,1027.0
,,,,,,,,38651,500.0,547,65.353755235672,1763260150.2965713,500.0,
10.607131958007812,0.0002764208766166121,-0.006099820137023926,0.0,-0.0029069390147924423,0.5641986727714539,0.0017837584018707275,0.00018053315579891205,39424,,555,66.14928674697876,1763260151.0921028,,1029.0
10.243066787719727,0.00027619049069471657,-0.006813526153564453,0.0,-0.0007056938484311104,0.5563353300094604,-0.0027658045291900635,1.9033439457416534e-05,39808,,559,66.48421144485474,1763260151.4270275,,1030.0
9.32319164276123,0.00027565285563468933,0.014652609825134277,0.0,0.001701032742857933,0.5950771570205688,-0.0023024268448352814,0.0001463424414396286,40704,,568,67.29671573638916,1763260152.2395318,,1032.0
7.719057083129883,0.0002740399504546076,-0.07550013065338135,0.0,-0.0031714383512735367,0.540755569934845,0.004403932020068169,0.00048067793250083923,43392,,595,69.74062490463257,1763260154.683441,,1036.0
112.86625671386719,0.00027311829035170376,0.397114634513855,0.0,0.0010233726352453232,0.6180775165557861,0.004042033106088638,0.00014181621372699738,44928,,612,71.11231660842896,1763260156.0551326,,1038.0
,,,,,,,,45139,320.0,614,71.25575828552246,1763260156.1985743,320.0,
3.397123336791992,0.0002721966302487999,0.6186185479164124,0.0,0.0021022362634539604,0.621779203414917,-0.003307431936264038,5.812663584947586e-05,46464,,630,72.49082016944885,1763260157.4336362,,1041.0
,,,,,,,,46967,53.0,636,72.89754748344421,1763260157.8403635,53.0,
150.2716827392578,0.000271735800197348,0.008618295192718506,0.0,-0.0005263173952698708,0.5905404686927795,-0.00031638890504837036,5.337316542863846e-05,47232,,640,73.19640302658081,1763260158.139219,,1041.0
3.9421472549438477,0.00027112136012874544,0.005688965320587158,0.0,-0.0020506856963038445,0.5632238388061523,0.0024236850440502167,0.0003500012680888176,48256,,650,74.12276434898376,1763260159.0655804,,1043.0
2.8876826763153076,0.0002702765050344169,0.9195305705070496,0.0,0.007159004919230938,0.5678697228431702,0.0032302048057317734,0.0002589533105492592,49664,,664,75.38191246986389,1763260160.3247285,,1045.0
1.8302223682403564,0.0002691244299057871,0.0990062952041626,0.0,0.002594846300780773,0.5723674893379211,-0.007433359511196613,0.00026539433747529984,51584,,684,77.24004983901978,1763260162.1828659,,1044.0
,,,,,,,,52076,437.0,689,77.66395711898804,1763260162.6067731,437.0,
1.4168986082077026,0.0002683563798200339,-0.0034035444259643555,0.0,0.00039633363485336304,0.5685786008834839,-0.0016988292336463928,0.00016286969184875488,52864,,698,78.65998196601868,1763260163.602798,,1040.0
1.6215767860412598,0.00026812596479430795,0.023526370525360107,0.0,0.0005902322009205818,0.6257563233375549,8.055567741394043e-05,1.6274861991405487e-05,53248,,702,79.06791734695435,1763260164.0107334,,1039.0
,,,,,,,,53663,259.0,707,79.48586082458496,1763260164.4286768,259.0,
0.765927255153656,0.00026658986462280154,0.3609204888343811,0.0,-0.0023631323128938675,0.5850905179977417,0.003372281789779663,6.358698010444641e-05,55808,,729,81.55796575546265,1763260166.5007818,,1039.0
151.5448455810547,0.0002649001544341445,-8.034706115722656e-05,0.0,-0.0007870085537433624,0.543488621711731,0.006267186254262924,0.0003216192126274109,58624,500.0,757,84.11423373222351,1763260169.0570498,500.0,1042.0
282.5591125488281,0.0002645929343998432,-0.00035250186920166016,0.0,-0.0006982535123825073,0.4954929053783417,0.0003420710563659668,0.00010029412806034088,59136,,762,84.59841465950012,1763260169.5412307,,1042.0
326.66302490234375,0.00026428571436554193,7.647275924682617e-05,0.0,0.0004774508997797966,0.49782949686050415,0.008505627512931824,0.0010885363444685936,59648,,767,85.05310845375061,1763260169.9959245,,1042.0
0.08744540065526962,0.0002637480793055147,0.39235401153564453,0.0,0.009759247303009033,0.5465312004089355,-0.0033672600984573364,0.0005003977566957474,60544,,775,85.8798680305481,1763260170.822684,,1043.0
0.02993321418762207,0.0002629800292197615,-0.08126592636108398,0.0,0.01892116107046604,0.5625870227813721,-0.02312343567609787,0.00230195838958025,61824,,788,87.03508186340332,1763260171.977898,,1044.0
0.022654306143522263,0.00026290322421118617,-0.2140728235244751,0.025390625,-0.01727602817118168,0.5138227343559265,-0.0008121579885482788,0.010282761417329311,61952,,789,87.14479160308838,1763260172.0876076,,1045.0
0.031100330874323845,0.00026244239415973425,-0.10487544536590576,0.0,-0.007521728985011578,0.5069891810417175,-0.000952940434217453,0.0005484437569975853,62720,,797,87.85708713531494,1763260172.7999032,,1045.0
241.14224243164062,0.000261904759099707,-0.0006537437438964844,0.0,0.012091289274394512,0.5927992463111877,-0.0012482479214668274,0.002062366344034672,63616,,806,88.6745171546936,1763260173.6173332,,1046.0
394.3815612792969,0.00026136712403967977,-0.00013840198516845703,0.0,-0.006292231380939484,0.5804517269134521,0.012266244739294052,0.0018444471061229706,64512,,815,89.4663724899292,1763260174.4091885,,1047.0
0.011504954658448696,0.0002585253387223929,-0.801485538482666,0.015625,-0.006492918357253075,0.49145498871803284,0.002232283353805542,0.007758254185318947,69248,,863,93.77865743637085,1763260178.7214735,,1050.0
373.0593566894531,0.0002579877036623657,7.683038711547852e-05,0.0,0.0013564582914113998,0.5791923403739929,0.0003019087016582489,6.90259039402008e-05,70144,,872,94.6009042263031,1763260179.5437202,,1051.0
0.0029196362011134624,0.0002577572886366397,0.051324427127838135,0.0,0.0013311272487044334,0.5841407775878906,-0.010628089308738708,0.00041732657700777054,70528,,876,94.97449517250061,1763260179.9173112,,1050.0
0.0004072856972925365,0.00025529952836222947,-0.9725825786590576,0.048828125,0.03152483329176903,0.5020974278450012,-0.013691162690520287,0.01090836152434349,74624,,916,98.77552437782288,1763260183.7183404,,1052.0
552.0640258789062,0.0002549923083279282,-7.486343383789062e-05,0.0,0.0011336170136928558,0.5667241215705872,0.0018067564815282822,0.0004753749817609787,75136,,922,99.27089476585388,1763260184.2137108,,1052.0
0.00013791400124318898,0.00025445467326790094,0.07575511932373047,0.0,-0.0009404793381690979,0.6260905861854553,-0.00012513995170593262,6.407499313354492e-06,76032,,930,100.0822446346283,1763260185.0250607,,1052.0
0.0048133800737559795,0.000253993843216449,-0.7806100845336914,0.0,-0.006600796245038509,0.5457915663719177,-0.010788772255182266,0.0017654383555054665,76800,,938,100.76449537277222,1763260185.7073114,,1053.0
,,,,,,,,77134,500.0,941,101.01526236534119,1763260185.9580784,500.0,
383.25689697265625,0.00025376342819072306,0.002021491527557373,0.0,-0.008745241910219193,0.5628300905227661,0.01890573650598526,0.0015905480831861496,77184,,942,101.1300253868103,1763260186.0728414,,1053.0
0.004499434493482113,0.00025337940314784646,-0.10617589950561523,0.0078125,0.027869336307048798,0.4386415183544159,-0.027989283204078674,0.004197660833597183,77824,,948,101.70359396934509,1763260186.64641,,1053.0
0.00031655377824790776,0.0002517665270715952,-2.5912296772003174,0.005859375,0.02374272421002388,0.5176960825920105,0.007407862693071365,0.0018819281831383705,80512,,974,104.18752455711365,1763260189.1303406,,1054.0
,,,,,,,,81134,500.0,980,104.71058630943298,1763260189.6534023,500.0,
,,,,,,,,81634,500.0,985,105.15733647346497,1763260190.1001525,500.0,
,,,,,,,,82634,500.0,995,106.1039080619812,1763260191.046724,500.0,
0.003012030152603984,0.00025038403691723943,-0.32863008975982666,0.005859375,0.025595081970095634,0.4697543680667877,-0.011176403611898422,0.004381850361824036,82816,,997,106.30410289764404,1763260191.246919,,1055.0
,,,,,,,,84634,500.0,1015,107.96295237541199,1763260192.9057684,500.0,
,,,,,,,,85134,500.0,1020,108.43546938896179,1763260193.3782854,500.0,
0.0028564929962158203,0.0002483103016857058,0.4652358889579773,0.0,-0.0025330381467938423,0.5206734538078308,-1.2867152690887451e-05,3.8244761526584625e-05,86272,,1031,109.46916675567627,1763260194.4119828,,1057.0
344.0769348144531,0.000247158226557076,-0.00016748905181884766,0.0,0.0028087561950087547,0.5639521479606628,-0.00010590534657239914,0.00030068401247262955,88192,,1050,111.21226334571838,1763260196.1550794,,1058.0
0.00013544753892347217,0.00024692781153135,0.20209753513336182,0.0,-0.004728767089545727,0.48337316513061523,0.000577220693230629,0.00015867967158555984,88576,,1053,111.57811164855957,1763260196.5209277,,1058.0
0.00022596155758947134,0.00024662059149704874,0.0006348490715026855,0.0,0.008680197410285473,0.4987901747226715,-0.0010131113231182098,0.0004487941041588783,89088,,1058,112.03301215171814,1763260196.9758282,,1058.0
0.00020093933562748134,0.00024516129633411765,-0.3264657258987427,0.00390625,-0.0031186407431960106,0.5411234498023987,-0.01706773042678833,0.0013476265594363213,91520,,1082,114.24886679649353,1763260199.1916828,,1059.0
,,,,,,,,91634,500.0,1083,114.2882297039032,1763260199.2310457,500.0,
0.0009253505850210786,0.0002446236612740904,-0.2503187656402588,0.0,0.008857418783009052,0.5241190195083618,-0.003945908509194851,0.002264588139951229,92416,,1091,115.07173323631287,1763260200.0145493,,1059.0
0.001316663110628724,0.00024370200117118657,-2.2309539318084717,0.0078125,0.030461285263299942,0.4340178370475769,-0.02984730899333954,0.0034719696268439293,93952,,1106,116.46066117286682,1763260201.4034772,,1060.0
,,,,,,,,95134,500.0,1118,117.51600956916809,1763260202.4588256,500.0,
0.004093844909220934,0.00024254992604255676,0.11791741847991943,0.0,0.0001727202907204628,0.47282102704048157,-0.009160652756690979,0.00035422760993242264,95872,,1125,118.21749091148376,1763260203.160307,,1061.0
385.7218933105469,0.00024208909599110484,0.00048100948333740234,0.0,-0.007525680586695671,0.5360261797904968,0.007397904992103577,0.0003452543169260025,96640,,1133,118.92709302902222,1763260203.869909,,1061.0
0.0012177341850474477,0.00024132104590535164,-1.7919392585754395,0.009765625,0.015829242765903473,0.4925893545150757,-0.010528270155191422,0.006630508229136467,97920,,1145,120.09801197052002,1763260205.040828,,1061.0
0.000556372688151896,0.00024016897077672184,-0.12396550178527832,0.0,-0.004121450707316399,0.46337559819221497,-0.013086982071399689,0.0004240702837705612,99840,,1164,121.82625102996826,1763260206.769067,,1062.0
0.0002237455773865804,0.00024009216576814651,0.16180741786956787,0.0,0.00190765131264925,0.4493122100830078,0.005852494388818741,0.0003988286480307579,99968,,1165,121.93805599212646,1763260206.880872,,1062.0
151.91546630859375,0.00023970814072526991,0.0015009641647338867,0.0,0.02101839706301689,0.5351850986480713,0.009545348584651947,0.0012262975797057152,100608,,1172,122.53602027893066,1763260207.4788363,,1062.0
248.9392852783203,0.00023917050566524267,0.00027889013290405273,0.0,-0.0006238361820578575,0.4712025821208954,0.0024507716298103333,0.00019546691328287125,101504,,1181,123.37340378761292,1763260208.3162198,,1062.0
288.37872314453125,0.0002388632856309414,0.0024532675743103027,0.0,0.0015325695276260376,0.41299861669540405,0.0026737749576568604,0.00013945065438747406,102016,,1186,123.82286429405212,1763260208.7656803,,1063.0
281.7107238769531,0.00023824884556233883,0.001389622688293457,0.0,0.0052962154150009155,0.45860064029693604,0.0012821480631828308,0.0002978537231683731,103040,,1197,124.78997588157654,1763260209.732792,,1063.0
0.004383217543363571,0.00023725038045085967,-0.36225903034210205,0.0,0.00060993991792202,0.3911346197128296,-0.0010696053504943848,0.00010156072676181793,104704,,1213,126.45599055290222,1763260211.3988066,,1061.0
0.0001970931189134717,0.00023709677043370903,0.04537409543991089,0.0,-0.02458176203072071,0.39639776945114136,-0.014322150498628616,0.002774858847260475,104960,,1215,126.69127655029297,1763260211.6340926,,1062.0
,,,,,,,,106037,500.0,1226,127.6731824874878,1763260212.6159985,500.0,
0.00035820878110826015,0.00023617511033080518,-0.38901448249816895,0.0,0.0015741316601634026,0.4378826916217804,0.0014211684465408325,0.0007894383743405342,106496,,1230,128.10413813591003,1763260213.0469542,,1062.0
0.0024306848645210266,0.00023594469530507922,-2.6889495849609375,0.0,0.009419447742402554,0.4393290579319,-0.0011736880987882614,0.0013524806126952171,106880,,1234,128.47876071929932,1763260213.4215767,,1062.0
0.00042669536196626723,0.00023525345022790134,0.8867092132568359,0.0,-0.004335471428930759,0.4190133810043335,-0.0015445798635482788,0.0007407898083329201,108032,,1245,129.52188897132874,1763260214.464705,,1062.0
0.0001697423285804689,0.0002347158151678741,-1.706970453262329,0.0,-0.003452659584581852,0.44469723105430603,-0.004083678126335144,0.00017126556485891342,108928,,1254,130.30638456344604,1763260215.2492006,,1063.0
429.6619567871094,0.00023371736460831016,3.3974647521972656e-06,0.0,0.0008737370371818542,0.4176638424396515,0.000647474080324173,0.00013714656233787537,110592,,1271,131.84741497039795,1763260216.790231,,1063.0
0.0002906187146436423,0.0002319508494110778,-2.0781681537628174,0.0,0.0211495291441679,0.43387261033058167,-0.004446584731340408,0.0015925662592053413,113536,,1299,134.49864077568054,1763260219.4414568,,1064.0
,,,,,,,,117537,500.0,1339,138.16288566589355,1763260223.1057017,500.0,
389.1723327636719,0.00022949308913666755,0.002091348171234131,0.0,0.0038966014981269836,0.4143819510936737,-0.010957211256027222,0.0011318176984786987,117632,,1340,138.26317429542542,1763260223.2059903,,1065.0
,,,,,,,,118537,500.0,1349,139.09045433998108,1763260224.0332704,500.0,
,,,,,,,,120037,500.0,1363,140.39361190795898,1763260225.336428,500.0,
0.004390910267829895,0.00022795698896516114,-0.374599814414978,0.0,0.00020418129861354828,0.4711906313896179,-0.002925761044025421,0.00044117681682109833,120192,,1365,140.58474135398865,1763260225.5275574,,1066.0
0.006500888150185347,0.00022764976893085986,-1.9975979328155518,0.01171875,-0.03284793347120285,0.3548525869846344,-0.034338757395744324,0.005708774551749229,120704,,1370,141.06587982177734,1763260226.0086958,,1066.0
0.006903038825839758,0.0002270353288622573,0.23400425910949707,0.0,0.0005605258047580719,0.39258450269699097,0.0012362152338027954,0.0004883129149675369,121728,,1380,141.96302366256714,1763260226.9058397,,1066.0
0.0003714639460667968,0.00022695852385368198,-0.3240100145339966,0.001953125,0.005269384942948818,0.3784211277961731,0.002739203628152609,0.001347704790532589,121856,,1381,142.11129426956177,1763260227.0541103,,1066.0
,,,,,,,,122537,500.0,1388,142.68421602249146,1763260227.627032,500.0,
0.003574538277462125,0.00022611366875935346,0.5999460220336914,0.0,0.0055205971002578735,0.3934885561466217,-0.0033547664061188698,0.00033824704587459564,123264,,1395,143.37776494026184,1763260228.320581,,1067.0
340.7209167480469,0.0002258832537336275,-0.00011086463928222656,0.0,0.00021804962307214737,0.38866084814071655,0.001224413514137268,0.000332503579556942,123648,,1399,143.71326279640198,1763260228.6560788,,1067.0
0.0013270406052470207,0.0002254992286907509,0.14244580268859863,0.0,0.003516574390232563,0.3779911398887634,-0.018579550087451935,0.0010502533987164497,124288,,1405,144.30783104896545,1763260229.250647,,1067.0
,,,,,,,,127037,500.0,1432,146.74988436698914,1763260231.6927004,500.0,
210.77838134765625,0.00022380951850209385,-0.00027763843536376953,0.0,0.004318875260651112,0.3842984139919281,0.006415285170078278,0.0006741276010870934,127104,,1433,146.84127926826477,1763260231.7840953,,1068.0
0.0005073274369351566,0.0002224270283477381,-0.23747432231903076,0.013671875,-0.002346593886613846,0.4514615535736084,0.0008460171520709991,0.0012713726609945297,129408,,1455,148.92240452766418,1763260233.8652205,,1068.0
0.00010774290421977639,0.00022235022333916277,-0.4665895700454712,0.001953125,0.004352813586592674,0.4323558807373047,3.21781262755394e-05,0.000572768971323967,129536,,1456,149.03343152999878,1763260233.9762475,,1069.0
,,,,,,,,129537,500.0,1457,149.03517079353333,1763260233.9779868,500.0,
0.000267604278633371,0.00021881720749661326,-0.07771289348602295,0.0,-0.0003284364938735962,0.47588950395584106,0.0012252861633896828,3.27620655298233e-05,135424,,1514,154.35549306869507,1763260239.298309,,1070.0
613.33447265625,0.00021843318245373666,2.086162567138672e-05,0.0,-0.0022656526416540146,0.5318882465362549,-0.0013890713453292847,0.00017512962222099304,136064,,1521,154.95227646827698,1763260239.8950925,,1070.0
,,,,,,,,136537,500.0,1525,155.31940340995789,1763260240.2622194,500.0,
0.005442462861537933,0.00021804915741086006,-0.17033684253692627,0.0,0.01287996955215931,0.4954756200313568,0.002273222431540489,0.0011636624112725258,136704,,1527,155.5128219127655,1763260240.455638,,1070.0
0.00021732172172050923,0.00021789554739370942,0.04573124647140503,0.0078125,0.0074489545077085495,0.5720874071121216,-0.002087213099002838,0.0011716894805431366,136960,,1529,155.77068400382996,1763260240.7135,,1070.0
4.0501512557966635e-05,0.00021758832735940814,-0.32498979568481445,0.0,0.0014813952147960663,0.5815048217773438,-0.00032954663038253784,0.0020222850143909454,137472,,1534,156.2190728187561,1763260241.1618888,,1071.0
758.6683349609375,0.00021751152235083282,-4.1484832763671875e-05,0.0,-0.0015591373667120934,0.5892239212989807,0.004557851701974869,0.00022014882415533066,137600,,1536,156.33475351333618,1763260241.2775695,,1071.0
0.0004192086053080857,0.0002170506922993809,0.10620415210723877,0.0,0.0008240919560194016,0.5285831093788147,-0.0044583603739738464,0.00014548376202583313,138368,,1543,157.0404486656189,1763260241.9832647,,1071.0
,,,,,,,,138537,500.0,1545,157.16772842407227,1763260242.1105444,500.0,
694.9814453125,0.00021689708228223026,0.0002562999725341797,0.001953125,-0.014285922050476074,0.5677317976951599,-0.004851840436458588,0.0012127179652452469,138624,,1546,157.26724290847778,1763260242.210059,,1071.0
0.0007021875935606658,0.00021612903219647706,0.2897428274154663,0.0,-8.873734623193741e-05,0.5781195759773254,6.636232137680054e-05,2.7582980692386627e-05,139904,,1558,158.4201843738556,1763260243.3630004,,1071.0
0.00013526377733796835,0.00021605222718790174,-0.5982935428619385,0.00390625,0.011711823754012585,0.5223830342292786,-0.006713643670082092,0.0012661600485444069,140032,,1559,158.53023648262024,1763260243.4730525,,1071.0
0.00010990479495376348,0.00021582181216217577,-0.04533553123474121,0.00390625,0.017727620899677277,0.5638071298599243,-0.015184909105300903,0.0016558356583118439,140416,,1563,158.92133045196533,1763260243.8641465,,1071.0
0.0056533413007855415,0.00021566820214502513,-0.18431735038757324,0.0,-0.0005773128941655159,0.5086641311645508,0.005757860839366913,0.0006820922717452049,140672,,1566,159.15272116661072,1763260244.0955372,,1071.0
0.00012113674165448174,0.00021428571199066937,0.04777878522872925,0.0,0.00481962226331234,0.5149814486503601,-0.011454658582806587,0.00029947981238365173,142976,,1588,161.23974609375,1763260246.182562,,1071.0
,,,,,,,,143037,500.0,1589,161.2636115550995,1763260246.2064276,500.0,
0.0005601111333817244,0.00021374807693064213,-0.17213261127471924,0.0078125,0.016205504536628723,0.5150960683822632,-0.014913499355316162,0.00109857227653265,143872,,1597,162.062344789505,1763260247.0051608,,1072.0
0.00032124927383847535,0.00021313363686203957,0.07775765657424927,0.0,-0.002177722752094269,0.551994800567627,0.005130164325237274,0.0015399288386106491,144896,,1607,162.99219036102295,1763260247.9350064,,1072.0
,,,,,,,,145037,500.0,1609,163.1219139099121,1763260248.06473,500.0,
356.253173828125,0.00021298002684488893,-0.00013315677642822266,0.0,-0.013310343958437443,0.5464814901351929,0.0012390166521072388,0.0006034029647707939,145152,,1610,163.24004435539246,1763260248.1828604,,1072.0
0.00044179591350257397,0.00021282641682773829,-0.04466211795806885,0.0078125,0.01799856498837471,0.4882441461086273,-0.021127618849277496,0.005974921397864819,145408,,1612,163.47626614570618,1763260248.4190822,,1072.0
0.0004176214279141277,0.00021198156173340976,-0.023391127586364746,0.0,0.007332256063818932,0.47223401069641113,-0.012145325541496277,0.001759471371769905,146816,,1626,164.7407009601593,1763260249.683517,,1072.0
,,,,,,,,148037,500.0,1638,165.8110318183899,1763260250.7538478,500.0,
,,,,,,,,153037,500.0,1687,170.42352485656738,1763260255.3663409,500.0,
336.0689697265625,0.0002055299555649981,5.662441253662109e-06,0.0,0.006104140542447567,0.5981431007385254,0.0049857161939144135,0.00031104590743780136,157568,,1732,174.67919516563416,1763260259.6220112,,1073.0
135.11338806152344,0.0002047619054792449,0.0002446174621582031,0.0,0.004571930505335331,0.5752069354057312,0.0001118779182434082,0.0006006946787238121,158848,,1745,175.88309812545776,1763260260.8259141,,1073.0
409.9871520996094,0.00020422427041921765,0.00018274784088134766,0.0,0.007640753872692585,0.532925009727478,0.006866291165351868,0.0006641512736678123,159744,,1753,176.70184111595154,1763260261.6446571,,1073.0
0.006078346632421017,0.00020414746541064233,-0.165824294090271,0.0,0.004605296067893505,0.5743181705474854,-0.0018698107451200485,0.00035738851875066757,159872,,1754,176.81306338310242,1763260261.7558794,,1073.0
,,,,,,,,160967,500.0,1765,177.766437292099,1763260262.7092533,500.0,
