losses/entropy,losses/approx_kl,losses/old_approx_kl,global_step,charts/learning_rate,charts/episodic_return,_runtime,_timestamp,charts/SPS,charts/episodic_length,losses/clipfrac,losses/value_loss,_step,losses/policy_loss,losses/explained_variance
,,,0,,,25.123677492141724,1763260083.5961854,,,,,0,,
,,,108,,13.0,26.411970615386963,1763260084.8844786,,13.0,,,7,,
0.6774739027023315,0.0011448217555880547,0.002107887528836727,640,0.0002996927942149341,,26.997550010681152,1763260085.470058,960.0,,0.0,42.73908615112305,33,-0.0002444908022880554,0.0030304789543151855
,,,816,,31.0,27.14163374900818,1763260085.6141417,,31.0,,,41,,
,,,975,,57.0,27.275390148162842,1763260085.747898,,57.0,,,47,,
0.6434479355812073,0.0008679963648319244,0.01753862574696541,1408,0.0002992319641634822,,27.828775882720947,1763260086.3012838,940.0,,0.0,32.515419006347656,64,-0.01577446423470974,0.009563863277435303
,,,1857,,70.0,28.507242918014526,1763260086.9797509,,70.0,,,74,,
,,,2024,,139.0,28.740147590637207,1763260087.2126555,,139.0,,,77,,
,,,2637,,102.0,29.65607762336731,1763260088.1285856,,102.0,,,88,,
0.6364477872848511,0.0001316433772444725,-0.002436521463096142,3456,0.00029800308402627707,,30.999627113342285,1763260089.472135,740.0,,0.0,96.09056854248047,102,-0.0020111985504627228,-0.09519851207733154
,,,3579,,106.0,31.090457916259766,1763260089.5629659,,106.0,,,104,,
0.5826519131660461,1.3315118849277496e-05,7.722992449998856e-05,5248,0.0002969278139062226,,34.1822304725647,1763260092.6547384,668.0,,0.0,61.536376953125,133,-6.736069917678833e-05,0.018254399299621582
0.628848135471344,3.703124821186066e-05,0.000545622780919075,6144,0.00029639017884619534,,36.37780261039734,1763260094.8503106,611.0,,0.0,56.163753509521484,147,-7.450580596923828e-07,0.08253544569015503
0.6090385913848877,7.153302431106567e-05,-0.0010338667780160904,6272,0.00029631337383762,,36.673075437545776,1763260095.1455834,606.0,,0.0,73.83035278320312,149,0.0031895041465759277,0.05118381977081299
,,,6318,,133.0,36.73910617828369,1763260095.2116141,,133.0,,,150,,
0.6163303852081299,6.489548832178116e-05,-0.0015822229906916618,6656,0.00029608295881189406,,37.796552658081055,1763260096.2690606,580.0,,0.0,60.98754119873047,155,-6.114877760410309e-05,-0.036946892738342285
,,,6819,,194.0,38.184743881225586,1763260096.6572518,,194.0,,,157,,
0.6258034110069275,0.0012773685157299042,0.0034767910838127136,7808,0.0002953917137347162,,41.36050844192505,1763260099.8330164,519.0,,0.0,71.13676452636719,172,-0.008299045264720917,0.003071010112762451
0.6064133644104004,6.318744271993637e-05,0.0015490492805838585,9344,0.00029447005363181233,,45.02420401573181,1763260103.496712,499.0,,0.0,50.829551696777344,195,-0.003211129456758499,0.02325814962387085
0.6019317507743835,3.539491444826126e-05,0.001346559263765812,9856,0.00029416283359751105,,46.198121070861816,1763260104.670629,496.0,,0.0,76.55286407470703,203,0.002045862376689911,-0.02249741554260254
0.5854958891868591,0.0004046708345413208,0.00025788694620132446,10624,0.00029370200354605913,,47.97550582885742,1763260106.4480138,490.0,,0.0,73.73622131347656,213,-0.005755317397415638,-0.09414684772491455
,,,10934,,245.0,48.595001220703125,1763260107.0675092,,245.0,,,217,,
0.6357564330101013,2.6785768568515778e-05,-0.001919264905154705,11904,0.00029293395346030593,,50.74105644226074,1763260109.2135644,487.0,,0.0,68.30714416503906,228,0.0017017871141433716,0.06762558221817017
,,,12247,,150.0,51.41740036010742,1763260109.8899083,,150.0,,,233,,
0.6558460593223572,0.00010993890464305878,-0.0017346106469631195,13696,0.00029185868334025145,,54.62180495262146,1763260113.094313,484.0,,0.0,42.52861404418945,251,-0.0012156367301940918,0.5040470361709595
0.5960818529129028,4.641059786081314e-05,-0.00020185019820928574,14336,0.00029147465829737484,,56.003026723861694,1763260114.4755347,483.0,,0.0,54.61884307861328,259,0.0035766027867794037,0.10799980163574219
0.607634961605072,0.00046875886619091034,0.0014538858085870743,14848,0.00029116743826307356,,57.0943922996521,1763260115.5669003,482.0,,0.0,87.3580322265625,265,-0.003777042031288147,0.005120277404785156
,,,15502,,85.0,58.4963698387146,1763260116.9688778,,85.0,,,273,,
0.6023083329200745,1.9766390323638916e-05,-0.0013010110706090927,15616,0.00029070660821162164,,58.73608040809631,1763260117.2085884,481.0,,0.0,71.16780090332031,274,0.0009016990661621094,0.015766799449920654
0.5922579765319824,9.056925773620605e-05,0.0014867931604385376,17024,0.0002898617531172931,,61.64282035827637,1763260120.1153283,482.0,,0.0,57.95562744140625,292,-0.0021955259144306183,0.05897945165634155
0.5662746429443359,0.0026833629235625267,-0.006329176016151905,19584,0.0002883256529457867,,66.52275538444519,1763260124.9952633,487.0,,0.013671875,39.11963653564453,321,-0.004065157845616341,0.04335874319076538
0.5328021049499512,1.2801960110664368e-05,-0.00019207783043384552,20096,0.00028801843291148543,,67.47894787788391,1763260125.9514558,488.0,,0.0,35.733272552490234,327,-0.001156918704509735,0.9215151071548462
,,,20328,,222.0,67.785165309906,1763260126.2576733,,222.0,,,330,,
0.5902412533760071,8.442997932434082e-05,0.0003147013485431671,20480,0.00028778801788575947,,68.20275568962097,1763260126.6752636,489.0,,0.0,37.81355285644531,332,0.0005764514207839966,0.4715345501899719
0.585498034954071,0.006464422680437565,0.009258073754608631,20864,0.0002875576028600335,,68.94444990158081,1763260127.4169579,489.0,,0.0078125,29.709716796875,337,-0.014863338321447372,0.7197862863540649
,,,21050,,157.0,69.24934720993042,1763260127.7218552,,157.0,,,340,,
0.5805483460426331,5.008094012737274e-05,0.0006513260304927826,23168,0.00028617511270567775,,73.54242944717407,1763260132.0149374,490.0,,0.0,11.1107177734375,370,-0.0004321858286857605,0.8963924050331116
0.510897696018219,0.00013764481991529465,-0.00032912101596593857,23552,0.0002859446976799518,,74.39297461509705,1763260132.8654826,490.0,,0.0,11.810691833496094,375,0.0017175525426864624,0.9025022983551025
,,,25121,,138.0,78.19202160835266,1763260136.6645296,,138.0,,,396,,
0.5213284492492676,0.001093563623726368,0.003315404988825321,27264,0.0002837173524312675,,83.32099270820618,1763260141.7935007,478.0,,0.0,20.29576301574707,425,-0.002972550690174103,0.32750457525253296
0.47133874893188477,0.000675431452691555,0.006289682351052761,28800,0.00028279569232836366,,86.3772144317627,1763260144.8497224,479.0,,0.0,103.9609603881836,441,0.007355436682701111,0.028836488723754883
0.5397878885269165,4.245433956384659e-05,-0.002294725738465786,29696,0.0002822580572683364,,88.1073489189148,1763260146.5798569,480.0,,0.0,70.74298095703125,450,0.003604099154472351,0.5321255922317505
0.5291182994842529,0.0009868182241916656,0.00672498531639576,31744,0.0002810291771311313,,92.1322410106659,1763260150.604749,482.0,,0.0,163.66436767578125,471,0.00881703570485115,0.05891185998916626
0.5364638566970825,0.0002332562580704689,-0.003124346025288105,32768,0.00028041473706252873,,94.13784384727478,1763260152.6103518,483.0,,0.0,14.072710990905762,481,0.001605197787284851,0.06969457864761353
0.5018390417098999,2.3418106138706207e-05,-0.00010561291128396988,33664,0.0002798771020025015,,95.96693062782288,1763260154.4394386,483.0,,0.0,124.99980926513672,490,0.00024819839745759964,-0.013276338577270508
,,,35113,,500.0,98.70219540596008,1763260157.1747034,,500.0,,,504,,
0.5034208297729492,0.00038119684904813766,-0.004557537846267223,36224,0.0002783410018309951,,100.89567279815674,1763260159.3681808,485.0,,0.0,245.0897979736328,515,-0.0028006676584482193,0.00040966272354125977
0.5274792909622192,0.0011287108063697815,0.004175148904323578,37632,0.00027749614673666656,,103.73296880722046,1763260162.2054768,486.0,,0.0,164.6649627685547,530,-0.01784355938434601,0.04667460918426514
,,,38629,,500.0,105.52468919754028,1763260163.9971972,,500.0,,,539,,
0.4778788089752197,8.931849151849747e-05,0.00432633887976408,39424,0.0002764208766166121,,107.24616026878357,1763260165.7186682,487.0,,0.0,6.918431758880615,547,-0.003047749400138855,0.5682307481765747
0.5168410539627075,1.6042031347751617e-05,0.000977533869445324,40064,0.00027603688067756593,,108.62095952033997,1763260167.0934675,486.0,,0.0,22.585613250732422,555,-0.00031939707696437836,0.9412566423416138
0.5083610415458679,0.004576697945594788,-0.019598694518208504,40320,0.0002758832706604153,,109.1810028553009,1763260167.6535108,486.0,,0.0078125,9.743050575256348,559,-0.011410020291805267,0.966231107711792
0.5315848588943481,0.002910899929702282,0.0050433361902832985,41088,0.00027542244060896337,,110.79171752929688,1763260169.2642255,486.0,,0.044921875,7.7500505447387695,568,-0.007596716284751892,0.9607850909233093
,,,43790,,205.0,116.18332123756409,1763260174.6558292,,205.0,,,595,,
0.5706431865692139,6.570480763912201e-05,-0.002974851056933403,45312,0.0002728878753259778,,119.37457346916199,1763260177.8470814,487.0,,0.0,5.029911994934082,612,0.0011164993047714233,-0.26766645908355713
,,,45472,,431.0,119.6350109577179,1763260178.107519,,431.0,,,614,,
,,,47080,,399.0,122.75548243522644,1763260181.2279904,,399.0,,,630,,
0.5885540843009949,1.0525807738304138e-05,-0.0011363457888364792,47488,0.00027158219018019736,,123.79974007606506,1763260182.272248,487.0,,0.0,104.66082763671875,636,0.00027511175721883774,0.012210428714752197
0.5791733264923096,9.187497198581696e-05,-0.001429785043001175,47872,0.0002713517751544714,,124.58401846885681,1763260183.0565264,487.0,,0.0,264.87615966796875,640,-0.002046961337327957,0.006025254726409912
,,,48543,,134.0,126.03741264343262,1763260184.5099206,,134.0,,,650,,
0.5820170044898987,7.718801498413086e-06,0.0007648002356290817,49792,0.0002701997000258416,,128.7062633037567,1763260187.1787713,486.0,,0.0,77.75090789794922,664,-6.73346221446991e-05,0.05052471160888672
0.5604152083396912,0.0015243813395500183,0.009418655186891556,51456,0.00026920123491436243,,132.29772901535034,1763260190.770237,485.0,,0.0,186.8858184814453,684,-0.018775366246700287,0.21217375993728638
0.5077436566352844,0.0009073242545127869,-0.0009649582207202911,51968,0.00026889401488006115,,133.34049701690674,1763260191.813005,485.0,,0.0,119.74110412597656,689,-0.0022372975945472717,-0.0058591365814208984
,,,52918,,500.0,135.1811888217926,1763260193.6536968,,500.0,,,698,,
0.5570467710494995,0.004273346625268459,-0.005981926806271076,53376,0.0002680491597857326,,136.18483209609985,1763260194.65734,485.0,,0.001953125,3.6674675941467285,702,-0.011022493243217468,-3.1349215507507324
0.5650268793106079,0.0006413310766220093,0.004532560706138611,53888,0.00026774193975143135,,137.1912064552307,1763260195.6637144,486.0,,0.001953125,2.206646203994751,707,0.007508769631385803,0.11909514665603638
0.5557215213775635,1.1995434761047363e-06,7.636845111846924e-06,56064,0.0002664362546056509,,141.71942830085754,1763260200.1919363,485.0,,0.0,1.6456700563430786,729,-0.00042364560067653656,-0.6425840854644775
0.5709443092346191,1.1169351637363434e-05,-0.0005563544109463692,58880,0.00026474654441699386,,147.3724400997162,1763260205.844948,486.0,,0.0,0.9768351316452026,757,-0.0002343878149986267,-0.02330470085144043
0.5735790729522705,1.9138678908348083e-06,0.00014669913798570633,59392,0.0002644393243826926,,148.36764359474182,1763260206.8401515,486.0,,0.0,0.9092170000076294,762,0.0002181902527809143,0.009092986583709717
0.5956258773803711,0.00024523399770259857,0.0018085669726133347,59904,0.0002641321043483913,,149.34570932388306,1763260207.8182173,486.0,,0.0,0.6278899908065796,767,0.009343590587377548,0.006215810775756836
0.49808937311172485,0.00031375419348478317,0.0043477462604641914,60672,0.0002636712742969394,,150.92161917686462,1763260209.3941271,486.0,,0.0,0.6498816609382629,775,-0.0009593367576599121,-0.2095961570739746
,,,61885,,269.0,153.26715326309204,1763260211.7396612,,269.0,,,788,,
0.5881855487823486,0.012746169231832027,-0.00644202996045351,62720,0.00026244239415973425,,155.0690107345581,1763260213.5415187,487.0,,0.0625,241.415771484375,797,-0.01731618493795395,0.3538174033164978
,,,63552,,236.0,156.62005066871643,1763260215.0925586,,236.0,,,806,,
,,,64367,,450.0,158.23095035552979,1763260216.7034583,,450.0,,,815,,
0.6262832283973694,0.008718828670680523,-0.01477480586618185,68608,0.0002589093637652695,,167.09426522254944,1763260225.5667732,487.0,,0.03515625,37.95673370361328,863,0.07567214220762253,0.873182475566864
,,,69333,,176.0,168.5364809036255,1763260227.0089889,,176.0,,,872,,
0.5644940137863159,0.0006655994802713394,0.0006510317325592041,69632,0.00025829492369666696,,169.2953073978424,1763260227.7678154,487.0,,0.0,6.005301475524902,876,-0.008240314200520515,0.9400686025619507
0.5612219572067261,0.00015052314847707748,-0.005475121550261974,73088,0.0002562211884651333,,176.51807713508606,1763260234.990585,486.0,,0.0,168.88270568847656,916,2.2806227207183838e-05,0.11754989624023438
,,,73677,,205.0,177.57876348495483,1763260236.0512714,,205.0,,,922,,
0.5668664574623108,0.004792604595422745,0.004844477400183678,74368,0.0002554531383793801,,179.1457395553589,1763260237.6182475,486.0,,0.0078125,308.157470703125,930,-0.003136381506919861,0.48493415117263794
