losses/explained_variance,charts/learning_rate,charts/episodic_return,_step,global_step,charts/episodic_length,losses/approx_kl,losses/clipfrac,charts/SPS,_timestamp,losses/value_loss,losses/policy_loss,losses/entropy,losses/old_approx_kl,_runtime
,,,0,0,,,,,1763260110.813914,,,,,25.652042150497437
-0.025005698204040527,0.0003000000142492354,,7,128,,4.788115620613098e-05,0.0,649.0,1763260113.002237,26.650806427001953,-0.0027043893933296204,0.6930844187736511,0.0023483484983444214,27.840365171432495
-0.0014594793319702148,0.0002996927942149341,,33,640,,0.00031957775354385376,0.0,848.0,1763260113.559214,48.25524139404297,0.00026221200823783875,0.6901926398277283,-0.006720941513776779,28.397342205047607
0.010772407054901123,0.0002996159892063588,,41,768,,0.0007365681231021881,0.0,864.0,1763260113.6939366,26.07929229736328,-0.008470088243484497,0.6857583522796631,0.008039498701691628,28.53206467628479
,,63.0,47,933,63.0,,,,1763260113.8361194,,,,,28.67424750328064
,,33.0,64,1282,33.0,,,,1763260114.2369354,,,,,29.075063467025757
,,48.0,74,1572,48.0,,,,1763260114.5050204,,,,,29.343148469924927
,,55.0,77,1685,55.0,,,,1763260114.6206355,,,,,29.458763599395752
-0.12540972232818604,0.00029877113411203027,,88,2176,,0.006144333630800247,0.001953125,948.0,1763260115.099965,105.7036361694336,-0.037491634488105774,0.6518360376358032,-0.015100314281880856,29.938093185424805
-0.08813643455505371,0.00029831030406057835,,102,2944,,0.002348979003727436,0.00390625,965.0,1763260115.854816,67.42963409423828,-0.014377541840076447,0.5044001340866089,0.011350818909704685,30.692944049835205
,,270.0,104,3170,270.0,,,,1763260116.0119195,,,,,30.85004758834839
-0.0005186796188354492,0.0002970046189147979,,133,5120,,2.96691432595253e-05,0.0,999.0,1763260117.9290655,98.8135757446289,0.0018982328474521637,0.5624680519104004,-0.0007539624348282814,32.76719355583191
,,414.0,147,6431,414.0,,,,1763260119.207788,,,,,34.04591608047485
-0.10109972953796387,0.00029608295881189406,,149,6656,,0.00020934175699949265,0.0,1002.0,1763260119.4464247,101.00286865234375,0.009796138852834702,0.595503032207489,-0.00370707456022501,34.284552812576294
,,269.0,150,6700,269.0,,,,1763260119.4645526,,,,,34.3026807308197
0.006902813911437988,0.0002957757387775928,,155,7168,,0.0003173239529132843,0.0,1007.0,1763260119.9178839,54.32231521606445,0.0036284327507019043,0.5417829155921936,-0.004344083368778229,34.756011962890625
0.022567808628082275,0.00029562212876044214,,157,7424,,0.00031000934541225433,0.0,1010.0,1763260120.1537385,83.5671157836914,-0.005263276398181915,0.5243165493011475,0.0005991831421852112,34.99186658859253
