losses/explained_variance,global_step,charts/episodic_length,losses/policy_loss,losses/approx_kl,_step,losses/entropy,losses/value_loss,charts/SPS,losses/clipfrac,_timestamp,losses/old_approx_kl,_runtime,charts/learning_rate,charts/episodic_return
,0,,,,0,,,,,1763260083.978998,,25.507227897644043,,
,126,15.0,,,7,,,,,1763260084.8908346,,26.41906452178955,,15.0
,592,27.0,,,33,,,,,1763260085.4247122,,26.95294213294983,,27.0
-0.00659024715423584,768,,0.009356789290904999,0.0018775146454572678,41,0.6675559878349304,50.34172439575195,924.0,0.0,1763260085.637615,-0.016155721619725227,27.165844917297363,0.0002996159892063588,
,913,29.0,,,47,,,,,1763260085.7659318,,27.294161796569824,,29.0
-0.04624581336975098,1408,,-0.014264926314353943,0.0006400281563401222,64,0.6316946744918823,71.28909301757812,918.0,0.0,1763260086.3397617,0.0065817395225167274,27.86799168586731,0.0002992319641634822,
,1806,64.0,,,74,,,,,1763260087.0531876,,28.581417560577393,,64.0
,1975,103.0,,,77,,,,,1763260087.2657583,,28.79398822784424,,103.0
,2355,41.0,,,88,,,,,1763260087.9829419,,29.51117181777954,,41.0
,3030,32.0,,,102,,,,,1763260089.1654909,,30.693720817565918,,32.0
0.06779658794403076,3072,,-0.001248866319656372,2.2008083760738373e-05,104,0.5707979798316956,51.61629867553711,673.0,0.0,1763260089.3654952,-0.0006185723468661308,30.893725156784058,0.000298233499052003,
0.12263506650924683,4480,,-0.009135859087109566,0.00037867575883865356,133,0.6045342087745667,76.00576782226562,609.0,0.0,1763260092.158962,-0.0004711858928203583,33.6871919631958,0.0002973886439576745,
,5439,219.0,,,147,,,,,1763260094.3390315,,35.86726140975952,,219.0
,5556,117.0,,,149,,,,,1763260094.698876,,36.22710585594177,,117.0
0.026186823844909668,5632,,0.0041440315544605255,0.00015602540224790573,150,0.6128488779067993,66.00660705566406,553.0,0.0,1763260094.9817512,-0.004288873635232449,36.50998115539551,0.0002966973988804966,
0.15672051906585693,6016,,0.03966642916202545,0.01032296847552061,155,0.6069936156272888,59.51150894165039,534.0,0.025390625,1763260096.0684252,0.038922056555747986,37.59665513038635,0.00029646698385477066,
0.050496697425842285,6144,,-4.614889621734619e-05,4.041939973831177e-06,157,0.6206590533256531,67.79788208007812,526.0,0.0,1763260096.4841726,-0.0005247239023447037,38.01240253448486,0.00029639017884619534,
0.16123944520950317,7296,,0.0015230253338813782,0.0018982011824846268,172,0.5840298533439636,89.78579711914062,483.0,0.0,1763260099.88528,0.0050293635576963425,41.41350984573364,0.00029569893376901746,
,8603,135.0,,,195,,,,,1763260103.1883094,,44.71653938293457,,135.0
0.689738392829895,9216,,-0.004171010106801987,0.00048108305782079697,203,0.6328543424606323,69.02428436279297,464.0,0.0,1763260104.6435792,0.0015559634193778038,46.17180919647217,0.00029454685864038765,
,9948,231.0,,,213,,,,,1763260106.2097375,,47.7379674911499,,231.0
0.518767237663269,10240,,0.006705346517264843,0.0013947999104857445,217,0.5735488533973694,47.62411117553711,461.0,0.0,1763260107.0094686,0.010079371742904186,48.53769850730896,0.0002939324185717851,
,11071,165.0,,,228,,,,,1763260108.785215,,50.31344485282898,,165.0
0.6687671542167664,11520,,-0.0010872483253479004,0.0006387997418642044,233,0.6143300533294678,42.2181396484375,459.0,0.0,1763260109.850064,-0.009836308658123016,51.37829399108887,0.0002931643684860319,
-0.027811884880065918,13184,,0.008891463279724121,0.002233610488474369,251,0.5745089054107666,62.372352600097656,461.0,0.0,1763260113.404336,0.0071014100685715675,54.93256592750549,0.0002921659033745527,
0.003957211971282959,13824,,-0.004459664225578308,0.00012102816253900528,259,0.5592412948608398,64.3353042602539,460.0,0.0,1763260114.8367617,0.0019253892824053764,56.364991664886475,0.0002917818783316761,
0.008251667022705078,14336,,0.006430499255657196,0.0003580925986170769,265,0.6075118184089661,48.434295654296875,461.0,0.0,1763260115.8945878,0.0008327299728989601,57.42281770706177,0.00029147465829737484,
0.00013875961303710938,15104,,0.0005032978951931,1.9377097487449646e-05,273,0.5990553498268127,48.507816314697266,461.0,0.0,1763260117.5080714,-0.0002861563116312027,59.036301374435425,0.0002910138282459229,
,15212,244.0,,,274,,,,,1763260117.5706494,,59.09887933731079,,244.0
0.026715219020843506,16640,,0.0011526457965373993,1.0184943675994873e-05,292,0.5984612107276917,53.39345932006836,463.0,0.0,1763260120.680083,-0.0002449285238981247,62.20831298828125,0.0002900921681430191,
,19080,295.0,,,321,,,,,1763260125.437564,,66.96579384803772,,295.0
,19685,437.0,,,327,,,,,1763260126.3540998,,67.88232970237732,,437.0
,19826,104.0,,,330,,,,,1763260126.6660125,,68.19424247741699,,104.0
0.007611870765686035,19968,,0.00011755712330341339,6.778165698051453e-05,332,0.5826573967933655,39.08340835571289,471.0,0.0,1763260127.1206098,-0.0004002004861831665,68.64883971214294,0.00028809523792006075,
0.008644163608551025,20352,,-0.0009728539735078812,6.583612412214279e-05,337,0.5565296411514282,105.03665161132812,472.0,0.0,1763260127.865727,1.0884366929531097e-05,69.39395689964294,0.0002878648228943348,
0.5586647987365723,20608,,0.004371225833892822,0.001875218003988266,340,0.5322327017784119,33.958290100097656,473.0,0.0,1763260128.3360467,-0.009181138128042221,69.86427664756775,0.00028771121287718415,
,22934,135.0,,,370,,,,,1763260133.0579402,,74.5861701965332,,135.0
0.019192159175872803,23424,,-0.0009314678609371185,8.026137948036194e-06,375,0.5536033511161804,32.28823471069336,475.0,0.0,1763260134.107304,-0.00024107471108436584,75.63553404808044,0.0002860215026885271,
