_runtime,losses/entropy,losses/policy_loss,losses/value_loss,charts/episodic_length,charts/SPS,charts/learning_rate,_step,_timestamp,losses/old_approx_kl,losses/explained_variance,global_step,losses/clipfrac,charts/episodic_return,losses/approx_kl
25.724228143692017,,,,,,,0,1763260084.160674,,,0,,,
26.66576838493347,,,,17.0,,,7,1763260085.1022143,,,148,,17.0,
27.189711809158325,,,,17.0,,,33,1763260085.6261578,,,714,,17.0,
27.39877223968506,0.6769129037857056,-0.01304830051958561,61.45353317260742,,1035.0,0.00029953918419778347,41,1763260085.8352182,-0.0008223289623856544,-0.06001162528991699,896,0.0,,0.0003976905718445778
27.542750120162964,,,,81.0,,,47,1763260085.979196,,,1090,,81.0,
28.292670488357544,,,,48.0,,,64,1763260086.7291164,,,1581,,48.0,
28.93718910217285,0.5966706275939941,-0.005998816341161728,109.68751525878906,,798.0,0.0002989247441291809,74,1763260087.373635,0.0017522135749459267,0.0619349479675293,1920,0.001953125,,0.001692713238298893
29.147851943969727,0.6205218434333801,0.004624757915735245,65.38026428222656,,783.0,0.0002988479391206056,77,1763260087.584298,-0.013903003185987473,-0.005466818809509277,2048,0.0,,0.00038335658609867096
30.04493737220764,,,,106.0,,,88,1763260088.4813833,,,2694,,106.0,
31.470430374145508,0.5934032201766968,0.008308282122015953,113.85358428955078,,751.0,0.0002978494740091264,102,1763260089.9068763,-0.018943309783935547,-0.16689753532409668,3712,0.00390625,,0.0038653332740068436
31.666348457336426,0.6094270944595337,-0.009074747562408447,75.64461517333984,,748.0,0.0002977726690005511,104,1763260090.1027944,0.0061840638518333435,-0.009465336799621582,3840,0.0,,0.0011027008295059204
35.21755528450012,0.6112135648727417,-0.00488349050283432,86.11196899414062,,663.0,0.0002966205938719213,133,1763260093.6540012,-0.004301066510379314,0.5059500932693481,5760,0.0,,0.0003452906385064125
37.32193994522095,,,,147.0,,,147,1763260095.758386,,,6582,,147.0,
37.684969902038574,,,,77.0,,,149,1763260096.1214159,,,6659,,77.0,
37.766510009765625,,,,102.0,,,150,1763260096.202956,,,6761,,102.0,
38.94153618812561,,,,141.0,,,155,1763260097.3779821,,,7069,,141.0,
39.363457679748535,,,,128.0,,,157,1763260097.7999036,,,7197,,128.0,
42.28796362876892,,,,139.0,,,172,1763260100.7244096,,,8313,,139.0,
46.20160794258118,0.5913956761360168,-0.002164594829082489,54.23057174682617,,507.0,0.00029408602858893573,195,1763260104.638054,0.0010689804330468178,0.4145202040672302,9984,0.0,,0.00011681113392114639
47.417521476745605,0.602059543132782,-0.003602050244808197,63.13725280761719,,502.0,0.00029377880855463445,203,1763260105.8539674,-0.00041176658123731613,-0.00031757354736328125,10496,0.0,,5.0663016736507416e-05
49.08103942871094,,,,408.0,,,213,1763260107.5174854,,,11290,,408.0,
49.880937814712524,0.5952792167663574,0.0010105445981025696,74.32238006591797,,498.0,0.00029308756347745657,217,1763260108.3173838,0.0011659441515803337,0.03891867399215698,11648,0.0,,1.9253231585025787e-05
51.84307503700256,,,,168.0,,,228,1763260110.279521,,,12671,,168.0,
52.689581632614136,,,,199.0,,,233,1763260111.1260276,,,12948,,199.0,
56.117331743240356,0.5870217680931091,0.0016026869416236877,51.0875129699707,,493.0,0.0002913210482802242,251,1763260114.5537777,-0.0036159995943307877,0.19619393348693848,14592,0.0,,0.00033373385667800903
57.2806077003479,,,,162.0,,,259,1763260115.7170537,,,15185,,162.0,
58.305670738220215,,,,68.0,,,265,1763260116.7421167,,,15715,,68.0,
59.83779001235962,0.613675057888031,0.002680480480194092,52.62696075439453,,491.0,0.0002902457781601697,273,1763260118.274236,-0.0028531337156891823,0.009046971797943115,16384,0.0,,0.00030525121837854385
60.06356072425842,0.6392170190811157,-0.0012980401515960693,51.27510070800781,,492.0,0.0002901689731515944,274,1763260118.5000067,-0.0037598907947540283,0.18995791673660278,16512,0.0,,0.00042570382356643677
62.844388008117676,0.6093961596488953,0.0073609258979558945,72.82164764404297,,493.0,0.0002893241180572659,292,1763260121.280834,-0.004623302258551121,0.09260296821594238,17920,0.0,,0.0012442553415894508
67.62736892700195,,,,500.0,,,321,1763260126.0638149,,,20593,,500.0,
68.70966815948486,0.6102343201637268,0.0009944289922714233,39.08848571777344,,500.0,0.00028740399284288287,327,1763260127.146114,0.002361919730901718,-0.061089396476745605,21120,0.0,,6.796419620513916e-05
68.99413847923279,,,,126.0,,,330,1763260127.4305844,,,21368,,126.0,
69.25750708580017,,,,118.0,,,332,1763260127.693953,,,21486,,118.0,
70.10875034332275,0.5934129953384399,-0.0033936426043510437,36.01527786254883,,502.0,0.00028694316279143095,337,1763260128.5451963,-0.00115111842751503,0.03443485498428345,21888,0.0,,8.815154433250427e-05
70.58342599868774,0.63319993019104,-0.002793475054204464,90.20162200927734,,502.0,0.0002867895527742803,340,1763260129.019872,0.00799539964646101,-0.0003343820571899414,22144,0.001953125,,0.0008001411333680153
75.16301083564758,,,,386.0,,,370,1763260133.5994568,,,24504,,386.0,
75.95538306236267,0.5934109091758728,-0.020641036331653595,70.967529296875,,502.0,0.0002851766475941986,375,1763260134.391829,0.0027334559708833694,0.0019329190254211426,24832,0.0,,0.0004794728010892868
80.38705468177795,0.4873441755771637,0.0010874178260564804,27.73310089111328,,494.0,0.0002841013774741441,396,1763260138.8235006,0.0007990514859557152,-0.0010805130004882812,26624,0.0,,5.0990842282772064e-05
85.73094415664673,0.5708460807800293,0.0006405059248209,11.724754333496094,,495.0,0.0002824884722940624,425,1763260144.16739,0.0008324626833200455,0.8044030666351318,29312,0.0,,1.9302591681480408e-05
