losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
0.0,,1763260111.5229547,0.00029293395346030593,0.009053915739059448,53.042399644851685,11904,259,70.67170715332031,0.7316155433654785,445.0,0.5574325323104858,0.0005406476557254791,-0.015914220362901688,
0.0,,1763260112.5976353,0.00029262673342600465,0.00038796477019786835,54.117080211639404,12416,265,56.89385986328125,0.01691204309463501,446.0,0.5703845620155334,0.0004023239016532898,-0.00309029221534729,
,238.0,1763260114.04662,,,55.56606483459473,13105,273,,,,,,,238.0
0.0,,1763260114.2964776,0.0002921659033745527,7.895659655332565e-05,55.815922498703,13184,274,61.214080810546875,0.10855460166931152,447.0,0.565173864364624,1.2475065886974335e-05,0.0004465356469154358,
0.0,,1763260117.369159,0.0002913210482802242,0.009922309778630733,58.888603925704956,14592,292,63.57267379760742,0.21891343593597412,448.0,0.5269416570663452,0.0007345424965023994,-0.01708664745092392,
0.0,,1763260122.110643,0.00028993855812586844,0.0024354588240385056,63.63008785247803,16896,321,44.56702423095703,0.2091602087020874,452.0,0.5708427429199219,0.000347355380654335,-0.006876291707158089,
,108.0,1763260122.9406464,,,64.46009135246277,17372,327,,,,,,,108.0
0.0,,1763260123.440035,0.00028955453308299184,-0.003117821179330349,64.95948004722595,17536,330,60.934200286865234,-0.003781437873840332,453.0,0.517977237701416,0.00042965542525053024,-0.006030850112438202,
0.0,,1763260123.727725,0.0002894777280744165,-0.0011825161054730415,65.24716997146606,17664,332,42.62997055053711,0.37842482328414917,453.0,0.5466533303260803,9.485520422458649e-06,0.00037635862827301025,
0.0,,1763260124.6082978,0.00028917050804011524,0.0026041772216558456,66.12774276733398,18176,337,42.841796875,-0.5432685613632202,456.0,0.5578027367591858,0.00015964359045028687,-0.0026245899498462677,
,168.0,1763260124.9138868,,,66.43333172798157,18367,340,,,,,,,168.0
0.0,,1763260129.8840816,0.00028740399284288287,0.0014871852472424507,71.40352654457092,21120,370,37.344947814941406,-0.01330113410949707,468.0,0.5636419057846069,0.0001409212127327919,-0.001772470772266388,
0.0,,1763260130.56993,0.0002871735778171569,0.0014773514121770859,72.08937501907349,21504,375,63.131446838378906,0.4118829369544983,469.0,0.5550240874290466,1.1730939149856567e-05,-0.0009427815675735474,
0.0,,1763260134.2483902,0.00028617511270567775,-0.0007446091622114182,75.76783514022827,23168,396,91.1694564819336,-0.04507148265838623,468.0,0.5528528690338135,1.8572434782981873e-05,0.001062808558344841,
,500.0,1763260140.7711163,,,82.29056119918823,26049,425,,,,,,,500.0
,191.0,1763260143.8342223,,,85.35366725921631,27580,441,,,,,,,191.0
0.0,,1763260145.3916066,0.00028310291236266494,-0.0004228884354233742,86.91105151176453,28288,450,24.209232330322266,0.6762700080871582,466.0,0.5429859757423401,0.00014242064207792282,-0.0001924559473991394,
0.0,,1763260148.6755016,0.0002821812522597611,0.009033522568643093,90.19494652748108,29824,471,17.76288604736328,0.928746223449707,466.0,0.5271447896957397,0.0012048622593283653,-0.014810740947723389,
0.0,,1763260150.476963,0.00028164361719973385,0.006376373581588268,91.99640798568726,30720,481,62.465110778808594,0.009015262126922607,467.0,0.5470226407051086,0.0027549834921956062,-0.00012268126010894775,
,423.0,1763260152.0828185,,,93.60226345062256,31611,490,,,,,,,423.0
,342.0,1763260154.7332222,,,96.25266718864441,32824,504,,,,,,,342.0
0.0,,1763260156.9399545,0.00027972349198535085,-0.0008505275472998619,98.45939946174622,33920,515,12.41864013671875,0.05932915210723877,470.0,0.5324127078056335,7.609836757183075e-06,0.00032868608832359314,
0.0,,1763260159.6765392,0.0002788786368910223,0.0006379447877407074,101.19598412513733,35328,530,13.873126029968262,0.0034392476081848145,471.0,0.5526847243309021,2.1569430828094482e-06,4.256144165992737e-05,
0.0,,1763260161.2409356,0.0002784178068395704,0.0011901352554559708,102.7603805065155,36096,539,212.1770477294922,0.04145854711532593,472.0,0.5218566060066223,2.0775943994522095e-05,0.0015596281737089157,
,94.0,1763260162.5543756,,,104.0738205909729,36742,547,,,,,,,94.0
0.0,,1763260164.025149,0.0002775729517452419,-0.0017665224149823189,105.54459404945374,37504,555,11.432341575622559,-0.005326032638549805,473.0,0.517288327217102,4.8772431910037994e-05,0.0025662072002887726,
0.0,,1763260164.8074138,0.0002773425367195159,0.0013680802658200264,106.32685875892639,37888,559,11.385170936584473,0.32449841499328613,473.0,0.5477923154830933,5.0951726734638214e-05,-0.0009752139449119568,
