_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,26.075159072875977,0,1763260111.422264,,,,,,,,,,,
7,27.669753789901733,159,1763260113.0168588,20.0,20.0,,,,,,,,,
33,28.212425708770752,688,1763260113.5595307,23.0,23.0,,,,,,,,,
41,28.384420156478882,868,1763260113.7315252,18.0,18.0,,,,,,,,,
47,28.513822317123413,1003,1763260113.8609273,26.0,26.0,,,,,,,,,
64,29.033392429351807,1499,1763260114.3804975,53.0,53.0,,,,,,,,,
74,29.410030603408813,1792,1763260114.7571356,,,0.0011628065258264542,-0.008417367935180664,-0.006675697863101959,0.0,-0.007552472874522209,0.5789221525192261,0.00029900154913775623,918.0,63.829071044921875
77,29.537193775177002,1920,1763260114.8842988,,,0.0020562540739774704,0.035795509815216064,-0.0017911959439516068,0.0,0.009785160422325134,0.5948179960250854,0.0002989247441291809,923.0,66.32164001464844
88,29.950429439544678,2365,1763260115.2975345,44.0,44.0,,,,,,,,,
102,30.604830265045166,2998,1763260115.9519353,85.0,85.0,,,,,,,,,
104,30.709994554519653,3072,1763260116.0570996,,,0.0004075216129422188,-0.0029097795486450195,0.007898720912635326,0.0,0.000588810071349144,0.6044289469718933,0.000298233499052003,944.0,55.39872360229492
133,32.288055658340454,4703,1763260117.6351607,163.0,163.0,,,,,,,,,
147,33.050273418426514,5461,1763260118.3973784,23.0,23.0,,,,,,,,,
149,33.17176342010498,5577,1763260118.5188684,116.0,116.0,,,,,,,,,
150,33.26499700546265,5632,1763260118.612102,,,0.0022630076855421066,0.2597543001174927,-0.0013147499412298203,0.001953125,-0.02138916589319706,0.547370433807373,0.0002966973988804966,969.0,62.43851852416992
155,33.7558856010437,6144,1763260119.1029906,,,6.626918911933899e-05,0.5128875374794006,0.0004491172730922699,0.0,0.001397106796503067,0.5870764255523682,0.00029639017884619534,975.0,75.01341247558594
157,33.87494134902954,6272,1763260119.2220464,,,9.330268949270248e-05,0.250668466091156,0.002953716553747654,0.0,-0.0042204950004816055,0.5360207557678223,0.00029631337383762,977.0,55.889404296875
172,34.83534002304077,7296,1763260120.182445,,,0.0002476349472999573,0.38761603832244873,0.000552615150809288,0.0,-0.002382151782512665,0.5864397287368774,0.00029569893376901746,989.0,80.85602569580078
195,36.800416231155396,8977,1763260122.1475213,195.0,195.0,,,,,,,,,
203,37.48090410232544,9583,1763260122.8280091,138.0,138.0,,,,,,,,,
213,38.40925097465515,10240,1763260123.756356,,,1.4170072972774506e-05,0.3214448094367981,0.0007730284705758095,0.0,-0.0005990676581859589,0.5522968173027039,0.0002939324185717851,935.0,52.37782669067383
217,38.75102210044861,10611,1763260124.0981271,203.0,203.0,,,,,,,,,
228,39.8034143447876,11550,1763260125.1505194,166.0,166.0,,,,,,,,,
