losses/value_loss,charts/learning_rate,charts/episodic_return,losses/policy_loss,charts/SPS,losses/old_approx_kl,_runtime,losses/entropy,losses/clipfrac,losses/approx_kl,_step,_timestamp,charts/episodic_length,global_step,losses/explained_variance
13.563763618469238,0.00027980029699392617,,5.661137402057648e-05,466.0,0.0023936480283737183,98.90480160713196,0.4633156657218933,0.0,2.0094215869903564e-05,539,1763260157.3761315,,33792,0.04484426975250244
72.31936645507812,0.0002794930769596249,,-0.0006111953407526016,465.0,0.000598483718931675,100.03322553634644,0.5334888100624084,0.0,2.6688911020755768e-05,547,1763260158.5045555,,34304,0.7829881906509399
,,143.0,,,,101.17439365386963,,,,555,1763260159.6457236,143.0,34890,
,,89.0,,,,101.74486374855042,,,,559,1763260160.2161937,89.0,35113,
22.861265182495117,0.00027864822186529636,,0.001460433006286621,465.0,0.0008162390440702438,103.09721779823303,0.450477659702301,0.0,0.00018909573554992676,568,1763260161.5685477,,35712,0.9088270664215088
,,104.0,,,,107.4219024181366,,,,595,1763260165.8932323,104.0,37768,
15.597163200378418,0.00027672809665091336,,-0.001925453543663025,465.0,0.00010109040886163712,109.97275471687317,0.4603802263736725,0.0,0.0001407293602824211,612,1763260168.4440846,,38912,0.9551945924758911
28.340913772583008,0.00027665129164233804,,-0.005834911018610001,465.0,0.005605538375675678,110.25714159011841,0.48659655451774597,0.0,0.0001109028235077858,614,1763260168.7284715,,39040,0.9047841429710388
11.325626373291016,0.0002759600756689906,,-0.00018836557865142822,464.0,0.0030906004831194878,112.86146211624146,0.5229660272598267,0.0,0.0012261820957064629,630,1763260171.332792,,40192,0.9749929308891296
,,133.0,,,,113.76927709579468,,,,636,1763260172.240607,133.0,40592,
12.872365951538086,0.0002754992456175387,,0.009509950876235962,464.0,0.008675791323184967,114.55103516578674,0.5556851625442505,0.01171875,0.0036660321056842804,640,1763260173.022365,,40960,0.9505910873413086
147.6959991455078,0.0002751152205746621,,-0.010555621236562729,464.0,0.0014052726328372955,115.98758673667908,0.5729865431785583,0.0,0.0002494361251592636,650,1763260174.4589167,,41600,0.784512996673584
,,264.0,,,,118.22252821922302,,,,664,1763260176.6938581,264.0,42700,
,,128.0,,,,121.3690710067749,,,,684,1763260179.840401,128.0,44040,
,,161.0,,,,122.15802693367004,,,,689,1763260180.6293569,161.0,44425,
75.75456237792969,0.0002728878753259778,,-0.01329166442155838,464.0,0.005264183506369591,123.94744157791138,0.5656379461288452,0.0,0.0014263875782489777,698,1763260182.4187715,,45312,0.42941945791244507
34.32002258300781,0.00027265746030025184,,-0.0035659819841384888,464.0,-0.01935308799147606,124.71175622940063,0.5786957144737244,0.00390625,0.0035490253940224648,702,1763260183.1830862,,45696,0.13583111763000488
21.301666259765625,0.0002724270452745259,,0.005493726581335068,464.0,0.001168292947113514,125.53404188156128,0.5708086490631104,0.0,0.0005950657650828362,707,1763260184.0053718,,46080,0.8787865042686462
,,500.0,,,,129.91808414459229,,,,729,1763260188.389414,500.0,48367,
59.5845832824707,0.0002695084549486637,,-0.03833511471748352,467.0,0.020629053935408592,135.47867918014526,0.5341756343841553,0.0,0.0020396681502461433,757,1763260193.950009,,50944,0.6261994242668152
213.47323608398438,0.00026920123491436243,,0.00012965500354766846,467.0,-0.002183433622121811,136.50364637374878,0.5138435959815979,0.0,8.703023195266724e-05,762,1763260194.9749763,,51456,0.4809022545814514
160.50442504882812,0.00026889401488006115,,0.004558883607387543,467.0,0.0174671970307827,137.55970096588135,0.5062834024429321,0.03125,0.00641845166683197,767,1763260196.031031,,51968,0.5850828886032104
4.074194431304932,0.00026843318482860923,,-0.0018512196838855743,467.0,0.00022813118994235992,139.11338019371033,0.5370045900344849,0.0,3.170408308506012e-05,775,1763260197.5847101,,52736,-1.6070055961608887
,,243.0,,,,141.49616384506226,,,,788,1763260199.9674938,243.0,54014,
,,275.0,,,,143.09278535842896,,,,797,1763260201.5641153,275.0,54757,
318.44342041015625,0.0002668202796485275,,-0.001393381506204605,468.0,0.00043435581028461456,144.65149545669556,0.5919356346130371,0.0,3.3522024750709534e-05,806,1763260203.1228254,,55424,0.043025314807891846
,,55.0,,,,146.1171841621399,,,,815,1763260204.588514,55.0,56136,
1.920650601387024,0.00026390168932266533,,-0.0026172278448939323,469.0,-0.0025413744151592255,154.6949474811554,0.5790143013000488,0.0,0.00010686181485652924,863,1763260213.1662774,,60288,-0.3276176452636719
1.5436149835586548,0.0002633640542626381,,-0.002494499087333679,470.0,-0.0018156906589865685,156.45520949363708,0.5508912205696106,0.0,7.304828613996506e-05,872,1763260214.9265394,,61184,-0.33973562717437744
1.5979092121124268,0.00026313363923691213,,0.0022273585200309753,470.0,0.002696167677640915,157.18438935279846,0.5634750127792358,0.0,3.9324164390563965e-05,876,1763260215.6557193,,61568,0.41225963830947876
1.0172544717788696,0.0002606758789625019,,0.0012651681900024414,472.0,0.000872146338224411,165.38132309913635,0.631083607673645,0.0,2.127140760421753e-05,922,1763260223.852653,,65664,-0.2533988952636719
325.0058288574219,0.00026021504891104996,,-0.003274613991379738,472.0,0.004073365591466427,166.9360032081604,0.5898352265357971,0.0,0.0001226058229804039,930,1763260225.4073331,,66432,-0.000741124153137207
,,492.0,,,,168.28508949279785,,,,938,1763260226.7564194,492.0,67101,
,,70.0,,,,168.6334183216095,,,,941,1763260227.1047482,70.0,67249,
172.96731567382812,0.0002596774138510227,,3.678165376186371e-05,472.0,0.00015077833086252213,168.8913495540619,0.5992538332939148,0.0,4.200264811515808e-07,942,1763260227.3626795,,67328,0.005315065383911133
626.367919921875,0.0002595238038338721,,-0.003302996978163719,472.0,0.0023175235837697983,169.57269740104675,0.5406476259231567,0.0,0.00012005679309368134,948,1763260228.0440273,,67584,0.03456926345825195
1.0532290935516357,0.00025821811868809164,,0.007550675421953201,472.0,0.0032169846817851067,174.03989005088806,0.5638127326965332,0.0,0.00011024344712495804,974,1763260232.51122,,69760,-1.5904247760772705
369.92315673828125,0.00025791089865379035,,-0.002041049301624298,472.0,0.0031722495332360268,175.1641354560852,0.5064719915390015,0.0,0.00027775857597589493,980,1763260233.6354654,,70272,0.10276907682418823
0.6438676118850708,0.0002576804836280644,,-0.007556214928627014,472.0,-0.002176448702812195,175.9929711818695,0.5877143740653992,0.0,0.0001119021326303482,985,1763260234.464301,,70656,-0.334248423576355
0.5044569969177246,0.00025706604355946183,,-0.0011172685772180557,472.0,-0.0005288980901241302,178.00970554351807,0.5402221083641052,0.0,3.5841017961502075e-05,995,1763260236.4810355,,71680,0.34183764457702637
,,500.0,,,,178.29637742042542,,,,997,1763260236.7677073,500.0,71933,
0.15525837242603302,0.0002558371634222567,,0.0009610876441001892,473.0,-0.0008349055424332619,182.00331616401672,0.5351027846336365,0.0,0.00017115380614995956,1015,1763260240.474646,,73728,0.4442598819732666
0.11966057866811752,0.00025552994338795543,,0.0011683665215969086,474.0,0.0003480026498436928,182.9937858581543,0.5388381481170654,0.0,0.0003855722025036812,1020,1763260241.4651158,,74240,0.18670719861984253
,,500.0,,,,185.07238721847534,,,,1031,1763260243.5437171,500.0,75300,
242.217041015625,0.00025368662318214774,,-0.008727969601750374,475.0,-0.00453301053494215,189.04971170425415,0.530165433883667,0.0,0.0004504518583416939,1050,1763260247.5210416,,77312,0.0003102421760559082
0.002707637380808592,0.0002534562081564218,,-0.017698567360639572,475.0,0.012204548344016075,189.77858114242554,0.5574568510055542,0.0,0.0034024976193904877,1053,1763260248.249911,,77696,0.42808228731155396
0.0009355304064229131,0.0002531489881221205,,0.02068411558866501,475.0,0.015856873244047165,190.8188636302948,0.49477601051330566,0.00390625,0.0022738538682460785,1058,1763260249.2901936,,78208,-0.8126192092895508
0.001589532825164497,0.00025161291705444455,,-0.01390150934457779,476.0,0.0031531862914562225,195.86373090744019,0.4449578821659088,0.00390625,0.001519346609711647,1083,1763260254.3350608,,80768,-1.9025146961212158
0.003932898864150047,0.00025115208700299263,,-0.005865350365638733,476.0,-0.0038891704753041267,197.37346577644348,0.4470950663089752,0.0,0.000759330578148365,1091,1763260255.8447957,,81536,-1.8177804946899414
0.0002410940214758739,0.0002502304269000888,,-0.0008101044222712517,477.0,0.0004536230117082596,200.31331491470337,0.41242438554763794,0.0,0.0003589075058698654,1106,1763260258.7846448,,83072,0.19445031881332397
,,500.0,,,,202.06874680519104,,,,1118,1763260260.5400767,500.0,84300,
0.004578673280775547,0.000249078351771459,,-0.005686379969120026,481.0,-0.001020834781229496,202.90322542190552,0.5354057550430298,0.0,0.0003726193681359291,1125,1763260261.3745553,,84992,0.22706806659698486
,,500.0,,,,203.792147397995,,,,1133,1763260262.2634773,500.0,85800,
0.00421125115826726,0.00024784947163425386,,-0.01335936039686203,484.0,0.003698507323861122,205.90009450912476,0.3825148642063141,0.0,0.0014150887727737427,1145,1763260264.3714244,,87040,0.45663291215896606
0.0038736294955015182,0.00024669739650562406,,-0.009362809360027313,486.0,0.020767919719219208,209.20757699012756,0.4919738471508026,0.0,0.0016216794028878212,1164,1763260267.678907,,88960,0.01574099063873291
0.0005426384159363806,0.00024662059149704874,,-0.0007466096431016922,486.0,-8.667074143886566e-05,209.4284484386444,0.44149288535118103,0.0,0.0005316827446222305,1165,1763260267.8997784,,89088,-0.20610535144805908
,,500.0,,,,210.60772037506104,,,,1172,1763260269.0790503,500.0,89800,
0.00018820830155164003,0.00024562212638556957,,0.0004017353057861328,488.0,-4.20399010181427e-06,212.3731918334961,0.42355120182037354,0.0,5.830824375152588e-05,1181,1763260270.8445218,,90752,0.06625896692276001
0.0002581057487986982,0.0002453149063512683,,0.009821832180023193,488.0,0.018589911982417107,213.05515933036804,0.45594051480293274,0.005859375,0.0030679088085889816,1186,1763260271.5264893,,91264,0.5264960527420044
,,500.0,,,,214.23036766052246,,,,1197,1763260272.7016976,500.0,92300,
0.00038343167398124933,0.00024362519616261125,,-0.00564420223236084,494.0,-0.003738006576895714,216.5305733680725,0.4708006680011749,0.0,0.0007101651281118393,1213,1763260275.0019033,,94080,0.04976385831832886
,,500.0,,,,216.80944681167603,,,,1215,1763260275.2807767,500.0,94300,
184.1439971923828,0.00024285714607685804,,0.0007338784635066986,495.0,-0.0014563947916030884,218.92477011680603,0.49853336811065674,0.0,0.0005448684096336365,1226,1763260277.3961,,95360,2.0802021026611328e-05
,,500.0,,,,219.62845826148987,,,,1230,1763260278.0997882,500.0,95800,
0.00027634843718260527,0.0002423195110168308,,-0.01500353217124939,495.0,0.026794804260134697,220.47672367095947,0.4388267695903778,0.005859375,0.0025947634130716324,1234,1763260278.9480536,,96256,-0.521584153175354
,,500.0,,,,222.49844408035278,,,,1245,1763260280.969774,500.0,97300,
,,500.0,,,,224.53856110572815,,,,1254,1763260283.009891,500.0,98300,
0.0061246734112501144,0.00024009216576814651,,-0.016787812113761902,499.0,0.017027076333761215,226.65930891036987,0.541995108127594,0.005859375,0.003900112584233284,1271,1763260285.1306388,,99968,0.1855676770210266
,,500.0,,,,230.0053014755249,,,,1299,1763260288.4766314,500.0,102800,
0.0003387275501154363,0.00023594469530507922,,-0.0030364394187927246,508.0,-0.0012854700908064842,236.51064610481262,0.5357324481010437,0.0,0.00036623235791921616,1339,1763260294.981976,,106880,-0.35756564140319824
,,500.0,,,,236.56090831756592,,,,1340,1763260295.0322382,500.0,106951,
0.0002378896897425875,0.00023533025523647666,,-0.0016452819108963013,509.0,0.0019023334607481956,238.33193111419678,0.5459153652191162,0.0,0.0006834091618657112,1349,1763260296.803261,,107904,-0.3118150234222412
0.0003534008574206382,0.00023448540014214814,,0.0018917657434940338,509.0,0.006185402162373066,240.80281019210815,0.5188526511192322,0.0,0.00038612913340330124,1363,1763260299.2741401,,109312,-0.19470655918121338
,,500.0,,,,241.08894729614258,,,,1365,1763260299.5602772,500.0,109451,
360.7859802246094,0.00023410138965118676,,-0.006972761824727058,510.0,-0.001931183971464634,241.9971902370453,0.5243852138519287,0.0,0.00023234914988279343,1370,1763260300.4685202,,109952,-0.00014090538024902344
211.37832641601562,0.0002334869495825842,,0.0016409680247306824,510.0,0.0007325243204832077,243.77599787712097,0.46525657176971436,0.0,8.102692663669586e-05,1380,1763260302.2473278,,110976,-0.00027370452880859375
0.005752240773290396,0.00023341014457400888,,-0.0007993616163730621,510.0,0.0014731865376234055,243.96043634414673,0.47152984142303467,0.0,3.707781434059143e-05,1381,1763260302.4317663,,111104,0.05443471670150757
0.00020317864255048335,0.00023294931452255696,,-0.024922944605350494,512.0,0.0064151352271437645,244.85647344589233,0.5222905278205872,0.0,0.000991486944258213,1388,1763260303.3278034,,111872,-0.014585733413696289
232.06427001953125,0.00023256528947968036,,0.0036403611302375793,513.0,-0.004572791047394276,245.6409604549408,0.4009954333305359,0.00390625,0.002992468886077404,1395,1763260304.1122904,,112512,-0.00012028217315673828
,,500.0,,,,246.11211895942688,,,,1399,1763260304.583449,500.0,112951,
416.5279541015625,0.0002319508494110778,,-0.0013298392295837402,514.0,0.0047772591933608055,246.90100026130676,0.47862499952316284,0.0,0.00036943424493074417,1405,1763260305.3723302,,113536,0.00014263391494750977
0.00023046357091516256,0.00023026113922242075,,-0.00927039235830307,520.0,-0.0025713322684168816,250.14648604393005,0.48561933636665344,0.0,0.0009766435250639915,1432,1763260308.617816,,116352,-0.1898331642150879
,,500.0,,,,250.19367456436157,,,,1433,1763260308.6650045,500.0,116451,
0.0031612138263881207,0.000228878649068065,,-0.0025787577033042908,524.0,0.0034421272575855255,252.81793570518494,0.49916332960128784,0.0,0.00019307062029838562,1455,1763260311.2892656,,118656,-0.06739223003387451
0.00044288390199653804,0.00022880184405948967,,-0.010656170547008514,524.0,-0.0015220753848552704,252.97567415237427,0.5198239684104919,0.0,0.0007833875715732574,1456,1763260311.447004,,118784,-0.09444034099578857
8.13100123195909e-05,0.00022872503905091435,,-0.012345626950263977,524.0,-0.007855018600821495,253.1332471370697,0.5181254744529724,0.00390625,0.004234110005199909,1457,1763260311.604577,,118912,-0.026599645614624023
0.004769866354763508,0.00022526881366502494,,-0.0012389346957206726,533.0,-0.003108288161456585,260.2963480949402,0.5090341567993164,0.0,2.9836781322956085e-05,1514,1763260318.767678,,124672,0.15148574113845825
0.0001680798304732889,0.00022480798361357301,,0.000638255849480629,533.0,-0.0010610716417431831,261.56146812438965,0.5654785633087158,0.0,0.00024489033967256546,1521,1763260320.032798,,125440,-0.04995369911193848
0.00032877500052563846,0.00022457756858784705,,-0.0075880177319049835,533.0,0.004027322866022587,262.22146248817444,0.500532329082489,0.0,0.0018083536997437477,1525,1763260320.6927924,,125824,-0.6697107553482056
315.78802490234375,0.00022450076357927173,,-0.003435090184211731,533.0,-0.001568715088069439,262.47689414024353,0.5398913025856018,0.0,0.00046312157064676285,1527,1763260320.948224,,125952,-3.1948089599609375e-05
0.00047353870468214154,0.0002243471535621211,,0.0036191828548908234,533.0,0.0018108421936631203,262.88899517059326,0.5266931056976318,0.0,0.00020327139645814896,1529,1763260321.360325,,126208,-0.02231001853942871
0.0008873504120856524,0.0002240399335278198,,-0.008408963680267334,533.0,-0.0019183019176125526,263.7326376438141,0.5789544582366943,0.001953125,0.0014071566984057426,1534,1763260322.2039676,,126720,0.019697070121765137
,,500.0,,,,263.98963832855225,,,,1536,1763260322.4609683,500.0,126951,
0.004692230839282274,0.00022350229846779257,,-0.0058894045650959015,534.0,-0.009333700872957706,265.305837392807,0.4928603172302246,0.001953125,0.0018834369257092476,1543,1763260323.7771673,,127616,-0.49927353858947754
0.0002745463280007243,0.00022334868845064193,,-0.025995008647441864,534.0,0.0048195477575063705,265.71529746055603,0.5874979496002197,0.0,0.0034941844642162323,1545,1763260324.1866274,,127872,-0.19617462158203125
,,500.0,,,,265.76275157928467,,,,1546,1763260324.2340815,500.0,127951,
0.005738255567848682,0.00022258063836488873,,0.001104004681110382,534.0,0.014949795790016651,267.88953709602356,0.5212032198905945,0.0,0.0007758205756545067,1558,1763260326.360867,,129152,0.016410529613494873
0.0007048122934065759,0.0002225038333563134,,-0.014351310208439827,534.0,-0.002693725749850273,268.07257747650146,0.4883520007133484,0.02734375,0.006067285314202309,1559,1763260326.5439074,,129280,-0.0042504072189331055
0.004958710633218288,0.00022227341833058745,,0.006539180874824524,535.0,0.008915056474506855,268.55604791641235,0.5180662870407104,0.0,0.0012392336502671242,1563,1763260327.0273778,,129664,0.03204852342605591
,,500.0,,,,268.8681364059448,,,,1566,1763260327.3394663,500.0,129951,
0.0005661002942360938,0.00022073733271099627,,-0.005779515951871872,537.0,0.003800470381975174,272.36095118522644,0.5647969245910645,0.0,0.0014612674713134766,1588,1763260330.832281,,132224,0.03914952278137207
0.0002441309334244579,0.00022066052770242095,,-0.015651710331439972,537.0,0.005236285738646984,272.55656456947327,0.5132483243942261,0.013671875,0.00469244085252285,1589,1763260331.0278945,,132352,-0.2620164155960083
0.006271195597946644,0.00022019969765096903,,0.007032372057437897,538.0,0.02123834937810898,273.8176233768463,0.5379632115364075,0.0,0.0014061378315091133,1597,1763260332.2889533,,133120,0.15398794412612915
0.006930684670805931,0.00021958525758236647,,-0.009258456528186798,539.0,0.04177973419427872,274.9966530799866,0.4779711067676544,0.0,0.0034882528707385063,1607,1763260333.467983,,134144,0.2084825038909912
0.00014516222290694714,0.00021943164756521583,,-0.015934698283672333,540.0,0.019300831481814384,275.2890567779541,0.5273431539535522,0.001953125,0.0018917731940746307,1609,1763260333.7603867,,134400,-0.4568079710006714
,,500.0,,,,275.32189321517944,,,,1610,1763260333.7932231,500.0,134451,
0.006093163974583149,0.00021927803754806519,,-0.0014886874705553055,540.0,-0.0030227601528167725,275.61320972442627,0.49291545152664185,0.0,0.00011603720486164093,1612,1763260334.0845397,,134656,0.28805679082870483
286.9721984863281,0.00021843318245373666,,0.0015910454094409943,542.0,0.005216101184487343,277.2213933467865,0.5866563320159912,0.0,0.0006309561431407928,1626,1763260335.6927233,,136064,0.00013065338134765625
0.00024330217274837196,0.00021766513236798346,,-0.00947820395231247,544.0,0.012618922628462315,278.70417618751526,0.5916682481765747,0.0,0.0026132995262742043,1638,1763260337.175506,,137344,0.02269083261489868
0.00010768506035674363,0.00021466973703354597,,-0.01984284073114395,548.0,0.020308945327997208,286.1237576007843,0.55884850025177,0.005859375,0.0022047478705644608,1687,1763260344.5950875,,142336,-0.011894822120666504
0.0002477747621014714,0.00021190475672483444,,-0.0012093335390090942,552.0,-0.006756071001291275,292.1411180496216,0.5725736618041992,0.0,0.0019472967833280563,1732,1763260350.612448,,146944,-0.2666015625
0.0006895837723277509,0.00021113670663908124,,0.002728145569562912,553.0,0.008689815178513527,294.0894522666931,0.593021035194397,0.001953125,0.0006823074072599411,1745,1763260352.5607822,,148224,0.009077727794647217
,,500.0,,,,295.3009548187256,,,,1753,1763260353.7722847,500.0,148985,
277.8746643066406,0.00021067587658762932,,-0.0013707056641578674,553.0,-0.006358492188155651,295.47080659866333,0.5854330658912659,0.0,0.0003450540825724602,1754,1763260353.9421365,,148992,-2.467632293701172e-05
0.00618100306019187,0.00020998464606236666,,-0.009123191237449646,554.0,-0.012189744971692562,297.3006110191345,0.5540293455123901,0.0,0.0013679815456271172,1765,1763260355.771941,,150144,-0.030564069747924805
,,500.0,,,,297.77453994750977,,,,1768,1763260356.2458699,500.0,150444,
0.00023782459902577102,0.00020921659597661346,,0.00022555887699127197,555.0,-0.00480241421610117,298.963675737381,0.5056632161140442,0.0,0.0007430100813508034,1777,1763260357.4350057,,151424,-0.36701762676239014
412.75335693359375,0.00020675883570220321,,0.0009206123650074005,561.0,0.002717001363635063,303.3882215023041,0.5341424345970154,0.0,0.00010399892926216125,1818,1763260361.8595514,,155520,-1.8477439880371094e-05
363.9084167480469,0.00020645161566790193,,0.0022799111902713776,562.0,-0.0023223059251904488,303.9367365837097,0.4780498147010803,0.0,0.00043494347482919693,1823,1763260362.4080665,,156032,-0.00023496150970458984
,,500.0,,,,307.2729067802429,,,,1851,1763260365.7442367,500.0,158944,
,,500.0,,,,308.0966122150421,,,,1856,1763260366.5679421,500.0,159444,
0.005019446834921837,0.0002036866353591904,,-0.00256386399269104,566.0,1.6391277313232422e-07,309.88340306282043,0.5799345970153809,0.0,0.00025405362248420715,1868,1763260368.354733,,160640,-0.02570211887359619
0.005967604927718639,0.00020337941532488912,,0.0056638214737176895,566.0,-0.0011482611298561096,310.7344899177551,0.5550020337104797,0.0,0.0013049915432929993,1873,1763260369.2058198,,161152,0.09773945808410645
389.80218505859375,0.00020314900029916316,,-0.006085250526666641,567.0,-0.01175729651004076,311.13964462280273,0.5529206395149231,0.0,0.0007773535326123238,1877,1763260369.6109746,,161536,-7.712841033935547e-05
,,500.0,,,,312.13909816741943,,,,1886,1763260370.610428,500.0,162444,
124.63126373291016,0.00020199692517053336,,-0.00030884891748428345,569.0,0.00197567418217659,313.6133072376251,0.5862789154052734,0.0,4.451163113117218e-05,1895,1763260372.0846372,,163456,-8.344650268554688e-06
0.0002879197127185762,0.00020145929011050612,,0.007640734314918518,569.0,0.006979440338909626,315.2091293334961,0.45492225885391235,0.0,0.0010582609102129936,1903,1763260373.6804593,,164352,-0.04534649848937988
0.0056205992586910725,0.00020130568009335548,,-0.008849713951349258,569.0,0.008061151951551437,315.6589114665985,0.534470796585083,0.0,0.0006403103470802307,1906,1763260374.1302414,,164608,0.07294440269470215
