losses/entropy,global_step,charts/episodic_return,losses/explained_variance,charts/learning_rate,charts/SPS,_timestamp,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,losses/value_loss,_runtime,losses/clipfrac,losses/policy_loss,_step
,0,,,,,1763260083.2765634,,,,,24.843445301055908,,,0
0.6924816370010376,128,,-0.0031239986419677734,0.0003000000142492354,748.0,1763260084.9751322,0.0006023645401000977,0.006959723308682442,,37.33476257324219,26.542014122009277,0.0,-0.014532370492815971,7
,708,42.0,,,,1763260085.4936955,,,42.0,,27.060577392578125,,,33
0.6870866417884827,896,,-0.006779193878173828,0.00029953918419778347,968.0,1763260085.7291794,6.256625056266785e-06,-0.0001988634467124939,,64.44271087646484,27.296061277389526,0.0,-0.0004996061325073242,41
,1122,60.0,,,,1763260085.8848937,,,60.0,,27.451775550842285,,,47
,1567,106.0,,,,1763260086.5339162,,,106.0,,28.1007981300354,,,64
,1843,20.0,,,,1763260087.0868852,,,20.0,,28.653767108917236,,,74
,1990,46.0,,,,1763260087.2824228,,,46.0,,28.849304676055908,,,77
0.6661720871925354,2304,,-0.017128825187683105,0.00029869432910345495,732.0,1763260087.9506397,0.00021765287965536118,0.0052300309762358665,,75.6733169555664,29.517521619796753,0.0,-0.0003504455089569092,88
0.5979064702987671,2688,,-0.014564037322998047,0.000298463914077729,679.0,1763260088.7582524,0.001730695366859436,0.014105582609772682,,30.318359375,30.32513427734375,0.0,-0.018904857337474823,102
,2754,32.0,,,,1763260088.8280075,,,32.0,,30.39488935470581,,,104
0.5871909856796265,4480,,0.3225358724594116,0.0002973886439576745,667.0,1763260091.5178547,0.0002277325838804245,0.003355393186211586,,79.08663940429688,33.084736585617065,0.0,-0.002137809991836548,133
0.5735225081443787,5376,,0.20420318841934204,0.00029685100889764726,624.0,1763260093.4117274,0.0006259465590119362,-0.00419278722256422,,45.6170768737793,34.97860932350159,0.0,0.00795837864279747,147
,5620,260.0,,,,1763260093.707991,,,260.0,,35.27487277984619,,,149
0.61017906665802,5632,,0.02618032693862915,0.0002966973988804966,617.0,1763260093.9227993,0.00025766901671886444,-0.012012859806418419,,91.99595642089844,35.489681243896484,0.0,0.0006415247917175293,150
0.5814095735549927,6016,,0.23085492849349976,0.00029646698385477066,600.0,1763260094.8154812,0.004272378981113434,0.022371038794517517,,65.68177795410156,36.382363080978394,0.0078125,-0.0485396683216095,155
,6180,235.0,,,,1763260095.1292799,,,235.0,,36.69616174697876,,,157
,7300,169.0,,,,1763260098.4985673,,,169.0,,40.065449237823486,,,172
,8553,75.0,,,,1763260101.9549706,,,75.0,,43.52185249328613,,,195
,8900,77.0,,,,1763260102.9290125,,,77.0,,44.49589443206787,,,203
,9512,170.0,,,,1763260104.41093,,,170.0,,45.97781181335449,,,213
,9718,84.0,,,,1763260104.849746,,,84.0,,46.41662788391113,,,217
,10314,118.0,,,,1763260106.401901,,,118.0,,47.968782901763916,,,228
,10563,91.0,,,,1763260106.994965,,,91.0,,48.56184697151184,,,233
,11677,172.0,,,,1763260109.678763,,,172.0,,51.24564480781555,,,251
,12213,235.0,,,,1763260110.8513775,,,235.0,,52.418259382247925,,,259
