charts/SPS,losses/explained_variance,losses/value_loss,_step,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/clipfrac,_runtime,global_step,losses/policy_loss,losses/old_approx_kl,losses/entropy,charts/learning_rate,_timestamp
487.0,0.2240762710571289,113.76317596435547,530,,0.0007023271173238754,,0.0,98.60256385803223,35200,-0.01816651225090027,-0.0013575833290815353,0.552041232585907,0.00027895544189959764,1763260157.037979
,,,539,218.0,,218.0,,99.91796255111694,35871,,,,,1763260158.3533776
487.0,0.02906244993209839,66.99199676513672,547,,1.6248784959316254e-05,,0.0,101.2312343120575,36480,0.002982908859848976,0.00010739173740148544,0.6179581880569458,0.00027818739181384444,1763260159.6666493
487.0,0.007174849510192871,283.6455078125,555,,0.00025274790823459625,,0.0,102.5003719329834,37120,0.006021545268595219,-0.007166536524891853,0.5140994191169739,0.00027780336677096784,1763260160.935787
487.0,0.3643576502799988,9.908256530761719,559,,0.0016778716817498207,,0.0,103.27690696716309,37504,-0.005037318915128708,0.0198589526116848,0.6034241914749146,0.0002775729517452419,1763260161.712322
,,,568,249.0,,249.0,,104.80261325836182,38379,,,,,1763260163.2380283
488.0,0.03430384397506714,7.773533821105957,595,,2.278760075569153e-05,,0.0,109.63689351081848,40704,-0.0008470974862575531,-0.0001735333353281021,0.5619460940361023,0.00027565285563468933,1763260168.0723085
489.0,-0.14887547492980957,8.732674598693848,612,,0.0002757944166660309,,0.0,112.67455434799194,42240,-0.0018380339024588466,0.0002369508147239685,0.5342148542404175,0.0002747311955317855,1763260171.1099694
489.0,0.9681916832923889,14.628859519958496,614,,0.002422068268060684,,0.001953125,112.9468264579773,42368,-0.0034649204462766647,-0.005173243582248688,0.5835347771644592,0.00027465439052321017,1763260171.3822415
489.0,0.930767297744751,34.3800163269043,630,,0.0024511683732271194,,0.0,115.83376860618591,43776,-0.019366830587387085,0.007737107574939728,0.5934852361679077,0.00027380953542888165,1763260174.2691836
,,,636,469.0,,469.0,,116.87377452850342,44406,,,,,1763260175.3091896
489.0,0.0009045600891113281,134.83901977539062,640,,0.00012629292905330658,,0.0,117.61852884292603,44672,0.0009404048323631287,0.004403870552778244,0.5548563003540039,0.0002732719003688544,1763260176.0539439
,,,650,500.0,,500.0,,119.4183759689331,45663,,,,,1763260177.853791
489.0,-6.330013275146484e-05,353.7125244140625,664,,5.5283308029174805e-05,,0.0,121.83286142349243,46720,-0.0023596473038196564,-0.001081898808479309,0.5094274282455444,0.0002720430202316493,1763260180.2682765
490.0,0.004071593284606934,111.90072631835938,684,,0.00037546735256910324,,0.0,125.5813570022583,48640,-0.00405304878950119,-0.008240376599133015,0.5200015306472778,0.0002708909451030195,1763260184.016772
490.0,0.9768209457397461,8.900118827819824,689,,0.0006882529705762863,,0.0,126.56512880325317,49152,-0.005485281348228455,0.0036976616829633713,0.5368843674659729,0.0002705837250687182,1763260185.0005438
490.0,0.13995909690856934,2.9240760803222656,698,,0.00018137600272893906,,0.0,128.16893434524536,49920,-0.007717730477452278,0.0026070913299918175,0.5602788329124451,0.0002701228950172663,1763260186.6043494
490.0,0.012554705142974854,2.6277294158935547,702,,5.156267434358597e-05,,0.0,128.91778469085693,50304,0.002064082771539688,0.0040780724957585335,0.5135447978973389,0.0002698924799915403,1763260187.3531997
490.0,0.8328751921653748,4.128093242645264,707,,0.0004974259063601494,,0.0,129.90333795547485,50816,-0.00530853308737278,0.006448748521506786,0.5904774069786072,0.00026958525995723903,1763260188.338753
,,,729,500.0,,500.0,,134.04610443115234,52932,,,,,1763260192.4815195
491.0,0.061575472354888916,0.7945495843887329,757,,6.31408765912056e-05,,0.0,139.8321270942688,55808,-0.00025992467999458313,0.0012031113728880882,0.4777202606201172,0.00026658986462280154,1763260198.2675421
492.0,0.006015658378601074,0.7279104590415955,762,,0.002923373132944107,,0.0,140.81510591506958,56320,-0.008081953972578049,0.0035620108246803284,0.520338773727417,0.00026628264458850026,1763260199.250521
,,,767,353.0,,353.0,,141.58990216255188,56785,,,,,1763260200.0253172
,,,775,375.0,,375.0,,143.11635208129883,57501,,,,,1763260201.551767
492.0,0.4641783833503723,0.28957951068878174,788,,0.00048325955867767334,,0.0,145.87002515792847,58880,0.00874665193259716,0.0011553317308425903,0.4959494173526764,0.00026474654441699386,1763260204.3054402
492.0,-0.001621246337890625,0.14324015378952026,797,,0.0001785866916179657,,0.0,147.62161493301392,59776,-0.0009867064654827118,0.0015165619552135468,0.497818261384964,0.0002642089093569666,1763260206.05703
493.0,0.38318610191345215,0.14648595452308655,806,,1.0666437447071075e-05,,0.0,149.3540689945221,60672,0.0013236254453659058,-0.0007838131859898567,0.4738308787345886,0.0002636712742969394,1763260207.789484
493.0,0.0014031529426574707,647.7380981445312,815,,0.00013730395585298538,,0.0,151.04179763793945,61568,-0.005824722349643707,0.002887970767915249,0.5590696930885315,0.00026313363923691213,1763260209.4772127
,,,863,500.0,,500.0,,160.02865052223206,66231,,,,,1763260218.4640656
495.0,0.00014007091522216797,580.5563354492188,872,,0.0008526453748345375,,0.0,161.70801901817322,67072,-0.0032106349244713783,0.0017565106973052025,0.4425986707210541,0.00025983102386817336,1763260220.143434
,,,876,500.0,,500.0,,162.42768096923828,67517,,,,,1763260220.863096
496.0,-0.00028645992279052734,280.3934631347656,916,,2.8312206268310547e-05,,0.0,170.48264241218567,71552,0.00040783733129501343,-0.0011246763169765472,0.4775240421295166,0.00025714284856803715,1763260228.9180574
496.0,0.241596519947052,0.0004100091755390167,922,,0.0007692771032452583,,0.0,171.7038516998291,72192,-0.0041229985654354095,0.0032699191942811012,0.4109291732311249,0.00025675882352516055,1763260230.1392667
496.0,0.0035783052444458008,216.78591918945312,930,,0.0005941260606050491,,0.0,173.22764921188354,72960,-0.016955051571130753,0.0018763970583677292,0.46538278460502625,0.00025629799347370863,1763260231.6630642
,,,938,500.0,,500.0,,174.71269035339355,73837,,,,,1763260233.1481054
497.0,0.5754309892654419,0.0033487065229564905,941,,0.010308324359357357,,0.029296875,175.44876050949097,74112,-0.03197774291038513,0.00824364461004734,0.4914563298225403,0.00025560674839653075,1763260233.8841755
,,,942,289.0,,289.0,,175.4982876777649,74126,,,,,1763260233.9337027
497.0,0.0008938312530517578,0.0035112136974930763,948,,0.0017701424658298492,,0.00390625,176.71967339515686,74752,-0.007771529257297516,0.009568654000759125,0.5111160278320312,0.00025522272335365415,1763260235.1550884
498.0,-0.7213642597198486,0.0011075149523094296,974,,0.003200412727892399,,0.00390625,181.86092066764832,77440,-0.0031782351434230804,-0.007228120230138302,0.5030575394630432,0.0002536098181735724,1763260240.2963357
498.0,0.001335740089416504,0.0003160638443659991,980,,7.13905319571495e-05,,0.0,182.89107656478882,77952,0.0015972862020134926,-0.0017499467357993126,0.4800216257572174,0.00025330259813927114,1763260241.3264916
498.0,-0.28020572662353516,0.0026170341297984123,985,,0.00040147826075553894,,0.0,183.9030420780182,78464,-0.005305331200361252,0.00023740902543067932,0.4781779944896698,0.00025299537810496986,1763260242.338457
498.0,-0.1692413091659546,0.002825321163982153,995,,2.95126810669899e-05,,0.0,185.90479111671448,79488,-0.0022610221058130264,-0.0009236698970198631,0.49286746978759766,0.0002523809380363673,1763260244.3402061
498.0,-0.10559821128845215,0.0006914031109772623,997,,0.0027960017323493958,,0.013671875,186.36991357803345,79744,-0.022782742977142334,0.014651445671916008,0.4430592358112335,0.00025222732801921666,1763260244.8053286
498.0,0.04210931062698364,0.005615518428385258,1015,,0.001479235477745533,,0.0,189.78739547729492,81536,-0.009143024682998657,0.018309948965907097,0.4590347111225128,0.00025115208700299263,1763260248.2228105
499.0,-0.021126985549926758,0.004232693463563919,1020,,0.001078518107533455,,0.0,190.75589060783386,82048,-0.005144249647855759,0.011876964941620827,0.45659321546554565,0.00025084486696869135,1763260249.1913056
499.0,0.14128220081329346,0.000351697817677632,1031,,0.0004811445251107216,,0.0,192.97175931930542,83200,-0.009584970772266388,0.00840026792138815,0.4408237934112549,0.00025015362189151347,1763260251.4071743
499.0,-0.03598439693450928,0.0004577403888106346,1050,,0.01145996619015932,,0.015625,196.75021243095398,85120,-0.02057703398168087,0.007314940914511681,0.49799463152885437,0.00024900154676288366,1763260255.1856275
499.0,-5.424022674560547e-05,601.9722900390625,1053,,0.0007466385141015053,,0.0,197.28284311294556,85376,-0.007723033428192139,-0.003921841271221638,0.49507591128349304,0.000248847936745733,1763260255.7182581
,,,1058,55.0,,55.0,,198.09104084968567,85880,,,,,1763260256.5264559
502.0,-0.5361723899841309,0.000926055945456028,1083,,0.0025921454653143883,,0.0,202.19604754447937,88320,0.001467280089855194,0.023528195917606354,0.5084324479103088,0.00024708142154850066,1763260260.6314626
504.0,8.279085159301758e-05,417.4615173339844,1091,,0.00013702549040317535,,0.0,203.08138823509216,89088,0.005734618753194809,-6.08246773481369e-05,0.48996487259864807,0.00024662059149704874,1763260261.5168033
506.0,3.17692756652832e-05,502.15557861328125,1106,,0.00014406349509954453,,0.0,205.24109935760498,90624,-0.0021201595664024353,-0.0018527889624238014,0.5173367857933044,0.0002456989313941449,1763260263.6765144
507.0,0.3113361597061157,0.0002395386982243508,1118,,0.0025901654735207558,,0.00390625,207.39148879051208,91904,-0.01993347704410553,-0.00982626248151064,0.4850849211215973,0.0002449308813083917,1763260265.8269038
507.0,-0.0002244710922241211,276.2808532714844,1125,,0.0019954899325966835,,0.0,208.5497691631317,92544,-0.006625235080718994,-0.005753193981945515,0.5129745006561279,0.0002445468562655151,1763260266.9851842
508.0,-0.9302465915679932,0.0001427860406693071,1133,,0.00012668408453464508,,0.0,210.02761602401733,93440,-0.0022934451699256897,0.002440165728330612,0.4648936688899994,0.00024400922120548785,1763260268.463031
509.0,-0.00018608570098876953,147.89959716796875,1145,,0.001103152520954609,,0.0,212.0746555328369,94592,-0.0011787805706262589,-0.01026239525526762,0.5294439196586609,0.00024331797612830997,1763260270.5100706
,,,1164,500.0,,500.0,,214.45408964157104,96524,,,,,1763260272.8895047
513.0,9.137392044067383e-05,325.4549255371094,1165,,0.0011263694614171982,,0.0,214.5764856338501,96640,0.010437283664941788,0.0034365523606538773,0.5131362676620483,0.00024208909599110484,1763260273.0119007
,,,1172,500.0,,500.0,,215.50612664222717,97524,,,,,1763260273.9415417
515.0,0.15912258625030518,0.0002469881437718868,1181,,0.0004994338378310204,,0.0,217.14025044441223,98432,0.004986703395843506,0.01621474325656891,0.5000903606414795,0.00024101382587105036,1763260275.5756655
516.0,0.013209939002990723,0.00011914009519387037,1186,,0.0012646978721022606,,0.0,218.06811547279358,98944,-0.018904350697994232,-0.00616383645683527,0.5269542932510376,0.00024070660583674908,1763260276.5035305
,,,1197,500.0,,500.0,,219.8898904323578,100024,,,,,1763260278.3253055
516.0,-3.6835670471191406e-05,111.42283630371094,1213,,0.0005191611126065254,,0.0,223.29403853416443,101632,-0.0019149333238601685,-0.0056838179007172585,0.5462347865104675,0.00023909370065666735,1763260281.7294536
516.0,-0.5064963102340698,0.0005776775069534779,1215,,0.002978965640068054,,0.001953125,223.75788807868958,101888,-0.0018211901187896729,-0.023867756128311157,0.5175902843475342,0.0002389400906395167,1763260282.193303
,,,1226,500.0,,500.0,,225.37953281402588,103024,,,,,1763260283.8149478
518.0,-0.7788729667663574,0.0002117733092745766,1230,,0.0007005175575613976,,0.0,225.8775999546051,103424,-0.00923776626586914,0.003665887750685215,0.45115864276885986,0.00023801843053661287,1763260284.313015
519.0,0.2709028720855713,0.0006210898864082992,1234,,0.0024510519579052925,,0.00390625,226.35494685173035,103808,-0.012002095580101013,0.01496516726911068,0.5322162508964539,0.0002377880155108869,1763260284.790362
521.0,-4.577669620513916,0.00020521844271570444,1245,,0.0026443442329764366,,0.064453125,227.7172429561615,104960,-0.035063087940216064,0.00013796892017126083,0.45160770416259766,0.00023709677043370903,1763260286.152658
522.0,0.15345150232315063,0.000772847852203995,1254,,0.0038097109645605087,,0.001953125,228.77430295944214,105856,0.005605343729257584,0.011459998786449432,0.5298481583595276,0.00023655913537368178,1763260287.209718
,,,1271,500.0,,500.0,,230.70177578926086,107524,,,,,1763260289.1371908
528.0,0.19364088773727417,0.0001426870294380933,1299,,0.000329434871673584,,0.0,235.33075141906738,110464,0.0014561153948307037,0.005628226324915886,0.41000497341156006,0.00023379416961688548,1763260293.7661664
530.0,0.0002841353416442871,193.07228088378906,1339,,0.0004920866340398788,,0.0,242.48808193206787,114560,0.004372222349047661,0.0007721800357103348,0.43985486030578613,0.00023133640934247524,1763260300.923497
530.0,0.20193785429000854,0.00315317464992404,1340,,7.314234972000122e-05,,0.0,242.7125425338745,114688,-0.0006703566759824753,-0.0008421372622251511,0.385915070772171,0.00023125960433389992,1763260301.1479576
530.0,0.00010251998901367188,313.31591796875,1349,,0.0002530207857489586,,0.0,244.1156463623047,115584,-0.0006273528560996056,0.003618731163442135,0.42089515924453735,0.00023072196927387267,1763260302.5510614
,,,1363,500.0,,500.0,,245.76631879806519,117024,,,,,1763260304.2017338
533.0,-0.2960580587387085,0.004798166919499636,1365,,0.0022933389991521835,,0.0,246.03914403915405,117248,0.006223518401384354,-0.016863979399204254,0.5180951356887817,0.0002297235041623935,1763260304.474559
534.0,0.018358707427978516,0.005131811834871769,1370,,0.0004748338833451271,,0.0,246.67650961875916,117760,-0.0032193511724472046,0.0013771159574389458,0.5147866010665894,0.00022941628412809223,1763260305.1119246
536.0,0.04461437463760376,0.0003809439658652991,1380,,0.0008146241307258606,,0.0,247.91095900535583,118784,-0.017063923180103302,0.0027033183723688126,0.43004631996154785,0.00022880184405948967,1763260306.346374
536.0,-0.10695874691009521,8.610742224846035e-05,1381,,0.00032937247306108475,,0.0,248.06815314292908,118912,0.0030039953999221325,-0.007748243398964405,0.4689033627510071,0.00022872503905091435,1763260306.5035682
537.0,-3.0517578125e-05,205.06016540527344,1388,,0.0001423945650458336,,0.0,248.87491846084595,119552,0.00041984766721725464,3.0635856091976166e-05,0.49434202909469604,0.00022834101400803775,1763260307.3103335
538.0,-0.14200866222381592,0.0006692803581245244,1395,,0.0014222534373402596,,0.0,249.74514961242676,120320,-0.003085412085056305,0.010271471925079823,0.4931861460208893,0.00022788018395658582,1763260308.1805646
539.0,0.6691646575927734,0.0057189189828932285,1399,,0.0007421262562274933,,0.0,250.22287106513977,120704,-0.00700005516409874,0.0005029328167438507,0.48448437452316284,0.00022764976893085986,1763260308.658286
540.0,-0.07785558700561523,0.0004953568568453193,1405,,0.000701364129781723,,0.0,250.97461247444153,121344,-0.004289910197257996,0.0066093504428863525,0.46045637130737305,0.00022726574388798326,1763260309.4100275
544.0,-0.0001418590545654297,470.0731506347656,1432,,0.001250498928129673,,0.0,254.2511007785797,124032,-0.0014606863260269165,-0.013199332170188427,0.5475625395774841,0.00022565283870790154,1763260312.6865158
544.0,0.08544594049453735,0.004403626546263695,1433,,0.00038213375955820084,,0.0,254.37353014945984,124160,-0.001477062702178955,0.0002792971208691597,0.5124763250350952,0.00022557603369932622,1763260312.8089452
,,,1455,70.0,,70.0,,256.7448968887329,126265,,,,,1763260315.180312
548.0,0.0026050806045532227,489.21026611328125,1456,,0.0004321793094277382,,0.0,256.877601146698,126336,0.0004710238426923752,-3.795977681875229e-05,0.5230767130851746,0.00022427034855354577,1763260315.3130162
548.0,-1.7687416076660156,0.010516847483813763,1457,,0.0005637574940919876,,0.0,257.0095269680023,126464,0.004487041383981705,-0.008257275447249413,0.5297803282737732,0.00022419354354497045,1763260315.444942
,,,1514,500.0,,500.0,,265.92576813697815,132265,,,,,1763260324.3611832
552.0,-0.18419313430786133,0.004870075266808271,1521,,0.0018786871805787086,,0.00390625,267.16732835769653,132992,0.0005310177803039551,0.002939770929515362,0.4935600757598877,0.00022027650265954435,1763260325.6027434
552.0,0.0001246929168701172,226.9241180419922,1525,,0.0006786612793803215,,0.0,267.7985920906067,133376,0.009525515139102936,-0.005525470711290836,0.5034981369972229,0.0002200460876338184,1763260326.2340071
552.0,-0.0847405195236206,0.0003419663989916444,1527,,0.00025771185755729675,,0.0,268.14205527305603,133632,0.0007153749465942383,0.007497018203139305,0.5038541555404663,0.00021989247761666775,1763260326.5774703
,,,1529,500.0,,500.0,,268.35682463645935,133765,,,,,1763260326.7922397
553.0,-3.2186508178710938e-06,523.0889892578125,1534,,0.0013287374749779701,,0.00390625,268.9655227661133,134272,-0.002410273998975754,-0.005117586813867092,0.5589655041694641,0.00021950845257379115,1763260327.4009378
553.0,-0.10107910633087158,0.00029708235524594784,1536,,0.0009824661538004875,,0.0,269.21268677711487,134528,0.010483033955097198,0.01049536932259798,0.5374688506126404,0.0002193548425566405,1763260327.6481018
,,,1543,500.0,,500.0,,270.14121317863464,135265,,,,,1763260328.5766282
554.0,-0.06390297412872314,0.004644376691430807,1545,,8.380971848964691e-06,,0.0,270.54011631011963,135424,0.0009665191173553467,0.000646631233394146,0.5503907799720764,0.00021881720749661326,1763260328.9755313
554.0,-0.6024980545043945,0.00048522913130000234,1546,,0.006072088144719601,,0.0078125,270.7504503726959,135552,-0.02610725164413452,-0.0012674639001488686,0.5459991097450256,0.00021874040248803794,1763260329.1858654
,,,1558,500.0,,500.0,,272.55726957321167,136765,,,,,1763260330.9926846
555.0,-1.5139579772949219e-05,409.35247802734375,1559,,0.000892900861799717,,0.0,272.73606300354004,136832,0.0053461045026779175,-0.004220767877995968,0.4635075032711029,0.00021797235240228474,1763260331.171478
,,,1563,500.0,,500.0,,273.3534164428711,137265,,,,,1763260331.7888315
555.0,-0.02192056179046631,0.0002981001161970198,1566,,0.00157972052693367,,0.005859375,273.88828444480896,137600,0.015880316495895386,-0.0002691224217414856,0.5452671051025391,0.00021751152235083282,1763260332.3236995
558.0,5.1975250244140625e-05,204.46182250976562,1588,,9.983964264392853e-05,,0.0,276.50815868377686,139776,-0.0015680361539125443,-0.00047587789595127106,0.5622508525848389,0.00021620583720505238,1763260334.9435737
558.0,-0.2606157064437866,0.0043169427663087845,1589,,0.003405786119401455,,0.0078125,276.6495957374573,139904,-0.005167480558156967,-0.0010293694213032722,0.5479274392127991,0.00021612903219647706,1763260335.0850108
,,,1597,500.0,,500.0,,277.57661271095276,140765,,,,,1763260336.0120277
,,,1607,500.0,,500.0,,278.7935149669647,141765,,,,,1763260337.22893
561.0,0.0006521344184875488,0.004118462558835745,1609,,3.14563512802124e-05,,0.0,279.0686049461365,141952,0.001142054796218872,4.8611313104629517e-05,0.5454571843147278,0.00021490015205927193,1763260337.50402
561.0,-0.008054494857788086,0.000555351609364152,1610,,0.001373601146042347,,0.0,279.2069625854492,142080,-0.0005194609984755516,0.003182654269039631,0.526861846446991,0.0002148233470506966,1763260337.6423776
,,,1612,500.0,,500.0,,279.38643884658813,142265,,,,,1763260337.8218539
563.0,-0.08778345584869385,0.00022601369710173458,1626,,0.003643910400569439,,0.0,281.325532913208,143744,-0.003994986414909363,0.019951824098825455,0.417616605758667,0.00021382488193921745,1763260339.760948
564.0,0.03680622577667236,0.003979590721428394,1638,,0.0008413204923272133,,0.0,283.1981928348541,144896,0.0036758556962013245,0.0027395496144890785,0.45125070214271545,0.00021313363686203957,1763260341.6336079
567.0,-0.21802866458892822,0.005823148414492607,1687,,0.0017511658370494843,,0.0,290.4666783809662,149888,-0.01116102933883667,0.0003890320658683777,0.5322125554084778,0.0002101382560795173,1763260348.9020934
570.0,-0.26573634147644043,0.0034913804847747087,1732,,0.00023160316050052643,,0.0,297.02008724212646,154496,0.001383896917104721,0.0027134064584970474,0.5427432060241699,0.00020737327577080578,1763260355.4555023
572.0,-0.2878357172012329,0.003865934442728758,1745,,0.0001281118020415306,,0.0,298.8930084705353,155904,0.0028499849140644073,-0.000725860707461834,0.544005811214447,0.00020652842067647725,1763260357.3284235
,,,1753,500.0,,500.0,,299.7842879295349,156752,,,,,1763260358.219703
573.0,7.534027099609375e-05,429.22564697265625,1754,,4.3268315494060516e-05,,0.0,299.9043393135071,156800,-0.00025025755167007446,0.004149734042584896,0.6078187823295593,0.00020599078561645,1763260358.3397543
574.0,0.16495847702026367,0.005136716179549694,1765,,0.000875827856361866,,0.0,301.2229356765747,157952,-0.01737302541732788,-0.00742510799318552,0.5489133596420288,0.00020529954053927213,1763260359.6583507
574.0,-0.024183988571166992,0.0054130880162119865,1768,,0.00014655105769634247,,0.0,301.5527012348175,158208,0.0019304640591144562,0.000549042597413063,0.6325538754463196,0.0002051459305221215,1763260359.9881163
576.0,-0.18604683876037598,0.00035548119922168553,1777,,0.0027706557884812355,,0.00390625,302.5723829269409,159104,0.005723204463720322,0.01792363077402115,0.5626078248023987,0.00020460829546209425,1763260361.007798
580.0,-0.42499327659606934,0.000173848558915779,1818,,0.002156199887394905,,0.001953125,307.5400869846344,163200,-0.001181839033961296,-0.009262610226869583,0.545846700668335,0.000202150535187684,1763260365.975502
580.0,-0.19974613189697266,0.0001965934206964448,1823,,0.0005321400240063667,,0.0,308.3133511543274,163712,0.0025269687175750732,0.007068888284265995,0.49581390619277954,0.00020184331515338272,1763260366.7487662
583.0,-0.5005009174346924,0.0001581793767400086,1851,,0.00035813916474580765,,0.0,311.97802090644836,166528,0.011865425854921341,0.0033448757603764534,0.5367147922515869,0.00020015360496472567,1763260370.413436
