_runtime,losses/approx_kl,losses/policy_loss,_timestamp,charts/learning_rate,losses/entropy,charts/episodic_length,losses/value_loss,losses/clipfrac,_step,charts/SPS,charts/episodic_return,global_step,losses/old_approx_kl,losses/explained_variance
25.147284984588623,,,1763260083.58202,,,,,,0,,,0,,
26.54017400741577,0.0007753707468509674,-0.015097551047801971,1763260084.974909,0.0003000000142492354,0.6923322677612305,,33.54779052734375,0.0,7,748.0,,128,0.01036195456981659,-0.00276339054107666
27.037725925445557,5.39291650056839e-05,-0.0028422996401786804,1763260085.472461,0.0002996927942149341,0.6869100332260132,,85.8187255859375,0.0,33,957.0,,640,0.0004227329045534134,-0.01164388656616211
27.187276601791382,,,1763260085.6220117,,,47.0,,,41,,47.0,839,,
27.32290744781494,,,1763260085.7576425,,,25.0,,,47,,25.0,1014,,
28.115928888320923,,,1763260086.550664,,,34.0,,,64,,34.0,1596,,
28.882229566574097,0.000775601714849472,-0.0020103901624679565,1763260087.3169646,0.0002988479391206056,0.5920169353485107,,63.7631721496582,0.0,74,814.0,,2048,-0.0008710343390703201,0.13323044776916504
29.07582926750183,0.0009232340380549431,-0.010219493880867958,1763260087.5105643,0.00029877113411203027,0.6166541576385498,,55.97562026977539,0.0,77,803.0,,2176,0.0011813649907708168,0.0711178183555603
29.924408674240112,,,1763260088.3591437,,,124.0,,,88,,124.0,2821,,
31.305363416671753,0.0007453290745615959,0.01123025268316269,1763260089.7400985,0.0002977726690005511,0.5916184782981873,,75.78807067871094,0.0,102,777.0,,3840,-0.006775162182748318,0.12799161672592163
31.46240782737732,3.2602809369564056e-05,-0.0009329915046691895,1763260089.897143,0.0002976958639919758,0.6077655553817749,,77.32637023925781,0.0,104,779.0,,3968,-0.002080748789012432,-0.023441791534423828
35.04159116744995,,,1763260093.4763262,,,137.0,,,133,,137.0,6093,,
37.715532064437866,,,1763260096.1502671,,,252.0,,,147,,252.0,7246,,
38.396875858306885,7.647927850484848e-05,-0.0002270042896270752,1763260096.831611,0.00029562212876044214,0.5732998251914978,,77.93568420410156,0.0,149,617.0,,7424,0.0006037307903170586,-0.0015524625778198242
38.739256858825684,0.0016216877847909927,-0.01864568144083023,1763260097.173992,0.0002955453237518668,0.5786123275756836,,82.59549713134766,0.0,150,610.0,,7552,0.013353869318962097,0.35141879320144653
39.901572942733765,4.200916737318039e-05,1.640431582927704e-05,1763260098.336308,0.00029531490872614086,0.6156089305877686,,52.226287841796875,0.0,155,586.0,,7936,-5.598831921815872e-05,0.3517032265663147
40.304996490478516,,,1763260098.7397316,,,250.0,,,157,,250.0,8143,,
43.14140462875366,4.832632839679718e-06,-0.0007140412926673889,1763260101.5761397,0.00029454685864038765,0.5515264272689819,,68.50220489501953,0.0,172,549.0,,9216,-0.0012139258906245232,0.03300994634628296
46.979944705963135,,,1763260105.4146798,,,192.0,,,195,,192.0,11125,,
48.36948108673096,,,1763260106.8042161,,,163.0,,,203,,163.0,11763,,
50.1312210559845,0.00015661213546991348,-0.006487131118774414,1763260108.565956,0.00029254992841742933,0.595382809638977,,58.37810516357422,0.0,213,527.0,,12544,-0.0023802435025572777,-0.032762885093688965
50.94952630996704,0.00037639960646629333,0.0038343295454978943,1763260109.3842614,0.00029231951339170337,0.5794942378997803,,49.524681091308594,0.0,217,525.0,,12928,0.001412937417626381,0.6886067390441895
53.039079427719116,0.00029552076011896133,0.0034829452633857727,1763260111.4738145,0.0002917050733231008,0.5772444605827332,,54.57633972167969,0.0,228,523.0,,13952,0.0017542457208037376,0.21358293294906616
53.853017807006836,1.4193356037139893e-06,0.0004698336124420166,1763260112.2877529,0.00029147465829737484,0.6232050061225891,,56.04315185546875,0.0,233,521.0,,14336,0.0005556289106607437,-0.010733604431152344
56.63949799537659,0.00108407624065876,0.010273957625031471,1763260115.074233,0.00029070660821162164,0.5863320231437683,,62.21672058105469,0.0,251,515.0,,15616,-0.003187699243426323,0.20941388607025146
57.92815065383911,0.0026228167116642,0.01786082424223423,1763260116.3628857,0.00029032258316874504,0.5930379033088684,,64.60476684570312,0.0,259,515.0,,16256,0.0011646784842014313,0.22065728902816772
58.78058075904846,,,1763260117.2153158,,,154.0,,,265,,154.0,16715,,
59.908963203430176,,,1763260118.3436983,,,142.0,,,273,,142.0,17225,,
60.13506460189819,0.00012559443712234497,-0.0038121119141578674,1763260118.5697997,0.0002897081431001425,0.5389464497566223,,33.485164642333984,0.0,274,511.0,,17280,-0.0013651028275489807,0.5265012383460999
62.57938575744629,,,1763260121.0141208,,,149.0,,,292,,149.0,18464,,
67.29431772232056,0.0006407899782061577,-0.0054247938096523285,1763260125.7290528,0.0002874807978514582,0.5522710680961609,,20.457490921020508,0.0,321,512.0,,20992,0.0028745951130986214,0.8848665356636047
68.0423858165741,6.520189344882965e-06,0.000397365540266037,1763260126.4771209,0.00028725038282573223,0.5769740343093872,,30.711196899414062,0.0,327,512.0,,21376,-0.00015788991004228592,0.8761335611343384
68.48697304725647,0.0010657543316483498,-0.010506682097911835,1763260126.921708,0.0002870967728085816,0.5760687589645386,,18.04022216796875,0.0,330,513.0,,21632,0.007499602623283863,0.7925517559051514
68.75149536132812,0.0019010202959179878,-0.02591097354888916,1763260127.1862304,0.00028701996780000627,0.5212367177009583,,20.391347885131836,0.0,332,513.0,,21760,0.018089815974235535,0.9092708230018616
69.32315325737,,,1763260127.7578883,,,135.0,,,337,,135.0,22084,,
