global_step,losses/explained_variance,losses/clipfrac,_runtime,losses/value_loss,charts/episodic_length,losses/policy_loss,charts/learning_rate,losses/entropy,charts/SPS,_timestamp,losses/approx_kl,_step,losses/old_approx_kl,charts/episodic_return
0,,,24.85576558113098,,,,,,,1763260083.2951946,,0,,
128,0.01453554630279541,0.0,26.535115003585815,45.39914321899414,,-0.0004871189594268799,0.0003000000142492354,0.6928954124450684,750.0,1763260084.974544,0.0002663843333721161,7,0.0008506849408149719,
737,,,27.06569766998291,,12.0,,,,,1763260085.5051267,,33,,12.0
961,,,27.31351399421692,,46.0,,,,,1763260085.752943,,41,,46.0
1100,,,27.439579725265503,,53.0,,,,,1763260085.8790088,,47,,53.0
1703,,,28.27396869659424,,52.0,,,,,1763260086.7133977,,64,,52.0
1991,,,28.801060914993286,,24.0,,,,,1763260087.24049,,74,,24.0
2153,,,29.021538496017456,,111.0,,,,,1763260087.4609675,,77,,111.0
2608,,,29.799505472183228,,31.0,,,,,1763260088.2389345,,88,,31.0
3274,,,30.888997793197632,,55.0,,,,,1763260089.3284268,,102,,55.0
3328,0.003632187843322754,0.0,31.074207544326782,59.30000686645508,,-0.012817371636629105,0.0002980798890348524,0.5772719383239746,706.0,1763260089.5136366,0.00043984968215227127,104,0.00758053082972765,
5120,0.02124398946762085,0.0,34.234718561172485,73.33869171142578,,-0.011254467070102692,0.0002970046189147979,0.6149399280548096,650.0,1763260092.6741476,0.0002639852464199066,133,0.002656504511833191,
6016,0.1928132176399231,0.0,36.43254566192627,85.24290466308594,,-0.0010602325201034546,0.00029646698385477066,0.645328164100647,597.0,1763260094.8719747,3.568176180124283e-05,147,0.0009562307968735695,
6176,,,36.75551772117615,,195.0,,,,,1763260095.1949468,,149,,195.0
6272,0.20463049411773682,0.029296875,37.02674174308777,69.51441955566406,,-0.009162172675132751,0.00029631337383762,0.5670815110206604,588.0,1763260095.4661708,0.006305080838501453,150,0.0298067107796669,
6528,0.12598663568496704,0.0,37.88791108131409,73.8670883178711,,-0.00208277627825737,0.0002961597638204694,0.5759466886520386,566.0,1763260096.3273401,1.4598481357097626e-05,155,0.0013662269338965416,
6656,0.08148622512817383,0.0,38.32754111289978,55.79191207885742,,0.001464739441871643,0.00029608295881189406,0.601730465888977,556.0,1763260096.7669702,0.0001431358978152275,157,0.0011532260105013847,
7783,,,41.48782730102539,,122.0,,,,,1763260099.9272563,,172,,122.0
9216,0.16167324781417847,0.0,45.18487620353699,57.61155700683594,,-0.0019525140523910522,0.00029454685864038765,0.6352847814559937,489.0,1763260103.6243052,0.00015490874648094177,195,0.001383412629365921,
9619,,,46.17321586608887,,58.0,,,,,1763260104.612645,,203,,58.0
10246,,,47.64748430252075,,102.0,,,,,1763260106.0869133,,213,,102.0
10496,0.06716310977935791,0.0,48.22422194480896,62.16973114013672,,0.0005360990762710571,0.00029377880855463445,0.609788179397583,480.0,1763260106.663651,2.1925196051597595e-05,217,-0.0008159056305885315,
11161,,,49.74345254898071,,192.0,,,,,1763260108.1828816,,228,,192.0
11520,0.2710990309715271,0.0,50.61076879501343,41.762550354003906,,-0.004288025200366974,0.0002931643684860319,0.5963761806488037,475.0,1763260109.0501978,0.000868089497089386,233,-0.005264734849333763,
12720,,,53.34451460838318,,117.0,,,,,1763260111.7839437,,251,,117.0
13196,,,54.5340211391449,,156.0,,,,,1763260112.9734502,,259,,156.0
13671,,,55.49475121498108,,134.0,,,,,1763260113.9341803,,265,,134.0
14208,0.7598513960838318,0.0,56.863810777664185,34.16261291503906,,-0.00028337910771369934,0.00029155146330595016,0.5790916681289673,465.0,1763260115.3032398,5.258247256278992e-06,273,0.00022100098431110382,
14307,,,56.92233848571777,,162.0,,,,,1763260115.3617675,,274,,162.0
15488,0.8279035091400146,0.0,59.70128631591797,23.536128997802734,,0.0007512643933296204,0.00029078341322019696,0.5799253582954407,464.0,1763260118.1407154,3.5436823964118958e-06,292,-7.532257586717606e-05,
17408,0.9413914084434509,0.0,63.84273624420166,18.771263122558594,,-0.0014251675456762314,0.00028963133809156716,0.6170399188995361,464.0,1763260122.2821653,0.00015171710401773453,321,0.0010921908542513847,
17920,0.33011096715927124,0.0,64.85959243774414,42.020240783691406,,-0.00323624350130558,0.0002893241180572659,0.5562302470207214,465.0,1763260123.2990215,6.52708113193512e-05,327,0.0015837326645851135,
18097,,,65.19792461395264,,133.0,,,,,1763260123.6373537,,330,,133.0
18254,,,65.46677660942078,,157.0,,,,,1763260123.9062057,,332,,157.0
18560,0.05061894655227661,0.0,66.16472721099854,63.79915237426758,,0.0023239850997924805,0.0002889400930143893,0.5595121383666992,466.0,1763260124.6041563,0.00024261511862277985,337,-0.006203271448612213,
18688,0.03158193826675415,0.0,66.48127579689026,68.52066040039062,,-0.0006090924143791199,0.00028886328800581396,0.5172995328903198,465.0,1763260124.9207048,2.5364570319652557e-05,340,-0.0012503406032919884,
20872,,,70.65430903434753,,90.0,,,,,1763260129.093738,,370,,90.0
21242,,,71.17022967338562,,158.0,,,,,1763260129.6096587,,375,,158.0
22656,0.673100471496582,0.0,74.32789778709412,35.76402282714844,,0.00044768117368221283,0.00028648233273997903,0.5648326277732849,472.0,1763260132.7673268,0.0007742429152131081,396,-0.0004983088001608849,
24774,,,79.45302653312683,,147.0,,,,,1763260137.8924556,,425,,147.0
25984,0.8729219436645508,0.0,82.35689878463745,12.081215858459473,,-4.0411949157714844e-05,0.0002844854025170207,0.6076170206069946,464.0,1763260140.7963278,4.029367119073868e-05,441,0.0009480742737650871,
26567,,,83.55447483062744,,194.0,,,,,1763260141.9939039,,450,,194.0
28135,,,86.82156085968018,,246.0,,,,,1763260145.26099,,471,,246.0
28911,,,88.43707585334778,,111.0,,,,,1763260146.876505,,481,,111.0
29572,,,89.9630835056305,,224.0,,,,,1763260148.4025126,,490,,224.0
30720,0.0676681399345398,0.0,92.33483219146729,139.52919006347656,,-0.001133415848016739,0.00028164361719973385,0.5635572671890259,465.0,1763260150.7742612,1.250486820936203e-05,504,0.0007939254865050316,
31552,,,94.00473117828369,,41.0,,,,,1763260152.4441602,,515,,41.0
32896,0.8616396188735962,0.0,96.8272647857666,62.204185485839844,,-0.012454353272914886,0.0002803379320539534,0.5908581018447876,466.0,1763260155.2666938,0.001573776826262474,530,0.007849475368857384,
33792,-0.0408632755279541,0.0,98.59008145332336,13.447759628295898,,-0.008731916546821594,0.00027980029699392617,0.5669370889663696,467.0,1763260157.0295105,0.0006504040211439133,539,0.006372025236487389,
34560,0.2485295534133911,0.0,100.07161402702332,12.646787643432617,,-0.0032881982624530792,0.00027933946694247425,0.5436588525772095,468.0,1763260158.511043,1.7818063497543335e-05,547,0.0005651731044054031,
35200,0.15210551023483276,0.0078125,101.40587973594666,150.09927368164062,,0.0028522778302431107,0.00027895544189959764,0.49151575565338135,469.0,1763260159.8453088,0.0017306841909885406,555,-0.004315871745347977,
35584,0.34034693241119385,0.0,102.13443517684937,11.551186561584473,,0.0010134074836969376,0.0002787250268738717,0.5195196866989136,469.0,1763260160.5738642,7.646158337593079e-06,559,-0.0008238032460212708,
36480,-0.029893875122070312,0.0,103.8869264125824,11.62398910522461,,0.0015273913741111755,0.00027818739181384444,0.575791597366333,470.0,1763260162.3263555,3.6044977605342865e-05,568,0.0014910893514752388,
39190,,,109.20562052726746,,500.0,,,,,1763260167.6450496,,595,,500.0
40745,,,112.32130074501038,,254.0,,,,,1763260170.7607298,,612,,254.0
40892,,,112.62655019760132,,147.0,,,,,1763260171.0659792,,614,,147.0
42266,,,115.51538467407227,,97.0,,,,,1763260173.9548137,,630,,97.0
42752,0.005303561687469482,0.001953125,116.5655403137207,282.1192321777344,,-0.016961537301540375,0.0002744239754974842,0.518667459487915,473.0,1763260175.0049694,0.0016173105686903,636,0.015251168981194496,
43070,,,117.15718245506287,,212.0,,,,,1763260175.5966115,,640,,212.0
43904,-0.12260901927947998,0.0,119.02342581748962,5.436407089233398,,-0.008484655991196632,0.0002737327304203063,0.5116039514541626,473.0,1763260177.4628549,0.0005698269233107567,650,0.007999508641660213,
45056,0.9685310125350952,0.0,121.39586663246155,14.915513038635254,,-0.0015481039881706238,0.00027304148534312844,0.5154048800468445,474.0,1763260179.8352957,3.825873136520386e-05,664,0.0020575039088726044,
46848,-0.4183218479156494,0.0,125.08009171485901,42.77742004394531,,0.0037409067153930664,0.00027196621522307396,0.5758500695228577,474.0,1763260183.5195208,0.0007287226617336273,684,-0.006086410954594612,
47232,0.9539117813110352,0.001953125,125.88601565361023,16.47355079650879,,0.006075367331504822,0.000271735800197348,0.5060235857963562,474.0,1763260184.3254447,0.001554560847580433,689,-0.001794903539121151,
48128,0.2260342240333557,0.0,127.72773814201355,247.8175048828125,112.0,-0.0016280636191368103,0.00027119816513732076,0.5216503739356995,474.0,1763260186.1671672,0.00038185808807611465,698,0.008811908774077892,112.0
48628,,,128.54201340675354,,500.0,,,,,1763260186.9814425,,702,,500.0
49024,-0.09813988208770752,0.0,129.55088257789612,3.095341682434082,,-0.00010050088167190552,0.0002706605300772935,0.5901637077331543,475.0,1763260187.9903116,1.9334256649017334e-06,707,-6.513111293315887e-05,
51197,,,133.76582670211792,,500.0,,,,,1763260192.2052557,,729,,500.0
53632,0.6669292449951172,0.0,138.95339441299438,1.1305599212646484,,-0.0009575039148330688,0.000267895549768582,0.5363735556602478,476.0,1763260197.3928235,8.041411638259888e-05,757,-0.0022519491612911224,
54047,,,139.81146836280823,,333.0,,,,,1763260198.2508974,,762,,333.0
54545,,,140.8339433670044,,498.0,,,,,1763260199.2733724,,767,,498.0
55362,,,142.37954139709473,,500.0,,,,,1763260200.8189704,,775,,500.0
56576,-0.10763919353485107,0.0,144.97752952575684,0.45313456654548645,,-0.008422479033470154,0.0002661290345713496,0.59386146068573,476.0,1763260203.4169586,0.00012077018618583679,788,0.002009408548474312,
57472,0.4854324460029602,0.0,146.81617641448975,0.4223456382751465,,0.0008531119674444199,0.0002655913995113224,0.5613669753074646,477.0,1763260205.2556055,5.422718822956085e-05,797,-0.0013652555644512177,
58368,-1.4640109539031982,0.0,148.57578587532043,0.4597633481025696,,-0.0037429705262184143,0.00026505376445129514,0.5706692934036255,477.0,1763260207.015215,4.703644663095474e-05,806,-0.00037092994898557663,
59188,,,150.1743619441986,,279.0,,,,,1763260208.613791,,815,,279.0
64128,-1.6976590156555176,0.01171875,160.04714179039001,0.001233035116456449,,-0.00486089289188385,0.0002615975390654057,0.4426174759864807,479.0,1763260218.4865708,0.002891817130148411,863,0.010892078280448914,
65024,0.005243420600891113,0.0,161.8067548274994,0.0003632286679930985,,-0.0020901337265968323,0.0002610599040053785,0.45928946137428284,480.0,1763260220.2461839,0.00019927602261304855,872,-0.004118409939110279,
65408,0.04933285713195801,0.0,162.57172894477844,0.0026433002203702927,,-0.012637671083211899,0.0002608294889796525,0.4918021857738495,480.0,1763260221.011158,0.0009709205478429794,876,-0.00494726188480854,
70188,,,172.04269981384277,,500.0,,,,,1763260230.4821289,,922,,500.0
71040,0.4997006058692932,0.0,173.79279208183289,0.0006615197053179145,,0.0072885192930698395,0.00025745006860233843,0.5102327466011047,481.0,1763260232.2322211,0.0019294572994112968,930,-0.018981555476784706,
