global_step,losses/explained_variance,losses/clipfrac,_runtime,losses/value_loss,charts/episodic_length,losses/policy_loss,charts/learning_rate,losses/entropy,charts/SPS,_timestamp,losses/approx_kl,_step,losses/old_approx_kl,charts/episodic_return
71808,0.00023752450942993164,0.0,175.4165277481079,333.8865051269531,,-0.008308090269565582,0.0002569892385508865,0.4357316792011261,481.0,1763260233.8559568,0.0008412487804889679,938,0.0010215770453214645,
72188,,,175.96549558639526,,500.0,,,,,1763260234.4049246,,941,,500.0
72192,-0.0005381107330322266,0.0,176.19640922546387,395.6952209472656,,0.0026422888040542603,0.00025675882352516055,0.5277124047279358,481.0,1763260234.6358383,0.0012195343151688576,942,-0.011991928331553936,
72832,0.020547330379486084,0.0,177.46008491516113,0.005148263182491064,,-0.005314018577337265,0.00025637479848228395,0.4790706932544708,482.0,1763260235.899514,0.0008907197043299675,948,0.0025963271036744118,
75520,-0.12185049057006836,0.0,182.69802403450012,0.0006026159971952438,,-0.0017008371651172638,0.0002547618933022022,0.47059366106987,483.0,1763260241.137453,5.813874304294586e-05,974,0.006542067974805832,
76160,0.7366219758987427,0.03125,183.95486998558044,4.3806641770061105e-05,,0.0124528668820858,0.0002543778682593256,0.43837037682533264,483.0,1763260242.394299,0.010232935659587383,980,-0.0006089899688959122,
76672,0.2325969934463501,0.068359375,184.93291354179382,0.00021780501992907375,,-0.051212601363658905,0.00025407064822502434,0.4882553219795227,483.0,1763260243.3723426,0.011242518201470375,985,-0.018788907676935196,
77688,,,186.77876567840576,,500.0,,,,,1763260245.2181947,,995,,500.0
77824,0.4088122248649597,0.0,187.23820662498474,0.005835315678268671,,0.005897045135498047,0.00025337940314784646,0.5468683838844299,483.0,1763260245.6776357,0.0006276089698076248,997,0.00957423634827137,
79688,,,190.8814389705658,,500.0,,,,,1763260249.320868,,1015,,500.0
80188,,,191.91713285446167,,500.0,,,,,1763260250.356562,,1020,,500.0
81280,0.000834345817565918,0.0,194.2292137145996,137.07061767578125,,0.0003387071192264557,0.00025130569702014327,0.5136667490005493,484.0,1763260252.6686428,9.171292185783386e-05,1031,-0.002827884629368782,
83328,0.08058440685272217,0.009765625,198.3123300075531,0.008226566947996616,,-0.04248121753334999,0.00025007681688293815,0.5055769085884094,484.0,1763260256.751759,0.005075797438621521,1050,0.007414544001221657,
83688,,,198.82428884506226,,500.0,,,,,1763260257.263718,,1053,,500.0
84188,,,199.83229112625122,,500.0,,,,,1763260258.2717202,,1058,,500.0
86688,,,203.36413550376892,,500.0,,,,,1763260261.8035645,,1083,,500.0
87552,-0.7720988988876343,0.021484375,204.5051920413971,0.0010065529495477676,,-0.00710996612906456,0.0002475422515999526,0.4122374951839447,491.0,1763260262.944621,0.008895402774214745,1091,0.04608108475804329,
89088,-0.16638851165771484,0.0,207.22935271263123,0.00013098343333695084,,-0.0011304840445518494,0.00024662059149704874,0.4452904462814331,492.0,1763260265.6687818,0.00014102645218372345,1106,-0.0020123422145843506,
90240,3.3974647521972656e-06,0.001953125,209.29207634925842,286.21575927734375,,0.0022104382514953613,0.00024592934641987085,0.5283696055412292,493.0,1763260267.7315054,0.0008333800360560417,1118,-0.0018186932429671288,
91008,-0.34478485584259033,0.0,210.62957549095154,0.0011864930856972933,,-0.0005457215011119843,0.00024546851636841893,0.5184534788131714,493.0,1763260269.0690045,0.0010963967069983482,1125,0.01005506981164217,
91776,0.00019723176956176758,0.0,212.04975080490112,489.8785095214844,,-0.0001879483461380005,0.000245007686316967,0.4595458507537842,494.0,1763260270.4891798,1.9150786101818085e-05,1133,-0.0019511440768837929,
93056,0.031548380851745605,0.0,213.75559544563293,0.0004110978334210813,,-0.0031712912023067474,0.0002442396362312138,0.43300995230674744,496.0,1763260272.1950245,0.002321428619325161,1145,0.021944869309663773,
94976,0.07728254795074463,0.001953125,215.95500016212463,0.0007323155296035111,,-0.026636987924575806,0.000243087561102584,0.48075130581855774,500.0,1763260274.3944292,0.0027435515075922012,1164,-0.006772054359316826,
95104,0.43826961517333984,0.0,216.18326711654663,0.00014302579802460968,,-0.011740177869796753,0.00024301075609400868,0.490181028842926,501.0,1763260274.6226962,0.0031681256368756294,1165,-0.005122092552483082,
95744,4.309415817260742e-05,0.0,217.45220375061035,275.46331787109375,,-0.00016679242253303528,0.00024262673105113208,0.45959192514419556,501.0,1763260275.8916328,4.4860877096652985e-05,1172,-0.003199438564479351,
96688,,,219.12713599205017,,500.0,,,,,1763260277.566565,,1181,,500.0
97188,,,220.0628147125244,,500.0,,,,,1763260278.5022438,,1186,,500.0
98304,-9.453296661376953e-05,0.0,222.0762369632721,157.29856872558594,,-0.0005083270370960236,0.00024109063087962568,0.4842263460159302,502.0,1763260280.515666,0.00027356576174497604,1197,-0.0005220258608460426,
100096,0.26890748739242554,0.0,225.48948693275452,0.00023312449047807604,,-0.008142616599798203,0.0002400153607595712,0.578119695186615,502.0,1763260283.928916,0.0010963138192892075,1213,0.004875157028436661,
100224,0.0007679462432861328,0.0,225.66000509262085,204.03701782226562,,0.010330017656087875,0.00023993855575099587,0.47877252101898193,502.0,1763260284.0994341,0.0004648109897971153,1215,0.005151617340743542,
101376,0.026612162590026855,0.0,227.03541350364685,0.006680061109364033,,0.002310320734977722,0.000239247310673818,0.45150861144065857,505.0,1763260285.4748425,4.330463707447052e-05,1226,0.0024885572493076324,
101760,0.0005927085876464844,0.0,227.50515699386597,551.0728759765625,,-0.0005085337907075882,0.00023901689564809203,0.4635244309902191,505.0,1763260285.944586,0.00010117236524820328,1230,-0.0020671235397458076,
102188,,,227.95233798027039,,500.0,,,,,1763260286.391767,,1234,,500.0
103296,5.334615707397461e-05,0.0,229.32286477088928,228.9236297607422,,-0.000207461416721344,0.0002380952355451882,0.5379260778427124,508.0,1763260287.7622938,2.2736378014087677e-05,1245,0.000729699619114399,
104192,3.4332275390625e-05,0.00390625,230.35675525665283,442.14825439453125,,-0.008427441120147705,0.00023755760048516095,0.4806421995162964,510.0,1763260288.7961843,0.0029603242874145508,1254,-0.005675062537193298,
105984,-0.29270684719085693,0.0,232.87274479866028,0.0003312283370178193,,3.98978590965271e-05,0.00023648233036510646,0.5204613208770752,513.0,1763260291.3121738,2.7414411306381226e-05,1271,0.0007108189165592194,
108800,1.9788742065429688e-05,0.0,237.9794843196869,274.1744079589844,,-0.004081331193447113,0.00023479262017644942,0.4946397840976715,514.0,1763260296.4189134,0.0002761194482445717,1299,0.007631669752299786,
112896,0.01914393901824951,0.0,244.85892415046692,0.004493206739425659,,-0.002631799317896366,0.0002323348744539544,0.4732515513896942,516.0,1763260303.2983532,0.0001953551545739174,1339,0.0027859648689627647,
113024,0.0911322832107544,0.001953125,244.98812079429626,0.0005561751313507557,,-0.0009472593665122986,0.00023225806944537908,0.5211843252182007,516.0,1763260303.4275498,0.000871073454618454,1340,-0.00536583736538887,
113920,-0.20739614963531494,0.0,246.08297061920166,0.005500236060470343,,-0.009877674281597137,0.00023172043438535184,0.5257871150970459,518.0,1763260304.5223997,0.0005004759877920151,1349,0.00829402171075344,
115456,0.09451162815093994,0.0,248.05001306533813,0.0007800348103046417,,-0.014012476429343224,0.000230798774282448,0.5136683583259583,520.0,1763260306.489442,0.0022943690419197083,1363,0.021301519125699997,
115688,,,248.2438247203827,,500.0,,,,,1763260306.6832538,,1365,,500.0
116188,,,248.86855840682983,,500.0,,,,,1763260307.3079875,,1370,,500.0
117188,,,250.06754398345947,,500.0,,,,,1763260308.506973,,1380,,500.0
117248,-5.030632019042969e-05,0.0,250.22063446044922,310.11383056640625,,-0.004088111221790314,0.0002297235041623935,0.606715202331543,523.0,1763260308.6600635,0.0005067652091383934,1381,0.003964572213590145,
118016,-0.03483855724334717,0.0,251.07355189323425,0.0007328008068725467,,-4.747137427330017e-05,0.0002292626741109416,0.5347223281860352,525.0,1763260309.512981,0.0004205973818898201,1388,0.0070841433480381966,
118688,,,251.8408203125,,500.0,,,,,1763260310.2802494,,1395,,500.0
119168,0.1487916111946106,0.0,252.41750025749207,0.00022502643696498126,,-0.007730588316917419,0.0002285714290337637,0.45340967178344727,527.0,1763260310.8569293,0.0011108675971627235,1399,0.007243833504617214,
119688,,,253.10930156707764,,500.0,,,,,1763260311.5487306,,1405,,500.0
122459,,,256.05961751937866,,404.0,,,,,1763260314.4990466,,1432,,404.0
122496,0.002645254135131836,0.0,256.1554481983185,362.4020690917969,,-0.00035381317138671875,0.00022657449881080538,0.49078112840652466,533.0,1763260314.5948772,0.001006394624710083,1433,0.011282231658697128,
124800,-0.002738475799560547,0.0,259.0359003543854,0.0007692836807109416,,-0.0004038345068693161,0.00022519200865644962,0.5657575130462646,536.0,1763260317.4753294,0.00014592520892620087,1455,-0.0013376027345657349,
124928,0.062236249446868896,0.0,259.2559702396393,0.00017198904242832214,,-0.00011806190013885498,0.0002251152036478743,0.4944351613521576,536.0,1763260317.6953993,0.0011083707213401794,1456,-0.003601333126425743,
124959,,,259.29609060287476,,500.0,,,,,1763260317.7355196,,1457,,500.0
130816,-0.3552398681640625,0.013671875,269.0362205505371,0.0010345778428018093,,-0.022076956927776337,0.0002215821878053248,0.48735326528549194,539.0,1763260327.4756496,0.0033645760267972946,1514,0.0035187695175409317,
131459,,,269.78722643852234,,500.0,,,,,1763260328.2266555,,1521,,500.0
131959,,,270.47406673431396,,500.0,,,,,1763260328.9134958,,1525,,500.0
132096,-0.36750006675720215,0.0,270.90883922576904,0.0037886889185756445,,-0.001332644373178482,0.0002208141377195716,0.5416625142097473,540.0,1763260329.3482683,0.0005623809993267059,1527,-0.006293473765254021,
132352,0.1379028558731079,0.0,271.27891063690186,7.030169945210218e-05,,-0.0011163949966430664,0.00022066052770242095,0.5559996366500854,540.0,1763260329.7183397,0.00013909116387367249,1529,-0.0017060358077287674,
132864,-1.6471631526947021,0.001953125,272.1115083694458,0.00020318067981861532,,-0.01147373579442501,0.00022035330766811967,0.543846845626831,540.0,1763260330.5509374,0.0020376574248075485,1534,0.0011106077581644058,
132992,4.7147274017333984e-05,0.0,272.35976481437683,140.82118225097656,,-0.003482505679130554,0.00022027650265954435,0.561749279499054,540.0,1763260330.7991939,0.00026820506900548935,1536,-0.009126092307269573,
133760,0.009486913681030273,0.0,273.5676336288452,0.0005973696825094521,,0.001687951385974884,0.00021981567260809243,0.5546931624412537,541.0,1763260332.0070627,0.0003753555938601494,1543,-0.006803278811275959,
133959,,,273.801646232605,,500.0,,,,,1763260332.2410753,,1545,,500.0
134016,1.233816146850586e-05,0.0,274.0137360095978,265.8390808105469,,-0.0027866438031196594,0.0002196620625909418,0.5454099178314209,541.0,1763260332.453165,0.0005660625174641609,1546,-0.0035339510068297386,
135296,-0.09928476810455322,0.0,275.4538960456848,0.0005177982384338975,,-0.002206709235906601,0.00021889401250518858,0.5755167007446289,543.0,1763260333.893325,0.0002543022856116295,1558,0.012037782929837704,
135424,-0.2487940788269043,0.0,275.59276127815247,3.752521297428757e-05,,-0.0007909834384918213,0.00021881720749661326,0.5140784978866577,543.0,1763260334.0321903,0.00018967408686876297,1559,-0.003522704355418682,
135808,-0.7380760908126831,0.00390625,276.0293915271759,0.0004979329532943666,,0.003215201199054718,0.0002185867924708873,0.5230914354324341,543.0,1763260334.4688206,0.0005960222333669662,1563,-0.00021959282457828522,
136064,-0.00013172626495361328,0.0,276.3635060787201,475.15679931640625,,0.005182797089219093,0.00021843318245373666,0.5581735968589783,544.0,1763260334.8029351,0.00019888672977685928,1566,0.00011772383004426956,
138368,-0.391640305519104,0.0,279.0160508155823,0.00015232374425977468,,0.00532098114490509,0.0002170506922993809,0.5339787602424622,547.0,1763260337.4554799,0.000962384045124054,1588,0.0026953164488077164,
138459,,,279.0582149028778,,500.0,,,,,1763260337.497644,,1589,,500.0
139160,,,279.87667059898376,,201.0,,,,,1763260338.3160996,,1597,,201.0
140288,0.1649547815322876,0.0,281.472473859787,0.003845527768135071,,0.0023618564009666443,0.0002158986171707511,0.5897213816642761,549.0,1763260339.911903,0.00014919601380825043,1607,0.0041954610496759415,
140544,-2.3526439666748047,0.0,281.8790006637573,0.000333734875312075,,0.0057866983115673065,0.00021574500715360045,0.5901304483413696,550.0,1763260340.3184297,0.000339629128575325,1609,-4.571489989757538e-05,
140660,,,281.93867111206055,,500.0,,,,,1763260340.3781002,,1610,,500.0
140800,-1.5619783401489258,0.0,282.3134672641754,0.004561012610793114,,-0.00840168446302414,0.00021559139713644981,0.49890416860580444,550.0,1763260340.7528963,0.00037688110023736954,1612,0.004686535336077213,
142208,-0.0001367330551147461,0.0,284.6566035747528,467.38494873046875,,-0.028343506157398224,0.0002147465420421213,0.44862303137779236,550.0,1763260343.0960326,0.0010628076270222664,1626,0.0023700380697846413,
143488,0.2555236220359802,0.0,286.8533787727356,0.00033447699388489127,,0.0011914931237697601,0.0002139784919563681,0.5047720074653625,550.0,1763260345.2928078,0.0002660239115357399,1638,0.005203793756663799,
148480,-0.24378740787506104,0.0,293.2908124923706,0.0003249186556786299,,0.007111042737960815,0.0002109830966219306,0.5236706137657166,556.0,1763260351.7302415,0.00021563470363616943,1687,0.005069185048341751,
153088,-0.4075338840484619,0.0,300.04013180732727,0.00017544602451380342,,-0.0008800774812698364,0.0002082181308651343,0.5354598760604858,559.0,1763260358.4795609,1.327507197856903e-05,1732,0.0022477060556411743,
154368,0.09786027669906616,0.0,301.52580666542053,0.004359494894742966,,-0.014835167676210403,0.0002074500807793811,0.5194311141967773,561.0,1763260359.9652357,0.0012841355055570602,1745,-0.0008043721318244934,
155160,,,302.38897824287415,,500.0,,,,,1763260360.8284073,,1753,,500.0
155264,-4.208087921142578e-05,0.0,302.5120916366577,451.8813171386719,,-0.002868000417947769,0.00020691244571935385,0.551776647567749,562.0,1763260360.9515207,0.000118316151201725,1754,-0.002159341238439083,
156544,-0.0039806365966796875,0.0,303.8344933986664,0.00025762859149836004,,-0.010466022416949272,0.00020614439563360065,0.5099411010742188,564.0,1763260362.2739224,0.00037590786814689636,1765,0.0012445487082004547,
156800,0.07745802402496338,0.0,304.10625410079956,0.0036808610893785954,,-0.004368182271718979,0.00020599078561645,0.48605862259864807,564.0,1763260362.5456831,0.00018770620226860046,1768,0.0028016287833452225,
157696,0.0002009272575378418,0.0,305.1197204589844,289.128662109375,,0.0004511270672082901,0.00020545315055642277,0.5270808339118958,565.0,1763260363.5591495,0.00016382895410060883,1777,-0.005043132230639458,
161920,-0.051070332527160645,0.0,310.93136167526245,9.422146831639111e-05,,0.0062398966401815414,0.0002029185852734372,0.5084223747253418,569.0,1763260369.3707907,0.0008171815425157547,1818,-5.336292088031769e-05,
162432,-0.017078638076782227,0.005859375,311.45978569984436,0.0007243509753607213,,-0.012408845126628876,0.00020261136523913592,0.5479945540428162,569.0,1763260369.8992147,0.0014292020350694656,1823,0.005890117958188057,
165149,,,315.61171793937683,,500.0,,,,,1763260374.051147,,1851,,500.0
165649,,,316.47737741470337,,500.0,,,,,1763260374.9168065,,1856,,500.0
166912,0.175828754901886,0.0,318.576030254364,0.0004671952046919614,,-0.011980526149272919,0.0001999231899389997,0.5715604424476624,571.0,1763260377.0154593,0.0010581808164715767,1868,-0.006194853223860264,
167296,0.00030672550201416016,0.0,319.23528265953064,386.64178466796875,,0.0037409067153930664,0.00019969277491327375,0.5042585730552673,571.0,1763260377.6747117,0.00012066680938005447,1873,0.001737884245812893,
167680,0.0003313422203063965,0.0,319.89230394363403,303.50616455078125,,0.0003291592001914978,0.0001994623598875478,0.49357765913009644,571.0,1763260378.331733,0.0005007712170481682,1877,0.005507894791662693,
168659,,,321.05660009384155,,500.0,,,,,1763260379.4960291,,1886,,500.0
169472,0.04347372055053711,0.0,322.066775560379,0.006228815298527479,,-0.003046780824661255,0.0001983870897674933,0.5838828682899475,573.0,1763260380.5062046,0.0004241298884153366,1895,0.0005484540015459061,
170264,,,322.95793747901917,,500.0,,,,,1763260381.3973665,,1903,,500.0
170624,0.015866458415985107,0.0,323.37465715408325,0.0006321648834273219,,-0.012377526611089706,0.00019769585924223065,0.520017147064209,574.0,1763260381.8140862,0.0008736643940210342,1906,-0.014460071921348572,
171904,-0.16288518905639648,0.0,325.49397325515747,0.006412343122065067,,-0.0014507556334137917,0.00019692780915647745,0.5739343166351318,574.0,1763260383.9334023,0.00018796417862176895,1918,0.0022299708798527718,
172160,-11.292630195617676,0.0,325.87406492233276,0.00045999043504707515,,-0.0039767734706401825,0.0001967741991393268,0.47367602586746216,574.0,1763260384.313494,0.000952024944126606,1920,-0.00109866913408041,
