losses/clipfrac,charts/learning_rate,charts/episodic_length,_timestamp,losses/explained_variance,_step,charts/SPS,charts/episodic_return,global_step,losses/approx_kl,losses/policy_loss,losses/entropy,_runtime,losses/old_approx_kl,losses/value_loss
0.0,0.0002957757387775928,,1763260100.6098025,0.3416736125946045,195,453.0,,7168,0.0023907236754894257,0.007902555167675018,0.6257708072662354,42.13862943649292,-0.014131247997283936,87.59828186035156
,,120.0,1763260101.505236,,203,,120.0,7546,,,,43.03406286239624,,
0.0,0.00029523810371756554,,1763260103.032885,-0.010074973106384277,213,442.0,,8064,0.0005943328142166138,0.0033899620175361633,0.5881068110466003,44.56171202659607,0.013587670400738716,70.63556671142578
0.0,0.0002950844937004149,,1763260103.6649506,0.5425477623939514,217,441.0,,8320,0.0009929351508617401,-0.00912739709019661,0.6199233531951904,45.193777561187744,-0.0007301419973373413,57.85817337036133
0.0,0.000294623663648963,,1763260105.4010303,0.03393024206161499,228,441.0,,9088,0.00013408996164798737,-0.00030025653541088104,0.5735721588134766,46.92985725402832,0.0012179519981145859,62.32527160644531
0.0,0.00029447005363181233,,1763260106.078109,0.053970515727996826,233,439.0,,9344,5.8599747717380524e-05,-0.0015563294291496277,0.5751722455024719,47.60693597793579,0.002802112139761448,55.961631774902344
,,75.0,1763260108.7789402,,251,,75.0,10536,,,,50.307767152786255,,
,,151.0,1763260110.029195,,259,,151.0,11062,,,,51.558022022247314,,
,,39.0,1763260110.9584205,,265,,39.0,11433,,,,52.487247467041016,,
0.0,0.00029293395346030593,,1763260112.1802723,0.07306015491485596,273,434.0,,11904,0.000163370743393898,0.003531869500875473,0.5865259766578674,53.70909929275513,0.004162441939115524,50.756080627441406
0.0,0.0002928571484517306,,1763260112.4267406,0.000841677188873291,274,435.0,,12032,2.6883557438850403e-05,0.002540983259677887,0.58311527967453,53.955567598342896,0.0008106008172035217,72.0501937866211
0.0,0.0002920890983659774,,1763260115.422271,0.1516379714012146,292,434.0,,13312,0.0003341101109981537,-0.007751941680908203,0.5812679529190063,56.95109796524048,0.007286297157406807,55.95244216918945
0.001953125,0.00029078341322019696,,1763260120.185091,0.03637385368347168,321,437.0,,15488,0.0017822422087192535,-0.016873642802238464,0.5331601500511169,61.71391797065735,-4.0180981159210205e-05,58.717124938964844
,,116.0,1763260121.0054014,,327,,116.0,15979,,,,62.53422832489014,,
0.0,0.00029039938817732036,,1763260121.5040798,0.7628544569015503,330,439.0,,16128,0.0003677979111671448,-0.006082436069846153,0.5902296900749207,63.03290677070618,0.004279240965843201,26.867666244506836
,,183.0,1763260121.7615185,,332,,183.0,16278,,,,63.290345430374146,,
0.0,0.0002900921681430191,,1763260122.542217,-0.004588961601257324,337,440.0,,16640,0.00136517733335495,-0.004298903048038483,0.5741907358169556,64.07104396820068,-0.00876581110060215,58.429351806640625
0.0,0.00028993855812586844,,1763260123.0457528,0.21461862325668335,340,441.0,,16896,0.0006915973499417305,-0.0056211091578006744,0.5997834205627441,64.57457971572876,-8.346792310476303e-05,53.15955352783203
,,54.0,1763260126.8355446,,370,,54.0,18719,,,,68.36437153816223,,
,,152.0,1763260127.613138,,375,,152.0,19133,,,,69.14196491241455,,
0.0,0.00028771121287718415,,1763260130.5528839,0.06934487819671631,396,450.0,,20608,2.3348256945610046e-06,-1.6147270798683167e-05,0.5685207843780518,72.08171081542969,0.00025901105254888535,74.62614440917969
0.0,0.0002863287227228284,,1763260135.894528,0.08582860231399536,425,448.0,,22912,4.376005381345749e-05,-0.001874823123216629,0.5751352310180664,77.42335486412048,-0.0024973535910248756,33.63020324707031
0.0,0.0002855606726370752,,1763260139.2669523,0.10956066846847534,441,444.0,,24192,0.00014736130833625793,-0.007438190281391144,0.5250698924064636,80.79577922821045,-0.0010597072541713715,100.44800567626953
0.001953125,0.00028509984258562326,,1763260140.9374952,0.20030558109283447,450,444.0,,24960,0.002103472128510475,-0.025605008006095886,0.5877829790115356,82.46632218360901,0.001040806993842125,30.30850601196289
,,210.0,1763260144.0455039,,471,,210.0,26461,,,,85.57433080673218,,
,,212.0,1763260145.8368707,,481,,212.0,27306,,,,87.3656976222992,,
0.0,0.0002832565223798156,,1763260147.3976994,0.059542953968048096,490,447.0,,28032,1.0598450899124146e-06,-0.00020542368292808533,0.606094241142273,88.92652630805969,-0.0001811198890209198,24.56133460998535
0.0,0.0002825652773026377,,1763260149.8363125,-0.02603459358215332,504,448.0,,29184,0.00036817416548728943,-0.008446194231510162,0.5619303584098816,91.36513948440552,-0.013513436540961266,88.03070831298828
,,145.0,1763260151.697108,,515,,145.0,30120,,,,93.2259349822998,,
0.0,0.0002811059821397066,,1763260154.798528,0.9023740887641907,530,451.0,,31616,0.003393411636352539,-0.028575479984283447,0.5725635290145874,96.3273549079895,-0.003164973109960556,19.5469913482666
0.0,0.00028056834707967937,,1763260156.584147,0.5738630890846252,539,452.0,,32512,0.0007918970659375191,-0.004187773913145065,0.5678582191467285,98.11297392845154,0.0039667123928666115,28.656757354736328
0.0,0.00028010751702822745,,1763260158.094887,0.5177742838859558,547,454.0,,33280,5.739741027355194e-06,-0.0011657439172267914,0.5152056813240051,99.62371397018433,-0.0005127293989062309,16.147266387939453
,,460.0,1763260159.593872,,555,,460.0,34053,,,,101.12269902229309,,
0.0078125,0.00027941627195104957,,1763260160.3705273,-0.07334232330322266,559,455.0,,34432,0.003138311207294464,0.013472430408000946,0.4970967769622803,101.89935421943665,0.017856651917099953,134.8382110595703
0.0,0.0002788786368910223,,1763260162.1651952,0.0008742213249206543,568,456.0,,35328,7.446575909852982e-05,0.003689676523208618,0.5718412399291992,103.6940221786499,-0.002610458992421627,121.77169799804688
0.0,0.0002773425367195159,,1763260167.3059473,-0.038332462310791016,595,459.0,,37888,4.6459026634693146e-05,-0.00011184811592102051,0.5595654845237732,108.83477425575256,0.001345842145383358,11.044713973999023
0.0,0.00027634407160803676,,1763260170.7153423,0.0010900497436523438,612,460.0,,39552,3.402493894100189e-05,-0.00039729662239551544,0.5110054016113281,112.24416923522949,0.0012755878269672394,8.966294288635254
,,444.0,1763260171.0247838,,614,,444.0,39739,,,,112.55361080169678,,
,,371.0,1763260174.1262326,,630,,371.0,41300,,,,115.65505957603455,,
0.0,0.00027496161055751145,,1763260175.4007027,0.7170059680938721,636,462.0,,41856,9.65287908911705e-05,-0.0011687008664011955,0.4724351763725281,116.92952966690063,0.0012138569727540016,7.255748748779297
,,219.0,1763260175.9885798,,640,,219.0,42133,,,,117.51740670204163,,
,,500.0,1763260177.8614972,,650,,500.0,43097,,,,119.39032411575317,,
0.0,0.0002735791204031557,,1763260180.3915875,0.17952340841293335,664,461.0,,44160,0.00036117807030677795,0.002692408859729767,0.5635867714881897,121.92041444778442,0.004651546478271484,19.994583129882812
0.0,0.00027265746030025184,,1763260183.715048,0.9348928928375244,684,461.0,,45696,0.0010580383241176605,0.004080474376678467,0.5501694679260254,125.24387502670288,0.002880498766899109,4.242949485778809
0.0,0.0002724270452745259,,1763260184.5406744,-0.32439637184143066,689,462.0,,46080,0.0006223088130354881,-0.007333969697356224,0.4718853235244751,126.0695013999939,0.005298358388245106,19.159496307373047
,,203.0,1763260185.9237275,,698,,203.0,46842,,,,127.45255446434021,,
0.00390625,0.000271735800197348,,1763260186.9036434,-1.192798376083374,702,462.0,,47232,0.00246297474950552,0.005280144512653351,0.4902917444705963,128.43247032165527,-0.006204119883477688,5.802802562713623
0.0,0.0002714285801630467,,1763260187.9273489,-0.5382059812545776,707,462.0,,47744,0.0005261898040771484,0.013535624369978905,0.4647875428199768,129.45617580413818,0.0075305793434381485,4.451292037963867
0.0,0.0002701228950172663,,1763260192.4514456,-0.024106621742248535,729,463.0,,49920,7.387157529592514e-05,0.001832038164138794,0.4883860945701599,133.9802725315094,0.00242049153894186,2.8671698570251465
0.0,0.00026850998983718455,,1763260198.0865054,0.2731195092201233,757,464.0,,52608,0.0007211063057184219,-0.008823864161968231,0.5181387662887573,139.615332365036,0.011842504143714905,219.16156005859375
0.0,0.00026820276980288327,,1763260199.1287744,0.8595653772354126,762,464.0,,53120,0.0017294781282544136,-0.02295532077550888,0.5856798887252808,140.65760135650635,-0.006863144226372242,60.99052429199219
0.0,0.000267895549768582,,1763260200.1814222,0.14644014835357666,767,464.0,,53632,0.0001669013872742653,0.0005698855966329575,0.54837965965271,141.71024918556213,0.0017185406759381294,63.05269241333008
0.0,0.00026735791470855474,,1763260201.977268,-1.710815191268921,775,465.0,,54528,0.00037586409598588943,0.008336056023836136,0.5206388235092163,143.50609493255615,-0.008098200894892216,1.0480276346206665
,,500.0,1763260204.4086154,,788,,500.0,55717,,,,145.93744230270386,,
0.076171875,0.0002660522295627743,,1763260206.3937457,0.8335388898849487,797,466.0,,56704,0.00274627935141325,-0.023260794579982758,0.5131655335426331,147.92257261276245,0.007569239474833012,27.421159744262695
0.0,0.0002655913995113224,,1763260207.907896,0.10781627893447876,806,466.0,,57472,9.455624967813492e-05,-0.00391504168510437,0.4805029332637787,149.4367229938507,-0.001723707653582096,204.03985595703125
0.0,0.00026505376445129514,,1763260209.7337701,0.1488628387451172,815,467.0,,58368,3.897771239280701e-05,-0.0017062928527593613,0.5677242279052734,151.2625970840454,0.0012763403356075287,0.4447890520095825
0.0,0.0002622119791340083,,1763260219.3141255,-1.7307031154632568,863,469.0,,63104,0.0002463953569531441,0.000597245991230011,0.5425410866737366,160.8429524898529,0.0020109517499804497,0.10253681987524033
0.0,0.00026167434407398105,,1763260221.091236,-0.25033700466156006,872,469.0,,64000,6.757676601409912e-05,0.0008753389120101929,0.4956725537776947,162.62006306648254,0.00038468651473522186,0.33646976947784424
0.0,0.0002614439290482551,,1763260221.8669198,0.0008137822151184082,876,469.0,,64384,0.00019310787320137024,0.009354136884212494,0.5575376749038696,163.39574670791626,-0.0009457860141992569,540.2051391601562
0.0,0.00025860214373096824,,1763260231.3262415,-0.48273134231567383,922,471.0,,69120,5.0513073801994324e-05,-0.001133933663368225,0.42950141429901123,172.8550684452057,0.00048686563968658447,0.0005241050384938717
0.0,0.0002581413136795163,,1763260232.9186468,0.00011801719665527344,930,471.0,,69888,0.00011470261961221695,0.0013278406113386154,0.45386144518852234,174.44747376441956,-0.001576078124344349,479.1191101074219
0.03515625,0.0002576036786194891,,1763260234.7043498,-0.7101749181747437,938,472.0,,70784,0.008364577777683735,0.03735702484846115,0.5209519863128662,176.23317670822144,0.04842425882816315,0.0001688948250375688
0.0,0.00025745006860233843,,1763260235.2567413,-0.207999587059021,941,472.0,,71040,0.0005042459815740585,-0.0024587828665971756,0.49027591943740845,176.7855682373047,-0.0035900119692087173,0.0034626296255737543
0.005859375,0.0002573732635937631,,1763260235.4936445,0.027988433837890625,942,472.0,,71168,0.003486703149974346,-0.0036494210362434387,0.45980626344680786,177.02247142791748,-8.894596248865128e-05,0.0007190313772298396
,,500.0,1763260236.579416,,948,,500.0,71798,,,,178.10824298858643,,
0.0,0.0002554531383793801,,1763260241.9769275,-0.00010669231414794922,974,473.0,,74368,0.0005814889445900917,0.015242746099829674,0.36804288625717163,183.5057544708252,0.000983414240181446,290.0786437988281
0.0,0.0002550691133365035,,1763260243.2610002,0.01390153169631958,980,473.0,,75008,0.0004380512982606888,0.0019155405461788177,0.41488116979599,184.78982710838318,0.0047522857785224915,0.00409286841750145
0.001953125,0.0002547618933022022,,1763260244.3003855,-0.06876766681671143,985,473.0,,75520,0.001045597717165947,-0.011040158569812775,0.4889429211616516,185.82921242713928,-0.008227281272411346,0.003725195536389947
0.0,0.00025414745323359966,,1763260246.3611207,0.1816258430480957,995,473.0,,76544,0.00029395241290330887,-0.0015916526317596436,0.5209442973136902,187.88994765281677,-0.0005163131281733513,0.002546213800087571
,,500.0,1763260246.6661398,,997,,500.0,76798,,,,188.1949667930603,,
0.0,0.00025291857309639454,,1763260250.515313,-0.10175204277038574,1015,474.0,,78592,0.0006639929488301277,-0.004059888422489166,0.5209905505180359,192.04413986206055,0.0017825858667492867,0.00043975681182928383
0.0,0.00025261135306209326,,1763260251.584067,-0.5910962820053101,1020,474.0,,79104,0.00028274673968553543,-0.001046203076839447,0.48748600482940674,193.11289405822754,-0.0004586474969983101,0.00032860381179489195
0.0,0.00025192013708874583,,1763260253.8797355,0.045316994190216064,1031,474.0,,80256,0.00017647258937358856,0.0017216354608535767,0.5746263265609741,195.4085624217987,-0.00021469593048095703,0.00014649832155555487
0.0,0.00025076806196011603,,1763260257.7243705,-0.15354430675506592,1050,475.0,,82176,0.001067175529897213,0.0012881886214017868,0.5692687034606934,199.25319743156433,-0.004097265191376209,0.00045766914263367653
0.0,0.0002506144519429654,,1763260258.2325108,-0.1646493673324585,1053,475.0,,82432,0.0013175271451473236,-0.0038389824330806732,0.5980392694473267,199.7613377571106,0.009919263422489166,0.0026925220154225826
0.0,0.0002503072319086641,,1763260259.2268286,0.21967411041259766,1058,475.0,,82944,0.0001362403854727745,0.0029080770909786224,0.5454750061035156,200.75565552711487,-0.002750490792095661,0.003070016158744693
,,410.0,1763260262.4967587,,1083,,410.0,85378,,,,204.0255856513977,,
0.0,0.0002483103016857058,,1763260264.0942495,-0.8657678365707397,1091,481.0,,86272,0.0001017870381474495,-0.005900338292121887,0.5929632186889648,205.6230764389038,-0.0029019592329859734,0.00014473705959971994
0.0,0.00024738864158280194,,1763260266.8243303,-0.23460805416107178,1106,482.0,,87808,0.0004568193107843399,-0.00735960528254509,0.539027214050293,208.3531572818756,0.012681869789958,0.00018638468463905156
0.0,0.00024669739650562406,,1763260268.8824878,-0.0001302957534790039,1118,483.0,,88960,9.53134149312973e-05,0.00036636367440223694,0.5779942274093628,210.41131472587585,0.002650277689099312,261.3587646484375
0.013671875,0.00024623656645417213,,1763260270.2486415,-0.406980037689209,1125,483.0,,89728,0.003897453658282757,-0.012436248362064362,0.585929274559021,211.77746844291687,0.006718331016600132,0.0010451351990923285
0.001953125,0.0002457757364027202,,1763260271.452637,2.676248550415039e-05,1133,484.0,,90496,0.0013184798881411552,0.003943722695112228,0.5818167328834534,212.98146390914917,-0.008034669794142246,263.5978088378906
0.01171875,0.000245007686316967,,1763260272.9422877,0.5027118921279907,1145,487.0,,91776,0.005000904202461243,-0.03013673610985279,0.5387087464332581,214.47111463546753,0.00978490337729454,0.00014817100600339472
0.001953125,0.0002438556111883372,,1763260275.8729012,-0.04757988452911377,1164,490.0,,93696,0.0016978895291686058,-0.013308286666870117,0.5702515840530396,217.40172815322876,-0.006502597592771053,0.000737630994990468
0.0,0.0002437788061797619,,1763260276.098587,-0.06451249122619629,1165,490.0,,93824,0.0006901603192090988,0.0034244731068611145,0.5369626879692078,217.6274139881134,-0.007754303514957428,6.393214425770566e-05
0.0,0.00024339478113688529,,1763260277.3522458,-6.365776062011719e-05,1172,490.0,,94464,0.00011341366916894913,0.004596613347530365,0.579031229019165,218.8810727596283,-0.0008095940575003624,246.60665893554688
,,500.0,1763260278.941352,,1181,,500.0,95378,,,,220.47017884254456,,
,,500.0,1763260279.8662496,,1186,,500.0,95878,,,,221.3950765132904,,
0.0,0.00024185868096537888,,1763260282.5337443,-0.0032732486724853516,1197,490.0,,97024,0.0009279688820242882,0.006799764931201935,0.578849732875824,224.06257128715515,0.009809569455683231,0.004687132313847542
0.025390625,0.00024101382587105036,,1763260284.4771435,0.0026586055755615234,1213,492.0,,98432,0.0034846793860197067,0.006008945405483246,0.43695855140686035,226.00597047805786,0.02554677426815033,541.5287475585938
0.0,0.00024086021585389972,,1763260284.7979546,-0.37269651889801025,1215,493.0,,98688,0.00012654997408390045,-0.001632440835237503,0.594284176826477,226.32678151130676,-0.004480062052607536,0.0007891232380643487
0.0,0.00024016897077672184,,1763260286.202889,-0.023934006690979004,1226,495.0,,99840,0.001345318742096424,0.0003900565207004547,0.5616394877433777,227.73171591758728,0.010731051675975323,0.0002297650062246248
0.0,0.00023993855575099587,,1763260286.7074826,0.04087036848068237,1230,496.0,,100224,0.000800110399723053,0.0033438075333833694,0.4821939170360565,228.23630952835083,-0.008733263239264488,0.0008676207507960498
0.0,0.00023970814072526991,,1763260287.188371,0.07715946435928345,1234,497.0,,100608,0.0007949043065309525,-0.004538440145552158,0.5429120659828186,228.71719789505005,-0.006651898846030235,0.004440444055944681
0.0,0.00023901689564809203,,1763260288.5756316,0.04785436391830444,1245,499.0,,101760,0.0006033880636096001,-0.0014018416404724121,0.5601531267166138,230.10445857048035,-0.0021708374843001366,0.0006174779846332967
0.0,0.0002384792605880648,,1763260289.6060636,-0.08327329158782959,1254,501.0,,102656,0.0002634674310684204,-0.002516046166419983,0.5600029826164246,231.13489055633545,0.00015108846127986908,0.0048337397165596485
,,500.0,1763260292.5491128,,1271,,500.0,104428,,,,234.07793974876404,,
0.0,0.00023571428027935326,,1763260297.9490647,0.7131694555282593,1299,503.0,,107264,0.0007549989968538284,-0.0046715401113033295,0.4912013113498688,239.4778916835785,0.010210825130343437,0.0003332299820613116
,,500.0,1763260304.4453256,,1339,,500.0,111428,,,,245.97415256500244,,
0.0,0.00023317972954828292,,1763260304.6042216,0.0003045797348022461,1340,507.0,,111488,3.0071474611759186e-05,-0.0006436258554458618,0.47362220287323,246.1330485343933,-0.0006181700155138969,489.77288818359375
,,500.0,1763260305.7715018,,1349,,500.0,112428,,,,247.30032873153687,,
0.0,0.00023172043438535184,,1763260307.729246,0.043905556201934814,1363,511.0,,113920,0.0005167694762349129,-0.01741364225745201,0.483098566532135,249.25807285308838,-0.004653249867260456,0.00017549215408507735
0.0,0.00023164362937677652,,1763260307.9196987,2.390146255493164e-05,1365,511.0,,114048,0.00025117024779319763,0.0020691342651844025,0.44951125979423523,249.44852566719055,0.007576363161206245,353.3075256347656
0.0,0.00023133640934247524,,1763260308.5573697,-0.018972158432006836,1370,511.0,,114560,0.0006806999444961548,-0.005558498203754425,0.4731931984424591,250.08619666099548,-0.0011340603232383728,0.004381705541163683
0.00390625,0.00023072196927387267,,1763260309.8237731,0.1216745376586914,1380,513.0,,115584,0.0033139940351247787,-0.023464815691113472,0.4887920618057251,251.35260009765625,0.009511996060609818,0.005503737833350897
0.02734375,0.00023064516426529735,,1763260309.9567325,-0.23683786392211914,1381,513.0,,115712,0.00394484493881464,-0.009069487452507019,0.5006082057952881,251.48555946350098,-0.0140455923974514,0.00036129288491792977
,,500.0,1763260310.8394318,,1388,,500.0,116428,,,,252.3682587146759,,
0.0,0.00022980030917096883,,1763260311.7841208,-0.16947948932647705,1395,515.0,,117120,0.00028925854712724686,-0.0043212249875068665,0.4658222794532776,253.31294775009155,-0.001059708185493946,0.0032397699542343616
0.0,0.00022956989414524287,,1763260312.2388382,1.2278556823730469e-05,1399,516.0,,117504,0.00025789160281419754,0.002849748358130455,0.46371710300445557,253.76766514778137,0.0033988719806075096,571.4302978515625
0.0,0.00022918586910236627,,1763260312.9613063,0.0351296067237854,1405,517.0,,118144,0.0009850207716226578,-0.0023303329944610596,0.4885484576225281,254.49013328552246,0.005734357982873917,0.0034185857512056828
,,500.0,1763260316.0973802,,1432,,500.0,120928,,,,257.626207113266,,
0.001953125,0.00022749615891370922,,1763260316.1846864,3.534555435180664e-05,1433,522.0,,120960,0.0010664882138371468,-0.0018960535526275635,0.5077894926071167,257.7135133743286,-0.004973539151251316,169.8762664794922
0.0,0.00022611366875935346,,1763260319.9478545,-0.009372353553771973,1455,524.0,,123264,0.0004218118265271187,-0.011575862765312195,0.47966569662094116,261.476681470871,0.007200323976576328,0.0005933274514973164
0.0,0.00022603686375077814,,1763260320.1544394,0.07602095603942871,1456,524.0,,123392,0.0015335287898778915,-0.007039545103907585,0.48100537061691284,261.6832664012909,0.008578788489103317,9.173182479571551e-05
,,500.0,1763260320.2032235,,1457,,500.0,123428,,,,261.73205041885376,,
0.001953125,0.0002224270283477381,,1763260330.0112405,0.103329598903656,1514,527.0,,129408,0.002401287667453289,-0.00897333025932312,0.5760797262191772,271.5400674343109,0.01631002500653267,6.119201862020418e-05
0.0,0.00022204301785677671,,1763260331.0938706,-1.2755393981933594e-05,1521,528.0,,130048,0.00013965461403131485,-0.001590050756931305,0.5989999175071716,272.6226975917816,-0.0008145151659846306,353.43072509765625
0.0,0.00022181260283105075,,1763260331.7092636,-0.0001093149185180664,1525,528.0,,130432,0.001803005114197731,-0.009518098086118698,0.5325644612312317,273.2380905151367,0.005574773997068405,326.63275146484375
0.0,0.0002216589928139001,,1763260332.0867338,0.005402922630310059,1527,528.0,,130688,4.222150892019272e-05,0.003024056553840637,0.5805377960205078,273.6155607700348,-0.000788380391895771,0.000646724016405642
,,500.0,1763260332.366124,,1529,,500.0,130928,,,,273.8949508666992,,
,,500.0,1763260332.9531922,,1534,,500.0,131428,,,,274.4820191860199,,
,,45.0,1763260333.106715,,1536,,45.0,131473,,,,274.63554191589355,,
0.00390625,0.00022073733271099627,,1763260334.0312836,-0.07092690467834473,1543,530.0,,132224,0.002333279699087143,-0.018139827996492386,0.59514319896698,275.56011056900024,-0.01664794608950615,0.001039215363562107
,,500.0,1763260334.2072313,,1545,,500.0,132473,,,,275.73605823516846,,
0.0,0.00022058372269384563,,1763260334.3221667,3.0100345611572266e-05,1546,530.0,,132480,9.472761303186417e-05,0.00027499720454216003,0.6271611452102661,275.85099363327026,0.002286364324390888,392.6968688964844
0.0,0.00021989247761666775,,1763260335.7988865,-7.748603820800781e-06,1558,532.0,,133632,4.78699803352356e-07,4.49400395154953e-05,0.5872393846511841,277.32771348953247,-1.850910484790802e-05,370.177490234375
0.0,0.00021981567260809243,,1763260335.9455702,-0.02515101432800293,1559,532.0,,133760,6.434321403503418e-05,0.0018871836364269257,0.5845186710357666,277.4743971824646,-0.000579269602894783,0.004361969418823719
0.005859375,0.00021958525758236647,,1763260336.4020422,-0.00042450428009033203,1563,533.0,,134144,0.0024139657616615295,-0.0145346000790596,0.5047248005867004,277.930869102478,0.0025267861783504486,528.2008056640625
0.0,0.00021950845257379115,,1763260336.6203136,0.0006862878799438477,1566,533.0,,134272,9.94410365819931e-05,0.0002606678754091263,0.5679835677146912,278.14914059638977,8.627958595752716e-05,522.594482421875
0.0,0.00021812596241943538,,1763260339.1818779,-0.39421844482421875,1588,536.0,,136576,0.0010195216163992882,0.006064277142286301,0.5709680914878845,280.7107048034668,5.718600004911423e-05,0.00044049567077308893
0.0,0.00021804915741086006,,1763260339.409132,-0.06279802322387695,1589,536.0,,136704,0.0011659953743219376,-0.009496638551354408,0.5668694972991943,280.93795895576477,0.013365749269723892,0.00017012172611430287
0.0,0.00021751152235083282,,1763260340.9993083,0.16554081439971924,1597,537.0,,137600,0.00015104841440916061,-0.000775456428527832,0.5216913223266602,282.5281352996826,-0.0029563168063759804,0.00022815661213826388
0.001953125,0.00021689708228223026,,1763260342.7365825,-0.1456660032272339,1607,537.0,,138624,0.0019502434879541397,0.007591944187879562,0.6132616996765137,284.2654094696045,-0.018727511167526245,8.821656228974462e-05
0.0,0.00021682027727365494,,1763260342.999705,5.066394805908203e-06,1609,537.0,,138752,0.00033002719283103943,-0.003387339413166046,0.5499406456947327,284.52853202819824,0.001286190003156662,300.14739990234375
0.0,0.00021674347226507962,,1763260343.1556778,-0.014363408088684082,1610,537.0,,138880,0.0006032353267073631,-0.010698890313506126,0.6037294864654541,284.68450474739075,-0.0011034561321139336,0.002415068680420518
0.0,0.00021658986224792898,,1763260343.5487144,-0.052962660789489746,1612,537.0,,139136,0.0009856084361672401,0.004594713449478149,0.5376895070075989,285.07754135131836,-0.012292302213609219,5.868108564754948e-05
0.0,0.00021574500715360045,,1763260346.0483556,-0.6804265975952148,1626,537.0,,140544,0.0040687937289476395,-0.009899035096168518,0.5544577836990356,287.5771825313568,-0.0047487616539001465,0.00036017803358845413
,,500.0,1763260347.7203767,,1638,,500.0,141716,,,,289.2492036819458,,
,,500.0,1763260354.925641,,1687,,500.0,146716,,,,296.4544680118561,,
0.0,0.00020929340098518878,,1763260360.5916343,-2.0265579223632812e-06,1732,548.0,,151296,3.482494503259659e-05,0.0010456331074237823,0.6223999261856079,302.12046122550964,-0.000516786240041256,297.88201904296875
0.0,0.00020852535089943558,,1763260362.0206826,0.00012767314910888672,1745,550.0,,152576,0.0001390073448419571,-0.002222605049610138,0.5472449064254761,303.5495095252991,-0.0033530034124851227,577.6468505859375
0.015625,0.00020798771583940834,,1763260362.993409,0.07156205177307129,1753,551.0,,153472,0.004428904503583908,-0.0406208261847496,0.5403738021850586,304.5222358703613,0.02747230790555477,0.0001520332007203251
,,500.0,1763260363.0277417,,1754,,500.0,153510,,,,304.5565686225891,,
,,500.0,1763260364.2897503,,1765,,500.0,154613,,,,305.8185772895813,,
0.0,0.00020714286074507982,,1763260364.6448257,-0.016590595245361328,1768,553.0,,154880,0.0008294498547911644,0.006553713232278824,0.5742828249931335,306.1736526489258,0.0017439937219023705,0.00017862698587123305
0.0,0.00020660522568505257,,1763260365.9853246,-0.05490398406982422,1777,554.0,,155776,3.338698297739029e-05,-0.0006268247961997986,0.5181687474250793,307.51415157318115,0.001369875855743885,0.0036869379691779613
0.0,0.000204070660402067,,1763260371.7885973,0.14674782752990723,1818,557.0,,160000,0.001512475311756134,-0.00244961678981781,0.5869875550270081,313.31742429733276,0.00204508937895298,0.0002771008003037423
0.0,0.00020376344036776572,,1763260372.7431798,0.12575101852416992,1823,557.0,,160512,0.0018526054918766022,-0.008436821401119232,0.4877767562866211,314.2720067501068,-1.0525807738304138e-05,0.00018510113295633346
0.0,0.00020207373017910868,,1763260377.5399508,-0.12499332427978516,1851,557.0,,163328,0.00020403973758220673,-0.0022445768117904663,0.5326484441757202,319.0687777996063,-0.0029886048287153244,0.0036051711067557335
