losses/clipfrac,charts/learning_rate,charts/episodic_length,_timestamp,losses/explained_variance,_step,charts/SPS,charts/episodic_return,global_step,losses/approx_kl,losses/policy_loss,losses/entropy,_runtime,losses/old_approx_kl,losses/value_loss
,,,1763260083.3697364,,0,,,0,,,,24.898563385009766,,
0.0,0.0003000000142492354,,1763260084.9754655,0.06282508373260498,7,746.0,,128,0.0004997067153453827,-0.0030132681131362915,0.6927011609077454,26.504292488098145,-0.000610891729593277,32.93611526489258
,,34.0,1763260085.4138823,,33,,34.0,613,,,,26.94270920753479,,
,,18.0,1763260085.6474888,,41,,18.0,793,,,,27.176315784454346,,
,,12.0,1763260085.6924858,,47,,12.0,893,,,,27.221312761306763,,
,,18.0,1763260086.054584,,64,,18.0,1187,,,,27.58341097831726,,
,,52.0,1763260086.5789852,,74,,52.0,1458,,,,28.10781216621399,,
,,28.0,1763260086.8151433,,77,,28.0,1583,,,,28.34397029876709,,
,,78.0,1763260087.5392668,,88,,78.0,2014,,,,29.06809377670288,,
,,98.0,1763260088.5935497,,102,,98.0,2618,,,,30.122376680374146,,
0.0,0.000298463914077729,,1763260088.802045,-0.02494049072265625,104,672.0,,2688,2.5891698896884918e-05,0.0006704553961753845,0.6210672855377197,30.330872058868408,0.0009430842474102974,66.68106842041016
0.0,0.0002977726690005511,,1763260091.0154653,0.12552785873413086,133,618.0,,3840,8.557643741369247e-05,0.0021955417469143867,0.6229887008666992,32.54429221153259,-0.00751419086009264,81.31378173828125
0.0,0.0002973886439576745,,1763260092.5170977,0.0057032108306884766,147,580.0,,4480,0.00043044891208410263,-0.0001597478985786438,0.6257030963897705,34.0459246635437,0.0009947987273335457,76.90847778320312
,,67.0,1763260092.6274385,,149,,67.0,4588,,,,34.15626549720764,,
0.0,0.0002973118389490992,,1763260092.8585994,0.03144431114196777,150,572.0,,4608,0.0003824625164270401,-0.007779665291309357,0.6113315224647522,34.38742637634277,0.007280874997377396,52.84146499633789
,,40.0,1763260093.5221622,,155,,40.0,4882,,,,35.05098915100098,,
,,125.0,1763260093.823962,,157,,125.0,5007,,,,35.3527889251709,,
,,94.0,1763260095.8490367,,172,,94.0,5747,,,,37.37786364555359,,
