global_step,charts/SPS,losses/value_loss,_step,losses/clipfrac,charts/learning_rate,_runtime,losses/entropy,charts/episodic_length,losses/approx_kl,losses/policy_loss,losses/explained_variance,_timestamp,losses/old_approx_kl,charts/episodic_return
0,,,0,,,25.02461886405945,,,,,,1763260083.4839158,,
112,,,7,,,26.426361322402954,,19.0,,,,1763260084.8856583,,19.0
529,,,33,,,26.920044660568237,,14.0,,,,1763260085.3793416,,14.0
675,,,41,,,27.055071353912354,,15.0,,,,1763260085.5143683,,15.0
799,,,47,,,27.176341772079468,,10.0,,,,1763260085.6356387,,10.0
1107,,,64,,,27.477449893951416,,35.0,,,,1763260085.9367468,,35.0
1291,,,74,,,27.716617107391357,,15.0,,,,1763260086.175914,,15.0
1335,,,77,,,27.81989598274231,,19.0,,,,1763260086.279193,,19.0
1766,,,88,,,28.579716682434082,,44.0,,,,1763260087.0390136,,44.0
2155,,,102,,,29.379055500030518,,42.0,,,,1763260087.8383524,,42.0
2203,,,104,,,29.56265163421631,,48.0,,,,1763260088.0219486,,48.0
3968,664.0,71.13041687011719,133,0.0,0.0002976958639919758,32.316304445266724,0.5648407936096191,,0.00024322327226400375,-0.0032093971967697144,-0.010752558708190918,1763260090.7756014,0.00010546576231718063,
4736,620.0,84.10850524902344,147,0.0,0.00029723503394052386,33.97930932044983,0.5769156217575073,,0.0006455928087234497,-0.012317419052124023,0.10949653387069702,1763260092.4386063,0.009490029886364937,
4852,,,149,,,34.100505113601685,,107.0,,,,1763260092.559802,,107.0
4864,609.0,76.49413299560547,150,0.0,0.00029715822893194854,34.3284010887146,0.6147034168243408,,0.0007997788488864899,-0.0049529001116752625,0.25703704357147217,1763260092.787698,-0.0016933176666498184,
5248,591.0,75.68408966064453,155,0.0,0.0002969278139062226,35.21468496322632,0.5789490342140198,,0.0005919458344578743,-0.0032034972682595253,0.1064985990524292,1763260093.673982,0.0014607654884457588,
