charts/episodic_length,losses/explained_variance,losses/clipfrac,_step,charts/SPS,losses/policy_loss,charts/learning_rate,_runtime,losses/approx_kl,global_step,losses/entropy,charts/episodic_return,losses/value_loss,losses/old_approx_kl,_timestamp
,0.06398129463195801,0.0,213,1034.0,-0.0021981149911880493,0.000294393248623237,36.51657724380493,0.00011922698467969894,9472,0.6089540123939514,,51.73819351196289,-0.0007645701989531517,1763260121.9598022
,0.030399978160858154,0.0,217,1031.0,-0.011628374457359314,0.0002942396386060864,36.789055824279785,0.0010626818984746933,9728,0.613113522529602,,49.33491897583008,0.006342912092804909,1763260122.2322807
154.0,,,228,,,,37.65927028656006,,10482,,154.0,,,1763260123.1024952
255.0,,,233,,,,38.12282419204712,,10822,,255.0,,,1763260123.566049
39.0,,,251,,,,39.492660999298096,,12016,,39.0,,,1763260124.935886
70.0,,,259,,,,40.104504346847534,,12538,,70.0,,,1763260125.5477293
314.0,,,265,,,,40.590404748916626,,12956,,314.0,,,1763260126.0336297
,0.006237506866455078,0.0,273,977.0,-0.0011024922132492065,0.0002920122933574021,41.111130714416504,4.012603312730789e-05,13440,0.6017280220985413,,61.31882858276367,7.140357047319412e-05,1763260126.5543556
151.0,,,274,,,,41.14730215072632,,13550,,151.0,,,1763260126.590527
,0.07138776779174805,0.0,292,984.0,3.7364661693573e-06,0.00029109063325449824,42.57435917854309,1.8576160073280334e-05,14976,0.6124374270439148,,53.98185729980469,-0.0009211152791976929,1763260128.017584
85.0,,,321,,,,44.515779972076416,,17133,,85.0,,,1763260129.9590049
,0.3278833031654358,0.0,327,997.0,0.001518741250038147,0.00028955453308299184,44.93376350402832,9.700655937194824e-06,17536,0.5828006267547607,,42.84083938598633,-0.00015978701412677765,1763260130.3769884
,0.008059263229370117,0.0,330,999.0,0.001113496720790863,0.0002894009230658412,45.15733599662781,0.0001055300235748291,17792,0.6282880902290344,,46.409088134765625,-0.004344478249549866,1763260130.600561
309.0,,,332,,,,45.2717010974884,,17929,,309.0,,,1763260130.714926
,-0.01574575901031494,0.0,337,1001.0,0.0024781040847301483,0.0002890168980229646,45.7610924243927,0.0005392320454120636,18432,0.5810495615005493,,47.67613220214844,-0.001922784373164177,1763260131.2043173
119.0,,,340,,,,45.91760444641113,,18683,,119.0,,,1763260131.3608294
125.0,,,370,,,,47.90836048126221,,20787,,125.0,,,1763260133.3515854
177.0,,,375,,,,48.23936152458191,,21154,,177.0,,,1763260133.6825864
309.0,,,396,,,,49.802220821380615,,22880,,309.0,,,1763260135.2454457
,0.6110915541648865,0.0,425,1020.0,0.007802523672580719,0.0002848694275598973,52.18958401679993,0.0013336613774299622,25344,0.5812860131263733,,23.355812072753906,0.004554683342576027,1763260137.632809
239.0,,,441,,,,53.3502402305603,,26598,,239.0,,,1763260138.7934651
,0.08696693181991577,0.0,450,1023.0,0.0016240496188402176,0.0002837173524312675,53.99560546875,9.881332516670227e-05,27264,0.6068905591964722,,21.300071716308594,-0.0027811266481876373,1763260139.4388304
,0.6144053936004639,0.0,471,1026.0,0.0001032017171382904,0.00028271888731978834,55.55327320098877,0.0001298747956752777,28928,0.5752243399620056,,33.069847106933594,0.0005380697548389435,1763260140.996498
,-0.011364459991455078,0.0,481,1027.0,0.005160704255104065,0.0002822580572683364,56.269869804382324,0.0010796468704938889,29696,0.5220716595649719,,124.2616958618164,0.01483503170311451,1763260141.7130947
,0.7859751582145691,0.0,490,1029.0,0.0020221397280693054,0.0002817972272168845,56.943342208862305,0.00022851023823022842,30464,0.6134242415428162,,12.762680053710938,-0.002701808698475361,1763260142.386567
230.0,,,504,,,,58.0215106010437,,31687,,230.0,,,1763260143.4647355
,0.06774598360061646,0.0,515,1033.0,-0.0009214803576469421,0.00028056834707967937,58.81730127334595,2.3361295461654663e-05,32512,0.5605964064598083,,92.27644348144531,0.0013672392815351486,1763260144.2605262
272.0,,,530,,,,59.98623323440552,,33814,,272.0,,,1763260145.4294581
100.0,,,539,,,,60.72409176826477,,34623,,100.0,,,1763260146.1673167
,0.9094882607460022,0.0,547,1035.0,-0.0060006994754076,0.0002788786368910223,61.47042179107666,0.002761492505669594,35328,0.6455373764038086,,12.937393188476562,-0.014417765662074089,1763260146.9136467
158.0,,,555,,,,61.96846270561218,,35882,,158.0,,,1763260147.4116876
376.0,,,559,,,,62.3152642250061,,36258,,376.0,,,1763260147.7584891
500.0,,,568,,,,63.03851008415222,,37057,,500.0,,,1763260148.481735
,-0.0024198293685913086,0.0,595,1040.0,0.0001354394480586052,0.0002764976816251874,65.11411738395691,0.00039662234485149384,39296,0.5745187997817993,,85.57994842529297,-0.005347643047571182,1763260150.5573423
,-0.03257298469543457,0.0,612,1043.0,-0.004923425614833832,0.000275576050626114,66.50792932510376,6.933510303497314e-05,40832,0.5411788821220398,,194.75018310546875,0.005721986293792725,1763260151.9511542
,-0.2972583770751953,0.0,614,1042.0,0.0024269185960292816,0.00027542244060896337,66.78565454483032,0.0002185925841331482,41088,0.562418520450592,,9.709056854248047,-0.0019288398325443268,1763260152.2288795
179.0,,,630,,,,67.83887386322021,,42263,,179.0,,,1763260153.2820988
,-0.021770954132080078,0.0,636,1045.0,-0.007513076066970825,0.0002743471704889089,68.38908910751343,0.00012825150042772293,42880,0.5686964988708496,,112.88733673095703,-0.0028584739193320274,1763260153.832314
,0.5520708560943604,0.0,640,1044.0,-0.0046981945633888245,0.0002741167554631829,68.78197193145752,0.00026835035532712936,43264,0.5638372302055359,,4.498623847961426,0.0007028887048363686,1763260154.2251968
85.0,,,650,,,,69.40253067016602,,44023,,85.0,,,1763260154.8457556
81.0,,,664,,,,70.21428728103638,,44885,,81.0,,,1763260155.6575122
,-0.8883668184280396,0.0,684,1047.0,0.0003836732357740402,0.0002721966302487999,71.70007491111755,0.0001415349543094635,46464,0.5974796414375305,,8.39726448059082,-0.0015935953706502914,1763260157.1432998
,-0.27650630474090576,0.0,689,1048.0,-0.0018320754170417786,0.00027188941021449864,72.17328786849976,0.00011763256043195724,46976,0.54706871509552,,4.37637996673584,-0.0017833421006798744,1763260157.6165128
389.0,,,698,,,,72.90697693824768,,47853,,389.0,,,1763260158.3502018
,0.1711229681968689,0.0,702,1050.0,-0.005228927358984947,0.00027112136012874544,73.32044243812561,0.00046156346797943115,48256,0.4874344766139984,,42.77487564086914,-0.0019886568188667297,1763260158.7636673
,0.8962580561637878,0.12109375,707,1050.0,-0.023605167865753174,0.00027081414009444416,73.78717875480652,0.010129944421350956,48768,0.5015337467193604,,2.8086838722229004,0.0031613027676939964,1763260159.2304037
239.0,,,729,,,,75.78782391548157,,50913,,239.0,,,1763260161.2310488
,-0.16524887084960938,0.0,757,1047.0,-0.008786626160144806,0.000267895549768582,78.54611825942993,0.0011257296428084373,53632,0.5198935866355896,,1.295904278755188,-0.001842469908297062,1763260163.9893432
,0.6200233697891235,0.0,762,1047.0,1.1797994375228882e-05,0.0002675883297342807,79.03347444534302,4.5093707740306854e-05,54144,0.5268695950508118,,1.1491951942443848,-0.002011398784816265,1763260164.4766994
,-0.35061681270599365,0.0,767,1046.0,-0.003291783854365349,0.0002672811096999794,79.58821773529053,0.00019450485706329346,54656,0.5399978160858154,,0.9231722950935364,-0.0002796091139316559,1763260165.0314426
,0.012277960777282715,0.0,775,1046.0,-0.0012745335698127747,0.0002668202796485275,80.31834387779236,2.184417098760605e-05,55424,0.5098913311958313,,1.0453075170516968,-0.0013146037235856056,1763260165.7615688
181.0,,,788,,,,81.5309157371521,,56757,,181.0,,,1763260166.9741406
,0.031107962131500244,0.0,797,1048.0,-0.0018843002617359161,0.00026551459450274706,82.30471587181091,5.56381419301033e-05,57600,0.5527558326721191,,234.9131622314453,-0.002887462265789509,1763260167.7479408
,-0.03768932819366455,0.0,806,1049.0,0.0007393695414066315,0.0002649769594427198,83.12349653244019,0.00014079175889492035,58496,0.54095458984375,,0.5345689654350281,0.0003280956298112869,1763260168.5667214
,-0.10750114917755127,0.0,815,1049.0,0.0035248082131147385,0.0002644393243826926,83.94097232818604,7.451605051755905e-05,59392,0.566960871219635,,0.30372682213783264,0.0007041813805699348,1763260169.3841972
,-0.002498149871826172,0.0,863,1051.0,0.0006905421614646912,0.0002618279540911317,87.96070885658264,1.1621974408626556e-05,63744,0.4818197190761566,,246.43060302734375,-0.0007109930738806725,1763260173.4039338
500.0,,,872,,,,88.7627341747284,,64690,,500.0,,,1763260174.205959
,-0.6458208560943604,0.0,876,1053.0,0.0034647993743419647,0.00026098309899680316,89.22816348075867,0.0003103036433458328,65152,0.5961769819259644,,0.006848108489066362,-0.0008730348199605942,1763260174.6713884
,-0.034975290298461914,0.0,922,1056.0,0.003943230956792831,0.00025821811868809164,93.41690683364868,0.003492852672934532,69760,0.5667673945426941,,0.0003821471182163805,0.01821090653538704,1763260178.8601317
,0.07386767864227295,0.00390625,930,1056.0,-0.012647425755858421,0.00025783409364521503,93.98028564453125,0.004906105808913708,70400,0.5740340352058411,,0.0020363633520901203,0.020127126947045326,1763260179.4235106
500.0,,,938,,,,94.6906521320343,,71169,,500.0,,,1763260180.133877
,-1.6632792949676514,0.0546875,941,1057.0,-0.0009135156869888306,0.00025714284856803715,95.02677345275879,0.013512453064322472,71552,0.5703585147857666,,0.0003227358392905444,0.012402397580444813,1763260180.4699984
500.0,,,942,,,,95.09651041030884,,71669,,500.0,,,1763260180.5397353
,-0.0009390115737915039,0.0,948,1057.0,0.004042759537696838,0.00025675882352516055,95.62176609039307,0.0016659768298268318,72192,0.5113585591316223,,87.0909423828125,0.00048193056136369705,1763260181.064991
,0.17940330505371094,0.0,974,1059.0,-0.015957988798618317,0.0002551459183450788,98.04177784919739,0.001891806721687317,74880,0.5363380312919617,,0.0033708165865391493,0.0018080789595842361,1763260183.4850028
,0.12865126132965088,0.0078125,980,1059.0,-0.008122140541672707,0.0002547618933022022,98.63806557655334,0.001733018085360527,75520,0.5565500259399414,,0.0005122855072841048,0.0008682385087013245,1763260184.0812905
,-0.6689114570617676,0.005859375,985,1060.0,-0.0013862401247024536,0.00025445467326790094,99.0827751159668,0.0055412957444787025,76032,0.5467095375061035,,0.0007047828985378146,0.016769884154200554,1763260184.526
,0.06515383720397949,0.009765625,995,1060.0,0.0005142763257026672,0.0002538402331992984,100.01342344284058,0.0016348091885447502,77056,0.5533754229545593,,0.00017802535148803145,0.0028402647003531456,1763260185.4566483
,-0.0002257823944091797,0.0,997,1060.0,-0.01141891349107027,0.00025376342819072306,100.12761998176575,0.0010173488408327103,77184,0.4920039772987366,,379.8150329589844,0.0027027465403079987,1763260185.570845
,0.27319079637527466,0.0,1015,1061.0,-0.010883405804634094,0.00025261135306209326,101.86749243736267,0.001550951972603798,79104,0.514661431312561,,5.546578177018091e-05,0.005869200453162193,1763260187.3107173
,-0.6910848617553711,0.0,1020,1062.0,-0.006374213844537735,0.000252304133027792,102.31536912918091,0.0014073550701141357,79616,0.5835517644882202,,0.00019324658205732703,0.0021945349872112274,1763260187.758594
500.0,,,1031,,,,103.25921058654785,,80669,,500.0,,,1763260188.7024355
,-0.02760016918182373,0.00390625,1050,1063.0,-0.02289392054080963,0.00025053764693439007,105.00917291641235,0.003789125010371208,82560,0.49108806252479553,,0.006734383292496204,0.021626140922307968,1763260190.4523978
500.0,,,1053,,,,105.2452757358551,,82851,,500.0,,,1763260190.6885006
500.0,,,1058,,,,105.7219910621643,,83351,,500.0,,,1763260191.165216
,-3.612041473388672e-05,0.0,1083,1064.0,0.0007668891921639442,0.00024854071671143174,108.04736256599426,0.0011083092540502548,85888,0.5282657742500305,,337.77886962890625,0.001371202990412712,1763260193.4905875
,-0.07992708683013916,0.015625,1091,1064.0,-0.02187492325901985,0.0002480030816514045,108.89594268798828,0.006062723696231842,86784,0.4831244945526123,,0.0001505847176304087,0.03364595025777817,1763260194.3391676
,-0.16144847869873047,0.005859375,1106,1065.0,-0.004493698477745056,0.00024708142154850066,110.28095126152039,0.005832395516335964,88320,0.5475062727928162,,0.00016783547471277416,-0.045966122299432755,1763260195.7241762
,-5.5789947509765625e-05,0.0,1118,1065.0,-0.0023880787193775177,0.0002463901764713228,111.32222843170166,0.00027730967849493027,89472,0.5619769096374512,,77.15660858154297,0.0030539287254214287,1763260196.7654533
,-1.1765010356903076,0.08203125,1125,1065.0,-0.030520858243107796,0.00024592934641987085,112.02928113937378,0.01629815250635147,90240,0.42595237493515015,,0.00019466043158899993,0.04764996096491814,1763260197.472506
,0.03602719306945801,0.0,1133,1066.0,0.004028556868433952,0.00024546851636841893,112.70284700393677,0.0007583033293485641,91008,0.5780571699142456,,0.0058579109609127045,0.00481080636382103,1763260198.146072
,0.11948877573013306,0.0,1145,1066.0,-0.0018964707851409912,0.00024470046628266573,113.89305543899536,0.00016558915376663208,92288,0.5691210031509399,,0.0001379762834403664,-0.0037061870098114014,1763260199.3362803
,-0.20080268383026123,0.0,1164,1066.0,-0.00302254781126976,0.00024354839115403593,115.66092538833618,0.0009420095011591911,94208,0.4680710732936859,,0.0007851456757634878,0.004208487458527088,1763260201.1041503
,0.052083492279052734,0.0,1165,1067.0,-0.00691266730427742,0.0002434715861454606,115.77247667312622,0.0008071307092905045,94336,0.4956526458263397,,0.0001823180355131626,-0.012487959116697311,1763260201.2157016
,2.8908252716064453e-05,0.0,1172,1067.0,-0.01206156611442566,0.000243087561102584,116.37119626998901,0.0006079217419028282,94976,0.5299685001373291,,0.00884605385363102,0.001650945283472538,1763260201.8144212
,-9.47713851928711e-05,0.0,1181,1067.0,0.001004144549369812,0.00024254992604255676,117.19053196907043,3.917142748832703e-06,95872,0.4142569303512573,,529.086669921875,-0.00020195730030536652,1763260202.6337569
,-1.633167266845703e-05,0.0,1186,1067.0,0.0030008479952812195,0.00024224270600825548,117.63639640808105,0.00010327249765396118,96384,0.4632992744445801,,122.70369720458984,0.003589695319533348,1763260203.0796213
,-0.09222960472106934,0.0,1197,1067.0,-0.0014183223247528076,0.0002415514609310776,118.71571612358093,2.174917608499527e-05,97536,0.4878750443458557,,0.006410670466721058,0.0005100322887301445,1763260204.158941
,-0.016952872276306152,0.0,1213,1067.0,-0.00016240030527114868,0.00024055299581959844,120.26144504547119,0.000352734699845314,99200,0.4688822627067566,,0.0007363608456216753,-0.006522973999381065,1763260205.70467
500.0,,,1215,,,,120.39137887954712,,99351,,500.0,,,1763260205.8346038
,0.12813794612884521,0.001953125,1226,1067.0,-0.008894886821508408,0.00023978494573384523,121.47585010528564,0.002148829400539398,100480,0.543308675289154,,0.004299463238567114,-0.006984999403357506,1763260206.919075
,3.629922866821289e-05,0.0,1230,1067.0,-0.007362440228462219,0.00023955453070811927,121.83473181724548,0.0009593702852725983,100864,0.5615515112876892,,308.2784423828125,-0.0032985731959342957,1763260207.2779567
500.0,,,1234,,,,122.24212551116943,,101351,,500.0,,,1763260207.6853504
,-0.00015866756439208984,0.0,1245,1067.0,-0.0017465204000473022,0.00023863287060521543,123.24966239929199,0.00036472827196121216,102400,0.5663846731185913,,389.9044189453125,0.0011576320976018906,1763260208.6928873
500.0,,,1254,,,,124.09083104133606,,103351,,500.0,,,1763260209.534056
,-0.20552968978881836,0.0,1271,1067.0,0.011564802378416061,0.0002370199654251337,125.76890158653259,0.002018042840063572,105088,0.5292893648147583,,0.005241207778453827,0.007958182133734226,1763260211.2121265
,-0.00026607513427734375,0.0,1299,1068.0,-0.005831621587276459,0.00023533025523647666,128.30282592773438,0.0008617043495178223,107904,0.5180595517158508,,471.90203857421875,-0.00031980685889720917,1763260213.7460508
,0.18187659978866577,0.0,1339,1070.0,0.004104508087038994,0.00023287250951398164,132.0252914428711,0.0011867564171552658,112000,0.5333608388900757,,0.004616606514900923,-0.004062244668602943,1763260217.4685163
,0.3776286840438843,0.00390625,1340,1070.0,-0.00029380619525909424,0.00023279570450540632,132.13728308677673,0.003991372883319855,112128,0.445492148399353,,0.0004586864961311221,-0.004488805308938026,1763260217.580508
,-0.1159127950668335,0.0,1349,1070.0,-0.016040153801441193,0.00023225806944537908,132.95671319961548,0.002468261867761612,113024,0.4586372673511505,,0.005213390104472637,0.005319557152688503,1763260218.399938
,-9.989738464355469e-05,0.0,1363,1070.0,0.004308011382818222,0.00023141321435105056,134.2223198413849,0.00015046913176774979,114432,0.44102370738983154,,444.4716491699219,-0.00021696928888559341,1763260219.6655447
,0.34190142154693604,0.0,1365,1071.0,0.021260123699903488,0.00023125960433389992,134.4440381526947,0.0025696344673633575,114688,0.4731971025466919,,0.0005061784177087247,0.011153940111398697,1763260219.887263
,-0.0018286705017089844,0.0,1370,1071.0,0.006197478622198105,0.00023095238429959863,134.92183303833008,0.002049005590379238,115200,0.504183292388916,,0.0006460738950408995,-0.0075513264164328575,1763260220.365058
,0.34390515089035034,0.0,1380,1071.0,-0.0007915422320365906,0.00023033794423099607,135.8289234638214,3.0414201319217682e-05,116224,0.48029160499572754,,0.0006866131443530321,-0.0030213436111807823,1763260221.2721484
500.0,,,1381,,,,135.90221118927002,,116351,,500.0,,,1763260221.345436
,0.20791161060333252,0.0,1388,1071.0,-0.0027370192110538483,0.00022987711417954415,136.5357527732849,0.0011779097840189934,116992,0.43639954924583435,,0.004207678604871035,0.000821155495941639,1763260221.9789777
,0.14393049478530884,0.001953125,1395,1071.0,0.017720425501465797,0.00022941628412809223,137.23947763442993,0.0041315266862511635,117760,0.4626496136188507,,0.00023858618806116283,-0.01679188571870327,1763260222.6827025
,-0.19844961166381836,0.0,1399,1071.0,-0.005521103739738464,0.00022918586910236627,137.57401156425476,0.0008652079850435257,118144,0.4818478226661682,,0.0005764609086327255,-0.003934141248464584,1763260223.0172365
,-0.4066329002380371,0.0,1405,1072.0,-0.021744713187217712,0.00022880184405948967,138.16597175598145,0.002831876277923584,118784,0.5291846394538879,,0.00037971994606778026,0.010153759270906448,1763260223.6091967
,0.00024360418319702148,0.0,1432,1072.0,0.011043261736631393,0.00022718893887940794,140.60030484199524,0.0008541624993085861,121472,0.4715745151042938,,221.63021850585938,0.0022462699562311172,1763260226.0435297
,0.434648334980011,0.005859375,1433,1072.0,-0.0016227476298809052,0.00022711213387083262,140.71074557304382,0.0066588278859853745,121600,0.4658403694629669,,0.005828366614878178,0.06406491994857788,1763260226.1539705
500.0,,,1455,,,,142.736310005188,,123851,,500.0,,,1763260228.179535
,0.00042754411697387695,0.0,1456,1073.0,-0.0007506310939788818,0.00022572964371647686,142.82236742973328,0.0003643939271569252,123904,0.4726552367210388,,339.00616455078125,-0.0009502684697508812,1763260228.2655923
,-0.014092803001403809,0.0,1457,1073.0,-1.3571232557296753e-05,0.00022565283870790154,142.93224167823792,0.00025336164981126785,124032,0.5193288326263428,,0.004179352894425392,-0.011057198978960514,1763260228.3754666
500.0,,,1514,,,,148.217045545578,,129851,,500.0,,,1763260233.6602705
,-0.2856416702270508,0.01171875,1521,1074.0,-0.02834203466773033,0.00022173579782247543,148.9214072227478,0.004945157095789909,130560,0.5118076801300049,,0.008554119616746902,0.019858557730913162,1763260234.3646321
,0.00015491247177124023,0.0,1525,1074.0,-0.001357806846499443,0.00022150538279674947,149.25803399085999,0.0004766210913658142,130944,0.49141597747802734,,449.6971435546875,0.012901568785309792,1763260234.701259
,0.2578730583190918,0.00390625,1527,1074.0,-0.028168100863695145,0.00022135177277959883,149.5140380859375,0.0030116867274045944,131200,0.5164103507995605,,0.00019396869174670428,0.00023166276514530182,1763260234.957263
500.0,,,1529,,,,149.6359782218933,,131351,,500.0,,,1763260235.0792031
500.0,,,1534,,,,150.07802033424377,,131851,,500.0,,,1763260235.5212452
,0.30776214599609375,0.0,1536,1074.0,-0.007545597851276398,0.0002208141377195716,150.29568576812744,0.0015868423506617546,132096,0.4828281104564667,,0.007840653881430626,-0.011695492081344128,1763260235.7389107
500.0,,,1543,,,,150.9248046875,,132851,,500.0,,,1763260236.3680296
,0.13618576526641846,0.0,1545,1074.0,0.00039166398346424103,0.00022027650265954435,151.11052870750427,0.000906599685549736,132992,0.5257076621055603,,0.005216478835791349,0.012712875381112099,1763260236.5537536
,0.17212045192718506,0.0,1546,1074.0,-0.004625963047146797,0.00022019969765096903,151.22311305999756,0.0001355540007352829,133120,0.5317862033843994,,0.0004473820445127785,0.003076557070016861,1763260236.666338
,-0.00017893314361572266,0.0,1558,1074.0,-0.001071251928806305,0.00021950845257379115,152.28044199943542,0.00025872793048620224,134272,0.5201156735420227,,335.6981506347656,-0.003299596719443798,1763260237.723667
,0.014542937278747559,0.001953125,1559,1074.0,0.0027170777320861816,0.00021943164756521583,152.3917784690857,0.002486453391611576,134400,0.5504609942436218,,0.006175212096422911,-0.003321707248687744,1763260237.8350034
,0.0001825094223022461,0.0,1563,1074.0,-0.0019807592034339905,0.00021920123253948987,152.7950518131256,0.0002755001187324524,134784,0.5149800777435303,,324.2806091308594,-0.007448028773069382,1763260238.2382767
,0.14535945653915405,0.0,1566,1074.0,-0.0007007196545600891,0.0002189708175137639,153.14871621131897,0.00037049781531095505,135168,0.5226854085922241,,0.0003986931114923209,0.0007376400753855705,1763260238.591941
,0.0003477334976196289,0.0,1588,1074.0,-0.004484381526708603,0.00021766513236798346,155.18792057037354,0.0018521351739764214,137344,0.553410530090332,,429.23876953125,0.01837613806128502,1763260240.6311455
,-0.3197401762008667,0.0,1589,1074.0,-0.00042006373405456543,0.00021758832735940814,155.29795503616333,0.0011549219489097595,137472,0.5058645009994507,,0.0037865303456783295,0.0013171136379241943,1763260240.74118
,-0.00015664100646972656,0.0,1597,1074.0,-0.006192700006067753,0.00021712749730795622,156.0000901222229,0.0005055321380496025,138240,0.4840458929538727,,416.5592041015625,-0.0038638627156615257,1763260241.443315
,8.112192153930664e-05,0.0,1607,1074.0,-0.0006842538714408875,0.00021651305723935366,156.9343614578247,0.00020918715745210648,139264,0.5057402849197388,,372.6069030761719,-0.0002582566812634468,1763260242.3775864
,-0.07833647727966309,0.0,1609,1074.0,-0.0057846903800964355,0.00021635944722220302,157.16029405593872,0.00029092561453580856,139520,0.5562695860862732,,0.0006406066240742803,0.0037536704912781715,1763260242.603519
,-0.29899346828460693,0.0,1610,1074.0,-0.0012819068506360054,0.0002162826422136277,157.26967573165894,7.896311581134796e-05,139648,0.5139291882514954,,0.00024091228260658681,0.0011986978352069855,1763260242.7129006
,3.319978713989258e-05,0.0,1612,1075.0,-0.00038595497608184814,0.00021620583720505238,157.38434100151062,3.566313534975052e-05,139776,0.5580876469612122,,488.155517578125,0.0005893195047974586,1763260242.827566
500.0,,,1626,,,,158.67577290534973,,141227,,500.0,,,1763260244.1189978
,0.003335118293762207,0.0,1638,1075.0,-0.001943877199664712,0.00021459293202497065,159.84857535362244,0.0007777884602546692,142464,0.48504751920700073,,0.006848086137324572,-0.0048289187252521515,1763260245.2918003
,-0.03839254379272461,0.0,1687,1075.0,-0.0014204606413841248,0.00021159753669053316,164.43292760849,0.00024660490453243256,147456,0.3901730179786682,,0.006809396203607321,0.00024097412824630737,1763260249.8761525
,-0.03253817558288574,0.0,1732,1076.0,-0.007091701030731201,0.00020883257093373686,168.5918219089508,0.0005947006866335869,152064,0.4878688454627991,,0.00022972645820118487,-0.005060230381786823,1763260254.0350468
,8.022785186767578e-05,0.0,1745,1076.0,-0.003988005220890045,0.00020806452084798366,169.76039576530457,0.00010398123413324356,153344,0.5064151287078857,,151.67958068847656,0.00048174988478422165,1763260255.2036207
500.0,,,1753,,,,170.50464367866516,,154227,,500.0,,,1763260255.9478686
,-0.00013005733489990234,0.0,1754,1076.0,-0.0007137171924114227,0.00020752688578795642,170.5773937702179,0.00023353006690740585,154240,0.6039261817932129,,197.82058715820312,-0.0007669022306799889,1763260256.0206187
,-2.471096992492676,0.0078125,1765,1076.0,0.004785940051078796,0.00020683564071077853,171.66253924369812,0.001973504200577736,155392,0.5552818179130554,,0.001809548120945692,0.0021697133779525757,1763260257.1057642
,-2.3506736755371094,0.0,1768,1076.0,-0.001805681735277176,0.0002066820306936279,171.8954999446869,0.0002340143546462059,155648,0.5181058645248413,,0.010737349279224873,-0.0018519880250096321,1763260257.3387249
,-1.0108599662780762,0.0,1777,1076.0,-0.003441775217652321,0.00020614439563360065,172.73085808753967,0.001623435877263546,156544,0.5533028244972229,,0.00849453080445528,-0.002792974002659321,1763260258.174083
,-0.15632808208465576,0.0,1818,1077.0,-0.013898029923439026,0.00020360983035061508,176.56563210487366,0.0037382449954748154,160768,0.4713846445083618,,0.00025553529849275947,-0.007621206343173981,1763260262.008857
,-0.14062416553497314,0.00390625,1823,1077.0,0.004957476630806923,0.0002033026103163138,177.05129384994507,0.00241264421492815,161280,0.47925281524658203,,0.0001224841980729252,-0.0025106584653258324,1763260262.4945188
,-4.252747058868408,0.0,1851,1077.0,-0.029147610068321228,0.00020161290012765676,179.59986472129822,0.0019023315981030464,164096,0.5365913510322571,,0.0015808114549145103,0.013047630898654461,1763260265.0430896
,-0.7296197414398193,0.0,1856,1077.0,0.0019901245832443237,0.00020130568009335548,180.08422327041626,0.0004052678123116493,164608,0.47179368138313293,,0.00033340282971039414,0.0020941803231835365,1763260265.5274482
500.0,,,1868,,,,181.15533113479614,,165844,,500.0,,,1763260266.598556
500.0,,,1873,,,,181.60050582885742,,166344,,500.0,,,1763260267.0437307
,-1.0887031555175781,0.001953125,1877,1078.0,-0.0173138827085495,0.00019999999494757503,182.05885815620422,0.0013424260541796684,166784,0.5489917397499084,,0.00015171889390330762,-0.013643226586282253,1763260267.502083
,-0.15536940097808838,0.0,1886,1078.0,-0.0026932386681437492,0.0001994623598875478,182.84274530410767,0.000758148729801178,167680,0.552505612373352,,0.00035925061092711985,-0.0014655031263828278,1763260268.2859702
