charts/episodic_length,losses/explained_variance,losses/clipfrac,_step,charts/SPS,losses/policy_loss,charts/learning_rate,_runtime,losses/approx_kl,global_step,losses/entropy,charts/episodic_return,losses/value_loss,losses/old_approx_kl,_timestamp
,,,0,,,,26.006098985671997,,0,,,,,1763260111.449324
21.0,,,7,,,,27.461113452911377,,102,,21.0,,,1763260112.9043384
21.0,,,33,,,,27.97650384902954,,584,,21.0,,,1763260113.4197288
35.0,,,41,,,,28.113731145858765,,736,,35.0,,,1763260113.556956
14.0,,,47,,,,28.24867343902588,,857,,14.0,,,1763260113.6918983
19.0,,,64,,,,28.73181176185608,,1368,,19.0,,,1763260114.1750367
55.0,,,74,,,,29.068819999694824,,1723,,55.0,,,1763260114.512045
95.0,,,77,,,,29.190354108810425,,1869,,95.0,,,1763260114.633579
47.0,,,88,,,,29.562979459762573,,2219,,47.0,,,1763260115.0062044
,0.09728282690048218,0.0,102,1020.0,-0.004693539813160896,0.00029838710906915367,30.122776985168457,0.0005120914429426193,2816,0.6021580696105957,,69.63197326660156,-0.0007798206061124802,1763260115.566002
,0.20378148555755615,0.0,104,1025.0,-0.0035672560334205627,0.00029831030406057835,30.234084844589233,0.0002484545111656189,2944,0.5666281580924988,,95.22742462158203,0.005253175273537636,1763260115.6773098
93.0,,,133,,,,31.452486276626587,,4277,,93.0,,,1763260116.8957112
292.0,,,147,,,,32.27783179283142,,5237,,292.0,,,1763260117.7210567
,0.2800769805908203,0.0,149,1050.0,-0.00534423440694809,0.00029685100889764726,32.48010563850403,0.00021985918283462524,5376,0.612813413143158,,96.30571746826172,0.003260444849729538,1763260117.9233305
188.0,,,150,,,,32.49829363822937,,5425,,188.0,,,1763260117.9415185
31.0,,,155,,,,32.74468445777893,,5741,,31.0,,,1763260118.1879094
23.0,,,157,,,,32.823527812957764,,5764,,23.0,,,1763260118.2667527
174.0,,,172,,,,33.65484380722046,,6708,,174.0,,,1763260119.0980687
58.0,,,195,,,,35.032719135284424,,8256,,58.0,,,1763260120.475944
,0.2154044508934021,0.0,203,1073.0,0.00022399425506591797,0.00029485407867468894,35.466652393341064,0.0007762778550386429,8704,0.5884690284729004,,49.683258056640625,-0.006581991910934448,1763260120.9098773
