_step,_runtime,global_step,_timestamp,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss,charts/episodic_length,charts/episodic_return
0,2.3522467613220215,0,1763260030.6591496,,,,,,,,,,,
7,3.4637978076934814,128,1763260031.7707007,0.0006415527313947678,-0.008908390998840332,0.00717853382229805,0.0,-0.01608334481716156,0.6924408674240112,0.0003000000142492354,1022.0,19.44698715209961,,
33,3.970242977142334,642,1763260032.2771459,,,,,,,,,,31.0,31.0
41,4.107036113739014,797,1763260032.413939,,,,,,,,,,27.0,27.0
47,4.408051252365112,1026,1763260032.7149541,,,,,,,,,,98.0,98.0
64,5.027063608169556,1664,1763260033.3339665,3.329664468765259e-05,-0.03264796733856201,0.001787012442946434,0.0,-0.0019498616456985474,0.66251540184021,0.00029907835414633155,985.0,25.743608474731445,,
74,5.305715084075928,2035,1763260033.612618,,,,,,,,,,39.0,39.0
77,5.40458869934082,2097,1763260033.7114916,,,,,,,,,,11.0,11.0
88,5.872956037521362,2560,1763260034.179859,8.831825107336044e-05,0.38843393325805664,-0.0017722295597195625,0.0,-0.0005938522517681122,0.6393412947654724,0.0002985407190863043,1010.0,33.608482360839844,,
102,6.451757431030273,3200,1763260034.7586603,0.0007062675431370735,-0.08769643306732178,-0.002857963554561138,0.0,-0.014246540144085884,0.6526053547859192,0.0002981566940434277,1027.0,25.913921356201172,,
104,6.600480079650879,3439,1763260034.907383,,,,,,,,,,287.0,287.0
133,8.112701654434204,5106,1763260036.4196045,,,,,,,,,,198.0,198.0
147,8.997666358947754,6022,1763260037.3045692,,,,,,,,,,156.0,156.0
149,9.218879699707031,6272,1763260037.5257826,2.153310924768448e-05,0.20803749561309814,0.001466234214603901,0.0,-0.00030206143856048584,0.586622416973114,0.00029631337383762,1066.0,25.82137680053711,,
150,9.23698878288269,6313,1763260037.5438917,,,,,,,,,,291.0,291.0
155,9.482125282287598,6601,1763260037.7890282,,,,,,,,,,109.0,109.0
157,9.605885028839111,6760,1763260037.912788,,,,,,,,,,159.0,159.0
172,10.818467140197754,8064,1763260039.12537,0.0020234324038028717,0.2670218348503113,0.014092696830630302,0.0,-0.027176138013601303,0.5761012434959412,0.00029523810371756554,1078.0,19.017688751220703,,
195,12.583061933517456,9973,1763260040.8899648,,,,,,,,,,277.0,277.0
203,13.486208200454712,10624,1763260041.793111,0.0016775624826550484,0.04526275396347046,0.006892372854053974,0.0,-0.012811027467250824,0.5923064351081848,0.00029370200354605913,1046.0,21.697505950927734,,
213,14.53533148765564,11520,1763260042.8422344,3.640633076429367e-05,0.235198974609375,0.0011980636045336723,0.0,-0.0008441619575023651,0.5839389562606812,0.0002931643684860319,1028.0,18.061843872070312,,
217,14.856617212295532,11776,1763260043.16352,0.00020729843527078629,0.034970223903656006,0.0029757125303149223,0.0,0.0003614984452724457,0.5939294695854187,0.00029301075846888125,1022.0,18.266895294189453,,
228,15.63749885559082,12537,1763260043.9444017,,,,,,,,,,125.0,125.0
233,15.901625871658325,12768,1763260044.2085288,,,,,,,,,,62.0,62.0
251,17.196534872055054,14080,1763260045.5034378,0.0009843753650784492,0.18669188022613525,-0.006077614612877369,0.0,0.006673485040664673,0.5701890587806702,0.0002916282683145255,1016.0,17.338064193725586,,
259,17.6949622631073,14592,1763260046.0018651,4.5649707317352295e-05,0.764035165309906,-0.0015393886715173721,0.0,-0.0009695105254650116,0.5496187806129456,0.0002913210482802242,1016.0,14.47205924987793,,
265,18.14056134223938,15104,1763260046.4474642,0.0009828126057982445,0.000349581241607666,0.002182229422032833,0.0,-0.004652377218008041,0.5578158497810364,0.0002910138282459229,1020.0,14.72815227508545,,
273,18.638503551483154,15634,1763260046.9454064,,,,,,,,,,152.0,152.0
274,18.74310278892517,15744,1763260047.0500057,0.0002231290563941002,0.37986427545547485,0.0029967250302433968,0.0,-0.0017520822584629059,0.5900596380233765,0.0002906298032030463,1022.0,14.54019546508789,,
292,19.901135206222534,17024,1763260048.208038,0.0010417299345135689,0.5522645711898804,-0.0050241416320204735,0.0,-0.004896555095911026,0.571028470993042,0.0002898617531172931,1027.0,13.438395500183105,,
321,21.57626461982727,18816,1763260049.8831675,0.00020762067288160324,0.6733317375183105,-0.0023195864632725716,0.0,0.005811866372823715,0.5842984318733215,0.00028878648299723864,1031.0,7.661936283111572,,
327,21.92428207397461,19200,1763260050.231185,0.00014449376612901688,0.7556247115135193,-0.0009593414142727852,0.0,0.0046070776879787445,0.5472655296325684,0.0002885560679715127,1033.0,9.155914306640625,,
330,22.075084447860718,19429,1763260050.3819873,,,,,,,,,,141.0,141.0
332,22.183401584625244,19543,1763260050.4903045,,,,,,,,,,114.0,114.0
337,22.4215567111969,19826,1763260050.7284596,,,,,,,,,,152.0,152.0
340,22.65048360824585,19968,1763260050.9573865,8.177943527698517e-06,0.8769955635070801,0.00047913845628499985,0.0,-0.0013084709644317627,0.552618682384491,0.00028809523792006075,1033.0,10.825072288513184,,
370,24.654722452163696,22252,1763260052.9616253,,,,,,,,,,133.0,133.0
375,25.00049924850464,22528,1763260053.3074021,0.00014022737741470337,0.9658524990081787,-0.003609051927924156,0.0,0.0017317533493041992,0.6055046319961548,0.00028655913774855435,1039.0,4.3241400718688965,,
