_step,_runtime,global_step,_timestamp,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss,charts/episodic_length,charts/episodic_return
0,24.873759508132935,0,1763260046.0515695,,,,,,,,,,,
7,25.897135019302368,128,1763260047.074945,1.004338264465332e-05,0.016474366188049316,0.0008612833917140961,0.0,-0.0007832273840904236,0.693132221698761,0.0003000000142492354,916.0,18.988218307495117,,
33,26.454327821731567,660,1763260047.6321378,,,,,,,,,,19.0,19.0
41,26.70740532875061,923,1763260047.8852153,,,,,,,,,,113.0,113.0
47,26.848544120788574,1071,1763260048.026354,,,,,,,,,,35.0,35.0
64,27.410495042800903,1600,1763260048.588305,,,,,,,,,,17.0,17.0
74,27.799031496047974,2037,1763260048.9768414,,,,,,,,,,90.0,90.0
77,27.997576236724854,2176,1763260049.1753862,0.00012176483869552612,0.0928078293800354,0.006932113319635391,0.0,-0.007729224860668182,0.6347866654396057,0.00029877113411203027,971.0,29.52743911743164,,
88,28.52787184715271,2737,1763260049.7056818,,,,,,,,,,58.0,58.0
102,29.127092361450195,3335,1763260050.3049023,,,,,,,,,,21.0,21.0
104,29.24464774131775,3456,1763260050.4224577,0.002063589170575142,0.04968637228012085,0.014319684356451035,0.0,-0.005495436489582062,0.5509968996047974,0.00029800308402627707,991.0,23.936725616455078,,
133,31.0918550491333,5376,1763260052.269665,0.0049263713881373405,0.2143157720565796,-0.005982753820717335,0.04296875,0.003451436758041382,0.5428223013877869,0.00029685100889764726,1007.0,22.568212509155273,,
147,32.06644940376282,6400,1763260053.2442594,0.0015574116259813309,0.6926551461219788,-0.006212197244167328,0.0,-0.008749596774578094,0.596875011920929,0.0002962365688290447,1014.0,24.718399047851562,,
149,32.185335874557495,6528,1763260053.3631458,0.0033878255635499954,0.38073569536209106,0.007547834888100624,0.013671875,0.008985638618469238,0.5758731365203857,0.0002961597638204694,1015.0,24.032882690429688,,
150,32.20593786239624,6573,1763260053.3837478,,,,,,,,,,171.0,171.0
155,32.56655311584473,6912,1763260053.744363,0.0001551155000925064,-0.016202449798583984,0.002843257039785385,0.0,-0.006525902077555656,0.5589999556541443,0.0002959293487947434,1015.0,21.81133270263672,,
157,32.68666219711304,7040,1763260053.8644722,0.0004032514989376068,0.032536447048187256,0.005060700699687004,0.0,-0.0035788118839263916,0.4959239363670349,0.0002958525437861681,1015.0,20.81464958190918,,
