charts/episodic_return,global_step,losses/clipfrac,_timestamp,losses/value_loss,losses/explained_variance,charts/learning_rate,losses/policy_loss,losses/approx_kl,_step,_runtime,charts/episodic_length,losses/old_approx_kl,charts/SPS,losses/entropy
,14720,0.0,1763260046.222888,17.17059898376465,0.42567092180252075,0.0002912442432716489,0.0003564581274986267,4.53190878033638e-05,292,17.919229984283447,,0.0005867565050721169,1011.0,0.5969079732894897
,16896,0.0,1763260048.2121844,12.404220581054688,0.9591696858406067,0.00028993855812586844,-0.01264892891049385,0.002028103917837143,321,19.90852642059326,,0.003309568390250206,1021.0,0.5783374905586243
203.0,17311,,1763260048.5681026,,,,,,327,20.264444589614868,203.0,,,
53.0,17521,,1763260048.7090178,,,,,,330,20.405359745025635,53.0,,,
44.0,17565,,1763260048.7942333,,,,,,332,20.490575313568115,44.0,,,
,17920,0.0,1763260049.1672118,10.795031547546387,0.5453180074691772,0.0002893241180572659,-0.0011589042842388153,0.00014014635235071182,337,20.863553762435913,,-0.0015893550589680672,1023.0,0.5372363328933716
125.0,18119,,1763260049.304176,,,,,,340,21.000518083572388,125.0,,,
,19968,0.0,1763260051.0749652,13.858222007751465,0.7941032648086548,0.00028809523792006075,-0.008593827486038208,0.0013725552707910538,370,22.771307229995728,,0.011170389130711555,1028.0,0.6026436686515808
,21632,0.0,1763260052.6150587,9.075952529907227,0.9408527612686157,0.0002870967728085816,-0.003967827185988426,0.0007186029106378555,396,24.311400651931763,,0.005261719226837158,1032.0,0.4766514003276825
,23424,0.0,1763260054.2866607,54.06947326660156,0.7336949110031128,0.0002860215026885271,-0.014806943014264107,0.000805865041911602,425,25.98300266265869,,0.004892212338745594,1035.0,0.5380626916885376
125.0,24607,,1763260055.3477707,,,,,,441,27.04411268234253,125.0,,,
142.0,25325,,1763260055.9348502,,,,,,450,27.631192207336426,142.0,,,
208.0,26945,,1763260057.5122602,,,,,,471,29.2086021900177,208.0,,,
,27648,0.03125,1763260058.162807,1.1353341341018677,0.9934727549552917,0.00028348693740554154,-0.004941213876008987,0.01007093396037817,481,29.85914897918701,,0.028942761942744255,1043.0,0.5166972875595093
,28288,0.0,1763260058.7583482,4.456003665924072,0.977109968662262,0.00028310291236266494,-0.005004651844501495,0.0007622549310326576,490,30.4546902179718,,-0.0057643381878733635,1044.0,0.539186954498291
,29056,0.0,1763260059.432758,19.465173721313477,0.7344253659248352,0.000282642082311213,-0.0030818618834018707,0.001998034305870533,504,31.12910008430481,,0.006972248665988445,1046.0,0.5234639644622803
127.0,29753,,1763260060.0512896,,,,,,515,31.747631549835205,127.0,,,
,31104,0.1875,1763260061.2810144,3.2022006511688232,0.9906665086746216,0.0002814132021740079,0.0002578124403953552,0.012514309026300907,530,32.97735643386841,,0.051291003823280334,1050.0,0.5293043255805969
,31872,0.0,1763260061.972269,4.2982683181762695,-0.033753275871276855,0.00028095237212255597,0.0010115616023540497,6.0403719544410706e-05,539,33.6686110496521,,-0.0006953906267881393,1051.0,0.518096923828125
,32640,0.0,1763260062.6654747,6.146137714385986,0.3844975233078003,0.00028049154207110405,0.0007847845554351807,9.146705269813538e-05,547,34.36181664466858,,-0.00030984729528427124,1052.0,0.5797178745269775
,33408,0.0,1763260063.3305557,51.566429138183594,-0.02474665641784668,0.00028003071201965213,-0.0002996772527694702,6.810855120420456e-05,555,35.0268976688385,,-0.0002535572275519371,1055.0,0.5857075452804565
,33792,0.0,1763260063.6869605,3.7361714839935303,0.1298743486404419,0.00027980029699392617,0.005556527525186539,0.0005733100697398186,559,35.383302450180054,,-0.007625541649758816,1055.0,0.5572818517684937
,34688,0.0,1763260064.465198,7.395002841949463,-0.07776129245758057,0.0002792626619338989,0.016022589057683945,0.0015008533373475075,568,36.161540031433105,,0.018694428727030754,1057.0,0.6299950480461121
,37376,0.0,1763260066.8709772,3.360239028930664,-0.00740814208984375,0.0002776497567538172,0.0013741813600063324,6.078369915485382e-05,595,38.56731915473938,,-0.00073271244764328,1061.0,0.5659355521202087
431.0,39104,,1763260068.3530645,,,,,,612,40.0494065284729,431.0,,,
,39296,0.0,1763260068.5525997,2.5633785724639893,0.002454102039337158,0.0002764976816251874,-0.0005129873752593994,1.0279007256031036e-05,614,40.24894165992737,,-0.0009146677330136299,1065.0,0.6092579364776611
,40704,0.0,1763260069.804695,2.4229824542999268,0.09295636415481567,0.00027565285563468933,-0.005127180367708206,0.00016785878688097,630,41.50103688240051,,0.0010283486917614937,1067.0,0.5174257159233093
180.0,41171,,1763260070.194128,,,,,,636,41.890470027923584,180.0,,,
,41472,0.0,1763260070.5019934,1.904485821723938,0.45303916931152344,0.0002751920255832374,-0.001660674810409546,0.0005162283778190613,640,42.19833540916443,,0.0006273146718740463,1067.0,0.5634146928787231
170.0,42170,,1763260071.1080546,,,,,,650,42.804396629333496,170.0,,,
110.0,43014,,1763260071.8782084,,,,,,664,43.57455039024353,110.0,,,
135.0,44369,,1763260073.1449416,,,,,,684,44.841283559799194,135.0,,,
,44672,0.0,1763260073.454265,5.473353385925293,0.7246645092964172,0.0002732719003688544,0.0053925588726997375,0.0015700096264481544,689,45.150607109069824,,-8.458923548460007e-05,1068.0,0.5599607229232788
,45312,0.0,1763260074.0543609,33.26201248168945,0.8252884149551392,0.0002728878753259778,-0.0019740313291549683,0.0001385444775223732,698,45.75070285797119,,-0.0001486530527472496,1068.0,0.5684923529624939
172.0,45617,,1763260074.3175895,,,,,,702,46.01393151283264,172.0,,,
,45952,0.0,1763260074.6492894,26.025022506713867,0.829215407371521,0.0002725038502831012,0.0091301454231143,0.002690395340323448,707,46.34563136100769,,-8.707493543624878e-05,1069.0,0.6277056932449341
119.0,47367,,1763260076.0735247,,,,,,729,47.769866704940796,119.0,,,
209.0,49779,,1763260079.3803058,,,,,,757,51.07664775848389,209.0,,,
,50176,0.0,1763260080.0526173,0.8751214742660522,0.07939499616622925,0.00026996928500011563,-0.00827091932296753,0.00016437098383903503,762,51.74895930290222,,0.0003722775727510452,1036.0,0.5876074433326721
,50688,0.0,1763260080.8273299,0.7863641381263733,0.04421985149383545,0.00026966206496581435,-0.0020013153553009033,8.290819823741913e-05,767,52.52367186546326,,-0.00292409211397171,1031.0,0.6078495979309082
,51456,0.0,1763260082.0904057,0.6047224998474121,-0.3437988758087158,0.00026920123491436243,0.0013164039701223373,0.00047892890870571136,775,53.7867476940155,,0.0008702874183654785,1020.0,0.5791201591491699
,52736,0.0,1763260083.848163,0.6748310327529907,0.21381211280822754,0.00026843318482860923,0.00019360333681106567,4.33996319770813e-06,788,55.54450488090515,,9.416788816452026e-05,1010.0,0.5666432976722717
,53632,0.0,1763260084.856534,0.5598936080932617,-0.016522765159606934,0.000267895549768582,-0.0010194294154644012,1.000240445137024e-05,797,56.552875995635986,,-0.0007251501083374023,1008.0,0.5863439440727234
,54528,0.0,1763260085.9034123,119.63951873779297,-0.003661513328552246,0.00026735791470855474,0.0013698432594537735,0.0002453969791531563,806,57.599754333496094,,0.0047499677166342735,1005.0,0.5231473445892334
,55424,0.0,1763260086.9051912,0.3094281554222107,0.0320967435836792,0.0002668202796485275,0.006763387471437454,0.000590088777244091,815,58.60153317451477,,-0.003682066686451435,1003.0,0.5059210062026978
,60032,0.0,1763260092.4924786,237.342529296875,0.01879173517227173,0.000264055299339816,-0.00022282544523477554,0.0015074685215950012,863,64.18882060050964,,0.003946198150515556,986.0,0.49793702363967896
,60928,0.0,1763260093.4476109,56.644989013671875,2.2709369659423828e-05,0.00026351766427978873,-0.0026860181242227554,0.00017688050866127014,872,65.1439528465271,,-0.000565018504858017,986.0,0.5660753846168518
500.0,61421,,1763260093.9110594,,,,,,876,65.6074013710022,500.0,,,
500.0,65995,,1763260098.721452,,,,,,922,70.41779398918152,500.0,,,
,66816,0.021484375,1763260099.6852531,0.0008027403964661062,0.4844703674316406,0.000259984633885324,-0.023100558668375015,0.006013191305100918,930,71.38159513473511,,0.023857280611991882,982.0,0.5441271066665649
,67584,0.0,1763260100.71439,50.27291488647461,-3.802776336669922e-05,0.0002595238038338721,-0.005564287304878235,0.0003917226567864418,938,72.41073203086853,,0.0021040281280875206,978.0,0.4796832203865051
,67968,0.0,1763260101.074702,0.00023932295152917504,0.4630205035209656,0.0002592933888081461,-0.0025557056069374084,0.00011087115854024887,941,72.7710440158844,,0.00374495517462492,979.0,0.5101311206817627
500.0,67995,,1763260101.0921218,,,,,,942,72.78846383094788,500.0,,,
,68608,0.0,1763260101.912192,76.64270782470703,-0.00021898746490478516,0.0002589093637652695,0.003844732418656349,0.000547042116522789,948,73.60853409767151,,-0.005747310817241669,976.0,0.42347949743270874
,71296,0.0,1763260106.4116852,0.0005068432074040174,-0.024869799613952637,0.0002572964585851878,-0.0014821253716945648,0.0002970704808831215,974,78.10802721977234,,0.014475046657025814,953.0,0.5642840266227722
,71936,0.0234375,1763260107.6081777,8.940256520872936e-05,-0.06432783603668213,0.0002569124335423112,0.004029378294944763,0.012525799684226513,980,79.30451965332031,,0.02960643544793129,947.0,0.4625806510448456
,72448,0.01171875,1763260108.5271432,1.8256521798321046e-05,0.453890860080719,0.0002566052135080099,-0.04041111841797829,0.002893882803618908,985,80.22348523139954,,-0.006696681492030621,942.0,0.5096188187599182
,73472,0.01171875,1763260110.4456618,9.269660949939862e-05,-0.05202174186706543,0.00025599077343940735,-0.007056277245283127,0.003223305568099022,995,82.14200377464294,,-0.02203528583049774,932.0,0.4962192475795746
,73600,0.0,1763260110.7286634,91.83143615722656,-0.0004235506057739258,0.00025591396843083203,0.0010221172124147415,0.0005891332402825356,997,82.4250054359436,,0.0024054748937487602,930.0,0.44716301560401917
500.0,75495,,1763260114.1515589,,,,,,1015,85.84790086746216,500.0,,,
500.0,75995,,1763260115.0976982,,,,,,1020,86.79404020309448,500.0,,,
,77056,0.0,1763260117.2041657,0.0005482048145495355,-0.28297877311706543,0.0002538402331992984,0.007657326757907867,0.00023124180734157562,1031,88.90050768852234,,0.008243804797530174,900.0,0.5412034392356873
,78976,0.0,1763260120.8642929,0.003568151732906699,0.06498563289642334,0.0002526881580706686,-0.011166855692863464,0.0007344987243413925,1050,92.56063485145569,,-0.002065131440758705,885.0,0.5871244668960571
500.0,79255,,1763260121.3324544,,,,,,1053,93.02879643440247,500.0,,,
500.0,79755,,1763260122.2001255,,,,,,1058,93.89646744728088,500.0,,,
,82304,0.005859375,1763260126.53808,0.0001629236212465912,0.17847317457199097,0.0002506912569515407,-0.026895493268966675,0.005264033563435078,1083,98.23442196846008,,0.0115629518404603,867.0,0.5127758383750916
,83072,0.03515625,1763260127.846408,0.0006343777058646083,-0.025328755378723145,0.0002502304269000888,-0.02999987080693245,0.01715320721268654,1091,99.54274988174438,,0.0701812207698822,863.0,0.46077391505241394
,84608,0.0,1763260130.4090347,0.00031369811040349305,-0.3532407283782959,0.00024930876679718494,-0.00757339783012867,0.0017343107610940933,1106,102.10537672042847,,0.014865687116980553,856.0,0.5339815020561218
500.0,85806,,1763260132.262592,,,,,,1118,103.95893406867981,500.0,,,
,86528,0.001953125,1763260133.488109,0.003179403953254223,0.11794036626815796,0.00024815669166855514,-0.004453621804714203,0.0014460571110248566,1125,105.18445110321045,,-0.0005189180374145508,849.0,0.511323869228363
500.0,87306,,1763260134.6918745,,,,,,1133,106.38821649551392,500.0,,,
,88576,0.0,1763260136.6365209,0.0006097775185480714,0.265203058719635,0.00024692781153135,0.004144351929426193,0.0001507038250565529,1145,108.3328628540039,,0.0029650358483195305,843.0,0.5537170171737671
,90496,0.001953125,1763260139.5188234,0.0028221693355590105,-0.04107952117919922,0.0002457757364027202,-0.004988804459571838,0.0006249630823731422,1164,111.21516537666321,,0.003994586877524853,839.0,0.5432676672935486
,90624,0.0,1763260139.686688,0.0005503589054569602,0.05116027593612671,0.0002456989313941449,0.0019623152911663055,0.00015397369861602783,1165,111.38302993774414,,0.004126185551285744,838.0,0.5615898966789246
500.0,91306,,1763260140.6658185,,,,,,1172,112.36216044425964,500.0,,,
,92288,0.0,1763260142.1078846,0.00011336595343891531,-0.3227895498275757,0.00024470046628266573,0.0010778531432151794,0.0004245629534125328,1181,113.8042266368866,,0.0035653160884976387,835.0,0.5269401669502258
,92800,0.0,1763260142.8186376,9.824440348893404e-05,0.22284471988677979,0.00024439324624836445,0.0012960433959960938,0.0002155480906367302,1186,114.51497960090637,,0.003669179044663906,834.0,0.5643556118011475
,93824,0.0,1763260144.275874,176.5767059326172,-9.083747863769531e-05,0.0002437788061797619,-0.006816081702709198,0.0008012689650058746,1197,115.9722158908844,,0.0059855058789253235,833.0,0.5651219487190247
,95488,0.0,1763260146.7960963,0.005116671323776245,-0.16208362579345703,0.00024278034106828272,-0.025802746415138245,0.0014916518703103065,1213,118.49243831634521,,-0.0050136493518948555,829.0,0.59718257188797
,95744,0.001953125,1763260147.19122,7.47988888178952e-05,0.2999340891838074,0.00024262673105113208,-0.028495796024799347,0.002326853573322296,1215,118.88756203651428,,0.006043372675776482,828.0,0.5507612228393555
500.0,96806,,1763260148.912318,,,,,,1226,120.60865998268127,500.0,,,
,97280,0.0,1763260149.7789466,0.0001460227940697223,0.04210013151168823,0.00024170507094822824,-0.0018030377104878426,0.0008556107059121132,1230,121.47528862953186,,0.0007132804021239281,823.0,0.5189231634140015
,97664,0.001953125,1763260150.482883,0.0005150059587322176,0.04954659938812256,0.00024147465592250228,-0.007873901166021824,0.003686639480292797,1234,122.17922496795654,,-0.013777528889477253,821.0,0.5147397518157959
500.0,98806,,1763260152.361584,,,,,,1245,124.05792593955994,500.0,,,
,99712,0.0,1763260154.0140424,0.00011293623538222164,0.4881364703178406,0.00024024577578529716,0.004939548671245575,0.0008008461445569992,1254,125.71038436889648,,0.0014124400913715363,814.0,0.5527907609939575
,101376,0.0,1763260156.8429425,168.76527404785156,-0.0001589059829711914,0.000239247310673818,0.002165555953979492,7.251463830471039e-05,1271,128.53928446769714,,4.456378519535065e-05,809.0,0.440273642539978
,104192,0.0,1763260161.4964116,0.006793673615902662,-0.37734901905059814,0.00023755760048516095,-0.004122350364923477,0.00043376069515943527,1299,133.1927535533905,,0.01067743543535471,802.0,0.48567020893096924
,108288,0.0,1763260168.1537738,0.0007225940353237092,-0.43043839931488037,0.0002350998402107507,0.003909744322299957,0.0004713032394647598,1339,139.850115776062,,-0.0052479337900877,793.0,0.5154732465744019
,108416,0.0,1763260168.333567,6.205336831044406e-05,0.10776889324188232,0.00023502303520217538,-0.0009012548252940178,0.0002796631306409836,1340,140.02990889549255,,-0.00862930715084076,793.0,0.580265462398529
,109312,0.015625,1763260169.797408,0.0004644764994736761,-0.4994615316390991,0.00023448540014214814,-0.011951126158237457,0.0035088108852505684,1349,141.49375009536743,,-0.017756415531039238,791.0,0.4866887032985687
,110720,0.0078125,1763260172.0759394,0.00022825169435236603,0.4835015535354614,0.00023364055959973484,-0.02562231384217739,0.00445135124027729,1363,143.77228140830994,,0.0007360652089118958,788.0,0.4922948181629181
500.0,110970,,1763260172.3380694,,,,,,1365,144.0344114303589,500.0,,,
500.0,111470,,1763260173.1822433,,,,,,1370,144.87858533859253,500.0,,,
,112384,0.0,1763260174.740258,269.9206848144531,0.0008143782615661621,0.00023264209448825568,-0.0029499810189008713,0.00041998643428087234,1380,146.4365999698639,,-0.0015251105651259422,785.0,0.42900657653808594
,112512,0.0,1763260174.943326,0.007576571777462959,-0.4765356779098511,0.00023256528947968036,0.003088013269007206,0.0007853778079152107,1381,146.6396679878235,,-0.005254662595689297,785.0,0.5052914619445801
,113280,0.0,1763260176.1702988,0.00014559642295353115,0.39062708616256714,0.00023210445942822844,-0.005768053233623505,0.0017919214442372322,1388,147.86664080619812,,0.007478673942387104,783.0,0.4833751916885376
,113920,0.0,1763260177.238305,70.69355010986328,-3.921985626220703e-05,0.00023172043438535184,-0.002403557300567627,0.0006345808506011963,1395,148.93464708328247,,-0.008385322988033295,782.0,0.5371451377868652
500.0,114323,,1763260177.8745255,,,,,,1399,149.57086753845215,500.0,,,
,114944,0.0,1763260178.9078343,59.60432052612305,-0.00015020370483398438,0.00023110599431674927,0.0019322559237480164,0.00011440645903348923,1405,150.6041762828827,,-0.0024233730509877205,780.0,0.5314974188804626
,117760,0.0,1763260183.210489,0.00017133887740783393,-0.2441033124923706,0.00022941628412809223,-0.003384709358215332,7.183197885751724e-05,1432,154.90683102607727,,0.00418435875326395,777.0,0.596799910068512
500.0,117823,,1763260183.2508087,,,,,,1433,154.94715070724487,500.0,,,
,120064,0.0,1763260186.81239,0.00413661589846015,-0.0022628307342529297,0.00022803379397373646,0.001250002533197403,0.00018092431128025055,1455,158.5087320804596,,0.00033038295805454254,773.0,0.530641496181488
,120192,0.0,1763260187.0009925,0.00040792833897285163,-0.08882439136505127,0.00022795698896516114,-0.002786727622151375,0.0004954440519213676,1456,158.69733452796936,,0.0016395719721913338,773.0,0.6073434352874756
,120320,0.0,1763260187.1861227,6.638975173700601e-05,0.19866019487380981,0.00022788018395658582,-0.005307810381054878,0.000880856066942215,1457,158.8824646472931,,-0.003872271627187729,773.0,0.5292022228240967
,126080,0.0,1763260196.0009792,0.0002409640874247998,-0.443859338760376,0.0002244239585706964,-0.005244767293334007,0.0008944543078541756,1514,167.69732117652893,,-0.006108350120484829,767.0,0.5473539233207703
410.0,126733,,1763260197.0267327,,,,,,1521,168.72307467460632,410.0,,,
,127104,0.0,1763260197.6567218,4.902624607086182,0.00046569108963012695,0.00022380951850209385,0.0012163743376731873,0.0005284752696752548,1525,169.3530638217926,,0.002265365794301033,765.0,0.5217329859733582
,127360,0.0,1763260198.0450947,0.00037190652801655233,0.10210204124450684,0.0002236559084849432,-0.0009073205292224884,0.0014457665383815765,1527,169.7414367198944,,0.01579193025827408,765.0,0.5417388081550598
500.0,127505,,1763260198.261583,,,,,,1529,169.95792508125305,500.0,,,
,128000,0.0,1763260199.0868196,0.004102680832147598,-0.22251009941101074,0.0002232718834420666,-0.001319795846939087,0.00010614842176437378,1534,170.78316164016724,,-0.0041838139295578,764.0,0.5175137519836426
,128256,0.0,1763260199.4871714,0.00017320005281362683,-0.3833925724029541,0.00022311827342491597,-0.007858529686927795,0.0017582075670361519,1536,171.18351340293884,,-0.007592719979584217,764.0,0.4976889193058014
,128896,0.0,1763260200.4802032,225.44573974609375,-0.0003688335418701172,0.00022273424838203937,0.00015373900532722473,8.562486618757248e-05,1543,172.17654514312744,,-0.002414545975625515,763.0,0.4984941780567169
,129152,0.0,1763260200.857232,0.0005886774742975831,-0.016170144081115723,0.00022258063836488873,-0.0019698990508913994,2.3351050913333893e-05,1545,172.5535740852356,,0.0011337222531437874,763.0,0.5471486449241638
,129280,0.0,1763260201.0490916,0.00011910766625078395,-0.21905910968780518,0.0002225038333563134,-0.004304826259613037,0.0010631009936332703,1546,172.74543356895447,,0.013165464624762535,763.0,0.5402458906173706
,130432,0.0,1763260202.8444524,0.004247597884386778,-0.0041124820709228516,0.00022181260283105075,-0.015643112361431122,0.0026868171989917755,1558,174.5407943725586,,0.027983613312244415,761.0,0.5242621302604675
,130560,0.0078125,1763260203.0284746,0.0005257248994894326,-0.32445478439331055,0.00022173579782247543,-0.016602113842964172,0.004411797039210796,1559,174.72481656074524,,-0.005063642747700214,761.0,0.5136710405349731
,130944,0.0,1763260203.6372375,0.0041286759078502655,-0.35155391693115234,0.00022150538279674947,0.0009932667016983032,0.0003107218071818352,1563,175.33357954025269,,-0.0006965706124901772,761.0,0.4808278977870941
500.0,131282,,1763260204.0392883,,,,,,1566,175.73563027381897,500.0,,,
,133504,0.0,1763260207.6873667,0.004525297787040472,-0.05685985088348389,0.00021996928262524307,-0.008582878857851028,0.0005754977464675903,1588,179.38370871543884,,0.001370411366224289,758.0,0.5574264526367188
,133632,0.0078125,1763260207.87549,0.0005751505959779024,-0.06842982769012451,0.00021989247761666775,-0.0027475482784211636,0.002819790504872799,1589,179.57183194160461,,0.0003588693216443062,758.0,0.550567626953125
,134400,0.0,1763260209.110807,382.6372375488281,2.9325485229492188e-05,0.00021943164756521583,-0.005638420581817627,0.0006322376430034637,1597,180.80714893341064,,0.0031021088361740112,757.0,0.5729062557220459
,135424,0.0,1763260210.778857,0.003714060178026557,0.40840667486190796,0.00021881720749661326,0.0011496590450406075,0.0007168659940361977,1607,182.47519898414612,,-0.001676955260336399,756.0,0.5295810699462891
,135680,0.0,1763260211.1504183,0.00014168542111292481,-0.08118581771850586,0.00021866359747946262,-0.01791967824101448,0.001097136177122593,1609,182.84676027297974,,-0.0025922851637005806,755.0,0.484624981880188
500.0,135782,,1763260211.2020211,,,,,,1610,182.89836311340332,500.0,,,
,135936,0.0,1763260211.5844574,0.0031656345818191767,0.25769394636154175,0.00021850998746231198,0.0009959414601325989,0.00048518553376197815,1612,183.2807993888855,,0.0033180564641952515,755.0,0.4941920042037964
,137344,0.0,1763260213.8664823,217.17344665527344,8.475780487060547e-05,0.00021766513236798346,0.002584081143140793,0.00023235566914081573,1626,185.56282424926758,,-0.00421786867082119,753.0,0.5285505652427673
,138624,0.0,1763260215.932897,0.00026029912987723947,0.05230635404586792,0.00021689708228223026,0.014714982360601425,0.0005715060979127884,1638,187.62923908233643,,-0.003996109589934349,752.0,0.6035194993019104
,143488,0.001953125,1763260223.8394332,0.0043119522742927074,0.21899372339248657,0.0002139784919563681,-0.006049199961125851,0.001799275167286396,1687,195.53577518463135,,0.011656512506306171,746.0,0.48758870363235474
,148096,0.0,1763260230.9307308,7.272652146639302e-05,-0.2319713830947876,0.00021121351164765656,0.01104842871427536,0.0017152400687336922,1732,202.6270728111267,,-0.012292074970901012,743.0,0.5659822225570679
,149376,0.0,1763260232.8596985,0.0038785629440099,0.08043110370635986,0.00021044546156190336,0.00023346766829490662,0.00016212183982133865,1745,204.5560405254364,,0.0009125163778662682,742.0,0.5548579692840576
,150144,0.0,1763260234.0117924,78.88431549072266,-2.574920654296875e-05,0.00020998464606236666,0.0031446553766727448,0.0007200120016932487,1753,205.7081344127655,,0.004654961638152599,742.0,0.5349869728088379
,150272,0.0,1763260234.1912234,0.0037678771186619997,-0.34052610397338867,0.00020990784105379134,0.0003308132290840149,0.0009391261264681816,1754,205.8875653743744,,0.006257007829844952,741.0,0.5343250036239624
,151424,0.0,1763260235.9068913,0.00033631687983870506,0.0199698805809021,0.00020921659597661346,-0.005116419866681099,0.0007615368813276291,1765,207.60323333740234,,-0.005509214475750923,741.0,0.5749110579490662
,151680,0.0,1763260236.3171809,259.9384460449219,-0.00017654895782470703,0.00020906298595946282,0.0025621503591537476,0.00016294419765472412,1768,208.01352286338806,,-0.0002113915979862213,741.0,0.5429431200027466
500.0,152628,,1763260237.6716838,,,,,,1777,209.36802577972412,500.0,,,
,156800,0.0,1763260244.044924,0.003888456616550684,-0.06451499462127686,0.00020599078561645,0.0009668320417404175,9.846314787864685e-05,1818,215.74126601219177,,-0.000737994909286499,738.0,0.5805684328079224
,157312,0.0,1763260244.8494997,0.0033475866075605154,0.0824202299118042,0.00020568356558214873,0.006629977375268936,0.000494922511279583,1823,216.54584169387817,,-0.004873474128544331,737.0,0.6052836179733276
,160128,0.0,1763260249.1777399,275.2026672363281,1.6570091247558594e-05,0.00020399385539349169,-0.0005420371890068054,5.525536835193634e-05,1851,220.87408185005188,,-0.0003763791173696518,736.0,0.5632834434509277
,160640,0.0,1763260249.9816294,208.41671752929688,0.00023037195205688477,0.0002036866353591904,-0.0012335702776908875,8.45855101943016e-05,1856,221.67797136306763,,-0.0019432762637734413,735.0,0.5365655422210693
,161920,0.0,1763260251.9338763,0.00029160361737012863,0.21433651447296143,0.0002029185852734372,0.001224767416715622,0.0002458086237311363,1868,223.6302182674408,,0.0012748511508107185,735.0,0.5417587757110596
,162432,0.0,1763260252.7079422,0.00022935176093596965,-0.3376549482345581,0.00020261136523913592,-0.003714166581630707,0.000411350280046463,1873,224.4042842388153,,-0.006474748253822327,734.0,0.44973132014274597
,162816,0.0,1763260253.2949646,6.454260437749326e-05,-0.07183301448822021,0.00020238095021340996,0.005351409316062927,0.000757838599383831,1877,224.99130654335022,,0.012083147652447224,734.0,0.47113823890686035
,163712,0.0,1763260254.7156396,0.003922306001186371,-0.033711910247802734,0.00020184331515338272,-0.022957639768719673,0.0008966168388724327,1886,226.4119815826416,,0.007543238811194897,733.0,0.5123410820960999
