_runtime,_timestamp,charts/SPS,losses/old_approx_kl,_step,losses/clipfrac,charts/learning_rate,global_step,losses/entropy,losses/policy_loss,charts/episodic_return,losses/explained_variance,losses/value_loss,losses/approx_kl,charts/episodic_length
24.773934364318848,1763260045.8465815,,,0,,,0,,,,,,,
25.71130609512329,1763260046.7839532,,,7,,,108,,,13.0,,,,13.0
26.307633638381958,1763260047.3802807,957.0,0.002203039824962616,33,0.0,0.0002996927942149341,640,0.6765198707580566,0.001980990171432495,,0.013283371925354004,20.900781631469727,0.0011702608317136765,
26.454402685165405,1763260047.5270498,,,41,,,816,,,31.0,,,,31.0
26.58637547492981,1763260047.6590226,,,47,,,975,,,57.0,,,,57.0
27.05915904045105,1763260048.1318061,,,64,,,1426,,,122.0,,,,122.0
27.438343286514282,1763260048.5109904,,,74,,,1850,,,115.0,,,,115.0
27.552697896957397,1763260048.625345,,,77,,,1970,,,72.0,,,,72.0
28.231302499771118,1763260049.3039496,1037.0,0.006191767752170563,88,0.0,0.000298463914077729,2688,0.6423539519309998,-0.009197670966386795,,0.2038266658782959,29.45309066772461,0.0016039591282606125,
28.846912384033203,1763260049.9195595,,,102,,,3442,,,97.0,,,,97.0
28.931073904037476,1763260050.003721,,,104,,,3476,,,34.0,,,,34.0
30.56221842765808,1763260051.6348655,1066.0,0.0004143351688981056,133,0.0,0.0002969278139062226,5248,0.5805923938751221,0.0012905597686767578,,0.3543660044670105,24.03325080871582,3.774743527173996e-05,
31.377678871154785,1763260052.450326,1070.0,0.0005231136456131935,147,0.0,0.00029639017884619534,6144,0.6139931678771973,0.00099964439868927,,0.21010828018188477,20.882335662841797,0.00046558212488889694,
31.492570877075195,1763260052.565218,1071.0,0.0024534277617931366,149,0.0,0.00029631337383762,6272,0.5820202827453613,-0.0032694684341549873,,0.294086754322052,20.296485900878906,0.00012450292706489563,
31.49735736846924,1763260052.5700045,,,150,,,6279,,,30.0,,,,30.0
31.83285689353943,1763260052.905504,1074.0,0.0004890542477369308,155,0.0,0.00029608295881189406,6656,0.616107702255249,-0.000779835507273674,,0.6053800582885742,18.635677337646484,4.0547922253608704e-05,
31.945648193359375,1763260053.0182953,1075.0,0.0071199508383870125,157,0.0,0.00029600615380331874,6784,0.5690929889678955,-0.014654356986284256,,-0.03660154342651367,26.02422332763672,0.0007248604670166969,
32.984092235565186,1763260054.0567393,1080.0,0.00035158824175596237,172,0.0,0.00029531490872614086,7936,0.5269079804420471,0.0035027265548706055,,0.37776052951812744,24.254863739013672,0.001071409322321415,
34.47553277015686,1763260055.5481799,,,195,,,9559,,,260.0,,,,260.0
35.28840351104736,1763260056.3610506,1047.0,0.000399232842028141,203,0.0,0.0002940092235803604,10112,0.5456036329269409,0.004451870918273926,,0.07442539930343628,19.1357364654541,4.1262246668338776e-05,
36.35836696624756,1763260057.431014,1003.0,-0.0009053973481059074,213,0.0,0.0002936251985374838,10752,0.5965335369110107,-0.0028534382581710815,,0.7655191421508789,15.662260055541992,3.6618672311306e-05,
36.85446333885193,1763260057.9271104,,,217,,,11114,,,148.0,,,,148.0
38.368457078933716,1763260059.4411042,,,228,,,11889,,,152.0,,,,152.0
39.341095209121704,1763260060.4137423,896.0,-0.00042976438999176025,233,0.0,0.00029270353843457997,12288,0.5962247848510742,0.00565439835190773,,0.09060251712799072,16.766944885253906,8.064694702625275e-05,
41.75899314880371,1763260062.8316402,,,251,,,13804,,,74.0,,,,74.0
42.59770083427429,1763260063.670348,,,259,,,14454,,,128.0,,,,128.0
43.02749037742615,1763260064.1001375,853.0,0.006744742393493652,265,0.0,0.00029116743826307356,14848,0.6011537313461304,-0.015422433614730835,,0.9268702268600464,9.191652297973633,0.0006888881325721741,
43.63826513290405,1763260064.7109122,860.0,0.005927525460720062,273,0.0,0.00029078341322019696,15488,0.5749210119247437,0.0012824684381484985,,0.133736252784729,15.400053024291992,0.00012562237679958344,
43.665987491607666,1763260064.7386346,,,274,,,15567,,,249.0,,,,249.0
