losses/explained_variance,_runtime,losses/approx_kl,_timestamp,losses/entropy,charts/learning_rate,losses/clipfrac,_step,charts/episodic_length,charts/SPS,losses/policy_loss,charts/episodic_return,losses/old_approx_kl,global_step,losses/value_loss
,24.386030673980713,,1763260045.4501617,,,,0,,,,,,0,
,25.827782154083252,,1763260046.8919132,,,,7,27.0,,,27.0,,174,
-0.06507408618927002,26.419923543930054,0.00015018880367279053,1763260047.4840546,0.6858792304992676,0.0002996159892063588,0.0,33,,994.0,0.001080736517906189,,-0.0007110666483640671,768,26.25786018371582
,26.57333016395569,,1763260047.6374612,,,,41,13.0,,,13.0,,974,
0.0006663799285888672,26.80544137954712,0.00017303600907325745,1763260047.8695724,0.6756123900413513,0.00029938557418063283,0.0,47,,995.0,0.0062544867396354675,,-0.002798350527882576,1152,26.83972930908203
,27.286680698394775,,1763260048.3508117,,,,64,25.0,,,25.0,,1686,
,27.581150770187378,,1763260048.6452818,,,,74,23.0,,,23.0,,2041,
,27.693310499191284,,1763260048.7574415,,,,77,36.0,,,36.0,,2121,
,28.048576831817627,,1763260049.1127079,,,,88,90.0,,,90.0,,2450,
-0.07487714290618896,28.732749700546265,0.00010439381003379822,1763260049.7968807,0.6429719924926758,0.0002981566940434277,0.0,102,,1037.0,-0.0010918676853179932,,0.00562264584004879,3200,27.861330032348633
-0.0645056962966919,28.872512340545654,4.735682159662247e-05,1763260049.9366434,0.6039450764656067,0.0002980798890348524,0.0,104,,1032.0,-0.00039771199226379395,,-0.00023807119578123093,3328,23.629858016967773
,30.6091148853302,,1763260051.673246,,,,133,100.0,,,100.0,,5264,
,31.455750465393066,,1763260052.5198815,,,,147,69.0,,,69.0,,6255,
0.024315059185028076,31.642094373703003,0.003147120587527752,1763260052.7062254,0.6059316992759705,0.0002962365688290447,0.001953125,149,,1067.0,-0.0070325955748558044,,-0.010814805515110493,6400,26.014934539794922
,31.647034406661987,,1763260052.7111654,,,,150,155.0,,,155.0,,6410,
,31.88292360305786,,1763260052.9470546,,,,155,118.0,,,118.0,,6684,
0.008897900581359863,32.01039695739746,0.0004856204614043236,1763260053.074528,0.6197876334190369,0.00029600615380331874,0.0,157,,1066.0,-0.016654789447784424,,0.005999154411256313,6784,20.52973747253418
0.03569066524505615,32.91906499862671,0.0004751710221171379,1763260053.983196,0.586890697479248,0.0002953917137347162,0.0,172,,1073.0,0.004877794533967972,,0.003059809096157551,7808,24.094032287597656
,34.61136436462402,,1763260055.6754954,,,,195,235.0,,,235.0,,9536,
,35.462231159210205,,1763260056.5263622,,,,203,68.0,,,68.0,,10040,
