charts/SPS,losses/clipfrac,losses/explained_variance,losses/approx_kl,losses/entropy,charts/learning_rate,losses/old_approx_kl,global_step,charts/episodic_return,_runtime,_step,_timestamp,losses/policy_loss,charts/episodic_length,losses/value_loss
886.0,0.0,0.44140028953552246,0.0007238993421196938,0.549772322177887,0.00029331797850318253,0.0004383409395813942,11264,,38.381375789642334,251,1763260059.5585809,0.00440998375415802,,17.186336517333984
849.0,0.0,0.4542604088783264,0.00010916031897068024,0.5865865349769592,0.00029293395346030593,-0.0024357829242944717,11904,,39.68665790557861,259,1763260060.863863,0.000254310667514801,,17.721609115600586
831.0,0.0,0.5784556269645691,0.0006701704114675522,0.5578677654266357,0.00029262673342600465,-0.002848319709300995,12416,,40.61324167251587,265,1763260061.7904468,-0.0072717852890491486,,15.83737850189209
824.0,0.0,0.6729356050491333,1.4046207070350647e-05,0.5420769453048706,0.0002921659033745527,-0.0020407475531101227,13184,,41.66659665107727,273,1763260062.8438017,-0.00017896294593811035,,15.838167190551758
,,,,,,,13215,233.0,41.707048654556274,274,1763260062.8842537,,233.0,
833.0,0.0,0.13413572311401367,0.0005102399736642838,0.5486611127853394,0.00029116743826307356,0.010591911152005196,14848,,43.499242305755615,292,1763260064.6764474,-0.013964911922812462,,15.632170677185059
,,,,,,,17251,137.0,45.83035731315613,321,1763260067.0075624,,137.0,
857.0,0.0,0.02838796377182007,1.9418075680732727e-05,0.596511960029602,0.0002894777280744165,0.0022449158132076263,17664,,46.270105838775635,327,1763260067.447311,-0.0010587051510810852,,12.470602035522461
,,,,,,,17891,176.0,46.42505645751953,330,1763260067.6022615,,176.0,
,,,,,,,18029,138.0,46.54583740234375,332,1763260067.7230425,,138.0,
,,,,,,,18422,151.0,46.950642347335815,337,1763260068.1278474,,151.0,
864.0,0.0,0.28415948152542114,8.817575871944427e-05,0.5557757616043091,0.0002889400930143893,0.0011749658733606339,18560,,47.14619970321655,340,1763260068.3234048,0.0007451176643371582,,36.71247863769531
,,,,,,,20589,168.0,49.07907176017761,370,1763260070.2562768,,168.0,
,,,,,,,20957,187.0,49.433260917663574,375,1763260070.610466,,187.0,
885.0,0.0,0.9648056626319885,0.0018962575122714043,0.49870598316192627,0.00028663594275712967,0.007364458404481411,22400,,50.9865186214447,396,1763260072.1637237,0.005450129508972168,,8.521470069885254
884.0,0.0,0.9088137745857239,0.00021056178957223892,0.5488641262054443,0.00028540706261992455,0.004810710437595844,24448,,53.31783127784729,425,1763260074.4950364,-0.0021402593702077866,,8.440118789672852
889.0,0.0,0.9543021321296692,0.0005227904766798019,0.5486610531806946,0.00028463901253417134,0.0012964997440576553,25728,,54.589128494262695,441,1763260075.7663336,-0.005828600376844406,,7.2889509201049805
893.0,0.0,0.9895235896110535,0.00010967627167701721,0.49384310841560364,0.0002841781824827194,-0.0023851655423641205,26496,,55.347110986709595,450,1763260076.524316,-0.0007818154990673065,,2.9526751041412354
,,,,,,,28094,176.0,57.04549264907837,471,1763260078.2226977,,176.0,
895.0,0.0,0.07343673706054688,0.00021904800087213516,0.5100457668304443,0.000282642082311213,-0.004431254230439663,29056,,58.13206458091736,481,1763260079.3092697,0.0014669541269540787,,6.965872764587402
,,,,,,,29924,500.0,58.95355844497681,490,1763260080.1307635,,500.0,
893.0,0.0,1.2934207916259766e-05,7.978267967700958e-05,0.5335138440132141,0.00028133639716543257,-0.00246303528547287,31232,,60.617735862731934,504,1763260081.794941,-0.0039508156478405,,4.173248291015625
,,,,,,,32345,500.0,61.89755129814148,515,1763260083.0747564,,500.0,
,,,,,,,33845,500.0,63.62948703765869,530,1763260084.8066921,,500.0,
888.0,0.0,-0.07668399810791016,3.800727427005768e-05,0.5320191383361816,0.0002792626619338989,-0.0007366668432950974,34688,,64.7043035030365,539,1763260085.8815086,0.00033903494477272034,,3.2865068912506104
879.0,0.0,0.23906558752059937,0.000545937567949295,0.48619550466537476,0.000278801831882447,-0.001099100336432457,35456,,65.99245619773865,547,1763260087.1696613,-0.006180822849273682,,3.606064796447754
,,,,,,,36233,500.0,67.28533458709717,555,1763260088.4625397,,500.0,
,,,,,,,36733,500.0,67.9791316986084,559,1763260089.1563368,,500.0,
854.0,0.078125,0.5406036972999573,0.010935738682746887,0.5259020328521729,0.0002775729517452419,0.020797377452254295,37504,,69.56296467781067,568,1763260090.7401698,-0.016798056662082672,,107.3963623046875
823.0,0.0,0.9078627824783325,0.0008396022021770477,0.5322032570838928,0.00027634407160803676,0.0031878184527158737,39552,,73.6911108493805,595,1763260094.868316,-0.011123478412628174,,1.3143202066421509
802.0,0.0,0.8497989177703857,0.00014145299792289734,0.5798707604408264,0.00027565285563468933,-0.0052908044308424,40704,,76.40355610847473,612,1763260097.5807612,-0.001818271353840828,,52.958221435546875
,,,,,,,40891,189.0,76.77356886863708,614,1763260097.950774,,189.0,
,,,,,,,41867,133.0,79.67956566810608,630,1763260100.8567708,,133.0,
,,,,,,,42263,167.0,80.56651568412781,636,1763260101.7437208,,167.0,
765.0,0.005859375,0.9390524625778198,0.00348815880715847,0.554547905921936,0.00027450078050605953,-0.012519460171461105,42624,,81.33574414253235,640,1763260102.5129492,0.03031550720334053,,11.44754695892334
,,,,,,,43230,102.0,82.57693600654602,650,1763260103.754141,,102.0,
,,,,,,,44045,111.0,84.52539134025574,664,1763260105.7025964,,111.0,
735.0,0.0,0.9953290820121765,0.001965796574950218,0.567773163318634,0.0002728110703174025,0.017112907022237778,45440,,87.49303889274597,684,1763260108.670244,-0.0005772113800048828,,0.39716577529907227
731.0,0.01953125,0.9925606846809387,0.006040377542376518,0.5656404495239258,0.0002725806552916765,-0.010515401139855385,45824,,88.28461003303528,689,1763260109.461815,-0.00036769360303878784,,1.623917579650879
726.0,0.0078125,0.9727193713188171,0.005187130533158779,0.5472292304039001,0.0002721198252402246,-0.005106803961098194,46592,,89.81406378746033,698,1763260110.9912689,-0.0206797793507576,,2.2274343967437744
724.0,0.0,0.763965368270874,0.000631880946457386,0.5450183153152466,0.00027188941021449864,-0.004455125890672207,46976,,90.52249717712402,702,1763260111.6997023,-0.007993146777153015,,2.237152099609375
,,,,,,,47457,232.0,91.27359986305237,707,1763260112.450805,,232.0,
,,,,,,,49558,500.0,95.30205297470093,729,1763260116.479258,,500.0,
702.0,0.017578125,0.4219350218772888,0.003919861279428005,0.5505529642105103,0.0002686635998543352,0.034197088330984116,52352,,100.23699140548706,757,1763260121.4141965,-0.046346377581357956,,0.21051423251628876
699.0,0.0,-0.3630901575088501,0.00038631632924079895,0.53618985414505,0.0002683563798200339,-0.0023853033781051636,52864,,101.21930456161499,762,1763260122.3965096,-0.0003266073763370514,,0.30626267194747925
698.0,0.0,-0.08298134803771973,0.0009813206270337105,0.590013325214386,0.0002680491597857326,0.008924008347094059,53376,,102.12634205818176,767,1763260123.3035471,-0.00205274298787117,,0.181533083319664
,,,,,,,54197,500.0,103.44389700889587,775,1763260124.621102,,500.0,
694.0,0.0,0.7791592478752136,0.003571932204067707,0.5366196036338806,0.0002667434746399522,0.026950763538479805,55552,,105.68121027946472,788,1763260126.8584154,0.00948575884103775,,0.06314067542552948
692.0,0.0,0.00020253658294677734,0.0002341698855161667,0.5595743656158447,0.00026628264458850026,0.0020063165575265884,56320,,106.99302077293396,797,1763260128.1702259,0.00019975565373897552,,0.2613643705844879
690.0,0.0,-0.0008214712142944336,0.00035212282091379166,0.5356151461601257,0.000265745009528473,0.00997945573180914,57216,,108.57012248039246,806,1763260129.7473276,0.0012828316539525986,,94.16215515136719
,,,,,,,58200,500.0,110.2496542930603,815,1763260131.4268594,,500.0,
672.0,0.052734375,0.8033087253570557,0.013137487694621086,0.5001709461212158,0.0002622887841425836,0.0004414394497871399,62976,,119.31685948371887,863,1763260140.4940646,-0.0103396475315094,,0.0012871401850134134
670.0,0.041015625,0.31568145751953125,0.014445142820477486,0.4048934280872345,0.00026175114908255637,0.025249920785427094,63872,,120.92372846603394,872,1763260142.1009336,-0.021938294172286987,,0.004757279995828867
669.0,0.0,0.23927611112594604,0.0012441985309123993,0.44586706161499023,0.0002615207340568304,0.005774306133389473,64256,,121.61883544921875,876,1763260142.7960405,-0.0003574192523956299,,0.003829695750027895
661.0,0.017578125,-0.11917662620544434,0.01090699341148138,0.5775966048240662,0.00025867894873954356,0.007308648899197578,68992,,130.02735495567322,922,1763260151.20456,-0.019502826035022736,,7.670596096431836e-05
659.0,0.0,-0.0104522705078125,0.00048413965851068497,0.5558376312255859,0.00025821811868809164,0.00010675098747015,69760,,131.41001510620117,930,1763260152.5872202,-0.002698644995689392,,0.00255706743337214
658.0,0.00390625,-0.0005434751510620117,0.004784099757671356,0.49933502078056335,0.0002577572886366397,0.019728342071175575,70528,,132.8193163871765,938,1763260153.9965215,0.004486270248889923,,149.35650634765625
657.0,0.0,0.18282753229141235,0.0009469473734498024,0.42290621995925903,0.00025752687361091375,-0.0038208598271012306,70912,,133.48968625068665,941,1763260154.6668913,0.013222187757492065,,0.00014654976257588714
,,,,,,,71009,500.0,133.54581117630005,942,1763260154.7230163,,500.0,
656.0,0.0,-0.00025725364685058594,0.0014177607372403145,0.4734579920768738,0.00025714284856803715,-0.00042791571468114853,71552,,134.65092015266418,948,1763260155.8281252,0.004422105848789215,,41.847373962402344
652.0,0.005859375,-0.1388096809387207,0.004121771082282066,0.3969011604785919,0.00025552994338795543,-0.017360007390379906,74240,,139.5260193347931,974,1763260160.7032244,-0.018180638551712036,,0.004618450067937374
