_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,24.792629718780518,0,1763260045.9223087,,,,,,,,,,,
7,25.75156044960022,152,1763260046.8812394,25.0,25.0,,,,,,,,,
33,26.28691029548645,732,1763260047.4165893,28.0,28.0,,,,,,,,,
41,26.497425317764282,896,1763260047.6271043,,,0.00037942826747894287,-0.007596015930175781,-0.004160679876804352,0.0,0.005267664790153503,0.6872937679290771,0.00029953918419778347,986.0,22.121170043945312
47,26.618895053863525,1024,1763260047.748574,,,0.0003522150218486786,-0.08506083488464355,0.007485181093215942,0.0,-0.007205896079540253,0.6810420751571655,0.00029946237918920815,994.0,18.239160537719727
64,27.021385669708252,1515,1763260048.1510646,41.0,41.0,,,,,,,,,
74,27.48305058479309,1920,1763260048.6127295,,,0.00010304246097803116,-0.02979147434234619,-0.003158685751259327,0.0,0.0012216120958328247,0.6462171077728271,0.0002989247441291809,1014.0,31.362442016601562
77,27.545235633850098,2037,1763260048.6749146,28.0,28.0,,,,,,,,,
88,27.971997261047363,2432,1763260049.1016762,,,0.00021897628903388977,-0.010051727294921875,-0.007213514298200607,0.0,0.0017425566911697388,0.6205801367759705,0.00029861752409487963,1020.0,17.959121704101562
102,28.688732147216797,3200,1763260049.818411,,,0.003086085431277752,0.3591762185096741,0.024828603491187096,0.0,-0.02433517761528492,0.6018161177635193,0.0002981566940434277,1032.0,26.165719985961914
104,28.805283069610596,3328,1763260049.934962,,,0.0015046270564198494,0.4747164249420166,-0.005339403636753559,0.021484375,0.004157140851020813,0.5848857164382935,0.0002980798890348524,1034.0,29.743505477905273
133,30.346652269363403,5016,1763260051.4763312,148.0,148.0,,,,,,,,,
147,31.054100036621094,5849,1763260052.183779,146.0,146.0,,,,,,,,,
149,31.157203435897827,5939,1763260052.2868824,90.0,90.0,,,,,,,,,
150,31.25155210494995,6016,1763260052.381231,,,0.000145777128636837,0.12569069862365723,0.0025688381865620613,0.0,-0.005449509248137474,0.5998103618621826,0.00029646698385477066,1062.0,20.585752487182617
155,31.51633858680725,6305,1763260052.6460176,52.0,52.0,,,,,,,,,
157,31.63066005706787,6439,1763260052.760339,134.0,134.0,,,,,,,,,
172,32.544394731521606,7424,1763260053.6740737,,,0.0004399530589580536,0.3652639389038086,0.007644940167665482,0.0,0.0003400743007659912,0.6135361194610596,0.00029562212876044214,1067.0,20.298362731933594
195,34.14675855636597,9216,1763260055.2764375,,,0.005486194975674152,0.32312482595443726,-0.010935106314718723,0.029296875,0.009268064051866531,0.5892512798309326,0.00029454685864038765,1076.0,17.885358810424805
203,34.73612403869629,9728,1763260055.865803,,,0.0033518271520733833,-0.00711822509765625,-0.02166038006544113,0.025390625,-0.00853591039776802,0.5322456955909729,0.0002942396386060864,1063.0,27.140380859375
213,35.87996029853821,10591,1763260057.0096393,250.0,250.0,,,,,,,,,
217,36.46370244026184,10880,1763260057.5933814,,,0.0016540652140974998,0.09933143854141235,-0.011184119619429111,0.01171875,0.014672081917524338,0.5869084596633911,0.0002935483935289085,1000.0,28.366640090942383
228,37.80220127105713,11648,1763260058.9318802,,,0.000682673417031765,0.2087816596031189,0.0056377192959189415,0.0,-0.017897799611091614,0.5955153703689575,0.00029308756347745657,953.0,23.448776245117188
233,38.483229875564575,12032,1763260059.6129088,,,2.9874034225940704e-05,0.17282861471176147,0.00023539643734693527,0.0,-0.00024987757205963135,0.53636634349823,0.0002928571484517306,933.0,16.560840606689453
251,40.88944625854492,13312,1763260062.0191252,,,7.784366607666016e-05,0.3862871527671814,-0.0017761774361133575,0.0,0.002985146827995777,0.6106702089309692,0.0002920890983659774,870.0,22.495073318481445
259,41.8206832408905,13952,1763260062.9503622,,,0.0020975694060325623,0.46090584993362427,0.016411911696195602,0.0,-0.017960242927074432,0.5765256881713867,0.0002917050733231008,859.0,15.09658145904541
265,42.44072413444519,14464,1763260063.570403,,,0.00041189976036548615,0.42131561040878296,0.007491637021303177,0.0,-0.0005833469331264496,0.5655258297920227,0.0002913978532887995,858.0,13.391470909118652
273,43.03149342536926,15104,1763260064.1611724,,,0.0024130884557962418,0.3299914598464966,-0.011487148702144623,0.0,-0.005523269064724445,0.5806573033332825,0.0002910138282459229,865.0,14.809791564941406
274,43.05358529090881,15166,1763260064.1832643,232.0,232.0,,,,,,,,,
292,44.367515087127686,16512,1763260065.497194,,,0.0005305930972099304,0.1950838565826416,0.0013906396925449371,0.0,-0.008556516841053963,0.623005747795105,0.0002901689731515944,879.0,38.33307647705078
