losses/policy_loss,_runtime,losses/old_approx_kl,charts/SPS,charts/episodic_return,losses/explained_variance,charts/learning_rate,_timestamp,global_step,losses/value_loss,charts/episodic_length,_step,losses/clipfrac,losses/approx_kl,losses/entropy
,25.169675588607788,,,,,,1763260046.3111336,0,,,0,,,
,26.11483407020569,,,17.0,,,1763260047.256292,148,,17.0,7,,,
,26.748048305511475,,,35.0,,,1763260047.8895063,803,,35.0,33,,,
,26.976776123046875,,,45.0,,,1763260048.1182342,1025,,45.0,41,,,
,27.117584228515625,,,43.0,,,1763260048.2590423,1204,,43.0,47,,,
,27.747293949127197,,,44.0,,,1763260048.888752,1880,,44.0,64,,,
,28.083134412765503,,,89.0,,,1763260049.2245924,2210,,89.0,74,,,
,28.198699235916138,,,58.0,,,1763260049.3401573,2330,,58.0,77,,,
,28.70336389541626,,,37.0,,,1763260049.844822,2880,,37.0,88,,,
-0.030734531581401825,29.617288827896118,-0.0008332496508955956,1055.0,,0.34534621238708496,0.0002977726690005511,1763260050.7587469,3840,27.279808044433594,,102,0.005859375,0.002830437384545803,0.5672035813331604
,29.659013271331787,,,110.0,,,1763260050.8004713,3957,,110.0,104,,,
,31.496448755264282,,,116.0,,,1763260052.6379068,5927,,116.0,133,,,
0.0032135695219039917,32.414446115493774,-0.006677505560219288,1074.0,,0.6450743675231934,0.0002959293487947434,1763260053.5559042,6912,23.26032257080078,,147,0.0,0.00012696627527475357,0.5628116130828857
-0.008890360593795776,32.53012156486511,0.016705218702554703,1074.0,,0.19915872812271118,0.0002958525437861681,1763260053.6715796,7040,20.33665657043457,,149,0.0,0.0021078092977404594,0.5502792000770569
-0.007430640049278736,32.64994192123413,-0.0010595666244626045,1074.0,,-0.07803452014923096,0.0002957757387775928,1763260053.7914,7168,26.996219635009766,,150,0.0,0.0004173470661044121,0.516144871711731
0.004492508247494698,33.00736379623413,0.007435724139213562,1074.0,,0.1791943907737732,0.0002955453237518668,1763260054.1488218,7552,18.922100067138672,,155,0.0,0.0005795396864414215,0.5851728320121765
,33.153053522109985,,,255.0,,,1763260054.2945116,7773,,255.0,157,,,
-0.021723773330450058,34.2784218788147,0.015324760228395462,1079.0,,0.7448238134384155,0.0002947004686575383,1763260055.41988,8960,13.422924041748047,,172,0.0,0.002260027453303337,0.475664883852005
,37.09773373603821,,,291.0,,,1763260058.2391918,10979,,291.0,195,,,
-0.006246477365493774,38.358503580093384,0.012183879502117634,940.0,,0.19998884201049805,0.00029308756347745657,1763260059.4999616,11648,17.48810577392578,,203,0.0,0.001782112754881382,0.5248493552207947
0.00033504143357276917,39.957146406173706,0.0025843502953648567,897.0,,0.17520743608474731,0.00029254992841742933,1763260061.0986044,12544,16.952077865600586,,213,0.0,1.1072494089603424e-05,0.5455823540687561
-0.0011715106666088104,40.471524477005005,-0.001148207113146782,883.0,,0.29309171438217163,0.0002923963184002787,1763260061.6129825,12800,19.398691177368164,,217,0.0,4.498474299907684e-05,0.4879850745201111
,41.95437741279602,,,411.0,,,1763260063.0958354,13839,,411.0,228,,,
,42.35262393951416,,,138.0,,,1763260063.494082,14198,,138.0,233,,,
-0.022889185696840286,43.88371205329895,0.0036312658339738846,879.0,,0.03138589859008789,0.0002906298032030463,1763260065.02517,15744,25.22761344909668,,251,0.0078125,0.004504082724452019,0.5477278232574463
8.582510054111481e-05,44.52335238456726,-0.0008297963067889214,883.0,,0.2622218728065491,0.0002902457781601697,1763260065.6648104,16384,11.240952491760254,,259,0.0,8.302740752696991e-06,0.5542474985122681
-0.004621058702468872,45.1381471157074,0.012267502024769783,888.0,,0.08840638399124146,0.0002898617531172931,1763260066.2796052,17024,14.390222549438477,,265,0.0,0.0008988324552774429,0.5396366119384766
,45.66302227973938,,,236.0,,,1763260066.8044803,17639,,236.0,273,,,
-0.001040872186422348,45.75772666931152,-0.0035124029964208603,893.0,,0.2463647723197937,0.0002894777280744165,1763260066.8991847,17664,33.16471862792969,,274,0.0,8.668936789035797e-05,0.5974928736686707
,47.18639039993286,,,500.0,,,1763260068.3278484,19280,,500.0,292,,,
0.0026104599237442017,49.296605587005615,-0.003599978983402252,922.0,,0.5125424861907959,0.0002871735778171569,1763260070.4380636,21504,25.794675827026367,,321,0.0,0.00019549578428268433,0.5273882746696472
0.006406839936971664,49.684391498565674,0.002328840084373951,923.0,,0.6710203886032104,0.00028694316279143095,1763260070.8258495,21888,12.908941268920898,,327,0.0,0.0020998911932110786,0.5998252630233765
-0.000300724059343338,50.07841658592224,-0.004870617762207985,924.0,,0.06103062629699707,0.000286712747765705,1763260071.2198746,22272,7.9589643478393555,,330,0.0,0.000573841854929924,0.5277189612388611
-0.0003864280879497528,50.19347929954529,0.0028674760833382607,925.0,,0.6594983339309692,0.00028663594275712967,1763260071.3349373,22400,27.8234920501709,,332,0.0,0.00016217585653066635,0.5568335652351379
0.0013693049550056458,50.66723132133484,-0.0010637706145644188,928.0,,0.23945242166519165,0.0002863287227228284,1763260071.8086894,22912,8.604763984680176,,337,0.0,9.764265269041061e-05,0.5245426297187805
,50.824323892593384,,,159.0,,,1763260071.965782,23115,,159.0,340,,,
0.014051541686058044,53.48493218421936,-0.004384983330965042,935.0,,0.8967707753181458,0.00028463901253417134,1763260074.6263902,25728,6.329278945922852,,370,0.009765625,0.0011346545070409775,0.6310962438583374
-0.01672370359301567,53.84746742248535,0.01390606164932251,936.0,,-0.06806015968322754,0.0002844085975084454,1763260074.9889255,26112,5.998976707458496,,375,0.0,0.002182837575674057,0.6010807752609253
