lambda,early_learning_value_mean,early_learning_value_ci95,early_learning_p5,early_learning_p95
0.51,305.33390685917107,12.045394483491705,148.88698504536188,369.5114008233236
0.52,296.60325796673817,13.454005461792406,131.2729496670509,365.33590067233996
0.53,294.7491213150639,12.877862823087892,139.99402334465822,363.2078280162032
0.54,313.09950773286783,9.898432277976639,213.65443611001766,363.0391226787932
0.55,309.8711177509061,8.930997414210786,232.16459653026442,362.6294160593816
0.56,311.6538062507924,9.29860972398053,230.22438044984,370.228612457744
0.5700000000000001,313.40210957180466,8.960458842741648,231.62694405496163,362.4760987527476
0.58,320.00840692321674,8.393797737344439,226.25294525777292,364.72153724361556
0.59,321.7881294713474,7.288173912543052,241.67226146794695,358.38582457221565
0.6,319.03185361266804,8.391801502732982,232.79585997704152,365.96615113283843
0.61,322.5850105204514,7.372770344318416,254.50751141600483,364.97658955371924
0.62,324.72384435073303,6.439006545635068,256.50653686308,364.67800815655767
0.63,323.1553731365911,7.082771014383797,263.3437419299548,364.6263684532784
0.64,332.5526199020148,5.721849968235879,287.4826518768126,369.06356632765636
0.65,327.5190472439834,7.658863832980512,263.6315880641216,373.8671765348576
0.66,335.80026775090147,4.628886987720673,300.09201370479855,364.0752277509992
0.67,333.38675219887676,5.673346154417213,278.42380744850124,365.1554629114652
0.68,338.1402576830421,4.135623275664598,302.543188087166,365.7769213543796
0.6900000000000001,335.9989168200265,5.643926383712635,286.3367334743216,362.5528449062396
0.7000000000000001,340.84099377586296,5.028247825979643,293.01568603220005,366.82832425718124
0.71,340.93442635211613,4.712697597761202,296.80494006107085,367.55923171899315
0.72,343.9473432622219,3.6086678373756613,309.58376936830035,369.94414668881365
0.73,349.79850617305135,4.100507176492458,316.2339336686024,376.501240002974
0.74,349.7909505824893,3.471299044868562,318.79806999686485,371.7163386331904
0.75,351.0651252561332,3.9084542061686873,321.61978944029244,375.74822249694205
0.76,354.64852453185716,3.047798934631975,324.80655237334344,372.79265058581
0.77,356.84634028328475,2.8694837078776527,325.9934251875464,378.31122422293515
0.78,358.18208631389774,3.1194827441731907,329.144406289496,377.33918767886604
0.79,358.8341854681808,2.754174802613875,332.970287469531,376.7937777880484
0.8,363.8977458882857,2.579691787670753,339.724441449524,382.88749797546444
0.81,363.30068297688854,3.2301789474793527,337.151922304496,383.3756387517441
0.8200000000000001,365.84406093925855,2.3219174394168927,344.15288639308113,384.11712263470883
0.8300000000000001,367.65368774187664,2.4346991078371043,347.91474443009724,386.8136460277448
0.84,369.519399573183,2.559913492570155,348.6683721373496,388.7782319569088
