,lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
lr_0.0001,351.11492343333344,382.3205515333335,406.36121663333347,424.6186079000002,423.4219469666668,433.3174865000001,429.90260333333345,428.60449670000014,430.5980855666666
lr_0.0003,406.7526343666667,426.09853676666677,446.58837496666683,458.1826257333335,455.56981686666677,454.3774836000004,452.4706418666669,450.99936233333347,449.9427264666669
lr_0.0006,401.8062876666667,461.82938976666685,465.04689500000023,463.55184326666694,466.5745762333336,466.26754160000024,463.0531998,462.53170203333354,464.7597551000003
lr_0.001,390.8495640333334,451.2954807666667,468.709084566667,471.3917162000002,473.3671040333335,467.1202563666669,464.7853026333337,466.1130298333334,466.2954018333335
lr_0.003,378.198742,449.3016773000003,466.0109080333335,469.91031170000025,466.5426686000001,459.3700656333335,450.2713263000002,451.5229343000001,448.6424591333335
lr_0.006,347.63851206666675,405.0430616,440.8076715,444.5580189666668,422.1399826666668,411.87468006666666,410.4399891000001,413.15028960000024,408.44063156666675
lr_1e-05,90.36105266666668,77.81581353333331,105.86486336666665,192.21458976666673,214.8159626666667,218.25450203333335,214.7743403333334,211.35821930000003,203.06937946666667
lr_3e-05,134.15450603333335,218.0086845000001,273.3479360333334,274.54335843333337,302.2999808666667,323.29160206666666,335.94992039999994,337.7161942333332,337.72843183333333
lr_6e-05,267.19312573333343,344.1181772333335,356.47492500000004,377.3467094000001,386.31080993333336,388.8514544666667,396.67162923333336,400.90793236666684,411.9786175666666
