,lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
lr_0.0001,-93.23767396666665,-93.5700552666667,-94.78730286666666,-97.92684999999997,-104.69570043333337,-122.25563103333332,-160.75970226666666,-144.08065423333335,-159.3270685
lr_0.0003,-90.28218229999997,-89.95165736666664,-89.62316423333334,-90.87223946666667,-93.53734996666668,-99.1173562,-122.59382346666666,-133.1576208666667,-142.18755740000003
lr_0.0006,-88.86708489999997,-87.63175203333336,-87.6892129,-88.69542126666661,-90.80574553333335,-106.14622273333335,-131.3711169,-115.63261733333333,-146.84237999999993
lr_0.001,-87.34237656666667,-86.86779800000002,-87.02414226666666,-87.97703519999999,-141.0800077333333,-183.30624556666663,-125.8123292666667,-151.25234046666668,-127.01472273333336
lr_0.003,-88.89082586666666,-87.34461396666667,-88.19711503333336,-103.24907766666668,-153.30482919999997,-165.7519712333334,-140.14549296666664,-143.6303192,-185.6658593999999
lr_0.006,-176.08406986666674,-149.55641080000004,-104.33032763333335,-191.53712140000007,-237.63350343333332,-352.8219383333333,-366.25284836666697,-418.5854309333334,-427.2722197000002
lr_1e-05,-136.66838420000002,-140.2248254,-150.53054626666668,-170.9360527666667,-214.58421079999997,-268.3882886,-349.4468527333333,-389.7848800333333,-438.6707616333334
lr_3e-05,-108.83369716666668,-109.15591613333329,-113.18044823333332,-120.36826190000004,-138.22736106666665,-162.61800546666674,-215.18936693333342,-275.26126406666657,-327.36020763333323
lr_6e-05,-98.46750793333335,-98.39508173333338,-100.70640739999997,-104.85429233333332,-115.56003026666664,-125.70436216666666,-183.89887613333332,-187.10521336666665,-204.30271033333335
