,lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
lr_0.0001,-93.23709103449923,-93.56947080116892,-94.7867184345022,-97.92627073449187,-104.69511750116585,-122.25505003449533,-160.75910840118772,-144.08006393451393,-159.326485867832
lr_0.0003,-90.28160243449305,-89.95107740115996,-89.62257980116888,-90.87166110115669,-93.5367700344932,-99.11678210114819,-122.59322753452521,-133.15702073453363,-142.1869535345411
lr_0.0006,-88.86652503445308,-87.63118600113204,-87.68864600113382,-88.69484986780942,-90.80518523445394,-106.14564946781321,-131.37051680120015,-115.63203846782437,-146.84178926784818
lr_0.001,-87.34182400110514,-86.86724283444366,-87.02358040112372,-87.97647523445326,-141.07942273450334,-183.3056452678672,-125.81175586781343,-151.25178183445064,-127.01415936779341
lr_0.003,-88.89028626774586,-87.34406403443316,-88.19657106775463,-103.24852236777727,-153.3042592344733,-165.7513524345709,-140.14490806783647,-143.62974016782468,-185.66520030131818
lr_0.006,-176.08346033455243,-149.55580510121138,-104.32977513443834,-191.536484901273,-237.6328326346748,-352.82112263496475,-366.2519925683782,-418.58451333516877,-427.27125403526475
lr_1e-05,-136.66779363451448,-140.2242334678505,-150.52995150118952,-170.93544186788847,-214.5835903345743,-268.38766640124436,-349.4461837346713,-389.78414353480645,-438.6699359349848
lr_3e-05,-108.83311340116755,-109.15533543449477,-113.17986543449895,-120.36767596783854,-138.2267737678413,-162.61741903450618,-215.18876386787275,-275.2606027346559,-327.359515334718
lr_6e-05,-98.46692796782659,-98.39449740116868,-100.7058261011626,-104.85371180116113,-115.55944626783466,-125.70377686783726,-183.89828010119203,-187.10462443451127,-204.30212510117045
